label=Displacement
num_items=504

0:	0.000000e+00 0.000000e+00 
1:	-8.859442e-04 0.000000e+00 
2:	-3.110665e-03 0.000000e+00 
3:	-9.447412e-03 0.000000e+00 
4:	-1.202236e-02 0.000000e+00 
5:	-1.352096e-02 0.000000e+00 
6:	-1.497915e-02 0.000000e+00 
7:	-1.630277e-02 0.000000e+00 
8:	-1.733880e-02 0.000000e+00 
9:	-1.807913e-02 0.000000e+00 
10:	-1.844234e-02 0.000000e+00 
11:	-1.838520e-02 0.000000e+00 
12:	-1.786045e-02 0.000000e+00 
13:	-1.683381e-02 0.000000e+00 
14:	-1.528456e-02 0.000000e+00 
15:	-1.321200e-02 0.000000e+00 
16:	-1.064094e-02 0.000000e+00 
17:	-9.135870e-03 0.000000e+00 
18:	0.000000e+00 1.208157e-03 
19:	-8.319587e-04 1.795367e-03 
20:	3.364089e-04 -1.143975e-04 
21:	-9.318103e-03 1.783212e-03 
22:	-1.212774e-02 2.258937e-03 
23:	-1.344481e-02 1.608997e-03 
24:	-1.501367e-02 1.441935e-03 
25:	-1.628718e-02 1.077728e-03 
26:	-1.734415e-02 7.220080e-04 
27:	-1.807728e-02 3.134005e-04 
28:	-1.844296e-02 -1.347807e-04 
29:	-1.838524e-02 -6.189554e-04 
30:	-1.786068e-02 -1.134225e-03 
31:	-1.683407e-02 -1.670887e-03 
32:	-1.528484e-02 -2.217074e-03 
33:	-1.321230e-02 -2.756731e-03 
34:	-1.064125e-02 -3.270133e-03 
35:	-9.135729e-03 -3.502115e-03 
36:	0.000000e+00 1.584911e-04 
37:	-7.717439e-04 -1.192191e-03 
38:	-2.477783e-03 2.547033e-03 
39:	-8.553573e-03 8.179735e-03 
40:	-1.059262e-02 6.060437e-03 
41:	-1.247991e-02 5.206103e-03 
42:	-1.410916e-02 4.274148e-03 
43:	-1.544630e-02 3.278040e-03 
44:	-1.650927e-02 2.175439e-03 
45:	-1.723534e-02 9.471195e-04 
46:	-1.758677e-02 -3.976459e-04 
47:	-1.751594e-02 -1.852649e-03 
48:	-1.698080e-02 -3.399251e-03 
49:	-1.594648e-02 -5.012294e-03 
50:	-1.439047e-02 -6.655465e-03 
51:	-1.230934e-02 -8.281312e-03 
52:	-9.724613e-03 -9.830712e-03 
53:	-8.208543e-03 -1.053208e-02 
54:	0.000000e+00 1.602375e-02 
55:	-6.678436e-04 1.858765e-02 
56:	-3.117783e-03 1.646196e-02 
57:	-6.265044e-03 1.269116e-02 
58:	-8.596940e-03 1.040840e-02 
59:	-1.077865e-02 8.824449e-03 
60:	-1.245424e-02 7.208795e-03 
61:	-1.383214e-02 5.517527e-03 
62:	-1.486587e-02 3.652201e-03 
63:	-1.555535e-02 1.598162e-03 
64:	-1.586635e-02 -6.476783e-04 
65:	-1.576156e-02 -3.073870e-03 
66:	-1.520153e-02 -5.655472e-03 
67:	-1.414973e-02 -8.352281e-03 
68:	-1.257959e-02 -1.110608e-02 
69:	-1.048146e-02 -1.383857e-02 
70:	-7.870015e-03 -1.645101e-02 
71:	-6.332451e-03 -1.763802e-02 
72:	0.000000e+00 2.341843e-02 
73:	-7.604865e-04 2.269701e-02 
74:	-2.303249e-03 1.975758e-02 
75:	-4.353408e-03 1.713885e-02 
76:	-6.700216e-03 1.469378e-02 
77:	-8.641324e-03 1.243610e-02 
78:	-1.025287e-02 1.017099e-02 
79:	-1.151555e-02 7.766269e-03 
80:	-1.244498e-02 5.136781e-03 
81:	-1.303294e-02 2.256943e-03 
82:	-1.325772e-02 -8.856945e-04 
83:	-1.308674e-02 -4.280205e-03 
84:	-1.248040e-02 -7.898488e-03 
85:	-1.139830e-02 -1.168932e-02 
86:	-9.805784e-03 -1.557491e-02 
87:	-7.682913e-03 -1.944749e-02 
88:	-5.032950e-03 -2.316850e-02 
89:	-3.464033e-03 -2.486889e-02 
90:	0.000000e+00 2.484998e-02 
91:	-2.505938e-04 2.504316e-02 
92:	-1.519069e-03 2.355587e-02 
93:	-3.165348e-03 2.118552e-02 
94:	-4.754960e-03 1.859728e-02 
95:	-6.278591e-03 1.588834e-02 
96:	-7.548943e-03 1.303647e-02 
97:	-8.542116e-03 9.951377e-03 
98:	-9.241746e-03 6.584068e-03 
99:	-9.638949e-03 2.896567e-03 
100:	-9.712519e-03 -1.124207e-03 
101:	-9.430277e-03 -5.474212e-03 
102:	-8.749205e-03 -1.012527e-02 
103:	-7.620570e-03 -1.501988e-02 
104:	-5.997162e-03 -2.006413e-02 
105:	-3.843259e-03 -2.512250e-02 
106:	-1.145259e-03 -3.001618e-02 
107:	4.640527e-04 -3.226993e-02 
108:	0.000000e+00 2.815454e-02 
109:	-3.603868e-04 2.810780e-02 
110:	-9.247108e-04 2.689420e-02 
111:	-1.718294e-03 2.476067e-02 
112:	-2.677718e-03 2.208431e-02 
113:	-3.568212e-03 1.905016e-02 
114:	-4.320285e-03 1.568437e-02 
115:	-4.872905e-03 1.198939e-02 
116:	-5.207286e-03 7.929098e-03 
117:	-5.306431e-03 3.477865e-03 
118:	-5.149116e-03 -1.385034e-03 
119:	-4.699899e-03 -6.662353e-03 
120:	-3.909071e-03 -1.233223e-02 
121:	-2.715363e-03 -1.833637e-02 
122:	-1.053265e-03 -2.456951e-02 
123:	1.135124e-03 -3.087074e-02 
124:	3.887207e-03 -3.702052e-02 
125:	5.544338e-03 -3.988080e-02 
126:	0.000000e+00 3.112562e-02 
127:	5.734532e-05 3.112894e-02 
128:	2.060823e-05 3.000090e-02 
129:	-8.681165e-05 2.795436e-02 
130:	-2.389439e-04 2.517298e-02 
131:	-3.874831e-04 2.183306e-02 
132:	-4.565796e-04 1.803115e-02 
133:	-4.152219e-04 1.378931e-02 
134:	-2.428592e-04 9.104575e-03 
135:	7.202856e-05 3.951710e-03 
136:	5.510643e-04 -1.695171e-03 
137:	1.231799e-03 -7.852913e-03 
138:	2.172663e-03 -1.451280e-02 
139:	3.451397e-03 -2.162405e-02 
140:	5.157553e-03 -2.907699e-02 
141:	7.379466e-03 -3.668881e-02 
142:	1.018664e-02 -4.419836e-02 
143:	1.189692e-02 -4.773271e-02 
144:	0.000000e+00 3.398713e-02 
145:	3.909075e-04 3.398871e-02 
146:	1.191714e-03 3.288197e-02 
147:	1.948567e-03 3.076121e-02 
148:	2.680781e-03 2.781386e-02 
149:	3.417332e-03 2.418765e-02 
150:	4.175910e-03 1.998807e-02 
151:	4.966987e-03 1.526935e-02 
152:	5.788346e-03 1.003619e-02 
153:	6.642197e-03 4.264694e-03 
154:	7.542962e-03 -2.086007e-03 
155:	8.528388e-03 -9.054033e-03 
156:	9.665084e-03 -1.665498e-02 
157:	1.104926e-02 -2.485782e-02 
158:	1.280153e-02 -3.355846e-02 
159:	1.504917e-02 -4.255846e-02 
160:	1.790558e-02 -5.155366e-02 
161:	1.967134e-02 -5.584503e-02 
162:	0.000000e+00 3.656090e-02 
163:	8.859196e-04 3.655795e-02 
164:	2.651040e-03 3.537848e-02 
165:	4.425550e-03 3.312764e-02 
166:	6.204816e-03 2.995640e-02 
167:	7.980337e-03 2.602990e-02 
168:	9.732041e-03 2.146908e-02 
169:	1.143208e-02 1.633768e-02 
170:	1.305392e-02 1.064532e-02 
171:	1.458023e-02 4.356051e-03 
172:	1.601408e-02 -2.593109e-03 
173:	1.738827e-02 -1.027372e-02 
174:	1.877402e-02 -1.874047e-02 
175:	2.028704e-02 -2.799837e-02 
176:	2.208219e-02 -3.796729e-02 
177:	2.434011e-02 -4.844146e-02 
178:	2.723033e-02 -5.907306e-02 
179:	2.905085e-02 -6.422324e-02 
180:	0.000000e+00 3.870294e-02 
181:	1.469521e-03 3.870256e-02 
182:	4.425322e-03 3.741089e-02 
183:	7.420892e-03 3.494323e-02 
184:	1.044434e-02 3.149577e-02 
185:	1.344989e-02 2.725587e-02 
186:	1.637668e-02 2.236450e-02 
187:	1.915878e-02 1.689280e-02 
188:	2.174073e-02 1.084167e-02 
189:	2.408415e-02 4.156340e-03 
190:	2.617623e-02 -3.259663e-03 
191:	2.803916e-02 -1.152313e-02 
192:	2.974237e-02 -2.074474e-02 
193:	3.141371e-02 -3.099184e-02 
194:	3.324892e-02 -4.223072e-02 
195:	3.548757e-02 -5.427316e-02 
196:	3.838628e-02 -6.672291e-02 
197:	4.025534e-02 -7.285263e-02 
198:	0.000000e+00 4.029936e-02 
199:	2.173644e-03 4.029978e-02 
200:	6.566963e-03 3.882930e-02 
201:	1.103147e-02 3.607252e-02 
202:	1.553645e-02 3.228987e-02 
203:	1.999592e-02 2.772618e-02 
204:	2.429661e-02 2.254644e-02 
205:	2.834053e-02 1.681738e-02 
206:	3.204645e-02 1.052476e-02 
207:	3.535952e-02 3.583712e-03 
208:	3.825136e-02 -4.141304e-03 
209:	4.072744e-02 -1.282273e-02 
210:	4.284316e-02 -2.264581e-02 
211:	4.472668e-02 -3.376645e-02 
212:	4.659852e-02 -4.624992e-02 
213:	4.878730e-02 -5.994897e-02 
214:	5.164365e-02 -7.444060e-02 
215:	5.355554e-02 -8.170645e-02 
216:	0.000000e+00 4.121391e-02 
217:	3.037392e-03 4.120121e-02 
218:	9.156447e-03 3.948044e-02 
219:	1.539760e-02 3.632864e-02 
220:	2.168008e-02 3.215302e-02 
221:	2.783375e-02 2.727663e-02 
222:	3.371115e-02 2.187010e-02 
223:	3.918299e-02 1.598948e-02 
224:	4.416532e-02 9.586697e-03 
225:	4.859874e-02 2.545572e-03 
226:	5.244612e-02 -5.312691e-03 
227:	5.569499e-02 -1.421626e-02 
228:	5.836866e-02 -2.443578e-02 
229:	6.056530e-02 -3.625346e-02 
230:	6.251232e-02 -4.987946e-02 
231:	6.458721e-02 -6.532446e-02 
232:	6.736096e-02 -8.212612e-02 
233:	6.928880e-02 -9.072062e-02 
234:	0.000000e+00 4.124196e-02 
235:	4.069253e-03 4.127093e-02 
236:	1.234881e-02 3.913978e-02 
237:	2.078943e-02 3.545978e-02 
238:	2.916849e-02 3.086728e-02 
239:	3.726845e-02 2.572374e-02 
240:	4.487785e-02 2.020263e-02 
241:	5.189835e-02 1.429793e-02 
242:	5.826661e-02 7.929446e-03 
243:	6.394744e-02 9.432616e-04 
244:	6.891258e-02 -6.870219e-03 
245:	7.313217e-02 -1.578882e-02 
246:	7.659301e-02 -2.615738e-02 
247:	7.931192e-02 -3.839968e-02 
248:	8.144352e-02 -5.297513e-02 
249:	8.342398e-02 -7.013535e-02 
250:	8.593686e-02 -8.964976e-02 
251:	8.790074e-02 -9.984669e-02 
252:	0.000000e+00 4.033311e-02 
253:	5.425597e-03 4.021464e-02 
254:	1.649479e-02 3.744806e-02 
255:	2.764419e-02 3.315115e-02 
256:	3.852469e-02 2.816377e-02 
257:	4.870698e-02 2.293102e-02 
258:	5.810463e-02 1.745307e-02 
259:	6.668378e-02 1.168301e-02 
260:	7.446363e-02 5.486822e-03 
261:	8.146275e-02 -1.308082e-03 
262:	8.768406e-02 -8.932347e-03 
263:	9.310976e-02 -1.767938e-02 
264:	9.767906e-02 -2.795366e-02 
265:	1.013367e-01 -4.027135e-02 
266:	1.040141e-01 -5.537395e-02 
267:	1.059325e-01 -7.412269e-02 
268:	1.082354e-01 -9.662563e-02 
269:	1.100786e-01 -1.089968e-01 
270:	0.000000e+00 3.756959e-02 
271:	7.426743e-03 3.777737e-02 
272:	2.226336e-02 3.394385e-02 
273:	3.705763e-02 2.887657e-02 
274:	5.051396e-02 2.391820e-02 
275:	6.270120e-02 1.885568e-02 
276:	7.370716e-02 1.365633e-02 
277:	8.368800e-02 8.173829e-03 
278:	9.277323e-02 2.263731e-03 
279:	1.010603e-01 -4.254683e-03 
280:	1.086131e-01 -1.160571e-02 
281:	1.154488e-01 -2.008818e-02 
282:	1.215412e-01 -3.008038e-02 
283:	1.267399e-01 -4.219155e-02 
284:	1.308944e-01 -5.719046e-02 
285:	1.334712e-01 -7.665282e-02 
286:	1.350031e-01 -1.029023e-01 
287:	1.369896e-01 -1.179997e-01 
288:	0.000000e+00 3.380327e-02 
289:	1.037415e-02 3.260275e-02 
290:	3.250359e-02 2.692278e-02 
291:	5.071911e-02 2.264232e-02 
292:	6.621342e-02 1.822159e-02 
293:	7.980856e-02 1.374206e-02 
294:	9.193993e-02 9.016287e-03 
295:	1.029546e-01 3.934129e-03 
296:	1.130766e-01 -1.635903e-03 
297:	1.224843e-01 -7.861384e-03 
298:	1.313113e-01 -1.495283e-02 
299:	1.396535e-01 -2.318307e-02 
300:	1.475651e-01 -3.294063e-02 
301:	1.550656e-01 -4.469673e-02 
302:	1.619093e-01 -5.944846e-02 
303:	1.680542e-01 -7.815643e-02 
304:	1.704464e-01 -1.053541e-01 
305:	1.711869e-01 -1.275607e-01 
306:	0.000000e+00 2.671597e-02 
307:	1.931412e-02 2.651094e-02 
308:	4.233215e-02 2.246064e-02 
309:	6.068208e-02 1.893927e-02 
310:	7.634644e-02 1.505101e-02 
311:	9.006834e-02 1.093259e-02 
312:	1.023999e-01 6.478636e-03 
313:	1.136522e-01 1.602226e-03 
314:	1.240840e-01 -3.810574e-03 
315:	1.338912e-01 -9.918313e-03 
316:	1.432349e-01 -1.692308e-02 
317:	1.522586e-01 -2.509772e-02 
318:	1.610697e-01 -3.480970e-02 
319:	1.697947e-01 -4.657712e-02 
320:	1.785174e-01 -6.121717e-02 
321:	1.872210e-01 -8.010277e-02 
322:	1.966994e-01 -1.060922e-01 
323:	1.985195e-01 -1.293689e-01 
324:	0.000000e+00 0.000000e+00 
325:	-7.769912e-04 0.000000e+00 
326:	-1.692910e-03 0.000000e+00 
327:	-2.073532e-03 0.000000e+00 
328:	-2.139916e-03 0.000000e+00 
329:	-2.004515e-03 0.000000e+00 
330:	-1.795622e-03 0.000000e+00 
331:	-1.565370e-03 0.000000e+00 
332:	-1.332637e-03 0.000000e+00 
333:	-1.100723e-03 0.000000e+00 
334:	-8.803765e-04 0.000000e+00 
335:	-6.785640e-04 0.000000e+00 
336:	-5.008271e-04 0.000000e+00 
337:	-3.496186e-04 0.000000e+00 
338:	-2.277123e-04 0.000000e+00 
339:	-1.330958e-04 0.000000e+00 
340:	-4.179755e-05 0.000000e+00 
341:	0.000000e+00 0.000000e+00 
342:	-4.008331e-03 1.091947e-03 
343:	-3.765649e-03 1.704619e-03 
344:	-3.483559e-03 1.730738e-03 
345:	-3.289035e-03 1.560176e-03 
346:	-3.045055e-03 1.361916e-03 
347:	-2.684288e-03 1.163675e-03 
348:	-2.356088e-03 1.007783e-03 
349:	-2.014059e-03 8.604695e-04 
350:	-1.666435e-03 7.305604e-04 
351:	-1.346458e-03 6.156536e-04 
352:	-1.058133e-03 5.117593e-04 
353:	-8.031372e-04 4.144000e-04 
354:	-5.809402e-04 3.248562e-04 
355:	-3.959208e-04 2.433187e-04 
356:	-2.482452e-04 1.691276e-04 
357:	-1.514799e-04 1.025506e-04 
358:	-5.277147e-05 3.080073e-05 
359:	0.000000e+00 0.000000e+00 
360:	-5.559389e-03 4.357183e-03 
361:	-5.697661e-03 3.982944e-03 
362:	-5.601948e-03 3.740021e-03 
363:	-5.286407e-03 3.470275e-03 
364:	-4.831386e-03 3.144021e-03 
365:	-4.259083e-03 2.772871e-03 
366:	-3.583055e-03 2.363433e-03 
367:	-2.988744e-03 1.992822e-03 
368:	-2.460807e-03 1.653822e-03 
369:	-1.967898e-03 1.344687e-03 
370:	-1.513792e-03 1.064672e-03 
371:	-1.108754e-03 8.176198e-04 
372:	-7.643047e-04 6.003861e-04 
373:	-4.830729e-04 4.132896e-04 
374:	-2.675562e-04 2.570178e-04 
375:	-1.135408e-04 1.351046e-04 
376:	-3.060583e-05 4.844602e-05 
377:	0.000000e+00 0.000000e+00 
378:	-6.482366e-03 7.609374e-03 
379:	-6.335927e-03 7.196653e-03 
380:	-6.017735e-03 6.380754e-03 
381:	-5.621474e-03 5.713272e-03 
382:	-5.137817e-03 5.118064e-03 
383:	-4.584226e-03 4.539095e-03 
384:	-3.970746e-03 3.953956e-03 
385:	-3.268087e-03 3.340668e-03 
386:	-2.587238e-03 2.724949e-03 
387:	-2.001898e-03 2.136358e-03 
388:	-1.514931e-03 1.598592e-03 
389:	-1.113300e-03 1.118490e-03 
390:	-7.756807e-04 7.132419e-04 
391:	-4.985978e-04 3.905308e-04 
392:	-2.773248e-04 1.553129e-04 
393:	-1.145805e-04 8.130816e-06 
394:	-9.829562e-06 -3.901274e-05 
395:	0.000000e+00 0.000000e+00 
396:	-6.106678e-03 1.081193e-02 
397:	-5.841785e-03 1.032188e-02 
398:	-5.305205e-03 9.480918e-03 
399:	-4.782700e-03 8.655732e-03 
400:	-4.283262e-03 7.837828e-03 
401:	-3.801704e-03 7.025217e-03 
402:	-3.341450e-03 6.223313e-03 
403:	-2.912652e-03 5.407092e-03 
404:	-2.483112e-03 4.604275e-03 
405:	-2.034477e-03 3.850729e-03 
406:	-1.600496e-03 3.139724e-03 
407:	-1.195127e-03 2.480895e-03 
408:	-8.565860e-04 1.868842e-03 
409:	-5.776904e-04 1.314589e-03 
410:	-3.600630e-04 8.328840e-04 
411:	-1.920947e-04 4.401905e-04 
412:	-6.021876e-05 1.224685e-04 
413:	0.000000e+00 0.000000e+00 
414:	-5.286769e-03 1.372521e-02 
415:	-4.930918e-03 1.319619e-02 
416:	-4.352138e-03 1.214174e-02 
417:	-3.848302e-03 1.110852e-02 
418:	-3.384903e-03 1.008068e-02 
419:	-2.953908e-03 9.052127e-03 
420:	-2.544323e-03 8.022003e-03 
421:	-2.179139e-03 7.065527e-03 
422:	-1.841907e-03 6.087086e-03 
