label=Displacement
num_items=180

0:	-6.607629e-03 0.000000e+00 
1:	-6.719452e-03 0.000000e+00 
2:	-6.680215e-03 0.000000e+00 
3:	-6.431695e-03 0.000000e+00 
4:	-6.006837e-03 0.000000e+00 
5:	-5.435731e-03 0.000000e+00 
6:	-4.847056e-03 0.000000e+00 
7:	-4.272678e-03 0.000000e+00 
8:	-3.718493e-03 0.000000e+00 
9:	-3.180237e-03 0.000000e+00 
10:	-2.664479e-03 0.000000e+00 
11:	-2.175286e-03 0.000000e+00 
12:	-1.715089e-03 0.000000e+00 
13:	-1.284260e-03 0.000000e+00 
14:	-8.838688e-04 0.000000e+00 
15:	-5.086480e-04 0.000000e+00 
16:	-1.592414e-04 0.000000e+00 
17:	0.000000e+00 0.000000e+00 
18:	-6.729266e-03 2.235809e-03 
19:	-6.817488e-03 2.080659e-03 
20:	-6.720562e-03 1.826844e-03 
21:	-6.391481e-03 1.604135e-03 
22:	-5.869166e-03 1.403496e-03 
23:	-5.151398e-03 1.198986e-03 
24:	-4.476408e-03 1.038551e-03 
25:	-3.805192e-03 8.802936e-04 
26:	-3.151187e-03 7.352277e-04 
27:	-2.550378e-03 6.027877e-04 
28:	-2.006783e-03 4.813976e-04 
29:	-1.522093e-03 3.678273e-04 
30:	-1.097918e-03 2.652521e-04 
31:	-7.402106e-04 1.769707e-04 
32:	-4.510576e-04 1.042982e-04 
33:	-2.497852e-04 5.009825e-05 
34:	-7.501387e-05 3.038022e-06 
35:	0.000000e+00 0.000000e+00 
36:	-6.751901e-03 6.547459e-03 
37:	-6.732006e-03 6.110852e-03 
38:	-6.476071e-03 5.363529e-03 
39:	-6.043905e-03 4.694909e-03 
40:	-5.460971e-03 4.066695e-03 
41:	-4.737848e-03 3.464046e-03 
42:	-3.890761e-03 2.862052e-03 
43:	-3.146803e-03 2.341152e-03 
44:	-2.490056e-03 1.883475e-03 
45:	-1.893788e-03 1.479974e-03 
46:	-1.364941e-03 1.124552e-03 
47:	-9.160252e-04 8.198578e-04 
48:	-5.566358e-04 5.611569e-04 
49:	-2.876027e-04 3.474898e-04 
50:	-1.083170e-04 1.823265e-04 
51:	-9.819725e-06 7.623711e-05 
52:	2.421188e-06 2.831550e-05 
53:	0.000000e+00 0.000000e+00 
54:	-6.422467e-03 1.082954e-02 
55:	-6.242334e-03 1.015516e-02 
56:	-5.796364e-03 9.023603e-03 
57:	-5.277154e-03 8.034284e-03 
58:	-4.700511e-03 7.130611e-03 
59:	-4.090210e-03 6.255606e-03 
60:	-3.455955e-03 5.388293e-03 
61:	-2.760118e-03 4.500729e-03 
62:	-2.121683e-03 3.628763e-03 
63:	-1.601466e-03 2.807054e-03 
64:	-1.191840e-03 2.062616e-03 
65:	-8.688233e-04 1.405313e-03 
66:	-6.072573e-04 8.632691e-04 
67:	-3.977396e-04 4.434378e-04 
68:	-2.305051e-04 1.485106e-04 
69:	-1.034789e-04 -2.453657e-05 
70:	-1.212681e-05 -6.263295e-05 
71:	0.000000e+00 0.000000e+00 
72:	-5.366885e-03 1.520116e-02 
73:	-4.975463e-03 1.453185e-02 
74:	-4.280089e-03 1.330107e-02 
75:	-3.665106e-03 1.212790e-02 
76:	-3.124726e-03 1.097112e-02 
