label=Displacement
num_items=200

0:	0.000000e+00 0.000000e+00 
1:	-1.285053e-02 0.000000e+00 
2:	-3.677614e-02 0.000000e+00 
3:	-6.111035e-02 0.000000e+00 
4:	-8.545727e-02 0.000000e+00 
5:	-1.098179e-01 0.000000e+00 
6:	-1.341893e-01 0.000000e+00 
7:	-1.585599e-01 0.000000e+00 
8:	-1.829325e-01 0.000000e+00 
9:	-1.951166e-01 0.000000e+00 
10:	0.000000e+00 3.105605e-02 
11:	-1.169164e-02 2.883408e-02 
12:	-3.690982e-02 2.837176e-02 
13:	-6.106231e-02 2.847609e-02 
14:	-8.546600e-02 2.843333e-02 
15:	-1.098171e-01 2.844583e-02 
16:	-1.341886e-01 2.843885e-02 
17:	-1.585604e-01 2.843747e-02 
18:	-1.829322e-01 2.843293e-02 
19:	-1.951167e-01 2.842938e-02 
20:	0.000000e+00 8.569179e-02 
21:	-1.202700e-02 8.602437e-02 
22:	-3.645545e-02 8.553432e-02 
23:	-6.101208e-02 8.535427e-02 
24:	-8.539389e-02 8.536021e-02 
25:	-1.097904e-01 8.532770e-02 
26:	-1.341667e-01 8.532432e-02 
27:	-1.585434e-01 8.531207e-02 
28:	-1.829169e-01 8.530059e-02 
29:	-1.951019e-01 8.529025e-02 
30:	0.000000e+00 1.427307e-01 
31:	-1.218822e-02 1.426017e-01 
32:	-3.650066e-02 1.424790e-01 
33:	-6.091947e-02 1.423392e-01 
34:	-8.535171e-02 1.422617e-01 
35:	-1.097446e-01 1.422345e-01 
36:	-1.341353e-01 1.422085e-01 
37:	-1.585143e-01 1.421914e-01 
38:	-1.828903e-01 1.421702e-01 
39:	-1.950763e-01 1.421562e-01 
40:	0.000000e+00 1.994051e-01 
41:	-1.213820e-02 1.994395e-01 
42:	-3.652262e-02 1.993355e-01 
43:	-6.090991e-02 1.992504e-01 
44:	-8.531052e-02 1.991800e-01 
45:	-1.097114e-01 1.991313e-01 
46:	-1.340985e-01 1.990994e-01 
47:	-1.584813e-01 1.990708e-01 
48:	-1.828576e-01 1.990439e-01 
49:	-1.950447e-01 1.990273e-01 
50:	0.000000e+00 2.562539e-01 
51:	-1.218429e-02 2.562461e-01 
52:	-3.652642e-02 2.562086e-01 
53:	-6.090650e-02 2.561378e-01 
54:	-8.529296e-02 2.560775e-01 
55:	-1.096807e-01 2.560269e-01 
56:	-1.340665e-01 2.559859e-01 
57:	-1.584466e-01 2.559517e-01 
58:	-1.828236e-01 2.559188e-01 
59:	-1.950109e-01 2.559020e-01 
60:	0.000000e+00 3.130979e-01 
61:	-1.217232e-02 3.130987e-01 
62:	-3.653578e-02 3.130650e-01 
63:	-6.090052e-02 3.130181e-01 
64:	-8.527696e-02 3.129629e-01 
65:	-1.096561e-01 3.129131e-01 
66:	-1.340352e-01 3.128693e-01 
67:	-1.584131e-01 3.128306e-01 
68:	-1.827890e-01 3.127949e-01 
69:	-1.949766e-01 3.127774e-01 
70:	0.000000e+00 3.699548e-01 
71:	-1.217750e-02 3.699551e-01 
72:	-3.652997e-02 3.699316e-01 
73:	-6.089191e-02 3.698891e-01 
74:	-8.525819e-02 3.698411e-01 
75:	-1.096299e-01 3.697923e-01 
76:	-1.340039e-01 3.697479e-01 
77:	-1.583787e-01 3.697078e-01 
78:	-1.827539e-01 3.696704e-01 
79:	-1.949413e-01 3.696525e-01 
80:	0.000000e+00 4.268177e-01 
81:	-1.217154e-02 4.268173e-01 
82:	-3.651913e-02 4.267955e-01 
83:	-6.087091e-02 4.267584e-01 
84:	-8.523127e-02 4.267128e-01 
85:	-1.095975e-01 4.266667e-01 
86:	-1.339687e-01 4.266230e-01 
87:	-1.583423e-01 4.265830e-01 
88:	-1.827171e-01 4.265456e-01 
89:	-1.949046e-01 4.265271e-01 
90:	0.000000e+00 4.552465e-01 
91:	-1.216711e-02 4.552467e-01 
92:	-3.650472e-02 4.552263e-01 
93:	-6.085170e-02 4.551908e-01 
94:	-8.520909e-02 4.551476e-01 
95:	-1.095758e-01 4.551028e-01 
96:	-1.339481e-01 4.550602e-01 
97:	-1.583231e-01 4.550205e-01 
98:	-1.826984e-01 4.549831e-01 
99:	-1.948859e-01 4.549646e-01 
100:	-1.002423e-03 0.000000e+00 
101:	-1.225551e-03 0.000000e+00 
102:	-1.291805e-03 0.000000e+00 
103:	-1.178903e-03 0.000000e+00 
104:	-9.804523e-04 0.000000e+00 
105:	-7.481097e-04 0.000000e+00 
106:	-5.105111e-04 0.000000e+00 
107:	-2.851892e-04 0.000000e+00 
108:	-8.434116e-05 0.000000e+00 
109:	0.000000e+00 0.000000e+00 
110:	-1.011548e-03 7.914046e-04 
111:	-1.235214e-03 5.715358e-04 
112:	-1.303870e-03 3.012546e-04 
113:	-1.193659e-03 1.307865e-04 
114:	-9.980838e-04 2.577267e-05 
115:	-7.684653e-04 -3.296990e-05 
116:	-5.325432e-04 -5.620926e-05 
117:	-3.057883e-04 -5.042374e-05 
118:	-9.573759e-05 -2.086558e-05 
119:	0.000000e+00 0.000000e+00 
120:	-1.067795e-03 2.374640e-03 
121:	-1.156884e-03 1.747063e-03 
122:	-1.100235e-03 9.647930e-04 
123:	-9.425868e-04 4.635599e-04 
124:	-7.456980e-04 1.473404e-04 
125:	-5.433097e-04 -3.816722e-05 
126:	-3.535093e-04 -1.241590e-04 
127:	-1.868119e-04 -1.294692e-04 
128:	-4.998412e-05 -6.538112e-05 
129:	0.000000e+00 0.000000e+00 
130:	-1.142438e-03 3.880997e-03 
131:	-9.866266e-04 2.959657e-03 
132:	-7.011051e-04 1.776672e-03 
133:	-4.568948e-04 9.913484e-04 
134:	-2.588442e-04 4.709499e-04 
135:	-1.096527e-04 1.399686e-04 
136:	-1.080161e-05 -4.492790e-05 
137:	3.628585e-05 -1.093041e-04 
138:	2.999756e-05 -6.827755e-05 
139:	0.000000e+00 0.000000e+00 
140:	-1.184673e-03 5.178404e-03 
141:	-7.603360e-04 4.148912e-03 
142:	-2.275058e-04 2.755351e-03 
143:	1.057523e-04 1.774313e-03 
144:	2.981452e-04 1.075053e-03 
145:	3.818653e-04 5.821715e-04 
146:	3.745462e-04 2.516450e-04 
147:	2.857320e-04 5.692983e-05 
148:	1.203105e-04 -1.784470e-05 
149:	0.000000e+00 0.000000e+00 
150:	-1.130707e-03 6.181159e-03 
151:	-5.260236e-04 5.230286e-03 
152:	1.617703e-04 3.825722e-03 
153:	5.397945e-04 2.749002e-03 
154:	7.128653e-04 1.908325e-03 
155:	7.385388e-04 1.248950e-03 
156:	6.483188e-04 7.375239e-04 
157:	4.596301e-04 3.531264e-04 
158:	1.817692e-04 8.219988e-05 
159:	0.000000e+00 0.000000e+00 
160:	-9.381223e-04 6.868038e-03 
161:	-3.227666e-04 6.109347e-03 
162:	3.477975e-04 4.825604e-03 
163:	6.935556e-04 3.730056e-03 
164:	8.297317e-04 2.789560e-03 
165:	8.195840e-04 1.980816e-03 
166:	6.977330e-04 1.287219e-03 
167:	4.832745e-04 6.972572e-04 
168:	1.861383e-04 2.031826e-04 
169:	0.000000e+00 0.000000e+00 
170:	-6.133910e-04 7.267200e-03 
171:	-1.668780e-04 6.705481e-03 
172:	3.086909e-04 5.568581e-03 
173:	5.454071e-04 4.489033e-03 
174:	6.297170e-04 3.488231e-03 
175:	6.091291e-04 2.571852e-03 
176:	5.102861e-04 1.738009e-03 
177:	3.491173e-04 9.826252e-04 
178:	1.349507e-04 3.020298e-04 
179:	0.000000e+00 0.000000e+00 
180:	-2.112880e-04 7.426243e-03 
181:	-5.067468e-05 6.976763e-03 
182:	1.182136e-04 5.925248e-03 
183:	2.008407e-04 4.858677e-03 
184:	2.285360e-04 3.829812e-03 
185:	2.181794e-04 2.861573e-03 
186:	1.788845e-04 1.961321e-03 
187:	1.163625e-04 1.129011e-03 
188:	3.712937e-05 3.589992e-04 
189:	0.000000e+00 0.000000e+00 
190:	0.000000e+00 7.408409e-03 
191:	0.000000e+00 6.957445e-03 
192:	0.000000e+00 5.901276e-03 
193:	0.000000e+00 4.829636e-03 
194:	0.000000e+00 3.795468e-03 
195:	0.000000e+00 2.822310e-03 
196:	0.000000e+00 1.919251e-03 
197:	0.000000e+00 1.090103e-03 
198:	0.000000e+00 3.378959e-04 
199:	0.000000e+00 0.000000e+00 
