x	y	stress_xx
 1.0000000000e+00	 0.0000000000e+00	 3.0779109396e-01
 9.9984261196e-01	 1.7741231987e-02	 3.0872331145e-01
 9.9936594664e-01	 3.5604840891e-02	 3.2208287550e-01
 9.9856337511e-01	 5.3583447897e-02	 3.4825681426e-01
 9.9742844690e-01	 7.1669333081e-02	 3.8759260363e-01
 9.9595490861e-01	 8.9854437912e-02	 4.4039463565e-01
 9.9413672265e-01	 1.0813036884e-01	 5.0692070725e-01
 9.9196808625e-01	 1.2648840200e-01	 5.8737855249e-01
 9.8944345047e-01	 1.4491948904e-01	 6.8192244276e-01
 9.8655753924e-01	 1.6341426419e-01	 7.9064988054e-01
 9.8330536840e-01	 1.8196305243e-01	 9.1359841315e-01
 1.0125000000e+00	 0.0000000000e+00	 3.8710792224e-01
 1.0123406446e+00	 1.7962997385e-02	 3.8928811158e-01
 1.0118580210e+00	 3.6049901398e-02	 4.0244875070e-01
 1.0110454173e+00	 5.4253240991e-02	 4.2693853346e-01
 1.0098963025e+00	 7.2565199739e-02	 4.6306981152e-01
 1.0084043450e+00	 9.0977618379e-02	 5.1111534645e-01
 1.0065634317e+00	 1.0948199844e-01	 5.7130508045e-01
 1.0043676873e+00	 1.2806950702e-01	 6.4382294732e-01
 1.0018114936e+00	 1.4673098265e-01	 7.2880374619e-01
 9.9888950849e-01	 1.6545694249e-01	 8.2633010166e-01
 9.9559668551e-01	 1.8423759058e-01	 9.3642953468e-01
 1.0250000000e+00	 0.0000000000e+00	 4.8485464256e-01
 1.0248386773e+00	 1.8184762783e-02	 4.8813492797e-01
 1.0243500953e+00	 3.6494961906e-02	 5.0098659147e-01
 1.0235274595e+00	 5.4923034086e-02	 5.2372097776e-01
 1.0223641581e+00	 7.3461066397e-02	 5.5661624652e-01
 1.0208537813e+00	 9.2100798847e-02	 5.9991440294e-01
 1.0189901407e+00	 1.1083362805e-01	 6.5381834533e-01
 1.0167672884e+00	 1.2965061203e-01	 7.1848894975e-01
 1.0141795367e+00	 1.4854247626e-01	 7.9404221226e-01
 1.0112214777e+00	 1.6749962078e-01	 8.8054647045e-01
 1.0078880026e+00	 1.8651212874e-01	 9.7801972662e-01
 1.0375000000e+00	 0.0000000000e+00	 6.0036522053e-01
 1.0373367099e+00	 1.8406528182e-02	 6.0460306775e-01
 1.0368421696e+00	 3.6940022414e-02	 6.1703967917e-01
 1.0360095017e+00	 5.5592827180e-02	 6.3794999993e-01
 1.0348320137e+00	 7.4356933056e-02	 6.6757889628e-01
 1.0333032177e+00	 9.3223979316e-02	 7.0613845947e-01
 1.0314168498e+00	 1.1218525765e-01	 7.5380532552e-01
 1.0291668895e+00	 1.3123171705e-01	 8.1071802845e-01
 1.0265475799e+00	 1.5035396986e-01	 8.7697440623e-01
 1.0235534470e+00	 1.6954229908e-01	 9.5262907892e-01
 1.0201793197e+00	 1.8878666689e-01	 1.0376910196e+00
 1.0500000000e+00	 0.0000000000e+00	 7.3300533770e-01
 1.0498347426e+00	 1.8628293580e-02	 7.3806329958e-01
 1.0493342440e+00	 3.7385082923e-02	 7.4998256743e-01
 1.0484915439e+00	 5.6262620276e-02	 7.6900260256e-01
 1.0472998693e+00	 7.5252799715e-02	 7.9533584414e-01
 1.0457526540e+00	 9.4347159785e-02	 8.2916528198e-01
 1.0438435588e+00	 1.1353688726e-01	 8.7064204341e-01
 1.0415664906e+00	 1.3281282207e-01	 9.1988301058e-01
 1.0389156230e+00	 1.5216546347e-01	 9.7696848530e-01
 1.0358854162e+00	 1.7158497738e-01	 1.0419399193e+00
 1.0324706368e+00	 1.9106120504e-01	 1.1147977285e+00
 1.0625000000e+00	 0.0000000000e+00	 8.8217052588e-01
 1.0623327752e+00	 1.8850058979e-02	 8.8791600298e-01
 1.0618263183e+00	 3.7830143432e-02	 8.9921924263e-01
 1.0609735861e+00	 5.6932413371e-02	 9.1628510566e-01
 1.0597677248e+00	 7.6148666375e-02	 9.3929444006e-01
 1.0582020904e+00	 9.5470340255e-02	 9.6840191792e-01
 1.0562702678e+00	 1.1488851686e-01	 1.0037338849e+00
 1.0539660917e+00	 1.3439392709e-01	 1.0453862372e+00
 1.0512836661e+00	 1.5397695708e-01	 1.0934223403e+00
 1.0482173855e+00	 1.7362765568e-01	 1.1478710076e+00
 1.0447619539e+00	 1.9333574319e-01	 1.2087245529e+00
 1.0750000000e+00	 0.0000000000e+00	 1.0472844317e+00
 1.0748308079e+00	 1.9071824378e-02	 1.0535894468e+00
 1.0743183926e+00	 3.8275203941e-02	 1.0641814126e+00
 1.0734556282e+00	 5.7602206467e-02	 1.0792314422e+00
 1.0722355804e+00	 7.7044533036e-02	 1.0988895990e+00
 1.0706515268e+00	 9.6593520725e-02	 1.1232829938e+00
 1.0686969769e+00	 1.1624014647e-01	 1.1525138924e+00
 1.0663656927e+00	 1.3597503212e-01	 1.1866578473e+00
 1.0636517093e+00	 1.5578845069e-01	 1.2257618671e+00
 1.0605493547e+00	 1.7567033398e-01	 1.2698426380e+00
 1.0570532710e+00	 1.9561028135e-01	 1.3188848110e+00
 1.0875000000e+00	 0.0000000000e+00	 1.2277972007e+00
 1.0873288405e+00	 1.9293589777e-02	 1.2345381862e+00
 1.0868104670e+00	 3.8720264451e-02	 1.2443269137e+00
 1.0859376704e+00	 5.8271999564e-02	 1.2573015712e+00
 1.0847034360e+00	 7.7940399697e-02	 1.2735822168e+00
 1.0831009631e+00	 9.7716701196e-02	 1.2932691303e+00
 1.0811236859e+00	 1.1759177608e-01	 1.3164411749e+00
 1.0787652938e+00	 1.3755613714e-01	 1.3431541802e+00
 1.0760197524e+00	 1.5759994430e-01	 1.3734393569e+00
 1.0728813239e+00	 1.7771301228e-01	 1.4073017575e+00
 1.0693445882e+00	 1.9788481950e-01	 1.4447187949e+00
 1.1000000000e+00	 0.0000000000e+00	 1.4231839720e+00
 1.0998268732e+00	 1.9515355176e-02	 1.4302415696e+00
 1.0993025413e+00	 3.9165324961e-02	 1.4391382257e+00
 1.0984197126e+00	 5.8941792661e-02	 1.4499799989e+00
 1.0971712916e+00	 7.8836266358e-02	 1.4628576939e+00
 1.0955503995e+00	 9.8839881668e-02	 1.4778454650e+00
 1.0935503949e+00	 1.1894340569e-01	 1.4949994275e+00
 1.0911648949e+00	 1.3913724216e-01	 1.5143562871e+00
 1.0883877955e+00	 1.5941143791e-01	 1.5359319966e+00
 1.0852132932e+00	 1.7975569058e-01	 1.5597204520e+00
 1.0816359053e+00	 2.0015935765e-01	 1.5856922374e+00
 1.1125000000e+00	 0.0000000000e+00	 1.6329434738e+00
 1.1123249058e+00	 1.9737120575e-02	 1.6402023450e+00
 1.1117946156e+00	 3.9610385471e-02	 1.6481210880e+00
 1.1109017548e+00	 5.9611585759e-02	 1.6567743997e+00
 1.1096391472e+00	 7.9732133020e-02	 1.6662245588e+00
 1.1079998358e+00	 9.9963062140e-02	 1.6765202756e+00
 1.1059771040e+00	 1.2029503530e-01	 1.6876955498e+00
 1.1035644960e+00	 1.4071834718e-01	 1.6997685424e+00
 1.1007558387e+00	 1.6122293152e-01	 1.7127404702e+00
 1.0975452624e+00	 1.8179836888e-01	 1.7265945334e+00
 1.0939272224e+00	 2.0243389581e-01	 1.7412948835e+00
 1.1250000000e+00	 0.0000000000e+00	 1.8565967131e+00
 1.1248229385e+00	 1.9958885975e-02	 1.8639453610e+00
 1.1242866900e+00	 4.0055445982e-02	 1.8708032069e+00
 1.1233837970e+00	 6.0281378857e-02	 1.8772143292e+00
 1.1221070028e+00	 8.0627999683e-02	 1.8832131830e+00
 1.1204492722e+00	 1.0108624261e-01	 1.8888236938e+00
 1.1184038130e+00	 1.2164666491e-01	 1.8940583569e+00
 1.1159640971e+00	 1.4229945221e-01	 1.8989173483e+00
 1.1131238818e+00	 1.6303442514e-01	 1.9033876534e+00
 1.1098772317e+00	 1.8384104718e-01	 1.9074422220e+00
 1.1062185395e+00	 2.0470843396e-01	 1.9110391559e+00
 9.8330536840e-01	 1.8196305243e-01	 9.1359841315e-01
 9.7968226449e-01	 2.0055587900e-01	 1.0316018858e+00
 9.7568388344e-01	 2.1918248006e-01	 1.1561403768e+00
 9.7130622879e-01	 2.3783231460e-01	 1.2874137166e+00
 9.6654566967e-01	 2.5649457770e-01	 1.4255885965e+00
 9.6139895816e-01	 2.7515821486e-01	 1.5707962256e+00
 9.5586324607e-01	 2.9381193773e-01	 1.7231300770e+00
 9.4993610115e-01	 3.1244424090e-01	 1.8826437421e+00
 9.4361552236e-01	 3.3104341998e-01	 2.0493489126e+00
 9.3689995435e-01	 3.4959759078e-01	 2.2232135106e+00
 9.2978830103e-01	 3.6809470956e-01	 2.4041599853e+00
 9.9559668551e-01	 1.8423759058e-01	 9.3642953468e-01
 9.9192829280e-01	 2.0306282749e-01	 1.0450861208e+00
 9.8787993198e-01	 2.2192226105e-01	 1.1591738010e+00
 9.8344755666e-01	 2.4080521853e-01	 1.2788757143e+00
 9.7862749055e-01	 2.5970075992e-01	 1.4043452082e+00
 9.7341644514e-01	 2.7859769255e-01	 1.5357036855e+00
 9.6781153666e-01	 2.9748458695e-01	 1.6730385292e+00
 9.6181030243e-01	 3.1634979391e-01	 1.8164011250e+00
 9.5541071639e-01	 3.3518146273e-01	 1.9658049981e+00
 9.4861120379e-01	 3.5396756067e-01	 2.1212240843e+00
 9.4141065480e-01	 3.7269589344e-01	 2.2825911507e+00
 1.0078880026e+00	 1.8651212874e-01	 9.7801972662e-01
 1.0041743211e+00	 2.0556977597e-01	 1.0772310879e+00
 1.0000759805e+00	 2.2466204205e-01	 1.1807993715e+00
 9.9558888452e-01	 2.4377812247e-01	 1.2888916471e+00
 9.9070931143e-01	 2.6290694214e-01	 1.4016484850e+00
 9.8543393212e-01	 2.8203717024e-01	 1.5191819882e+00
 9.7975982724e-01	 3.0115723617e-01	 1.6415738936e+00
 9.7368450370e-01	 3.2025534692e-01	 1.7688737581e+00
 9.6720591043e-01	 3.3931950548e-01	 1.9010972486e+00
 9.6032245323e-01	 3.5833753055e-01	 2.0382245492e+00
 9.5303300857e-01	 3.7729707731e-01	 2.1801989047e+00
 1.0201793197e+00	 1.8878666689e-01	 1.0376910196e+00
 1.0164203494e+00	 2.0807672446e-01	 1.1273623681e+00
 1.0122720291e+00	 2.2740182305e-01	 1.2203451444e+00
 1.0077302124e+00	 2.4675102640e-01	 1.3167909483e+00
 1.0027911323e+00	 2.6611312436e-01	 1.4168281189e+00
 9.9745141910e-01	 2.8547664792e-01	 1.5205599479e+00
 9.9170811782e-01	 3.0482988540e-01	 1.6280629535e+00
 9.8555870497e-01	 3.2416089993e-01	 1.7393852282e+00
 9.7900110447e-01	 3.4345754823e-01	 1.8545448764e+00
 9.7203370266e-01	 3.6270750044e-01	 1.9735285572e+00
 9.6465536234e-01	 3.8189826118e-01	 2.0962901469e+00
 1.0324706368e+00	 1.9106120504e-01	 1.1147977285e+00
 1.0286663777e+00	 2.1058367294e-01	 1.1948376575e+00
 1.0244680776e+00	 2.3014160405e-01	 1.2771711730e+00
 1.0198715402e+00	 2.4972393033e-01	 1.3619349828e+00
 1.0148729532e+00	 2.6931930658e-01	 1.4492457211e+00
 1.0094689061e+00	 2.8891612561e-01	 1.5391983396e+00
 1.0036564084e+00	 3.0850253462e-01	 1.6318645503e+00
 9.9743290624e-01	 3.2806645295e-01	 1.7272913316e+00
 9.9079629850e-01	 3.4759559099e-01	 1.8254995116e+00
 9.8374495210e-01	 3.6707747033e-01	 1.9264824431e+00
 9.7627771611e-01	 3.8649944506e-01	 2.0302047815e+00
 1.0447619539e+00	 1.9333574319e-01	 1.2087245529e+00
 1.0409124060e+00	 2.1309062143e-01	 1.2790448782e+00
 1.0366641262e+00	 2.3288138505e-01	 1.3506676254e+00
 1.0320128681e+00	 2.5269683426e-01	 1.4237151686e+00
 1.0269547741e+00	 2.7252548880e-01	 1.4982929446e+00
