x	y	stress_yy
 1.000000000000000e+00	 0.000000000000000e+00	 2.029963070642428e+01
 9.998426119581704e-01	 1.774123198744521e-02	 2.026973253609145e+01
 9.993659466402713e-01	 3.560484089073321e-02	 2.021252865971552e+01
 9.985633751090949e-01	 5.358344789747921e-02	 2.012790675071609e+01
 9.974284469032259e-01	 7.166933308134273e-02	 2.001580407736473e+01
 9.959549086084808e-01	 8.985443791194039e-02	 1.987620926792486e+01
 9.941367226520526e-01	 1.081303688402291e-01	 1.970916393560416e+01
 9.919680862544972e-01	 1.264884019976692e-01	 1.951476414728439e+01
 9.894434504702301e-01	 1.449194890435835e-01	 1.929316172018919e+01
 9.865575392429453e-01	 1.634142641907508e-01	 1.904456533099735e+01
 9.833053683983746e-01	 1.819630524344169e-01	 1.876924142242044e+01
 1.012500000000000e+00	 0.000000000000000e+00	 1.970375524419267e+01
 1.012340644607676e+00	 1.796299738536411e-02	 1.967933221602391e+01
 1.011858020973390e+00	 3.604990139831822e-02	 1.962842842453315e+01
 1.011045417298220e+00	 5.425324099133014e-02	 1.955091888289358e+01
 1.009896302489983e+00	 7.256519973898737e-02	 1.944672633938925e+01
 1.008404344966822e+00	 9.097761837928382e-02	 1.931582303610403e+01
 1.006563431686269e+00	 1.094819984438203e-01	 1.915823233544915e+01
 1.004367687334138e+00	 1.280695070157070e-01	 1.897403019888619e+01
 1.001811493603026e+00	 1.467309826500149e-01	 1.876334650235501e+01
 9.988895084859243e-01	 1.654569424871888e-01	 1.852636617321993e+01
 9.955966855063876e-01	 1.842375905849211e-01	 1.826333013400591e+01
 1.025000000000000e+00	 0.000000000000000e+00	 1.915088286339815e+01
 1.024838677257182e+00	 1.818476278346252e-02	 1.913153642892926e+01
 1.024350095306508e+00	 3.649496190623553e-02	 1.908652605521921e+01
 1.023527459487344e+00	 5.492303408563875e-02	 1.901571454178152e+01
 1.022364158076741e+00	 7.346106639718697e-02	 1.891901059528316e+01
 1.020853781325163e+00	 9.210079884725078e-02	 1.879637058159812e+01
 1.018990140720485e+00	 1.108336280480742e-01	 1.864780015358236e+01
 1.016767288413778e+00	 1.296506120344168e-01	 1.847335573931016e+01
 1.014179536735822e+00	 1.485424762570972e-01	 1.827314587562764e+01
 1.011221477728904e+00	 1.674996207842254e-01	 1.804733237213565e+01
 1.007888002614400e+00	 1.865121287359399e-01	 1.779613129112446e+01
 1.037500000000000e+00	 0.000000000000000e+00	 1.863945948380643e+01
 1.037336709906687e+00	 1.840652818174046e-02	 1.862480550718459e+01
 1.036842169639627e+00	 3.694002241448514e-02	 1.858529659009974e+01
 1.036009501676469e+00	 5.559282718040499e-02	 1.852078374884202e+01
 1.034832013663499e+00	 7.435693305594146e-02	 1.843116210953228e+01
 1.033303217683504e+00	 9.322397931584123e-02	 1.831637265336296e+01
 1.031416849754700e+00	 1.121852576529908e-01	 1.817640384530350e+01
 1.029166889493419e+00	 1.312317170537988e-01	 1.801129313138890e+01
 1.026547579868618e+00	 1.503539698648304e-01	 1.782112828978613e+01
 1.023553446971883e+00	 1.695422990818606e-01	 1.760604862104723e+01
 1.020179319722413e+00	 1.887866668874734e-01	 1.736624596331621e+01
 1.050000000000000e+00	 0.000000000000000e+00	 1.816800502900078e+01
 1.049834742556193e+00	 1.862829358019793e-02	 1.815767310061328e+01
 1.049334243972746e+00	 3.738508292306705e-02	 1.812328768460763e+01
 1.048491543865594e+00	 5.626262027562888e-02	 1.806468842910570e+01
 1.047299869250256e+00	 7.525279971525092e-02	 1.798175732427769e+01
 1.045752654041845e+00	 9.434715978505519e-02	 1.787442044059939e+01
 1.043843558788917e+00	 1.135368872585703e-01	 1.774264955818280e+01
 1.041566490573060e+00	 1.328128220738529e-01	 1.758646367267146e+01
 1.038915623001414e+00	 1.521654634732144e-01	 1.740593036322983e+01
 1.035885416214862e+00	 1.715849773800943e-01	 1.720116700832654e+01
 1.032470636830427e+00	 1.910612050395216e-01	 1.697234183532123e+01
 1.062500000000000e+00	 0.000000000000000e+00	 1.773510907321645e+01
 1.062332775205699e+00	 1.885005897883492e-02	 1.772874186369416e+01
 1.061826318305864e+00	 3.783014343198125e-02	 1.769911533968826e+01
 1.060973586054718e+00	 5.693241337131042e-02	 1.764605818155010e+01
 1.059767724837014e+00	 7.614866637511535e-02	 1.756943967239477e+01
