label=Displacement
num_items=49

0:	-nan 0.000000e+00 
1:	-nan 0.000000e+00 
2:	-nan 0.000000e+00 
3:	-nan 0.000000e+00 
4:	-nan 0.000000e+00 
5:	-nan 0.000000e+00 
6:	0.000000e+00 0.000000e+00 
7:	-nan -nan 
8:	-nan -nan 
9:	-nan -nan 
10:	-nan -nan 
11:	-nan -nan 
12:	-nan -nan 
13:	0.000000e+00 0.000000e+00 
14:	-nan -nan 
15:	-nan -nan 
16:	-nan -nan 
17:	-nan -nan 
18:	-nan -nan 
19:	-nan -nan 
20:	0.000000e+00 0.000000e+00 
21:	-nan -nan 
22:	-nan -nan 
23:	-nan -nan 
24:	-nan -nan 
25:	-nan -nan 
26:	-nan -nan 
27:	0.000000e+00 0.000000e+00 
28:	-nan -nan 
29:	-nan -nan 
30:	-nan -nan 
31:	-nan -nan 
32:	-nan -nan 
33:	-nan -nan 
34:	0.000000e+00 0.000000e+00 
35:	-nan -nan 
36:	-nan -nan 
37:	-nan -nan 
38:	-nan -nan 
39:	-nan -nan 
40:	-nan -nan 
41:	0.000000e+00 0.000000e+00 
42:	0.000000e+00 -nan 
43:	0.000000e+00 -nan 
44:	0.000000e+00 -nan 
45:	0.000000e+00 -nan 
46:	0.000000e+00 -nan 
47:	0.000000e+00 -nan 
48:	0.000000e+00 0.000000e+00 
