0:  0.000000e+00  0.000000e+00	 0.000000e+00 0.000000e+00 
1:  3.125000e+00  0.000000e+00	 -nan 0.000000e+00 
2:  9.375000e+00  0.000000e+00	 -nan 0.000000e+00 
3:  1.562500e+01  0.000000e+00	 -nan 0.000000e+00 
4:  2.187500e+01  0.000000e+00	 -nan 0.000000e+00 
5:  2.812500e+01  0.000000e+00	 -nan 0.000000e+00 
6:  3.437500e+01  0.000000e+00	 -nan 0.000000e+00 
7:  4.062500e+01  0.000000e+00	 -nan 0.000000e+00 
8:  4.687500e+01  0.000000e+00	 -nan 0.000000e+00 
9:  5.000000e+01  0.000000e+00	 -nan 0.000000e+00 
10:  0.000000e+00  3.125000e+00	 0.000000e+00 -nan 
11:  3.125000e+00  3.125000e+00	 -nan -nan 
12:  9.375000e+00  3.125000e+00	 -nan -nan 
13:  1.562500e+01  3.125000e+00	 -nan -nan 
14:  2.187500e+01  3.125000e+00	 -nan -nan 
15:  2.812500e+01  3.125000e+00	 -nan -nan 
16:  3.437500e+01  3.125000e+00	 -nan -nan 
17:  4.062500e+01  3.125000e+00	 -nan -nan 
18:  4.687500e+01  3.125000e+00	 -nan -nan 
19:  5.000000e+01  3.125000e+00	 -nan -nan 
20:  0.000000e+00  9.375000e+00	 0.000000e+00 -nan 
21:  3.125000e+00  9.375000e+00	 -nan -nan 
22:  9.375000e+00  9.375000e+00	 -nan -nan 
23:  1.562500e+01  9.375000e+00	 -nan -nan 
24:  2.187500e+01  9.375000e+00	 -nan -nan 
25:  2.812500e+01  9.375000e+00	 -nan -nan 
26:  3.437500e+01  9.375000e+00	 -nan -nan 
27:  4.062500e+01  9.375000e+00	 -nan -nan 
28:  4.687500e+01  9.375000e+00	 -nan -nan 
29:  5.000000e+01  9.375000e+00	 -nan -nan 
30:  0.000000e+00  1.562500e+01	 0.000000e+00 -nan 
31:  3.125000e+00  1.562500e+01	 -nan -nan 
32:  9.375000e+00  1.562500e+01	 -nan -nan 
33:  1.562500e+01  1.562500e+01	 -nan -nan 
34:  2.187500e+01  1.562500e+01	 -nan -nan 
35:  2.812500e+01  1.562500e+01	 -nan -nan 
36:  3.437500e+01  1.562500e+01	 -nan -nan 
37:  4.062500e+01  1.562500e+01	 -nan -nan 
38:  4.687500e+01  1.562500e+01	 -nan -nan 
39:  5.000000e+01  1.562500e+01	 -nan -nan 
40:  0.000000e+00  2.187500e+01	 0.000000e+00 -nan 
41:  3.125000e+00  2.187500e+01	 -nan -nan 
42:  9.375000e+00  2.187500e+01	 -nan -nan 
43:  1.562500e+01  2.187500e+01	 -nan -nan 
44:  2.187500e+01  2.187500e+01	 -nan -nan 
45:  2.812500e+01  2.187500e+01	 -nan -nan 
46:  3.437500e+01  2.187500e+01	 -nan -nan 
47:  4.062500e+01  2.187500e+01	 -nan -nan 
48:  4.687500e+01  2.187500e+01	 -nan -nan 
