xi	eta	x	y	stress_vm
 0.0000000000e+00	 0.0000000000e+00	 1.0000000000e+00	 0.0000000000e+00	-nan
 0.0000000000e+00	 2.5000000000e-02	 9.9948665809e-01	 4.0312587584e-02	-nan
 0.0000000000e+00	 5.0000000000e-02	 9.9790546753e-01	 8.0732724964e-02	-nan
 0.0000000000e+00	 7.5000000000e-02	 9.9519573306e-01	 1.2119149716e-01	-nan
 0.0000000000e+00	 1.0000000000e-01	 9.9129861554e-01	 1.6161597456e-01	-nan
 0.0000000000e+00	 1.2500000000e-01	 9.8615771930e-01	 2.0192950863e-01	-nan
 0.0000000000e+00	 1.5000000000e-01	 9.7971969799e-01	 2.4205209570e-01	-nan
 0.0000000000e+00	 1.7500000000e-01	 9.7193487026e-01	 2.8190080892e-01	-nan
 0.0000000000e+00	 2.0000000000e-01	 9.6275783592e-01	 3.2139029700e-01	-nan
 0.0000000000e+00	 2.2500000000e-01	 9.5214808180e-01	 3.6043334687e-01	-nan
 0.0000000000e+00	 2.5000000000e-01	 9.4007056630e-01	 3.9894150533e-01	-nan
 2.5000000000e-02	 0.0000000000e+00	 1.0250000000e+00	 0.0000000000e+00	-nan
 2.5000000000e-02	 2.5000000000e-02	 1.0244738245e+00	 4.1320402273e-02	-nan
 2.5000000000e-02	 5.0000000000e-02	 1.0228531042e+00	 8.2751043087e-02	-nan
 2.5000000000e-02	 7.5000000000e-02	 1.0200756264e+00	 1.2422128459e-01	-nan
 2.5000000000e-02	 1.0000000000e-01	 1.0160810809e+00	 1.6565637392e-01	-nan
 2.5000000000e-02	 1.2500000000e-01	 1.0108116623e+00	 2.0697774634e-01	-nan
 2.5000000000e-02	 1.5000000000e-01	 1.0042126904e+00	 2.4810339809e-01	-nan
 2.5000000000e-02	 1.7500000000e-01	 9.9623324202e-01	 2.8894832914e-01	-nan
 2.5000000000e-02	 2.0000000000e-01	 9.8682678182e-01	 3.2942505443e-01	-nan
 2.5000000000e-02	 2.2500000000e-01	 9.7595178385e-01	 3.6944418054e-01	-nan
 2.5000000000e-02	 2.5000000000e-01	 9.6357233047e-01	 4.0891504296e-01	-nan
 5.0000000000e-02	 0.0000000000e+00	 1.0500000000e+00	 0.0000000000e+00	-nan
 5.0000000000e-02	 2.5000000000e-02	 1.0494609910e+00	 4.2328216963e-02	-nan
 5.0000000000e-02	 5.0000000000e-02	 1.0478007409e+00	 8.4769361212e-02	-nan
 5.0000000000e-02	 7.5000000000e-02	 1.0449555197e+00	 1.2725107202e-01	-nan
 5.0000000000e-02	 1.0000000000e-01	 1.0408635463e+00	 1.6969677328e-01	-nan
