patch_n	x	y	stress_yy
0	 0.000000000000000e+00	 0.000000000000000e+00	 1.101909723076923e+01
0	 0.000000000000000e+00	 6.250000000000000e-01	 1.089687846153846e+01
0	 0.000000000000000e+00	 1.250000000000000e+00	 1.076986283076923e+01
0	 0.000000000000000e+00	 1.875000000000000e+00	 1.063805033846154e+01
0	 0.000000000000000e+00	 2.500000000000000e+00	 1.050144098461538e+01
0	 0.000000000000000e+00	 3.125000000000000e+00	 1.036003476923077e+01
0	 0.000000000000000e+00	 3.750000000000000e+00	 1.021383169230769e+01
0	 0.000000000000000e+00	 4.375000000000000e+00	 1.006283175384615e+01
0	 0.000000000000000e+00	 5.000000000000000e+00	 9.907034953846154e+00
0	 0.000000000000000e+00	 5.624999999999999e+00	 9.746441292307690e+00
0	 0.000000000000000e+00	 6.250000000000000e+00	 9.581050769230767e+00
0	 6.250000000000000e-01	 0.000000000000000e+00	 1.085144502769231e+01
0	 6.250000000000001e-01	 6.250000000000001e-01	 1.075182891553846e+01
0	 6.250000000000000e-01	 1.250000000000000e+00	 1.064820023507692e+01
0	 6.249999999999999e-01	 1.875000000000000e+00	 1.054055898630769e+01
0	 6.249999999999999e-01	 2.500000000000000e+00	 1.042890516923077e+01
0	 6.250000000000000e-01	 3.125000000000000e+00	 1.031323878384615e+01
0	 6.249999999999999e-01	 3.749999999999999e+00	 1.019355983015384e+01
0	 6.250000000000000e-01	 4.375000000000001e+00	 1.006986830815384e+01
0	 6.250000000000000e-01	 4.999999999999999e+00	 9.942164217846150e+00
0	 6.250000000000000e-01	 5.624999999999999e+00	 9.810447559230767e+00
0	 6.250000000000000e-01	 6.250000000000000e+00	 9.674718332307688e+00
0	 1.250000000000000e+00	 0.000000000000000e+00	 1.070089272615384e+01
0	 1.250000000000000e+00	 6.250000000000001e-01	 1.062106943661538e+01
0	 1.250000000000000e+00	 1.249999999999999e+00	 1.053801787200000e+01
0	 1.250000000000000e+00	 1.875000000000000e+00	 1.045173803230769e+01
0	 1.250000000000000e+00	 2.500000000000001e+00	 1.036222991753846e+01
0	 1.250000000000000e+00	 3.125000000000000e+00	 1.026949352769231e+01
0	 1.250000000000000e+00	 3.749999999999999e+00	 1.017352886276923e+01
0	 1.250000000000000e+00	 4.375000000000001e+00	 1.007433592276923e+01
0	 1.250000000000000e+00	 4.999999999999999e+00	 9.971914707692306e+00
0	 1.250000000000000e+00	 5.624999999999999e+00	 9.866265217538457e+00
0	 1.250000000000000e+00	 6.250000000000000e+00	 9.757387452307691e+00
0	 1.875000000000000e+00	 0.000000000000000e+00	 1.056744032615384e+01
0	 1.875000000000000e+00	 6.249999999999999e-01	 1.050460002476923e+01
0	 1.875000000000001e+00	 1.250000000000000e+00	 1.043931574153846e+01
0	 1.875000000000000e+00	 1.875000000000000e+00	 1.037158747646154e+01
0	 1.875000000000000e+00	 2.500000000000000e+00	 1.030141522953846e+01
0	 1.875000000000000e+00	 3.125000000000000e+00	 1.022879900076923e+01
0	 1.875000000000000e+00	 3.750000000000000e+00	 1.015373879015384e+01
0	 1.875000000000000e+00	 4.375000000000001e+00	 1.007623459769231e+01
0	 1.875000000000000e+00	 4.999999999999998e+00	 9.996286423384614e+00
0	 1.875000000000000e+00	 5.624999999999999e+00	 9.913894267230770e+00
0	 1.875000000000000e+00	 6.250000000000001e+00	 9.829058129230772e+00
0	 2.500000000000000e+00	 0.000000000000000e+00	 1.045108782769231e+01
0	 2.500000000000000e+00	 6.250000000000000e-01	 1.040242068000000e+01
0	 2.500000000000000e+00	 1.250000000000000e+00	 1.035209384369230e+01
0	 2.500000000000000e+00	 1.875000000000000e+00	 1.030010731876923e+01
0	 2.500000000000000e+00	 2.500000000000000e+00	 1.024646110523077e+01
0	 2.500000000000000e+00	 3.125000000000000e+00	 1.019115520307692e+01
0	 2.500000000000001e+00	 3.750000000000001e+00	 1.013418961230769e+01
0	 2.500000000000000e+00	 4.375000000000000e+00	 1.007556433292308e+01
0	 2.500000000000000e+00	 5.000000000000000e+00	 1.001527936492307e+01
0	 2.500000000000000e+00	 5.624999999999998e+00	 9.953334708307692e+00
0	 2.500000000000000e+00	 6.250000000000000e+00	 9.889730363076922e+00
0	 3.125000000000000e+00	 0.000000000000000e+00	 1.035183523076923e+01
0	 3.125000000000000e+00	 6.250000000000000e-01	 1.031453140230769e+01
0	 3.125000000000000e+00	 1.250000000000000e+00	 1.027635217846154e+01
0	 3.125000000000000e+00	 1.875000000000000e+00	 1.023729755923076e+01
0	 3.125000000000000e+00	 2.500000000000000e+00	 1.019736754461538e+01
0	 3.125000000000000e+00	 3.125000000000000e+00	 1.015656213461538e+01
0	 3.125000000000000e+00	 3.750000000000000e+00	 1.011488132923077e+01
0	 3.125000000000000e+00	 4.375000000000000e+00	 1.007232512846154e+01
0	 3.125000000000000e+00	 5.000000000000000e+00	 1.002889353230769e+01
0	 3.125000000000000e+00	 5.625000000000000e+00	 9.984586540769229e+00
0	 3.125000000000000e+00	 6.250000000000000e+00	 9.939404153846155e+00
0	 3.750000000000000e+00	 0.000000000000000e+00	 1.026968253538462e+01
0	 3.749999999999999e+00	 6.249999999999999e-01	 1.024093219169230e+01
0	 3.749999999999999e+00	 1.250000000000000e+00	 1.021209074584615e+01
0	 3.750000000000000e+00	 1.875000000000000e+00	 1.018315819784615e+01
0	 3.750000000000001e+00	 2.500000000000001e+00	 1.015413454769231e+01
0	 3.750000000000000e+00	 3.125000000000000e+00	 1.012501979538462e+01
0	 3.749999999999999e+00	 3.749999999999999e+00	 1.009581394092307e+01
0	 3.750000000000000e+00	 4.374999999999999e+00	 1.006651698430770e+01
0	 3.749999999999999e+00	 4.999999999999999e+00	 1.003712892553846e+01
0	 3.750000000000000e+00	 5.624999999999999e+00	 1.000764976461538e+01
0	 3.750000000000000e+00	 6.250000000000001e+00	 9.978079501538462e+00
0	 4.375000000000000e+00	 0.000000000000000e+00	 1.020462974153846e+01
0	 4.374999999999999e+00	 6.249999999999999e-01	 1.018162304815384e+01
0	 4.375000000000000e+00	 1.250000000000000e+00	 1.015930954584615e+01
