patch_n	x	y	disp_x	disp_y
1	 1.000000000000000e+00	 0.000000000000000e+00	-7.145254579227956e-04	 0.000000000000000e+00
1	 9.998426119581704e-01	 1.774123198744521e-02	-8.161335618382479e-04	 4.244709083999279e-04
1	 9.993659466402713e-01	 3.560484089073321e-02	-9.173171204025234e-04	 8.484071925665474e-04
1	 9.985633751090949e-01	 5.358344789747921e-02	-1.017987599292527e-03	 1.271863672486374e-03
1	 9.974284469032259e-01	 7.166933308134273e-02	-1.118055362912684e-03	 1.694899855093733e-03
1	 9.959549086084808e-01	 8.985443791194039e-02	-1.217429659081783e-03	 2.117579476304849e-03
1	 9.941367226520526e-01	 1.081303688402291e-01	-1.316018598983043e-03	 2.539969997084649e-03
1	 9.919680862544972e-01	 1.264884019976692e-01	-1.413729133151822e-03	 2.962142055218984e-03
1	 9.894434504702301e-01	 1.449194890435835e-01	-1.510467024418755e-03	 3.384168874897621e-03
1	 9.865575392429453e-01	 1.634142641907508e-01	-1.606136818869437e-03	 3.806125636661788e-03
1	 9.833053683983746e-01	 1.819630524344169e-01	-1.700641816018634e-03	 4.228088810713691e-03
1	 9.796822644935034e-01	 2.005558790047255e-01	-1.793884039525406e-03	 4.650135457021198e-03
1	 9.756838834365029e-01	 2.191824800562895e-01	-1.885764209889861e-03	 5.072342496061863e-03
1	 9.713062287906588e-01	 2.378323146029681e-01	-1.976181720675662e-03	 5.494785954454468e-03
1	 9.665456696731551e-01	 2.564945776994924e-01	-2.065034619887995e-03	 5.917540190096686e-03
1	 9.613989581557346e-01	 2.751582148638952e-01	-2.152219598199230e-03	 6.340677101754139e-03
1	 9.558632460744549e-01	 2.938119377279353e-01	-2.237631985759728e-03	 6.764265328350105e-03
1	 9.499361011546518e-01	 3.124442408950446e-01	-2.321165759350859e-03	 7.188369443457337e-03
1	 9.436155223571460e-01	 3.310434199775670e-01	-2.402713561631688e-03	 7.613049150699007e-03
1	 9.368999543523497e-01	 3.495975907771368e-01	-2.482166734198937e-03	 8.038358485918886e-03
1	 9.297883010302649e-01	 3.680947095640363e-01	-2.559415366120173e-03	 8.464345032077901e-03
1	 9.222799379563009e-01	 3.865225944039564e-01	-2.634348359515417e-03	 8.891049152886422e-03
1	 9.143747236862125e-01	 4.048689474701951e-01	-2.706853513637181e-03	 9.318503251106048e-03
1	 9.060730098564396e-01	 4.231213782743761e-01	-2.776817628769024e-03	 9.746731057434623e-03
1	 8.973756499704220e-01	 4.412674277413337e-01	-2.844126631094111e-03	 1.017574695574590e-02
1	 8.882840068073012e-01	 4.592945930433334e-01	-2.908665719479581e-03	 1.060555535017869e-02
1	 8.787999583847406e-01	 4.771903531042267e-01	-2.970319534916817e-03	 1.103615007935522e-02
1	 8.689259024143142e-01	 4.949421946770166e-01	-3.028972353119417e-03	 1.146751388267013e-02
1	 8.586647591951593e-01	 5.125376388923134e-01	-3.084508300527856e-03	 1.189961792321112e-02
1	 8.480199728994641e-01	 5.299642681697645e-01	-3.136811593703207e-03	 1.233242137144328e-02
1	 8.369955112118155e-01	 5.472097533798151e-01	-3.185766801815529e-03	 1.276587105331298e-02
