label=Displacement
num_items=231

0:	0.000000e+00 0.000000e+00 
1:	-5.490009e-04 0.000000e+00 
2:	-8.203672e-03 0.000000e+00 
3:	-1.092704e-02 0.000000e+00 
4:	-1.475728e-02 0.000000e+00 
5:	-1.853102e-02 0.000000e+00 
6:	-2.240589e-02 0.000000e+00 
7:	-2.629151e-02 0.000000e+00 
8:	-3.018715e-02 0.000000e+00 
9:	-3.408463e-02 0.000000e+00 
10:	-3.797380e-02 0.000000e+00 
11:	-3.990633e-02 0.000000e+00 
12:	0.000000e+00 1.956906e-02 
13:	9.602891e-04 1.711837e-02 
14:	-6.179326e-03 5.131430e-03 
15:	-1.110043e-02 4.790935e-03 
16:	-1.466503e-02 4.719687e-03 
17:	-1.855294e-02 4.642964e-03 
18:	-2.239959e-02 4.631880e-03 
19:	-2.629186e-02 4.600016e-03 
20:	-3.018706e-02 4.581126e-03 
21:	-3.408424e-02 4.556873e-03 
22:	-3.797369e-02 4.528138e-03 
23:	-3.990626e-02 4.505815e-03 
24:	0.000000e+00 2.219102e-02 
25:	-6.447936e-04 2.225803e-02 
26:	-4.150422e-03 1.726263e-02 
27:	-9.679678e-03 1.491033e-02 
28:	-1.408625e-02 1.426734e-02 
29:	-1.820343e-02 1.404907e-02 
30:	-2.220177e-02 1.390599e-02 
31:	-2.614743e-02 1.382441e-02 
32:	-3.007477e-02 1.374836e-02 
33:	-3.398543e-02 1.367655e-02 
34:	-3.788138e-02 1.358978e-02 
35:	-3.981731e-02 1.352716e-02 
36:	0.000000e+00 2.884571e-02 
37:	-1.318450e-03 2.875915e-02 
38:	-4.793717e-03 2.677506e-02 
39:	-9.085576e-03 2.501266e-02 
40:	-1.356153e-02 2.398091e-02 
41:	-1.780555e-02 2.352028e-02 
42:	-2.190137e-02 2.324878e-02 
43:	-2.591658e-02 2.307287e-02 
44:	-2.987785e-02 2.293513e-02 
45:	-3.380826e-02 2.280708e-02 
46:	-3.771310e-02 2.266650e-02 
47:	-3.965465e-02 2.257276e-02 
48:	0.000000e+00 3.660368e-02 
49:	-1.599501e-03 3.662911e-02 
50:	-5.097644e-03 3.562856e-02 
51:	-9.106255e-03 3.445980e-02 
52:	-1.329848e-02 3.356929e-02 
53:	-1.750255e-02 3.297957e-02 
54:	-2.161620e-02 3.260505e-02 
55:	-2.565597e-02 3.234055e-02 
56:	-2.963956e-02 3.213372e-02 
57:	-3.358203e-02 3.194979e-02 
58:	-3.749501e-02 3.176062e-02 
59:	-3.944189e-02 3.164765e-02 
60:	0.000000e+00 4.497439e-02 
61:	-1.738444e-03 4.496283e-02 
62:	-5.341241e-03 4.443529e-02 
63:	-9.191067e-03 4.366585e-02 
64:	-1.322679e-02 4.293413e-02 
65:	-1.731185e-02 4.236119e-02 
66:	-2.138292e-02 4.192777e-02 
67:	-2.540845e-02 4.159935e-02 
68:	-2.938998e-02 4.133268e-02 
69:	-3.333453e-02 4.109791e-02 
70:	-3.725088e-02 4.086934e-02 
71:	-3.920161e-02 4.074615e-02 
72:	0.000000e+00 5.361789e-02 
73:	-1.802311e-03 5.362037e-02 
74:	-5.471428e-03 5.328179e-02 
75:	-9.274628e-03 5.274678e-02 
76:	-1.319856e-02 5.216719e-02 
77:	-1.719072e-02 5.163852e-02 
78:	-2.119402e-02 5.119525e-02 
79:	-2.518274e-02 5.082790e-02 
80:	-2.914496e-02 5.051825e-02 
81:	-3.308127e-02 5.024376e-02 
82:	-3.699646e-02 4.998520e-02 
83:	-3.894857e-02 4.985696e-02 
84:	0.000000e+00 6.243078e-02 
85:	-1.834921e-03 6.242938e-02 
86:	-5.535617e-03 6.219461e-02 
87:	-9.313549e-03 6.179098e-02 
88:	-1.317184e-02 6.131376e-02 
89:	-1.708555e-02 6.083729e-02 
90:	-2.102601e-02 6.040100e-02 
91:	-2.496918e-02 6.001771e-02 
92:	-2.890394e-02 5.968155e-02 
93:	-3.282600e-02 5.938046e-02 
94:	-3.673650e-02 5.910086e-02 
95:	-3.868813e-02 5.896837e-02 
96:	0.000000e+00 7.133809e-02 
97:	-1.843691e-03 7.133803e-02 
98:	-5.550150e-03 7.115269e-02 
99:	-9.302477e-03 7.082364e-02 
100:	-1.310999e-02 7.041183e-02 
101:	-1.696435e-02 6.997536e-02 
102:	-2.084931e-02 6.955423e-02 
103:	-2.475046e-02 6.916769e-02 
104:	-2.865698e-02 6.881976e-02 
105:	-3.256354e-02 6.850423e-02 
106:	-3.646805e-02 6.821141e-02 
107:	-3.841834e-02 6.807321e-02 
108:	0.000000e+00 8.029889e-02 
109:	-1.834216e-03 8.029857e-02 
110:	-5.515270e-03 8.013956e-02 
