label=Displacement
num_items=32

0:	0.000000e+00 0.000000e+00 
1:	-4.887167e-02 0.000000e+00 
2:	-1.463787e-01 0.000000e+00 
3:	-1.951310e-01 0.000000e+00 
4:	0.000000e+00 1.149107e-01 
5:	-4.879520e-02 1.136647e-01 
6:	-1.463706e-01 1.138385e-01 
7:	-1.951060e-01 1.137071e-01 
8:	0.000000e+00 3.411858e-01 
9:	-4.855277e-02 3.416242e-01 
10:	-1.462505e-01 3.412463e-01 
11:	-1.949528e-01 3.412172e-01 
12:	0.000000e+00 4.552056e-01 
13:	-4.875859e-02 4.551896e-01 
14:	-1.460681e-01 4.550827e-01 
15:	-1.948695e-01 4.549404e-01 
16:	-1.066035e-03 0.000000e+00 
17:	-1.690634e-03 0.000000e+00 
18:	-3.759913e-04 0.000000e+00 
19:	0.000000e+00 0.000000e+00 
20:	-9.948622e-04 3.589597e-03 
21:	-7.171832e-04 -5.797854e-05 
22:	-4.620032e-05 -6.651379e-04 
23:	0.000000e+00 0.000000e+00 
24:	-1.076389e-03 7.072752e-03 
25:	1.587008e-03 4.416960e-03 
26:	1.075590e-03 1.048485e-03 
27:	0.000000e+00 0.000000e+00 
28:	0.000000e+00 7.139565e-03 
29:	0.000000e+00 5.386264e-03 
30:	0.000000e+00 1.373933e-03 
31:	0.000000e+00 0.000000e+00 
