x	y	stress_yy
 1.000000000000000e+00	 0.000000000000000e+00	 2.033355524777618e+01
 9.974284469061117e-01	 7.166933307459909e-02	 2.014640208527465e+01
 9.894434504821962e-01	 1.449194890321757e-01	 1.942455596467775e+01
 9.756838834622871e-01	 2.191824800466296e-01	 1.821341606168871e+01
 9.558632461088633e-01	 2.938119377266979e-01	 1.658395440025269e+01
 9.297883010654997e-01	 3.680947095788114e-01	 1.463179081170409e+01
 8.973756499999386e-01	 4.412674277705018e-01	 1.247415398275931e+01
 8.586647592151359e-01	 5.125376389217220e-01	 1.024468364068982e+01
 8.138260360595577e-01	 5.811085811322338e-01	 8.086304983042183e+00
 7.631628410951806e-01	 6.462062194133431e-01	 6.142696373047685e+00
 7.071067811999999e-01	 7.071067811999999e-01	 4.549120589742264e+00
 1.050000000000000e+00	 0.000000000000000e+00	 1.791891053261291e+01
 1.047299869251417e+00	 7.525279972832902e-02	 1.789314149290600e+01
 1.038915623006306e+00	 1.521654634837845e-01	 1.739516368893871e+01
 1.024468077635402e+00	 2.301416040489612e-01	 1.646147045514563e+01
 1.003656408414306e+00	 3.085025346130328e-01	 1.515082991568955e+01
 9.762777161187748e-01	 3.864994450577520e-01	 1.354363567788527e+01
 9.422444324999355e-01	 4.633307991590269e-01	 1.173942870364283e+01
 9.015979971758928e-01	 5.381645208678082e-01	 9.852536912343895e+00
 8.545173378625356e-01	 6.101640101888454e-01	 8.006017231113614e+00
 8.013209831499400e-01	 6.785165303840103e-01	 6.324337217211521e+00
 7.424621202600000e-01	 7.424621202600000e-01	 4.925452981220387e+00
 1.100000000000000e+00	 0.000000000000000e+00	 1.594822174283753e+01
 1.097171291596723e+00	 7.883626638205897e-02	 1.604657347781394e+01
 1.088387795530416e+00	 1.594114379353933e-01	 1.573067032779859e+01
 1.073252271808516e+00	 2.411007280512926e-01	 1.502883646678731e+01
 1.051449570719750e+00	 3.231931314993677e-01	 1.398860714265174e+01
 1.022767131172050e+00	 4.049041805366925e-01	 1.267633573374407e+01
 9.871132149999328e-01	 4.853941705475520e-01	 1.117523771153471e+01
 9.445312351366494e-01	 5.637914028138941e-01	 9.581810037995703e+00
 8.952086396655135e-01	 6.392194392454570e-01	 8.000767292185268e+00
 8.394791252046989e-01	 7.108268413546777e-01	 6.538853223025102e+00
 7.778174593199999e-01	 7.778174593199999e-01	 5.298078379781900e+00
 1.150000000000000e+00	 0.000000000000000e+00	 1.436358173361830e+01
 1.147042713942029e+00	 8.241973303578898e-02	 1.455365136071671e+01
 1.137859968054525e+00	 1.666574123870021e-01	 1.438348057675873e+01
 1.122036465981631e+00	 2.520598520536241e-01	 1.387386498654532e+01
 1.099242733025193e+00	 3.378837283857026e-01	 1.306195132911109e+01
 1.069256546225325e+00	 4.233089160156331e-01	 1.200108405311591e+01
 1.031981997499930e+00	 5.074575419360771e-01	 1.075933769049637e+01
 9.874644730974065e-01	 5.894182847599803e-01	 9.416665941272404e+00
 9.358999414684912e-01	 6.682748683020687e-01	 8.060767924973682e+00
 8.776372672594579e-01	 7.431371523253446e-01	 6.781956623321891e+00
 8.131727983800001e-01	 8.131727983800001e-01	 5.667480595616089e+00
 1.200000000000000e+00	 0.000000000000000e+00	 1.311673455092878e+01
 1.196914136287334e+00	 8.600319968951889e-02	 1.337016957540401e+01
 1.187332140578636e+00	 1.739033868386109e-01	 1.331393168178717e+01
 1.170820660154745e+00	 2.630189760559555e-01	 1.296184842227948e+01
 1.147035895330636e+00	 3.525743252720376e-01	 1.234141684784125e+01
 1.115745961278600e+00	 4.417136514945736e-01	 1.149387486356092e+01
 1.076850779999926e+00	 5.295209133246022e-01	 1.047319254320153e+01
 1.030397711058163e+00	 6.150451667060663e-01	 9.343907057773418e+00
 9.765912432714694e-01	 6.973302973586805e-01	 8.177863094304847e+00
 9.157954093142165e-01	 7.754474632960119e-01	 7.050074278041603e+00
 8.485281374399999e-01	 8.485281374400000e-01	 6.034062803170741e+00
 1.250000000000000e+00	 0.000000000000000e+00	 1.216714519338675e+01
 1.246785558632640e+00	 8.958666634324886e-02	 1.245899544612273e+01
 1.236804313102745e+00	 1.811493612902196e-01	 1.248870692922534e+01
 1.219604854327859e+00	 2.739781000582870e-01	 1.226363239619215e+01
 1.194829057636079e+00	 3.672649221583723e-01	 1.180226937145730e+01
 1.162235376331875e+00	 4.601183869735143e-01	 1.113454331561901e+01
 1.121719562499923e+00	 5.515842847131273e-01	 1.030123194721380e+01
 1.073330949018920e+00	 6.406720486521524e-01	 9.352447432676080e+00
 1.017282545074447e+00	 7.263857264152922e-01	 8.345201729892295e+00
 9.539535513689759e-01	 8.077577742666791e-01	 7.340204748808965e+00
 8.838834765000001e-01	 8.838834765000001e-01	 6.398163668300493e+00
 1.300000000000000e+00	 0.000000000000000e+00	 1.148051481366883e+01
 1.296656980977945e+00	 9.317013299697879e-02	 1.178870901633515e+01
 1.286276485626855e+00	 1.883953357418285e-01	 1.187961525340858e+01
 1.268389048500973e+00	 2.849372240606185e-01	 1.175454781899318e+01
 1.242622219941523e+00	 3.819555190447073e-01	 1.142357985321554e+01
 1.208724791385150e+00	 4.785231224524548e-01	 1.090602684377527e+01
 1.166588344999920e+00	 5.736476561016522e-01	 1.023028101366167e+01
 1.116264186979677e+00	 6.662989305982384e-01	 9.432906641970590e+00
 1.057973846877425e+00	 7.554411554719040e-01	 8.556986771551045e+00
 9.921116934237348e-01	 8.400680852373460e-01	 7.649808356301953e+00
 9.192388155600000e-01	 9.192388155600000e-01	 6.760069753765505e+00
