1	10	10
21	21	2	2
 0.0000e+00	 0.0000e+00	 0.0000e+00	 0.0000e+00	 0.0000e+00
 0.0000e+00	 2.5000e+00	 0.0000e+00	 2.2964e-02	 2.2964e-02
 0.0000e+00	 5.0000e+00	 0.0000e+00	 4.5893e-02	 4.5893e-02
 0.0000e+00	 7.5000e+00	 0.0000e+00	 6.8787e-02	 6.8787e-02
 0.0000e+00	 1.0000e+01	 0.0000e+00	 9.1645e-02	 9.1645e-02
 0.0000e+00	 1.2500e+01	 0.0000e+00	 1.1447e-01	 1.1447e-01
 0.0000e+00	 1.5000e+01	 0.0000e+00	 1.3725e-01	 1.3725e-01
 0.0000e+00	 1.7500e+01	 0.0000e+00	 1.6001e-01	 1.6001e-01
 0.0000e+00	 2.0000e+01	 0.0000e+00	 1.8272e-01	 1.8272e-01
 0.0000e+00	 2.2500e+01	 0.0000e+00	 2.0540e-01	 2.0540e-01
 0.0000e+00	 2.5000e+01	 0.0000e+00	 2.2805e-01	 2.2805e-01
 0.0000e+00	 2.7500e+01	 0.0000e+00	 2.5068e-01	 2.5068e-01
 0.0000e+00	 3.0000e+01	 0.0000e+00	 2.7334e-01	 2.7334e-01
 0.0000e+00	 3.2500e+01	 0.0000e+00	 2.9601e-01	 2.9601e-01
 0.0000e+00	 3.5000e+01	 0.0000e+00	 3.1870e-01	 3.1870e-01
 0.0000e+00	 3.7500e+01	 0.0000e+00	 3.4141e-01	 3.4141e-01
 0.0000e+00	 4.0000e+01	 0.0000e+00	 3.6413e-01	 3.6413e-01
 0.0000e+00	 4.2500e+01	 0.0000e+00	 3.8687e-01	 3.8687e-01
 0.0000e+00	 4.5000e+01	 0.0000e+00	 4.0963e-01	 4.0963e-01
 0.0000e+00	 4.7500e+01	 0.0000e+00	 4.3241e-01	 4.3241e-01
 0.0000e+00	 5.0000e+01	 0.0000e+00	 4.5521e-01	 4.5521e-01
 2.5000e+00	 0.0000e+00	-9.7732e-03	 0.0000e+00	 9.7732e-03
 2.5000e+00	 2.5000e+00	-9.7702e-03	 2.2921e-02	 2.4917e-02
 2.5000e+00	 5.0000e+00	-9.7671e-03	 4.5815e-02	 4.6844e-02
 2.5000e+00	 7.5000e+00	-9.7639e-03	 6.8681e-02	 6.9371e-02
 2.5000e+00	 1.0000e+01	-9.7604e-03	 9.1519e-02	 9.2038e-02
 2.5000e+00	 1.2500e+01	-9.7568e-03	 1.1433e-01	 1.1475e-01
 2.5000e+00	 1.5000e+01	-9.7531e-03	 1.3711e-01	 1.3746e-01
 2.5000e+00	 1.7500e+01	-9.7491e-03	 1.5987e-01	 1.6017e-01
 2.5000e+00	 2.0000e+01	-9.7450e-03	 1.8260e-01	 1.8286e-01
 2.5000e+00	 2.2500e+01	-9.7407e-03	 2.0530e-01	 2.0553e-01
 2.5000e+00	 2.5000e+01	-9.7362e-03	 2.2797e-01	 2.2818e-01
 2.5000e+00	 2.7500e+01	-9.7323e-03	 2.5064e-01	 2.5083e-01
 2.5000e+00	 3.0000e+01	-9.7295e-03	 2.7332e-01	 2.7349e-01
 2.5000e+00	 3.2500e+01	-9.7280e-03	 2.9601e-01	 2.9617e-01
 2.5000e+00	 3.5000e+01	-9.7276e-03	 3.1871e-01	 3.1886e-01
 2.5000e+00	 3.7500e+01	-9.7285e-03	 3.4143e-01	 3.4157e-01
 2.5000e+00	 4.0000e+01	-9.7305e-03	 3.6416e-01	 3.6429e-01
 2.5000e+00	 4.2500e+01	-9.7338e-03	 3.8690e-01	 3.8702e-01
 2.5000e+00	 4.5000e+01	-9.7382e-03	 4.0965e-01	 4.0977e-01
 2.5000e+00	 4.7500e+01	-9.7438e-03	 4.3242e-01	 4.3253e-01
 2.5000e+00	 5.0000e+01	-9.7507e-03	 4.5520e-01	 4.5531e-01
 5.0000e+00	 0.0000e+00	-1.9544e-02	 0.0000e+00	 1.9544e-02
 5.0000e+00	 2.5000e+00	-1.9539e-02	 2.2883e-02	 3.0090e-02
 5.0000e+00	 5.0000e+00	-1.9533e-02	 4.5745e-02	 4.9741e-02
 5.0000e+00	 7.5000e+00	-1.9527e-02	 6.8587e-02	 7.1312e-02
 5.0000e+00	 1.0000e+01	-1.9520e-02	 9.1408e-02	 9.3469e-02
 5.0000e+00	 1.2500e+01	-1.9514e-02	 1.1421e-01	 1.1586e-01
 5.0000e+00	 1.5000e+01	-1.9507e-02	 1.3699e-01	 1.3837e-01
 5.0000e+00	 1.7500e+01	-1.9499e-02	 1.5975e-01	 1.6093e-01
 5.0000e+00	 2.0000e+01	-1.9492e-02	 1.8249e-01	 1.8352e-01
 5.0000e+00	 2.2500e+01	-1.9484e-02	 2.0520e-01	 2.0613e-01
 5.0000e+00	 2.5000e+01	-1.9475e-02	 2.2790e-01	 2.2873e-01
 5.0000e+00	 2.7500e+01	-1.9468e-02	 2.5059e-01	 2.5135e-01
