patch_n	x	y	disp_x	disp_y
1	 1.000000000000000e+00	 0.000000000000000e+00	-4.870209772000003e-03	 0.000000000000000e+00
1	 9.998338218507750e-01	 2.301879740688203e-02	-4.870191229821755e-03	 3.806031732062367e-04
1	 9.993275599243348e-01	 4.608215271279779e-02	-4.869970850145348e-03	 7.627310128525457e-04
1	 9.984697124756583e-01	 6.917769523648053e-02	-4.869443919937023e-03	 1.146227590003764e-03
1	 9.972489236794969e-01	 9.229260277661558e-02	-4.868502758643345e-03	 1.530929936836895e-03
1	 9.956540178012001e-01	 1.154136152499791e-01	-4.867036862051047e-03	 1.916668159539960e-03
1	 9.936740343365396e-01	 1.385270506335803e-01	-4.864933063650441e-03	 2.303265582257442e-03
1	 9.912982639881663e-01	 1.616188232546628e-01	-4.862075713636529e-03	 2.690538923063495e-03
1	 9.885162853320295e-01	 1.846744644584668e-01	-4.858346875565102e-03	 3.078298502783442e-03
1	 9.853180020131134e-01	 2.076791456684508e-01	-4.853626540556662e-03	 3.466348487299472e-03
1	 9.816936802964240e-01	 2.306177038372821e-01	-4.847792858807535e-03	 3.854487163777114e-03
1	 9.776342863994824e-01	 2.534730768946625e-01	-4.840723029367558e-03	 4.242464068130169e-03
1	 9.731306880439857e-01	 2.762311524069800e-01	-4.832292446567871e-03	 4.630012971479048e-03
1	 9.681744667976357e-01	 2.988759714563225e-01	-4.822375938866087e-03	 5.016817534492511e-03
1	 9.627577163271480e-01	 3.213913671440238e-01	-4.810847595969959e-03	 5.402554905299443e-03
1	 9.568730786461752e-01	 3.437610012650069e-01	-4.797581076669278e-03	 5.786896369577394e-03
1	 9.505137794457967e-01	 3.659684029576715e-01	-4.782449929335192e-03	 6.169508046780757e-03
1	 9.436736622717954e-01	 3.879970091915093e-01	-4.765327923810148e-03	 6.550051630494973e-03
1	 9.363472213109787e-01	 4.098302069345519e-01	-4.746089393266795e-03	 6.928185170479540e-03
1	 9.285296325490471e-01	 4.314513768232032e-01	-4.724609584477664e-03	 7.303563893543916e-03
1	 9.202167830650884e-01	 4.528439381382666e-01	-4.700765014807369e-03	 7.675841059988731e-03
1	 9.114046648473878e-01	 4.739928653376373e-01	-4.674434467791701e-03	 8.044695473358275e-03
1	 9.020912353519670e-01	 4.948802800036434e-01	-4.645512560440056e-03	 8.409757590129007e-03
1	 8.922746742864819e-01	 5.154899876712747e-01	-4.613897446868107e-03	 8.770685818447201e-03
1	 8.819539668184718e-01	 5.358060209788083e-01	-4.579490183066495e-03	 9.127140365783040e-03
1	 8.711289202812919e-01	 5.558126876982258e-01	-4.542195047878303e-03	 9.478784196544954e-03
1	 8.598001777972277e-01	 5.754946185800570e-01	-4.501919857228659e-03	 9.825283997634469e-03
1	 8.479692286694867e-01	 5.948368147295444e-01	-4.458576269631284e-03	 1.016631114653956e-02
1	 8.356384154163032e-01	 6.138246942277596e-01	-4.412080081015334e-03	 1.050154267641246e-02
1	 8.228109373437806e-01	 6.324441377108051e-01	-4.362351506954499e-03	 1.083066223247562e-02
1	 8.094908505790605e-01	 6.506815326226161e-01	-4.309315450439243e-03	 1.115336101405201e-02
1	 7.956830624271515e-01	 6.685238174230594e-01	-4.252909993107819e-03	 1.146934672939050e-02
1	 7.813933179443889e-01	 6.859585270306811e-01	-4.193111412609555e-03	 1.177836865309546e-02
1	 7.666281954255775e-01	 7.029738267457829e-01	-4.129909728843319e-03	 1.208019444170240e-02
1	 7.513950941565928e-01	 7.195585469175594e-01	-4.063300542211839e-03	 1.237460281689228e-02
1	 7.357022165618519e-01	 7.357022165618521e-01	-3.993285065686190e-03	 1.266138421698358e-02
1	 7.195585469175590e-01	 7.513950941565929e-01	-3.919870133675294e-03	 1.294034140212930e-02
1	 7.029738267457828e-01	 7.666281954255776e-01	-3.843068187578399e-03	 1.321129000955248e-02
1	 6.859585270306806e-01	 7.813933179443893e-01	-3.762897238079644e-03	 1.347405905553611e-02
1	 6.685238174230592e-01	 7.956830624271517e-01	-3.679380804425258e-03	 1.372849138129444e-02
1	 6.506815326226163e-01	 8.094908505790606e-01	-3.592547831102305e-03	 1.397444404029412e-02
1	 6.324441377108048e-01	 8.228109373437807e-01	-3.502441554201291e-03	 1.421179552505342e-02
1	 6.138246942277593e-01	 8.356384154163033e-01	-3.409146160200667e-03	 1.444046663175568e-02
1	 5.948368147295442e-01	 8.479692286694869e-01	-3.312759431583315e-03	 1.466039973648889e-02
1	 5.754946185800568e-01	 8.598001777972279e-01	-3.213383440404439e-03	 1.487155190386723e-02
1	 5.558126876982253e-01	 8.711289202812919e-01	-3.111124224648504e-03	 1.507389485468475e-02
1	 5.358060209788079e-01	 8.819539668184722e-01	-3.006091452693733e-03	 1.526741487428235e-02
1	 5.154899876712745e-01	 8.922746742864820e-01	-2.898398078003399e-03	 1.545211266311368e-02
1	 4.948802800036430e-01	 9.020912353519670e-01	-2.788159986195604e-03	 1.562800313140526e-02
1	 4.739928653376368e-01	 9.114046648473878e-01	-2.675495636653339e-03	 1.579511514018690e-02
1	 4.528439381382665e-01	 9.202167830650881e-01	-2.560525700826342e-03	 1.595349119131833e-02
1	 4.314513768232033e-01	 9.285296325490469e-01	-2.443385706324399e-03	 1.610317392259305e-02
1	 4.098302069345520e-01	 9.363472213109786e-01	-2.324215162830798e-03	 1.624422862753351e-02
1	 3.879970091915094e-01	 9.436736622717951e-01	-2.203166917781597e-03	 1.637671897851175e-02
1	 3.659684029576717e-01	 9.505137794457966e-01	-2.080393999770763e-03	 1.650072097016562e-02
1	 3.437610012650071e-01	 9.568730786461752e-01	-1.956049212690061e-03	 1.661632244017860e-02
1	 3.213913671440240e-01	 9.627577163271481e-01	-1.830284742403359e-03	 1.672362255738364e-02
1	 2.988759714563226e-01	 9.681744667976357e-01	-1.703251777681155e-03	 1.682273128107808e-02
1	 2.762311524069802e-01	 9.731306880439857e-01	-1.575100146948400e-03	 1.691376879548868e-02
1	 2.534730768946626e-01	 9.776342863994822e-01	-1.445977972219711e-03	 1.699686492334342e-02
1	 2.306177038372821e-01	 9.816936802964242e-01	-1.316031341411924e-03	 1.707215852248351e-02
1	 2.076791456684508e-01	 9.853180020131134e-01	-1.185393489789543e-03	 1.713978898910012e-02
1	 1.846744644584667e-01	 9.885162853320296e-01	-1.054207975640783e-03	 1.719984479516590e-02
1	 1.616188232546627e-01	 9.912982639881665e-01	-9.226052448110986e-04	 1.725241665221437e-02
1	 1.385270506335802e-01	 9.936740343365396e-01	-7.907128289175153e-04	 1.729760395728747e-02
1	 1.154136152499789e-01	 9.956540178012000e-01	-6.586551318586376e-04	 1.733551425882260e-02
1	 9.229260277661536e-02	 9.972489236794971e-01	-5.265532367179335e-04	 1.736626271456838e-02
1	 6.917769523648026e-02	 9.984697124756582e-01	-3.945247330433093e-04	 1.738997154466610e-02
1	 4.608215271279750e-02	 9.993275599243346e-01	-2.626835643493590e-04	 1.740676948288881e-02
1	 2.301879740688172e-02	 9.998338218507749e-01	-1.311398955607364e-04	 1.741679122887248e-02
1	 0.000000000000000e+00	 1.000000000000000e+00	 0.000000000000000e+00	 1.742017690400001e-02
1	 1.014285762337685e+00	 0.000000000000000e+00	-4.969514554156917e-03	 0.000000000000000e+00
1	 1.014117210207158e+00	 2.334763847636930e-02	-4.969487137380161e-03	 3.774420877261857e-04
1	 1.013603715943827e+00	 4.674047139590417e-02	-4.969121755047215e-03	 7.561556451610037e-04
1	 1.012733613491393e+00	 7.016595135258462e-02	-4.968286471592943e-03	 1.135979051312882e-03
1	 1.011495384797893e+00	 9.361107297002941e-02	-4.966845738059346e-03	 1.516743845570946e-03
1	 1.009877694474696e+00	 1.170623867344661e-01	-4.964660579095179e-03	 1.898274862146948e-03
