xi	eta	x	y	stress_rr	stress_sita
 0.0000000000e+00	 0.0000000000e+00	 1.0000000000e+00	 0.0000000000e+00	 1.8142548931e+01	-2.1272097325e-02
 0.0000000000e+00	 1.4286000000e-02	 9.9983382185e-01	 2.3018797407e-02	 1.8179406395e+01	-1.1263690757e-02
 0.0000000000e+00	 2.8572000000e-02	 9.9932755992e-01	 4.6082152713e-02	 1.8208559648e+01	-4.4314208775e-03
 0.0000000000e+00	 4.2858000000e-02	 9.9846971248e-01	 6.9177695236e-02	 1.8229402893e+01	 4.6556018500e-05
 0.0000000000e+00	 5.7144000000e-02	 9.9724892368e-01	 9.2292602777e-02	 1.8241253085e+01	 2.9542214242e-03
 0.0000000000e+00	 7.1430000000e-02	 9.9565401780e-01	 1.1541361525e-01	 1.8243344996e+01	 5.0260686959e-03
 0.0000000000e+00	 8.5716000000e-02	 9.9367403434e-01	 1.3852705063e-01	 1.8234826612e+01	 6.9345535535e-03
 0.0000000000e+00	 1.0000200000e-01	 9.9129826399e-01	 1.6161882325e-01	 1.8214755046e+01	 9.2766222161e-03
 0.0000000000e+00	 1.1428800000e-01	 9.8851628533e-01	 1.8467446446e-01	 1.8182093163e+01	 1.2559312893e-02
 0.0000000000e+00	 1.2857400000e-01	 9.8531800201e-01	 2.0767914567e-01	 1.8135707146e+01	 1.7184414883e-02
 0.0000000000e+00	 1.4286000000e-01	 9.8169368030e-01	 2.3061770384e-01	 1.8074365319e+01	 2.3432150047e-02
 1.4286000000e-02	 0.0000000000e+00	 1.0142857623e+00	 0.0000000000e+00	 1.7818799081e+01	 1.5369723372e-01
 1.4286000000e-02	 1.4286000000e-02	 1.0141172102e+00	 2.3347638476e-02	 1.7843041602e+01	 1.6210124545e-01
 1.4286000000e-02	 2.8572000000e-02	 1.0136037159e+00	 4.6740471396e-02	 1.7859708124e+01	 1.6844248507e-01
 1.4286000000e-02	 4.2858000000e-02	 1.0127336135e+00	 7.0165951353e-02	 1.7868057613e+01	 1.7332778937e-01
 1.4286000000e-02	 5.7144000000e-02	 1.0114953848e+00	 9.3611072970e-02	 1.7867271917e+01	 1.7732617628e-01
 1.4286000000e-02	 7.1430000000e-02	 1.0098776945e+00	 1.1706238673e-01	 1.7856451594e+01	 1.8095913633e-01
