x	y	stress_xx
 1.0000000000e+00	 0.0000000000e+00	-2.1272061475e-02
 9.9983382185e-01	 2.3018797407e-02	-7.2841659928e-03
 9.9932755992e-01	 4.6082152713e-02	 1.1875532074e-02
 9.9846971248e-01	 6.9177695236e-02	 3.7692910331e-02
 9.9724892368e-01	 9.2292602777e-02	 7.1626654729e-02
 9.9565401780e-01	 1.1541361525e-01	 1.1509280986e-01
 9.9367403434e-01	 1.3852705063e-01	 1.6944809724e-01
 9.9129826399e-01	 1.6161882325e-01	 2.3597207963e-01
 9.8851628533e-01	 1.8467446446e-01	 3.1584827849e-01
 9.8531800201e-01	 2.0767914567e-01	 4.1014438191e-01
 9.8169368030e-01	 2.3061770384e-01	 5.1979171318e-01
 1.0142857623e+00	 0.0000000000e+00	 1.5369738318e-01
 1.0141172102e+00	 2.3347638476e-02	 1.6603667732e-01
 1.0136037159e+00	 4.6740471396e-02	 1.8442285288e-01
 1.0127336135e+00	 7.0165951353e-02	 2.0996702680e-01
 1.0114953848e+00	 9.3611072970e-02	 2.4374315238e-01
 1.0098776945e+00	 1.1706238673e-01	 2.8677454519e-01
 1.0078694254e+00	 1.4050601516e-01	 3.4001946092e-01
 1.0054597154e+00	 1.6392767136e-01	 4.0435580551e-01
 1.0026379941e+00	 1.8731267998e-01	 4.8056508265e-01
 9.9939402083e-01	 2.1064600060e-01	 5.6931570901e-01
 9.9571792291e-01	 2.3391225356e-01	 6.7114585502e-01
 1.0285716130e+00	 0.0000000000e+00	 3.1898967347e-01
 1.0284006869e+00	 2.3676481579e-02	 3.3013893313e-01
 1.0278799602e+00	 4.7398794148e-02	 3.4808372683e-01
 1.0269976027e+00	 7.1154213578e-02	 3.7359018169e-01
 1.0257419340e+00	 9.4929551314e-02	 4.0737852531e-01
 1.0241014591e+00	 1.1871116841e-01	 4.5011149316e-01
 1.0220649043e+00	 1.4248499193e-01	 5.0238205143e-01
 1.0196212544e+00	 1.6623653374e-01	 5.6470051684e-01
 1.0167597901e+00	 1.8995091181e-01	 6.3748117582e-01
 1.0134701267e+00	 2.1361287387e-01	 7.2102852643e-01
 1.0097422522e+00	 2.3720682365e-01	 8.1552328845e-01
 1.0428575404e+00	 0.0000000000e+00	 4.7497853476e-01
 1.0426842402e+00	 2.4005326445e-02	 4.8525709366e-01
 1.0421562812e+00	 4.8057120433e-02	 5.0295811474e-01
 1.0412616685e+00	 7.2142481105e-02	 5.2853123379e-01
 1.0399885597e+00	 9.6248036731e-02	 5.6237263437e-01
 1.0383253001e+00	 1.2035995893e-01	 6.0481524548e-01
 1.0362604594e+00	 1.4446397931e-01	 6.5611849797e-01
 1.0337828694e+00	 1.6854540851e-01	 7.1645772182e-01
 1.0308816619e+00	 1.9258915780e-01	 7.8591328363e-01
 1.0275463081e+00	 2.1657976306e-01	 8.6445958010e-01
 1.0237666568e+00	 2.4050141141e-01	 9.5195402075e-01
 1.0571435327e+00	 0.0000000000e+00	 6.2201747108e-01
 1.0569678585e+00	 2.4334172807e-02	 6.3161295320e-01
 1.0564326670e+00	 4.8715449711e-02	 6.4914054843e-01
 1.0555257991e+00	 7.3130753127e-02	 6.7476069604e-01
 1.0542352502e+00	 9.7566528146e-02	 7.0857396374e-01
 1.0525492057e+00	 1.2200875696e-01	 7.5061294667e-01
 1.0504560790e+00	 1.4644297570e-01	 8.0083394916e-01
 1.0479445488e+00	 1.7085429379e-01	 8.5910853116e-01
 1.0450035980e+00	 1.9522741578e-01	 9.2521501502e-01
 1.0416225535e+00	 2.1954666575e-01	 9.9883006073e-01
 1.0377911252e+00	 2.4379601417e-01	 1.0795204307e+00
 1.0714295784e+00	 0.0000000000e+00	 7.6044110895e-01
 1.0712515302e+00	 2.4663020396e-02	 7.6941645027e-01
 1.0707091062e+00	 4.9373781447e-02	 7.8672048815e-01
 1.0697899831e+00	 7.4119028838e-02	 8.1225062072e-01
 1.0684819939e+00	 9.8885024482e-02	 8.4583904130e-01
 1.0667731645e+00	 1.2365756113e-01	 8.8724625228e-01
 1.0646517517e+00	 1.4842197947e-01	 9.3615456674e-01
 1.0621062811e+00	 1.7316318768e-01	 9.9216167940e-01
 1.0591255868e+00	 1.9786568362e-01	 1.0547743980e+00
 1.0556988515e+00	 2.2251357951e-01	 1.1234026352e+00
 1.0518156460e+00	 2.4709062922e-01	 1.1973537711e+00
 1.0857156657e+00	 0.0000000000e+00	 8.9056643499e-01
 1.0855352435e+00	 2.4991868945e-02	 8.9886644328e-01
 1.0849855870e+00	 5.0032115103e-02	 9.1578265185e-01
 1.0840542086e+00	 7.5107307430e-02	 9.4097449358e-01
 1.0827287791e+00	 1.0020352466e-01	 9.7403190477e-01
 1.0809971648e+00	 1.2530637012e-01	 1.0144703694e+00
 1.0788474657e+00	 1.5040098901e-01	 1.0617261380e+00
 1.0762680546e+00	 1.7547208830e-01	 1.1151517022e+00
 1.0732476168e+00	 2.0050395915e-01	 1.1740116094e+00
 1.0697751905e+00	 2.2548050193e-01	 1.2374787123e+00
 1.0658402077e+00	 2.5038525388e-01	 1.3046309481e+00
 1.1000017831e+00	 0.0000000000e+00	 1.0126939374e+00
 1.0998189868e+00	 2.5320718183e-02	 1.0201514259e+00
 1.0992620978e+00	 5.0690450140e-02	 1.0364073188e+00
 1.0983184641e+00	 7.6095588098e-02	 1.0609071363e+00
 1.0969755942e+00	 1.0152202761e-01	 1.0930236093e+00
 1.0952211949e+00	 1.2695518256e-01	 1.1320531715e+00
 1.0930432096e+00	 1.5238000271e-01	 1.1772127963e+00
 1.0904298580e+00	 1.7778099377e-01	 1.2276372556e+00
 1.0873696765e+00	 2.0314224021e-01	 1.2823768824e+00
