label=Displacement
num_items=16

0:	3.600947e-02 0.000000e+00 
1:	-3.796379e-02 0.000000e+00 
2:	1.812860e-02 0.000000e+00 
3:	0.000000e+00 0.000000e+00 
4:	-1.230389e-01 -7.324612e-02 
5:	1.178659e-01 8.436508e-02 
6:	-6.400891e-02 -4.556910e-02 
7:	0.000000e+00 0.000000e+00 
8:	7.695125e-02 1.289173e-01 
9:	-8.141235e-02 -1.167499e-01 
10:	4.686860e-02 6.505078e-02 
11:	0.000000e+00 0.000000e+00 
12:	0.000000e+00 -2.960706e-02 
13:	0.000000e+00 4.143127e-02 
14:	0.000000e+00 -1.664162e-02 
15:	0.000000e+00 0.000000e+00 
