patch_n	x	y	disp_x	disp_y
1	 1.000000000000000e+00	 0.000000000000000e+00	 3.205462028800000e-02	 0.000000000000000e+00
1	 9.912986155434784e-01	 1.616159745732811e-01	 1.576511551341763e-04	-1.070299900726846e-02
1	 9.627578359319051e-01	 3.213902970044761e-01	-1.885664584539047e-02	-1.128067127539797e-02
1	 9.114027055620503e-01	 4.739972240692440e-01	-2.596354190963980e-02	-3.818821207585163e-03
1	 8.356376726835349e-01	 6.138260360607587e-01	-2.327179072568203e-02	 8.597949450340219e-03
1	 7.357022604052107e-01	 7.357022604052107e-01	-1.392865450822839e-02	 2.213824529095784e-02
1	 6.138260360607587e-01	 8.356376726835351e-01	-1.797037055048672e-03	 3.266981466083198e-02
1	 4.739972240692440e-01	 9.114027055620502e-01	 9.036664423932776e-03	 3.630152430735444e-02
1	 3.213902970044762e-01	 9.627578359319051e-01	 1.479804223014915e-02	 2.987858673067807e-02
1	 1.616159745732812e-01	 9.912986155434783e-01	 1.246254357012518e-02	 1.130444171341243e-02
1	 0.000000000000000e+00	 1.000000000000000e+00	 0.000000000000000e+00	-2.036857872000000e-02
1	 1.099999999992800e+00	 0.000000000000000e+00	 1.316501264450847e-02	 0.000000000000000e+00
1	 1.090428477090570e+00	 1.777775720283720e-01	-2.930785017773462e-03	-3.871467301316185e-03
1	 1.059033619517721e+00	 3.535293267008367e-01	-1.249535250506025e-02	-2.736488676943157e-03
1	 1.002542976110792e+00	 5.213969464706515e-01	-1.600097342051741e-02	 2.317214549501521e-03
1	 9.192014399444698e-01	 6.752086396603115e-01	-1.449276328423623e-02	 9.703451401001494e-03
1	 8.092724864385961e-01	 8.092724864385961e-01	-9.543495380286040e-03	 1.746973503726278e-02
1	 6.752086396603115e-01	 9.192014399444698e-01	-3.093141490385049e-03	 2.352598223074447e-02
1	 5.213969464706515e-01	 1.002542976110792e+00	 2.798027023652394e-03	 2.591912345162710e-02
1	 3.535293267008368e-01	 1.059033619517720e+00	 6.219661988125859e-03	 2.308115412617693e-02
1	 1.777775720283722e-01	 1.090428477090570e+00	 5.633693315360545e-03	 1.398735198525481e-02
1	 0.000000000000000e+00	 1.099999999992800e+00	 0.000000000000000e+00	-1.803217521266493e-03
1	 1.199999999990400e+00	 0.000000000000000e+00	 8.536555187579464e-04	 0.000000000000000e+00
1	 1.189558338642345e+00	 1.939391694835782e-01	-5.034197314771293e-03	 4.606081134066562e-04
1	 1.155309403107884e+00	 3.856683563976489e-01	-8.469250770412910e-03	 2.656035646103150e-03
1	 1.093683246663352e+00	 5.687966688730389e-01	-9.604933122555073e-03	 6.141385523910441e-03
1	 1.002765207208552e+00	 7.365912432615163e-01	-8.807832527097173e-03	 1.029346702478512e-02
1	 8.828427124743817e-01	 8.828427124743817e-01	-6.643945431963859e-03	 1.436571985552588e-02
1	 7.365912432615164e-01	 1.002765207208552e+00	-3.821902424134044e-03	 1.757735265394723e-02
1	 5.687966688730389e-01	 1.093683246663352e+00	-1.103065528361273e-03	 1.921649376605579e-02
1	 3.856683563976489e-01	 1.155309403107884e+00	 7.985955976206982e-04	 1.872998890196671e-02
1	 1.939391694835783e-01	 1.189558338642345e+00	 1.300402824707375e-03	 1.577710107599175e-02
1	 0.000000000000000e+00	 1.199999999990400e+00	 0.000000000000000e+00	 1.023833848311137e-02
1	 1.299999999991600e+00	 0.000000000000000e+00	-6.105170929246785e-03	 0.000000000000000e+00
1	 1.288688200197635e+00	 2.101007669388708e-01	-6.331207789755910e-03	 2.775252466764379e-03
1	 1.251585186701310e+00	 4.178073860947996e-01	-6.339008230620721e-03	 5.510141723130565e-03
1	 1.184823517218778e+00	 6.161963912761617e-01	-6.111822108328792e-03	 8.113952332695743e-03
1	 1.086328974474996e+00	 7.979738468639600e-01	-5.649364452846726e-03	 1.049184237328915e-02
1	 9.564129385119675e-01	 9.564129385119674e-01	-4.970671743197626e-03	 1.255712596072635e-02
1	 7.979738468639601e-01	 1.086328974474996e+00	-4.113477799392697e-03	 1.424390008741111e-02
1	 6.161963912761619e-01	 1.184823517218778e+00	-3.129797702227238e-03	 1.551652811537246e-02
1	 4.178073860947996e-01	 1.251585186701309e+00	-2.078747114077310e-03	 1.637326708467128e-02
1	 2.101007669388709e-01	 1.288688200197635e+00	-1.018580330257789e-03	 1.684335016785583e-02
1	 0.000000000000000e+00	 1.299999999991600e+00	 0.000000000000000e+00	 1.697904367312243e-02
1	 1.399999999995200e+00	 0.000000000000000e+00	-8.937186539501023e-03	 0.000000000000000e+00
1	 1.387818061755268e+00	 2.262623643942209e-01	-7.000438496473932e-03	 3.554490988086825e-03
