patch_n	x	y	stress_yy
0	 0.000000000000000e+00	 0.000000000000000e+00	 1.015968215384615e+01
0	 0.000000000000000e+00	 2.500000000000000e+00	 1.013651492000000e+01
0	 0.000000000000000e+00	 5.000000000000000e+00	 1.011287346461539e+01
0	 0.000000000000000e+00	 7.500000000000000e+00	 1.008875778769231e+01
0	 0.000000000000000e+00	 1.000000000000000e+01	 1.006416788923077e+01
0	 0.000000000000000e+00	 1.250000000000000e+01	 1.003910376923077e+01
0	 0.000000000000000e+00	 1.500000000000000e+01	 1.001356542769231e+01
0	 0.000000000000000e+00	 1.750000000000000e+01	 9.987552864615385e+00
0	 0.000000000000000e+00	 2.000000000000000e+01	 9.961066079999998e+00
0	 0.000000000000000e+00	 2.250000000000000e+01	 9.934105073846153e+00
0	 0.000000000000000e+00	 2.500000000000000e+01	 9.906669846153845e+00
0	 2.500000000000000e+00	 0.000000000000000e+00	 1.012585815384615e+01
0	 2.500000000000000e+00	 2.500000000000000e+00	 1.010812883546154e+01
0	 2.500000000000000e+00	 5.000000000000000e+00	 1.009001309953846e+01
0	 2.500000000000000e+00	 7.500000000000002e+00	 1.007151094607692e+01
0	 2.500000000000000e+00	 1.000000000000000e+01	 1.005262237507692e+01
0	 2.500000000000000e+00	 1.250000000000000e+01	 1.003334738653846e+01
0	 2.500000000000000e+00	 1.500000000000000e+01	 1.001368598046154e+01
0	 2.500000000000000e+00	 1.750000000000000e+01	 9.993638156846153e+00
0	 2.500000000000000e+00	 2.000000000000000e+01	 9.973203915692308e+00
0	 2.500000000000000e+00	 2.250000000000000e+01	 9.952383257000001e+00
0	 2.500000000000000e+00	 2.500000000000000e+01	 9.931176180769228e+00
0	 5.000000000000000e+00	 0.000000000000000e+00	 1.009621326153846e+01
0	 5.000000000000001e+00	 2.500000000000000e+00	 1.008319192553846e+01
0	 4.999999999999998e+00	 4.999999999999997e+00	 1.006987197599999e+01
0	 5.000000000000000e+00	 7.500000000000001e+00	 1.005625341292307e+01
0	 5.000000000000000e+00	 1.000000000000000e+01	 1.004233623630769e+01
0	 5.000000000000001e+00	 1.250000000000000e+01	 1.002812044615384e+01
0	 4.999999999999999e+00	 1.500000000000000e+01	 1.001360604246153e+01
0	 5.000000000000001e+00	 1.750000000000000e+01	 9.998793025230771e+00
0	 5.000000000000000e+00	 2.000000000000000e+01	 9.983681394461538e+00
0	 5.000000000000000e+00	 2.250000000000000e+01	 9.968271150153843e+00
0	 5.000000000000000e+00	 2.500000000000000e+01	 9.952562292307690e+00
0	 7.500000000000000e+00	 0.000000000000000e+00	 1.007074747692308e+01
