x	y	stress_xx
 1.0000000000e+00	 0.0000000000e+00	 1.1021871570e+02
 9.9984261196e-01	 1.7741231987e-02	 1.0882815975e+02
 9.9936594664e-01	 3.5604840891e-02	 1.0546562381e+02
 9.9856337511e-01	 5.3583447897e-02	 1.0008310339e+02
 9.9742844690e-01	 7.1669333081e-02	 9.2636391136e+01
 9.9595490861e-01	 8.9854437912e-02	 8.3085407426e+01
 9.9413672265e-01	 1.0813036884e-01	 7.1394529150e+01
 9.9196808625e-01	 1.2648840200e-01	 5.7532914735e+01
 9.8944345047e-01	 1.4491948904e-01	 4.1474823188e+01
 9.8655753924e-01	 1.6341426419e-01	 2.3199924952e+01
 9.8330536840e-01	 1.8196305243e-01	 2.6936022298e+00
 1.0125000000e+00	 0.0000000000e+00	 1.1165426885e+02
 1.0123406446e+00	 1.7962997385e-02	 1.0826725763e+02
 1.0118580210e+00	 3.6049901398e-02	 1.0301409745e+02
 1.0110454173e+00	 5.4253240991e-02	 9.5861544784e+01
 1.0098963025e+00	 7.2565199739e-02	 8.6780342722e+01
 1.0084043450e+00	 9.0977618379e-02	 7.5745504753e+01
 1.0065634317e+00	 1.0948199844e-01	 6.2736593632e+01
 1.0043676873e+00	 1.2806950702e-01	 4.7737993456e+01
 1.0018114936e+00	 1.4673098265e-01	 3.0739172945e+01
 9.9888950849e-01	 1.6545694249e-01	 1.1734937850e+01
 9.9559668551e-01	 1.8423759058e-01	-9.2743296095e+00
 1.0250000000e+00	 0.0000000000e+00	 1.1212695507e+02
 1.0248386773e+00	 1.8184762783e-02	 1.0689002953e+02
 1.0243500953e+00	 3.6494961906e-02	 9.9890404949e+01
 1.0235274595e+00	 5.4923034086e-02	 9.1109326900e+01
 1.0223641581e+00	 7.3461066397e-02	 8.0532213925e+01
 1.0208537813e+00	 9.2100798847e-02	 6.8148895185e+01
 1.0189901407e+00	 1.1083362805e-01	 5.3953840187e+01
 1.0167672884e+00	 1.2965061203e-01	 3.7946378756e+01
 1.0141795367e+00	 1.4854247626e-01	 2.0130909402e+01
 1.0112214777e+00	 1.6749962078e-01	 5.1709419367e-01
