label=Displacement
num_items=100

0:	1.848038e-03 0.000000e+00 
1:	2.597793e-03 0.000000e+00 
2:	5.124623e-03 0.000000e+00 
3:	1.053842e-02 0.000000e+00 
4:	1.111172e-02 0.000000e+00 
5:	7.599459e-03 0.000000e+00 
6:	6.618753e-03 0.000000e+00 
7:	-4.438208e-02 0.000000e+00 
8:	8.047018e-02 0.000000e+00 
9:	0.000000e+00 0.000000e+00 
10:	-1.394069e-02 1.817157e-02 
11:	-1.059707e-02 2.013220e-02 
12:	-1.304358e-02 5.126892e-03 
13:	-3.732027e-03 1.342622e-02 
14:	-3.527363e-03 1.469831e-02 
15:	-5.468420e-03 1.260053e-02 
16:	-9.508609e-03 2.793690e-02 
17:	-2.710324e-03 -2.027733e-02 
18:	-7.378276e-03 4.672964e-02 
19:	0.000000e+00 0.000000e+00 
20:	-1.039222e-04 1.817414e-03 
21:	3.230801e-03 4.409957e-03 
22:	-8.412219e-03 3.631955e-03 
23:	-3.597698e-03 3.013048e-03 
24:	-2.958301e-03 5.780948e-03 
25:	-3.497014e-03 6.211527e-03 
26:	8.754933e-04 1.441282e-03 
27:	-1.311407e-02 -7.158847e-03 
28:	1.544407e-02 1.589774e-02 
29:	0.000000e+00 0.000000e+00 
30:	5.724270e-03 -1.309201e-02 
31:	8.156740e-04 -3.328115e-03 
32:	-1.189927e-02 -3.399214e-03 
33:	-5.802586e-03 -2.545649e-03 
34:	-6.253991e-03 -6.362298e-04 
35:	-2.925798e-03 -2.420845e-03 
36:	-5.748994e-03 5.015328e-03 
37:	1.028502e-02 -2.322634e-02 
38:	-1.541071e-02 3.081390e-02 
39:	0.000000e+00 0.000000e+00 
40:	5.024760e-03 -3.260386e-02 
41:	1.957426e-04 -2.381270e-02 
42:	-1.334194e-02 -1.878438e-02 
43:	-7.184449e-03 -1.735311e-02 
44:	-5.519561e-03 -1.464485e-02 
45:	-3.963345e-03 -1.229573e-02 
46:	-2.039596e-04 -1.223440e-02 
47:	3.637593e-04 -1.139396e-02 
48:	-1.321866e-02 7.368202e-03 
49:	0.000000e+00 0.000000e+00 
50:	1.322706e-02 -4.267057e-02 
51:	3.930994e-03 -3.743175e-02 
52:	-1.141306e-02 -3.530085e-02 
53:	-2.000621e-03 -3.352453e-02 
54:	-1.323229e-03 -2.848975e-02 
55:	3.078504e-03 -2.500774e-02 
56:	-9.181663e-04 -1.430031e-02 
57:	1.411894e-02 -2.981011e-02 
58:	7.898202e-04 1.402396e-02 
59:	0.000000e+00 0.000000e+00 
60:	8.585263e-03 -5.095456e-02 
61:	4.136397e-03 -4.672787e-02 
62:	-3.777966e-03 -4.252419e-02 
63:	5.905825e-03 -4.202418e-02 
64:	1.069214e-02 -3.812865e-02 
65:	1.310794e-02 -3.061896e-02 
66:	1.530711e-02 -2.484295e-02 
67:	1.850178e-02 4.801632e-03 
68:	-3.799881e-02 -2.624316e-02 
69:	0.000000e+00 0.000000e+00 
70:	2.064458e-02 -1.230818e-02 
71:	2.780592e-02 -2.413097e-02 
72:	1.057282e-02 -3.071835e-02 
73:	2.511450e-02 -3.465371e-02 
74:	2.459636e-02 -3.657224e-02 
75:	2.304704e-02 -4.118809e-02 
76:	2.776056e-02 -3.760663e-02 
77:	-1.950915e-02 -6.602403e-02 
78:	8.871490e-02 2.754356e-02 
79:	0.000000e+00 0.000000e+00 
80:	-2.186011e-02 5.827361e-02 
81:	-4.190071e-03 5.427117e-02 
82:	-1.232324e-03 5.505272e-02 
83:	4.128712e-03 4.520696e-02 
84:	3.023148e-03 3.687143e-02 
85:	7.704059e-03 3.397018e-02 
86:	-6.029588e-03 1.931460e-02 
87:	6.617129e-02 5.130511e-02 
88:	-5.602713e-02 -3.600100e-02 
89:	0.000000e+00 0.000000e+00 
90:	0.000000e+00 9.831868e-02 
91:	0.000000e+00 1.006504e-01 
92:	0.000000e+00 7.575029e-02 
93:	0.000000e+00 7.419972e-02 
94:	0.000000e+00 6.839935e-02 
95:	0.000000e+00 6.173908e-02 
96:	0.000000e+00 6.329600e-02 
97:	0.000000e+00 3.830808e-02 
98:	0.000000e+00 6.674705e-03 
99:	0.000000e+00 0.000000e+00 
