x	y	stress_yy
 1.000000000000000e+00	 0.000000000000000e+00	 2.738688960604821e+02
 9.998426119581704e-01	 1.774123198744521e-02	 2.428206200824949e+02
 9.993659466402713e-01	 3.560484089073321e-02	 2.107379377224269e+02
 9.985633751090949e-01	 5.358344789747921e-02	 1.776117793881354e+02
 9.974284469032259e-01	 7.166933308134273e-02	 1.434351986687853e+02
 9.959549086084808e-01	 8.985443791194039e-02	 1.082035109020340e+02
 9.941367226520526e-01	 1.081303688402291e-01	 7.191442962377559e+01
 9.919680862544972e-01	 1.264884019976692e-01	 3.456819997318210e+01
 9.894434504702301e-01	 1.449194890435835e-01	-3.832271914853568e+00
 9.865575392429453e-01	 1.634142641907508e-01	-4.328129453250416e+01
 9.833053683983746e-01	 1.819630524344169e-01	-8.377027266766360e+01
 1.012500000000000e+00	 0.000000000000000e+00	 2.752974297418028e+02
 1.012340644607676e+00	 1.796299738536411e-02	 2.434095507179183e+02
 1.011858020973390e+00	 3.604990139831822e-02	 2.104326597630837e+02
 1.011045417298220e+00	 5.425324099133014e-02	 1.763855796450980e+02
 1.009896302489983e+00	 7.256519973898737e-02	 1.412904468154767e+02
 1.008404344966822e+00	 9.097761837928382e-02	 1.051727945267725e+02
 1.006563431686269e+00	 1.094819984438203e-01	 6.806162548955469e+01
 1.004367687334138e+00	 1.280695070157070e-01	 2.998947303943215e+01
 1.001811493603026e+00	 1.467309826500149e-01	-9.007550198557521e+00
 9.988895084859243e-01	 1.654569424871888e-01	-4.888971713354337e+01
 9.955966855063876e-01	 1.842375905849211e-01	-8.961366546753429e+01
 1.025000000000000e+00	 0.000000000000000e+00	 2.739903951048174e+02
 1.024838677257182e+00	 1.818476278346252e-02	 2.416191498408625e+02
 1.024350095306508e+00	 3.649496190623553e-02	 2.081065526075446e+02
 1.023527459487344e+00	 5.492303408563875e-02	 1.734988192587838e+02
 1.022364158076741e+00	 7.346106639718697e-02	 1.378466493462053e+02
 1.020853781325163e+00	 9.210079884725078e-02	 1.012052545681956e+02
 1.018990140720485e+00	 1.108336280480742e-01	 6.363436853826916e+01
 1.016767288413778e+00	 1.296506120344168e-01	 2.519823674250121e+01
 1.014179536735822e+00	 1.485424762570972e-01	-1.403441437050628e+01
 1.011221477728904e+00	 1.674996207842254e-01	-5.399043013511491e+01
 1.007888002614400e+00	 1.865121287359399e-01	-9.459230311405688e+01
 1.037500000000000e+00	 0.000000000000000e+00	 2.700466220813483e+02
 1.037336709906687e+00	 1.840652818174046e-02	 2.375353736933999e+02
 1.036842169639627e+00	 3.694002241448514e-02	 2.038326169281308e+02
 1.036009501676469e+00	 5.559282718040499e-02	 1.690114794937105e+02
 1.034832013663499e+00	 7.435693305594146e-02	 1.331507230621196e+02
 1.033303217683504e+00	 9.322397931584123e-02	 9.633471780330848e+01
 1.031416849754700e+00	 1.121852576529908e-01	 5.865339013643845e+01
 1.029166889493419e+00	 1.312317170537988e-01	 2.020214246899549e+01
 1.026547579868618e+00	 1.503539698648304e-01	-1.891825617571540e+01
 1.023553446971883e+00	 1.695422990818606e-01	-5.860180959325146e+01
 1.020179319722413e+00	 1.887866668874734e-01	-9.873746467747689e+01
 1.050000000000000e+00	 0.000000000000000e+00	 2.635602347268340e+02
 1.049834742556193e+00	 1.862829358019793e-02	 2.312400856843971e+02
 1.049334243972746e+00	 3.738508292306705e-02	 1.976803775052651e+02
 1.048491543865594e+00	 5.626262027562888e-02	 1.629806857027699e+02
 1.047299869250256e+00	 7.525279971525092e-02	 1.272473509775560e+02
 1.045752654041845e+00	 9.434715978505519e-02	 9.059340056331718e+01
 1.043843558788917e+00	 1.135368872585703e-01	 5.313843480129196e+01
 1.041566490573060e+00	 1.328128220738529e-01	 1.500847761694378e+01
 1.038915623001414e+00	 1.521654634732144e-01	-2.366421024276271e+01
 1.035885416214862e+00	 1.715849773800943e-01	-6.274135614453706e+01
 1.032470636830427e+00	 1.910612050395216e-01	-1.020789393778824e+02
 1.062500000000000e+00	 0.000000000000000e+00	 2.546209280365753e+02
 1.062332775205699e+00	 1.885005897883492e-02	 2.228112971442262e+02
 1.061826318305864e+00	 3.783014343198125e-02	 1.897160876913479e+02
 1.060973586054718e+00	 5.693241337131042e-02	 1.554608753215072e+02
 1.059767724837014e+00	 7.614866637511535e-02	 1.201791137185728e+02
 1.058202090400185e+00	 9.547034025489266e-02	 8.401200346487860e+01
 1.056270267823133e+00	 1.148885168648125e-01	 4.710831824971022e+01
 1.053966091652700e+00	 1.343939270945790e-01	 9.624187005714942e+00
 1.051283666134210e+00	 1.539769570822494e-01	-2.827716920961348e+01
 1.048217385457841e+00	 1.736276556789267e-01	-6.642574650284570e+01
 1.044761953938439e+00	 1.933357431920845e-01	-1.046451142250684e+02
 1.075000000000000e+00	 0.000000000000000e+00	 2.433142254492200e+02
 1.074830807855204e+00	 1.907182437765143e-02	 2.123233912826379e+02
 1.074318392638983e+00	 3.827520394122774e-02	 1.800029196097126e+02
 1.073455628243843e+00	 5.760220646744962e-02	 1.465039541418697e+02
 1.072235580423771e+00	 7.704453303553466e-02	 1.119866117541457e+02
 1.070651526758527e+00	 9.659352072535370e-02	 7.661979953219543e+01
 1.068696976857348e+00	 1.162401464717175e-01	 4.058098139724098e+01
 1.066365692732341e+00	 1.359750321159773e-01	 4.055892792221724e+00
 1.063651709267006e+00	 1.557884506919352e-01	-3.276179779415387e+01
 1.060549354700821e+00	 1.756703339783577e-01	-6.967088136328304e+01
 1.057053271046452e+00	 1.956102813451620e-01	-1.064630555439897e+02
 1.087500000000000e+00	 0.000000000000000e+00	 2.297217185913888e+02
 1.087328840504711e+00	 1.929358977664748e-02	 1.998473317012623e+02
 1.086810466972101e+00	 3.872026445080654e-02	 1.686011412364115e+02
 1.085937670432968e+00	 5.827199956404649e-02	 1.361594418084557e+02
 1.084703436010529e+00	 7.794039969650891e-02	 1.027085791976255e+02
 1.083100963116868e+00	 9.771670119643823e-02	 6.844471624172535e+01
 1.081123685891564e+00	 1.175917760792853e-01	 3.357354063304598e+01
 1.078765293811981e+00	 1.375561371380476e-01	-1.690086986405831e+00
 1.076019752399802e+00	 1.575999443022719e-01	-3.712254589434154e+01
 1.072881323943800e+00	 1.777130122783873e-01	-7.249193000240604e+01
 1.069344588154466e+00	 1.978848194987542e-01	-1.075585848777671e+02
 1.100000000000000e+00	 0.000000000000000e+00	 2.139212906760756e+02
 1.099826873154216e+00	 1.951535517582304e-02	 1.854508566893505e+02
 1.099302541305220e+00	 3.916532496071764e-02	 1.555682814082449e+02
 1.098419712622092e+00	 5.894179266110097e-02	 1.244746073945650e+02
 1.097171291597287e+00	 7.883626635803816e-02	 9.238198984900724e+01
 1.095550399475209e+00	 9.883988166814628e-02	 5.951341197293311e+01
 1.093550394925780e+00	 1.189434056875159e-01	 2.610233466701077e+01
 1.091164894891622e+00	 1.391372421607900e-01	-7.607721134419792e+00
 1.088387795532598e+00	 1.594114379132595e-01	-4.136366079516294e+01
 1.085213293186779e+00	 1.797556905790154e-01	-7.490337183751673e+01
