label=Displacement
num_items=200

0:	0.000000e+00 0.000000e+00 
1:	-1.008189e-02 0.000000e+00 
2:	-2.808482e-02 0.000000e+00 
3:	-5.584286e-02 0.000000e+00 
4:	-8.373126e-02 0.000000e+00 
5:	-1.115372e-01 0.000000e+00 
6:	-1.394135e-01 0.000000e+00 
7:	-1.672533e-01 0.000000e+00 
8:	-1.858307e-01 0.000000e+00 
9:	-1.951109e-01 0.000000e+00 
10:	0.000000e+00 2.404759e-02 
11:	-7.979481e-03 2.249558e-02 
12:	-2.882286e-02 2.125056e-02 
13:	-5.558342e-02 2.185945e-02 
14:	-8.383422e-02 2.159117e-02 
15:	-1.114997e-01 2.170840e-02 
16:	-1.394262e-01 2.165045e-02 
17:	-1.672494e-01 2.167699e-02 
18:	-1.858301e-01 2.165842e-02 
19:	-1.951124e-01 2.166176e-02 
20:	0.000000e+00 6.574011e-02 
21:	-9.613268e-03 6.591209e-02 
22:	-2.735244e-02 6.538480e-02 
23:	-5.600016e-02 6.488965e-02 
24:	-8.357590e-02 6.512405e-02 
25:	-1.115872e-01 6.495095e-02 
26:	-1.393722e-01 6.504331e-02 
27:	-1.672648e-01 6.497152e-02 
28:	-1.858176e-01 6.500062e-02 
29:	-1.951043e-01 6.498145e-02 
30:	0.000000e+00 1.305090e-01 
31:	-9.031303e-03 1.304744e-01 
32:	-2.789408e-02 1.302778e-01 
33:	-5.560395e-02 1.302223e-01 
34:	-8.365723e-02 1.300222e-01 
35:	-1.114652e-01 1.300709e-01 
36:	-1.393787e-01 1.299950e-01 
37:	-1.672132e-01 1.300140e-01 
38:	-1.857977e-01 1.299741e-01 
39:	-1.950788e-01 1.299728e-01 
40:	0.000000e+00 1.953389e-01 
41:	-9.372508e-03 1.953801e-01 
42:	-2.774513e-02 1.953709e-01 
43:	-5.571985e-02 1.951664e-01 
44:	-8.353934e-02 1.951493e-01 
45:	-1.114687e-01 1.950468e-01 
46:	-1.393125e-01 1.950444e-01 
47:	-1.671943e-01 1.949898e-01 
48:	-1.857552e-01 1.949851e-01 
49:	-1.950438e-01 1.949658e-01 
50:	0.000000e+00 2.603380e-01 
51:	-9.227190e-03 2.603044e-01 
52:	-2.785738e-02 2.602662e-01 
53:	-5.565347e-02 2.602403e-01 
54:	-8.356328e-02 2.601304e-01 
55:	-1.114070e-01 2.601006e-01 
56:	-1.392935e-01 2.600347e-01 
57:	-1.671424e-01 2.600118e-01 
58:	-1.857221e-01 2.599758e-01 
59:	-1.950054e-01 2.599680e-01 
60:	0.000000e+00 3.252641e-01 
61:	-9.299916e-03 3.252890e-01 
62:	-2.781802e-02 3.252813e-01 
63:	-5.568984e-02 3.252078e-01 
64:	-8.352010e-02 3.251671e-01 
65:	-1.113977e-01 3.250936e-01 
66:	-1.392452e-01 3.250564e-01 
67:	-1.671136e-01 3.250030e-01 
68:	-1.856795e-01 3.249837e-01 
69:	-1.949674e-01 3.249669e-01 
70:	0.000000e+00 3.902790e-01 
71:	-9.264607e-03 3.902593e-01 
72:	-2.783854e-02 3.902481e-01 
73:	-5.565594e-02 3.902190e-01 
74:	-8.351610e-02 3.901528e-01 
75:	-1.113531e-01 3.901083e-01 
76:	-1.392177e-01 3.900498e-01 
77:	-1.670661e-01 3.900126e-01 
78:	-1.856427e-01 3.899789e-01 
79:	-1.949263e-01 3.899682e-01 
