patch_n	x	y	stress_yy
0	 0.000000000000000e+00	 0.000000000000000e+00	 1.115321792285386e+01
0	 0.000000000000000e+00	 7.142881171115513e-01	 1.094385062600781e+01
0	 0.000000000000000e+00	 1.428580650948409e+00	 1.073742761354196e+01
0	 0.000000000000000e+00	 2.142877018163878e+00	 1.053892658837553e+01
0	 0.000000000000000e+00	 2.857176635411265e+00	 1.035332545144973e+01
0	 0.000000000000000e+00	 3.571478919343873e+00	 1.018560230171271e+01
0	 0.000000000000000e+00	 4.285783286615008e+00	 1.004073543610690e+01
0	 0.000000000000000e+00	 5.000089153877976e+00	 9.923703349558885e+00
0	 0.000000000000000e+00	 5.714395937786080e+00	 9.839484734971629e+00
0	 0.000000000000000e+00	 6.428703054992629e+00	 9.793058483219102e+00
0	 0.000000000000000e+00	 7.143009922150927e+00	 9.789403683143403e+00
0	 7.142881171115513e-01	 0.000000000000000e+00	 1.095488451838283e+01
0	 7.142881171115515e-01	 7.142881171115515e-01	 1.077617494665767e+01
0	 7.142881171115516e-01	 1.428580650948409e+00	 1.060357373744678e+01
0	 7.142881171115512e-01	 2.142877018163878e+00	 1.044039877011872e+01
0	 7.142881171115510e-01	 2.857176635411264e+00	 1.028996807746668e+01
0	 7.142881171115515e-01	 3.571478919343873e+00	 1.015559984569665e+01
0	 7.142881171115515e-01	 4.285783286615009e+00	 1.004061241441759e+01
0	 7.142881171115512e-01	 5.000089153877973e+00	 9.948324276633425e+00
0	 7.142881171115514e-01	 5.714395937786080e+00	 9.882054078736907e+00
0	 7.142881171115514e-01	 6.428703054992629e+00	 9.845120620505430e+00
0	 7.142881171115515e-01	 7.143009922150928e+00	 9.840842855098634e+00
0	 1.428580650948409e+00	 0.000000000000000e+00	 1.078048365538625e+01
0	 1.428580650948409e+00	 7.142881171115514e-01	 1.062830717909923e+01
0	 1.428580650948409e+00	 1.428580650948410e+00	 1.048500805560718e+01
0	 1.428580650948409e+00	 2.142877018163877e+00	 1.035247316031803e+01
0	 1.428580650948409e+00	 2.857176635411265e+00	 1.023258948372550e+01
0	 1.428580650948409e+00	 3.571478919343873e+00	 1.012724413140017e+01
0	 1.428580650948409e+00	 4.285783286615007e+00	 1.003832432398200e+01
0	 1.428580650948410e+00	 5.000089153877976e+00	 9.967717397174216e+00
0	 1.428580650948410e+00	 5.714395937786082e+00	 9.917310801738607e+00
0	 1.428580650948410e+00	 6.428703054992631e+00	 9.888992103492278e+00
0	 1.428580650948409e+00	 7.143009922150926e+00	 9.884648983305762e+00
0	 2.142877018163878e+00	 0.000000000000000e+00	 1.062826268961460e+01
0	 2.142877018163878e+00	 7.142881171115512e-01	 1.049913970629456e+01
0	 2.142877018163878e+00	 1.428580650948410e+00	 1.038117768514201e+01
0	 2.142877018163878e+00	 2.142877018163878e+00	 1.027506131264721e+01
0	 2.142877018163879e+00	 2.857176635411264e+00	 1.018147535786332e+01
0	 2.142877018163879e+00	 3.571478919343874e+00	 1.010110467239980e+01
0	 2.142877018163879e+00	 4.285783286615009e+00	 1.003463419041695e+01
0	 2.142877018163879e+00	 5.000089153877975e+00	 9.982748928621429e+00
0	 2.142877018163880e+00	 5.714395937786082e+00	 9.946133986262822e+00
0	 2.142877018163878e+00	 6.428703054992627e+00	 9.925474545131109e+00
0	 2.142877018163878e+00	 7.143009922150926e+00	 9.921455869555302e+00
0	 2.857176635411265e+00	 0.000000000000000e+00	 1.049646894817256e+01
0	 2.857176635411264e+00	 7.142881171115510e-01	 1.038756490943377e+01
0	 2.857176635411265e+00	 1.428580650948409e+00	 1.029152976007716e+01
0	 2.857176635411264e+00	 2.142877018163879e+00	 1.020807480929301e+01
0	 2.857176635411264e+00	 2.857176635411264e+00	 1.013691142168456e+01
0	 2.857176635411264e+00	 3.571478919343873e+00	 1.007775101726353e+01
0	 2.857176635411265e+00	 4.285783286615009e+00	 1.003030507144636e+01
0	 2.857176635411265e+00	 5.000089153877974e+00	 9.994285115051026e+00
0	 2.857176635411265e+00	 5.714395937786081e+00	 9.969402734294675e+00
0	 2.857176635411265e+00	 6.428703054992630e+00	 9.955369570791806e+00
0	 2.857176635411264e+00	 7.143009922150927e+00	 9.951897321553229e+00
0	 3.571478919343873e+00	 0.000000000000000e+00	 1.038334972952123e+01
0	 3.571478919343873e+00	 7.142881171115515e-01	 1.029247516793523e+01
0	 3.571478919343873e+00	 1.428580650948409e+00	 1.021551143134459e+01
0	 3.571478919343873e+00	 2.142877018163878e+00	 1.015142526095324e+01
0	 3.571478919343873e+00	 2.857176635411264e+00	 1.009918343115852e+01
0	 3.571478919343874e+00	 3.571478919343874e+00	 1.005775274954840e+01
0	 3.571478919343873e+00	 4.285783286615009e+00	 1.002610005689904e+01
0	 3.571478919343873e+00	 5.000089153877975e+00	 1.000319222717287e+01
0	 3.571478919343873e+00	 5.714395937786081e+00	 9.987996167516922e+00
0	 3.571478919343873e+00	 6.428703054992628e+00	 9.979478818261711e+00
0	 3.571478919343873e+00	 7.143009922150927e+00	 9.976607152920433e+00
0	 4.285783286615008e+00	 0.000000000000000e+00	 1.028715230347989e+01
0	 4.285783286615009e+00	 7.142881171115514e-01	 1.021276285944579e+01
0	 4.285783286615007e+00	 1.428580650948409e+00	 1.015256986678131e+01
0	 4.285783286615009e+00	 2.142877018163879e+00	 1.010502430683515e+01
0	 4.285783286615009e+00	 2.857176635411266e+00	 1.006857717641745e+01
0	 4.285783286615008e+00	 3.571478919343873e+00	 1.004167948779835e+01
0	 4.285783286615008e+00	 4.285783286615008e+00	 1.002278226870674e+01
0	 4.285783286615009e+00	 5.000089153877976e+00	 1.001033656232912e+01
0	 4.285783286615008e+00	 5.714395937786080e+00	 1.000279342730873e+01
0	 4.285783286615008e+00	 6.428703054992630e+00	 9.998603937744885e+00
0	 4.285783286615009e+00	 7.143009922150927e+00	 9.996219183192391e+00
0	 5.000089153877976e+00	 0.000000000000000e+00	 1.020612391122752e+01
0	 5.000089153877975e+00	 7.142881171115513e-01	 1.014732035984098e+01
0	 5.000089153877975e+00	 1.428580650948409e+00	 1.010215225112873e+01
0	 5.000089153877975e+00	 2.142877018163879e+00	 1.006878361465414e+01
0	 5.000089153877976e+00	 2.857176635411265e+00	 1.004537848175495e+01
0	 5.000089153877976e+00	 3.571478919343873e+00	 1.003010088554275e+01
0	 5.000089153877976e+00	 4.285783286615009e+00	 1.002111486090268e+01
0	 5.000089153877975e+00	 5.000089153877974e+00	 1.001658444449301e+01
0	 5.000089153877975e+00	 5.714395937786080e+00	 1.001467367474476e+01
0	 5.000089153877976e+00	 6.428703054992630e+00	 1.001354659186147e+01
0	 5.000089153877976e+00	 7.143009922150928e+00	 1.001136723781881e+01
0	 5.714395937786080e+00	 0.000000000000000e+00	 1.013851176530392e+01
0	 5.714395937786081e+00	 7.142881171115514e-01	 1.009504004322517e+01
0	 5.714395937786080e+00	 1.428580650948410e+00	 1.006370578603211e+01
0	 5.714395937786081e+00	 2.142877018163879e+00	 1.004261488063286e+01
0	 5.714395937786080e+00	 2.857176635411265e+00	 1.002987320562485e+01
0	 5.714395937786081e+00	 3.571478919343873e+00	 1.002358663129506e+01
0	 5.714395937786080e+00	 4.285783286615009e+00	 1.002186101962041e+01
0	 5.714395937786081e+00	 5.000089153877976e+00	 1.002280222426785e+01
0	 5.714395937786080e+00	 5.714395937786080e+00	 1.002451609059441e+01
0	 5.714395937786080e+00	 6.428703054992627e+00	 1.002510845564723e+01
0	 5.714395937786082e+00	 7.143009922150927e+00	 1.002268514816337e+01
0	 6.428703054992629e+00	 0.000000000000000e+00	 1.008256304961046e+01
0	 6.428703054992630e+00	 7.142881171115513e-01	 1.005481428193172e+01
0	 6.428703054992631e+00	 1.428580650948410e+00	 1.003667769004032e+01
0	 6.428703054992629e+00	 2.142877018163878e+00	 1.002642982950061e+01
0	 6.428703054992629e+00	 2.857176635411265e+00	 1.002234724064047e+01
0	 6.428703054992629e+00	 3.571478919343873e+00	 1.002270644855218e+01
0	 6.428703054992629e+00	 4.285783286615008e+00	 1.002578396309316e+01
0	 6.428703054992628e+00	 5.000089153877976e+00	 1.002985627888652e+01
0	 6.428703054992628e+00	 5.714395937786080e+00	 1.003319987532141e+01
0	 6.428703054992631e+00	 6.428703054992630e+00	 1.003409121655323e+01
0	 6.428703054992631e+00	 7.143009922150928e+00	 1.003080675150356e+01
0	 7.143009922150927e+00	 0.000000000000000e+00	 1.003652491941052e+01
