1	10	10
81	81	8	8
 0.0000e+00	 0.0000e+00	 0.0000e+00	 0.0000e+00	 0.0000e+00
 0.0000e+00	 1.2500e-01	 0.0000e+00	 1.1375e-03	 1.1375e-03
 0.0000e+00	 2.5000e-01	 0.0000e+00	 2.2750e-03	 2.2750e-03
 0.0000e+00	 3.7500e-01	 0.0000e+00	 3.4125e-03	 3.4125e-03
 0.0000e+00	 5.0000e-01	 0.0000e+00	 4.5500e-03	 4.5500e-03
 0.0000e+00	 6.2500e-01	 0.0000e+00	 5.6875e-03	 5.6875e-03
 0.0000e+00	 7.5000e-01	 0.0000e+00	 6.8250e-03	 6.8250e-03
 0.0000e+00	 8.7500e-01	 0.0000e+00	 7.9625e-03	 7.9625e-03
 0.0000e+00	 1.0000e+00	 0.0000e+00	 9.1000e-03	 9.1000e-03
 0.0000e+00	 1.1250e+00	 0.0000e+00	 1.0238e-02	 1.0238e-02
 0.0000e+00	 1.2500e+00	 0.0000e+00	 1.1375e-02	 1.1375e-02
 0.0000e+00	 1.3750e+00	 0.0000e+00	 1.2513e-02	 1.2513e-02
 0.0000e+00	 1.5000e+00	 0.0000e+00	 1.3650e-02	 1.3650e-02
 0.0000e+00	 1.6250e+00	 0.0000e+00	 1.4788e-02	 1.4788e-02
 0.0000e+00	 1.7500e+00	 0.0000e+00	 1.5925e-02	 1.5925e-02
 0.0000e+00	 1.8750e+00	 0.0000e+00	 1.7063e-02	 1.7063e-02
 0.0000e+00	 2.0000e+00	 0.0000e+00	 1.8200e-02	 1.8200e-02
 0.0000e+00	 2.1250e+00	 0.0000e+00	 1.9338e-02	 1.9338e-02
 0.0000e+00	 2.2500e+00	 0.0000e+00	 2.0475e-02	 2.0475e-02
 0.0000e+00	 2.3750e+00	 0.0000e+00	 2.1613e-02	 2.1613e-02
 0.0000e+00	 2.5000e+00	 0.0000e+00	 2.2750e-02	 2.2750e-02
 0.0000e+00	 2.6250e+00	 0.0000e+00	 2.3887e-02	 2.3887e-02
 0.0000e+00	 2.7500e+00	 0.0000e+00	 2.5025e-02	 2.5025e-02
 0.0000e+00	 2.8750e+00	 0.0000e+00	 2.6163e-02	 2.6163e-02
 0.0000e+00	 3.0000e+00	 0.0000e+00	 2.7300e-02	 2.7300e-02
 0.0000e+00	 3.1250e+00	 0.0000e+00	 2.8438e-02	 2.8438e-02
 0.0000e+00	 3.2500e+00	 0.0000e+00	 2.9575e-02	 2.9575e-02
 0.0000e+00	 3.3750e+00	 0.0000e+00	 3.0713e-02	 3.0713e-02
 0.0000e+00	 3.5000e+00	 0.0000e+00	 3.1850e-02	 3.1850e-02
 0.0000e+00	 3.6250e+00	 0.0000e+00	 3.2988e-02	 3.2988e-02
 0.0000e+00	 3.7500e+00	 0.0000e+00	 3.4125e-02	 3.4125e-02
 0.0000e+00	 3.8750e+00	 0.0000e+00	 3.5263e-02	 3.5263e-02
 0.0000e+00	 4.0000e+00	 0.0000e+00	 3.6400e-02	 3.6400e-02
 0.0000e+00	 4.1250e+00	 0.0000e+00	 3.7538e-02	 3.7538e-02
 0.0000e+00	 4.2500e+00	 0.0000e+00	 3.8675e-02	 3.8675e-02
 0.0000e+00	 4.3750e+00	 0.0000e+00	 3.9813e-02	 3.9813e-02
 0.0000e+00	 4.5000e+00	 0.0000e+00	 4.0950e-02	 4.0950e-02
 0.0000e+00	 4.6250e+00	 0.0000e+00	 4.2088e-02	 4.2088e-02
 0.0000e+00	 4.7500e+00	 0.0000e+00	 4.3225e-02	 4.3225e-02
 0.0000e+00	 4.8750e+00	 0.0000e+00	 4.4363e-02	 4.4363e-02
 0.0000e+00	 5.0000e+00	 0.0000e+00	 4.5500e-02	 4.5500e-02
 0.0000e+00	 5.1250e+00	 0.0000e+00	 4.6637e-02	 4.6637e-02
 0.0000e+00	 5.2500e+00	 0.0000e+00	 4.7775e-02	 4.7775e-02
 0.0000e+00	 5.3750e+00	 0.0000e+00	 4.8912e-02	 4.8912e-02
 0.0000e+00	 5.5000e+00	 0.0000e+00	 5.0050e-02	 5.0050e-02
 0.0000e+00	 5.6250e+00	 0.0000e+00	 5.1187e-02	 5.1187e-02
