label=Displacement
num_items=100

0:	-4.303070e-03 0.000000e+00 
1:	-4.417818e-03 0.000000e+00 
2:	-4.339738e-03 0.000000e+00 
3:	-3.575654e-03 0.000000e+00 
4:	-2.694814e-03 0.000000e+00 
5:	-1.860382e-03 0.000000e+00 
6:	-1.089762e-03 0.000000e+00 
7:	-4.483643e-04 0.000000e+00 
8:	-1.265879e-04 0.000000e+00 
9:	0.000000e+00 0.000000e+00 
10:	-4.037708e-03 1.368261e-03 
11:	-4.151472e-03 1.206932e-03 
12:	-4.072319e-03 9.611103e-04 
13:	-3.358113e-03 6.548301e-04 
14:	-2.537547e-03 4.336235e-04 
15:	-1.743427e-03 2.443512e-04 
16:	-1.057694e-03 1.031504e-04 
17:	-4.657924e-04 2.444588e-05 
18:	-1.462723e-04 9.054527e-06 
19:	0.000000e+00 0.000000e+00 
20:	-3.601068e-03 4.019542e-03 
21:	-3.663431e-03 3.529414e-03 
22:	-3.544559e-03 2.740778e-03 
23:	-2.901345e-03 1.858151e-03 
24:	-2.166652e-03 1.125766e-03 
25:	-1.513429e-03 6.368913e-04 
26:	-8.805884e-04 2.839811e-04 
27:	-3.717084e-04 4.605624e-05 
28:	-1.055801e-04 -7.717000e-06 
29:	0.000000e+00 0.000000e+00 
30:	-3.177595e-03 7.625356e-03 
31:	-3.026123e-03 6.726275e-03 
32:	-2.636081e-03 5.307205e-03 
33:	-2.025552e-03 3.715762e-03 
34:	-1.366139e-03 2.454288e-03 
35:	-8.480577e-04 1.408210e-03 
36:	-4.783564e-04 6.277557e-04 
37:	-1.895242e-04 1.595981e-04 
38:	-5.541953e-05 1.972929e-05 
39:	0.000000e+00 0.000000e+00 
40:	-2.833759e-03 1.074218e-02 
41:	-2.381138e-03 9.650593e-03 
42:	-1.665205e-03 7.851598e-03 
43:	-9.411435e-04 5.854549e-03 
44:	-4.718488e-04 4.141295e-03 
45:	-1.311510e-04 2.801767e-03 
46:	6.318578e-05 1.696940e-03 
47:	9.494145e-05 7.167343e-04 
48:	3.990986e-05 2.178539e-04 
49:	0.000000e+00 0.000000e+00 
50:	-2.387185e-03 1.311934e-02 
51:	-1.720649e-03 1.205582e-02 
52:	-8.022487e-04 1.024493e-02 
53:	-5.005034e-05 7.852670e-03 
54:	2.929497e-04 5.892414e-03 
55:	3.548058e-04 3.884045e-03 
56:	2.478996e-04 2.107420e-03 
57:	1.141035e-04 8.306159e-04 
58:	3.084079e-05 2.480548e-04 
59:	0.000000e+00 0.000000e+00 
60:	-1.746151e-03 1.465919e-02 
61:	-1.124799e-03 1.380198e-02 
62:	-2.809185e-04 1.200910e-02 
63:	2.883449e-04 9.473254e-03 
64:	4.711395e-04 6.623283e-03 
65:	4.219980e-04 4.275041e-03 
66:	3.386240e-04 2.525819e-03 
67:	2.006458e-04 1.074643e-03 
68:	7.860020e-05 3.195743e-04 
69:	0.000000e+00 0.000000e+00 
70:	-9.301269e-04 1.555864e-02 
71:	-5.820250e-04 1.484051e-02 
72:	-9.400945e-05 1.326968e-02 
73:	1.792374e-04 1.025311e-02 
74:	2.484569e-04 7.406016e-03 
75:	2.740669e-04 5.094605e-03 
76:	2.179484e-04 2.948887e-03 
77:	1.041568e-04 1.270747e-03 
78:	2.406966e-05 3.888760e-04 
79:	0.000000e+00 0.000000e+00 
80:	-3.138205e-04 1.592986e-02 
81:	-1.944784e-04 1.526333e-02 
82:	-5.182363e-05 1.370760e-02 
83:	4.218416e-05 1.068410e-02 
84:	7.130745e-05 7.862335e-03 
85:	5.536418e-05 5.341481e-03 
86:	2.589869e-05 3.223859e-03 
87:	2.923297e-05 1.396151e-03 
88:	2.513415e-05 4.185934e-04 
89:	0.000000e+00 0.000000e+00 
90:	0.000000e+00 1.607935e-02 
91:	0.000000e+00 1.541997e-02 
92:	0.000000e+00 1.387767e-02 
93:	0.000000e+00 1.086808e-02 
94:	0.000000e+00 8.032046e-03 
95:	0.000000e+00 5.572727e-03 
96:	0.000000e+00 3.401489e-03 
97:	0.000000e+00 1.561542e-03 
98:	0.000000e+00 4.974577e-04 
99:	0.000000e+00 0.000000e+00 
