patch_n	x	y	disp_x	disp_y
1	 1.000000000000000e+00	 0.000000000000000e+00	-6.625526959999998e-03	 0.000000000000000e+00
1	 9.997942136041430e-01	 2.028591802679378e-02	-6.624542875774200e-03	 4.504842948668542e-04
1	 9.991701517322812e-01	 4.073043895732996e-02	-6.621962238107140e-03	 9.045006210099150e-04
1	 9.981179738659461e-01	 6.132242709398375e-02	-6.617701285513519e-03	 1.361777061682350e-03
1	 9.966281528999331e-01	 8.205016480108969e-02	-6.611681029641232e-03	 1.822034643652082e-03
1	 9.946915115410935e-01	 1.029013581149163e-01	-6.603826978131896e-03	 2.284988736203534e-03
1	 9.922992591451227e-01	 1.238631447915628e-01	-6.594068823839694e-03	 2.750350464446514e-03
1	 9.894430288203904e-01	 1.449221048859623e-01	-6.582340108447624e-03	 3.217828116610077e-03
1	 9.861149146151664e-01	 1.660642739430359e-01	-6.568577869313608e-03	 3.687128524233794e-03
1	 9.823075085927058e-01	 1.872751588682954e-01	-6.552722278995466e-03	 4.157958393796074e-03
1	 9.780139375877577e-01	 2.085397565298897e-01	-6.534716287313497e-03	 4.630025568380101e-03
1	 9.732282518626567e-01	 2.298410867697774e-01	-6.514497541712785e-03	 5.102989195013274e-03
1	 9.679444735972303e-01	 2.511647027528097e-01	-6.491965767160545e-03	 5.576505659341873e-03
1	 9.621575490304195e-01	 2.724942383587359e-01	-6.467013258931304e-03	 6.050182492210244e-03
1	 9.558630981313170e-01	 2.938129209596946e-01	-6.439532666534448e-03	 6.523630014430976e-03
1	 9.490574463164518e-01	 3.151036037782406e-01	-6.409416911480809e-03	 6.996462194148777e-03
1	 9.417376544619561e-01	 3.363488008802307e-01	-6.376559169747083e-03	 7.468297350707427e-03
1	 9.339015469729997e-01	 3.575307247119079e-01	-6.340852924111623e-03	 7.938758696799749e-03
1	 9.255477376767898e-01	 3.786313260672552e-01	-6.302192089837837e-03	 8.407474714234260e-03
1	 9.166756533117869e-01	 3.996323363483558e-01	-6.260471215304149e-03	 8.874079362477577e-03
1	 9.072855543946887e-01	 4.205153119584039e-01	-6.215585757168944e-03	 9.338212123142916e-03
1	 8.973778426309759e-01	 4.412631267957646e-01	-6.167427338321983e-03	 9.799536490564165e-03
1	 8.869551416254857e-01	 4.618556531118257e-01	-6.115889294739092e-03	 1.025760153547402e-02
1	 8.760203156838144e-01	 4.822741974000463e-01	-6.060862357558255e-03	 1.071197907587164e-02
1	 8.645771165329884e-01	 5.025000860247010e-01	-6.002239824003251e-03	 1.116224427560089e-02
1	 8.526301882742356e-01	 5.225147171506273e-01	-5.939918152216242e-03	 1.160797527159281e-02
1	 8.401850687269298e-01	 5.422996134099225e-01	-5.873797586619487e-03	 1.204875274483157e-02
1	 8.272481870752481e-01	 5.618364750149920e-01	-5.803782800412540e-03	 1.248415946150696e-02
1	 8.138268577557128e-01	 5.811072330167580e-01	-5.729783540882190e-03	 1.291377981241815e-02
1	 7.999292705517563e-01	 6.000941023989975e-01	-5.651715262655553e-03	 1.333719937958814e-02
1	 7.855644768903997e-01	 6.187796346948449e-01	-5.569499733890737e-03	 1.375400455918534e-02
1	 7.707423701765810e-01	 6.371467715387087e-01	-5.483079895802491e-03	 1.416379009558598e-02
1	 7.554736580333883e-01	 6.551789005581102e-01	-5.392463368693224e-03	 1.456618244457390e-02
1	 7.397698440641727e-01	 6.728598994536507e-01	-5.297680095156695e-03	 1.496081630471493e-02
1	 7.236432017326105e-01	 6.901741818186914e-01	-5.198768204883096e-03	 1.534732679730981e-02
1	 7.071067426773200e-01	 7.071067426773202e-01	-5.095774044051362e-03	 1.572534962604331e-02
1	 6.901741818186911e-01	 7.236432017326108e-01	-4.988752108125910e-03	 1.609452142746303e-02
1	 6.728598994536503e-01	 7.397698440641729e-01	-4.877764874500899e-03	 1.645448032260870e-02
1	 6.551789005581099e-01	 7.554736580333886e-01	-4.762882533950866e-03	 1.680486667516903e-02
1	 6.371467715387082e-01	 7.707423701765813e-01	-4.644182622423967e-03	 1.714532405638696e-02
1	 6.187796346948450e-01	 7.855644768903999e-01	-4.521749557272563e-03	 1.747550041171008e-02
1	 6.000941023989972e-01	 7.999292705517564e-01	-4.395687789434546e-03	 1.779507801641809e-02
1	 5.811072330167577e-01	 8.138268577557130e-01	-4.266162087614368e-03	 1.810386038351959e-02
1	 5.618364750149918e-01	 8.272481870752482e-01	-4.133355275055494e-03	 1.840168722162737e-02
1	 5.422996134099223e-01	 8.401850687269302e-01	-3.997453507976324e-03	 1.868840712410211e-02
1	 5.225147171506268e-01	 8.526301882742356e-01	-3.858645260712606e-03	 1.896387905586920e-02
1	 5.025000860247008e-01	 8.645771165329886e-01	-3.717120290595034e-03	 1.922797393136689e-02
1	 4.822741974000460e-01	 8.760203156838146e-01	-3.573068599214670e-03	 1.948057625342232e-02
1	 4.618556531118254e-01	 8.869551416254861e-01	-3.426679406796980e-03	 1.972158578128287e-02
1	 4.412631267957642e-01	 8.973778426309756e-01	-3.278140156046203e-03	 1.995091919523878e-02
1	 4.205153119584038e-01	 9.072855543946884e-01	-3.127635561055098e-03	 2.016851172526015e-02
1	 3.996323363483559e-01	 9.166756533117867e-01	-2.975366227887917e-03	 2.037430918401108e-02
1	 3.786313260672554e-01	 9.255477376767897e-01	-2.821541962712548e-03	 2.056832630115985e-02
1	 3.575307247119081e-01	 9.339015469729992e-01	-2.666385748182089e-03	 2.075058907227259e-02
1	 3.363488008802308e-01	 9.417376544619560e-01	-2.510113651432867e-03	 2.092114702435371e-02
1	 3.151036037782408e-01	 9.490574463164519e-01	-2.352934173829607e-03	 2.108007416935640e-02
1	 2.938129209596947e-01	 9.558630981313170e-01	-2.195047713460562e-03	 2.122746976833793e-02
1	 2.724942383587361e-01	 9.621575490304196e-01	-2.036646143279146e-03	 2.136345889136713e-02
1	 2.511647027528098e-01	 9.679444735972303e-01	-1.877912505491113e-03	 2.148819276226205e-02
1	 2.298410867697775e-01	 9.732282518626566e-01	-1.719020820579206e-03	 2.160184888127879e-02
1	 2.085397565298897e-01	 9.780139375877577e-01	-1.560136007293598e-03	 2.170463092289164e-02
1	 1.872751588682954e-01	 9.823075085927059e-01	-1.401401045771485e-03	 2.179675087135160e-02
1	 1.660642739430359e-01	 9.861149146151665e-01	-1.242965270858878e-03	 2.187833919921814e-02
1	 1.449221048859622e-01	 9.894430288203904e-01	-1.084956650714348e-03	 2.194953848710866e-02
1	 1.238631447915627e-01	 9.922992591451227e-01	-9.274950034436553e-04	 2.201051903462077e-02
1	 1.029013581149162e-01	 9.946915115410935e-01	-7.706923743324150e-04	 2.206147790693559e-02
1	 8.205016480108950e-02	 9.966281528999332e-01	-6.146534695120619e-04	 2.210263778820189e-02
1	 6.132242709398352e-02	 9.981179738659459e-01	-4.594761346224995e-04	 2.213424566023788e-02
1	 4.073043895732970e-02	 9.991701517322813e-01	-3.052518670115195e-04	 2.215657132667299e-02
1	 2.028591802679350e-02	 9.997942136041430e-01	-1.520663502281319e-04	 2.216990580378692e-02
1	 0.000000000000000e+00	 1.000000000000000e+00	 0.000000000000000e+00	 2.217455960000000e-02
1	 1.014285762337685e+00	 0.000000000000000e+00	-6.755869390236876e-03	 0.000000000000000e+00
1	 1.014077036126061e+00	 2.057571783397239e-02	-6.754759003917071e-03	 4.403513917563976e-04
1	 1.013444059054001e+00	 4.131230433435238e-02	-6.751532383401566e-03	 8.842437503990575e-04
1	 1.012376850023818e+00	 6.219846472164651e-02	-6.746105860591491e-03	 1.331423803359713e-03
1	 1.010865745828442e+00	 8.322231396489504e-02	-6.738401249701292e-03	 1.781632492434334e-03
1	 1.008901438070191e+00	 1.043713824717894e-01	-6.728345551400003e-03	 2.234606425338937e-03
1	 1.006475010523806e+00	 1.256326242515389e-01	-6.715870621439031e-03	 2.690079333432768e-03
1	 1.003577976770334e+00	 1.469924276450039e-01	-6.700912812388316e-03	 3.147783513805262e-03
1	 1.000202317915604e+00	 1.684366287042941e-01	-6.683412597932908e-03	 3.607451233170937e-03
1	 9.963405201949547e-01	 1.899505272900958e-01	-6.663314189821403e-03	 4.068816070686447e-03
1	 9.919856122548429e-01	 2.115189059394628e-01	-6.640565157974909e-03	 4.531614176939373e-03
1	 9.871315593611463e-01	 2.331245419199243e-01	-6.615110526094333e-03	 4.995535684924087e-03
1	 9.817722982959256e-01	 2.547527820123112e-01	-6.586864574247146e-03	 5.460270641553071e-03
1	 9.759027031012107e-01	 2.763870262938928e-01	-6.555737039047506e-03	 5.925462946062533e-03
1	 9.695183311739304e-01	 2.980102625270567e-01	-6.521638759094627e-03	 6.390760633403688e-03
1	 9.626154554363000e-01	 3.196050989795959e-01	-6.484481559354629e-03	 6.855816636197380e-03
1	 9.551910947767374e-01	 3.411537999174934e-01	-6.444178202239505e-03	 7.320289374073022e-03
1	 9.472430425202908e-01	 3.626383236782532e-01	-6.400642410831609e-03	 7.783843162271111e-03
1	 9.387698926915390e-01	 3.840403632092170e-01	-6.353788967892506e-03	 8.246148435255946e-03
1	 9.297710638393701e-01	 4.053413889316473e-01	-6.303533892296199e-03	 8.706881785238060e-03
1	 9.202468202020646e-01	 4.265226937679250e-01	-6.249794692387770e-03	 9.165725819850194e-03
1	 9.101975692236983e-01	 4.475669069570152e-01	-6.192489314236285e-03	 9.622381661852286e-03
1	 8.996259719893256e-01	 4.684536132100533e-01	-6.131556795262618e-03	 1.007641468645812e-02
1	 8.885349337233767e-01	 4.891638519694764e-01	-6.066938171992862e-03	 1.052740657853337e-02
1	 8.769282597492056e-01	 5.096786828324061e-01	-5.998577852560890e-03	 1.097494160991655e-02
1	 8.648106605126151e-01	 5.299792382222528e-01	-5.926424126692698e-03	 1.141860611022033e-02
1	 8.521877529449992e-01	 5.500467768077960e-01	-5.850429703238673e-03	 1.185798788035007e-02
1	 8.390660580763807e-01	 5.698627373749913e-01	-5.770552261408077e-03	 1.229267557770285e-02
1	 8.254529948356356e-01	 5.894087928460177e-01	-5.686755000922672e-03	 1.272225810369685e-02
1	 8.113568700035452e-01	 6.086669041321033e-01	-5.599007175775801e-03	 1.314632402520671e-02
1	 7.967868643137184e-01	 6.276193735016999e-01	-5.507284596188688e-03	 1.356446106159632e-02
1	 7.817530125059616e-01	 6.462488988974351e-01	-5.411584436356245e-03	 1.397626204393639e-02
1	 7.662661751699099e-01	 6.645386306264414e-01	-5.311968798920765e-03	 1.438134380479445e-02
1	 7.503380202466319e-01	 6.824722160700080e-01	-5.208522065899487e-03	 1.477932795963846e-02
1	 7.339809965355638e-01	 7.000338461578212e-01	-5.101336579613033e-03	 1.516983448270589e-02
1	 7.172083015564744e-01	 7.172083015564746e-01	-4.990512540265951e-03	 1.555248183591189e-02
1	 7.000338461578210e-01	 7.339809965355644e-01	-4.876157801957182e-03	 1.592688730986873e-02
1	 6.824722160700076e-01	 7.503380202466323e-01	-4.758387564057037e-03	 1.629266758816727e-02
1	 6.645386306264410e-01	 7.662661751699100e-01	-4.637323957575913e-03	 1.664943954074594e-02
1	 6.462488988974350e-01	 7.817530125059619e-01	-4.513095528896698e-03	 1.699682124662158e-02
1	 6.276193735016997e-01	 7.967868643137183e-01	-4.385836625962172e-03	 1.733443324063315e-02
1	 6.086669041321032e-01	 8.113568700035455e-01	-4.255692659611858e-03	 1.766192117824935e-02
1	 5.894087928460172e-01	 8.254529948356357e-01	-4.122837129398167e-03	 1.797902079492460e-02
1	 5.698627373749912e-01	 8.390660580763810e-01	-3.987452683986302e-03	 1.828549542301800e-02
1	 5.500467768077957e-01	 8.521877529449993e-01	-3.849724139605542e-03	 1.858111637042678e-02
1	 5.299792382222526e-01	 8.648106605126152e-01	-3.709837444808079e-03	 1.886566469555097e-02
1	 5.096786828324057e-01	 8.769282597492060e-01	-3.567978627023940e-03	 1.913893308218398e-02
1	 4.891638519694760e-01	 8.885349337233771e-01	-3.424332738452800e-03	 1.940072778106288e-02
1	 4.684536132100530e-01	 8.996259719893257e-01	-3.279082818897228e-03	 1.965087058315811e-02
1	 4.475669069570151e-01	 9.101975692236984e-01	-3.132408892750404e-03	 1.988920078896535e-02
1	 4.265226937679250e-01	 9.202468202020646e-01	-2.984487016525762e-03	 2.011557713808078e-02
1	 4.053413889316475e-01	 9.297710638393700e-01	-2.835501949889871e-03	 2.032987857686407e-02
1	 3.840403632092172e-01	 9.387698926915389e-01	-2.685624247136962e-03	 2.053209143101532e-02
1	 3.626383236782533e-01	 9.472430425202908e-01	-2.535031171912148e-03	 2.072222249510090e-02
1	 3.411537999174936e-01	 9.551910947767371e-01	-2.383892608657220e-03	 2.090030296240641e-02
1	 3.196050989795961e-01	 9.626154554363000e-01	-2.232370516807575e-03	 2.106638950726971e-02
1	 2.980102625270569e-01	 9.695183311739305e-01	-2.080618500504514e-03	 2.122056516706761e-02
1	 2.763870262938931e-01	 9.759027031012107e-01	-1.928781496431179e-03	 2.136294000764297e-02
1	 2.547527820123113e-01	 9.817722982959253e-01	-1.776995579979620e-03	 2.149365156018372e-02
1	 2.331245419199244e-01	 9.871315593611459e-01	-1.625387887653634e-03	 2.161286502187271e-02
1	 2.115189059394629e-01	 9.919856122548431e-01	-1.474076651461110e-03	 2.172077321691016e-02
1	 1.899505272900958e-01	 9.963405201949547e-01	-1.323163627867070e-03	 2.181757778673391e-02
1	 1.684366287042940e-01	 1.000202317915604e+00	-1.172774407684930e-03	 2.190339455382716e-02
1	 1.469924276450038e-01	 1.003577976770333e+00	-1.023018171324402e-03	 2.197835226920114e-02
1	 1.256326242515388e-01	 1.006475010523806e+00	-8.739957989110766e-04	 2.204260918792513e-02
1	 1.043713824717892e-01	 1.008901438070191e+00	-7.258003195541865e-04	 2.209635211634031e-02
1	 8.322231396489484e-02	 1.010865745828442e+00	-5.785174182153373e-04	 2.213979525171209e-02
1	 6.219846472164627e-02	 1.012376850023818e+00	-4.322259879105797e-04	 2.217317883379908e-02
1	 4.131230433435212e-02	 1.013444059054000e+00	-2.869987149635767e-04	 2.219676762952660e-02
1	 2.057571783397211e-02	 1.014077036126061e+00	-1.429026852692740e-04	 2.221084927318327e-02
1	 0.000000000000000e+00	 1.014285762337685e+00	 0.000000000000000e+00	 2.221573248532516e-02
1	 1.028571613012482e+00	 0.000000000000000e+00	-6.879156830733776e-03	 0.000000000000000e+00
1	 1.028359946966947e+00	 2.086551943237181e-02	-6.877882288240397e-03	 4.309361369550144e-04
1	 1.027718054639657e+00	 4.189417330796975e-02	-6.874015601802704e-03	 8.653964828873965e-04
1	 1.026635814352820e+00	 6.307450776443697e-02	-6.867471313628597e-03	 1.303148604139632e-03
1	 1.025103426796637e+00	 8.439447037447290e-02	-6.858170016819032e-03	 1.743955696705479e-03
1	 1.023111452468066e+00	 1.058414159160936e-01	-6.846038038213004e-03	 2.187578092164833e-03
1	 1.020650849560097e+00	 1.274021146504702e-01	-6.831007084420916e-03	 2.633774760898753e-03
1	 1.017713012125696e+00	 1.490627632031908e-01	-6.813013860321232e-03	 3.082304789219305e-03
1	 1.014289808327531e+00	 1.708089981323072e-01	-6.791999670161386e-03	 3.532928806313117e-03
1	 1.010373618572351e+00	 1.926259122523858e-01	-6.767910012063281e-03	 3.985410336614584e-03
1	 1.005957373317689e+00	 2.144980737680448e-01	-6.740694177154414e-03	 4.439517053440614e-03
1	 1.001034952832426e+00	 2.364080173708703e-01	-6.710302266816709e-03	 4.894971994986351e-03
1	 9.956002085003419e-01	 2.583408834563891e-01	-6.676663818762982e-03	 5.351495356894552e-03
1	 9.896479421661309e-01	 2.802798382979371e-01	-6.639707422891067e-03	 5.808762406235974e-03
1	 9.831736486541901e-01	 3.022076300466622e-01	-6.599363486227419e-03	 6.266453829849014e-03
1	 9.761735483921198e-01	 3.241066220140731e-01	-6.555564079977005e-03	 6.724256410224804e-03
1	 9.686446182803863e-01	 3.459588286647269e-01	-6.508242855617323e-03	 7.181863509722346e-03
1	 9.605846205637468e-01	 3.677459542258090e-01	-6.457335035786908e-03	 7.638975355056506e-03
1	 9.519921294640535e-01	 3.894494337964183e-01	-6.402777483790031e-03	 8.095299118188607e-03
1	 9.428665553405939e-01	 4.110504768153739e-01	-6.344508853410247e-03	 8.550548794234935e-03
1	 9.332081661532802e-01	 4.325301127226065e-01	-6.282469818450262e-03	 9.004444881693283e-03
1	 9.230173750848367e-01	 4.538707260961631e-01	-6.216604859053504e-03	 9.456722208845896e-03
1	 9.122968807007574e-01	 4.750516141051551e-01	-6.146895193213553e-03	 9.906963698905863e-03
1	 9.010496291445451e-01	 4.960535491393559e-01	-6.073327665642807e-03	 1.035476358127584e-02
1	 8.892794793361982e-01	 5.168573240270957e-01	-5.995893183178721e-03	 1.079971803196400e-02
1	 8.769912080664878e-01	 5.374438054487242e-01	-5.914587153906791e-03	 1.124142447655808e-02
1	 8.641905113793015e-01	 5.577939881080805e-01	-5.829409951585971e-03	 1.167948083420511e-02
1	 8.508840021510615e-01	 5.778890493630670e-01	-5.740367390956173e-03	 1.211348473418725e-02
1	 8.370792038036242e-01	 5.977104040055304e-01	-5.647471198553864e-03	 1.254303273846464e-02
1	 8.227845401158297e-01	 6.172397588725924e-01	-5.550739463141132e-03	 1.296771960452033e-02
1	 8.080093211286548e-01	 6.364591669664901e-01	-5.450197049795961e-03	 1.338713762293816e-02
1	 7.927637229176385e-01	 6.553510825365715e-01	-5.345890274030530e-03	 1.380087943015740e-02
1	 7.770587590399142e-01	 6.738984185681055e-01	-5.237930245452788e-03	 1.420854772508047e-02
1	 7.609062617752941e-01	 6.920845921216349e-01	-5.126450236777333e-03	 1.460974495185380e-02
1	 7.443188552600679e-01	 7.098935714617837e-01	-5.011591296313190e-03	 1.500406983876334e-02
1	 7.273099228963158e-01	 7.273099228963160e-01	-4.893502030697298e-03	 1.539111751047543e-02
1	 7.098935714617833e-01	 7.443188552600681e-01	-4.772338280491693e-03	 1.577047983429556e-02
1	 6.920845921216348e-01	 7.609062617752944e-01	-4.648262685961050e-03	 1.614174601236992e-02
1	 6.738984185681052e-01	 7.770587590399144e-01	-4.521444143221701e-03	 1.650450342603324e-02
1	 6.553510825365713e-01	 7.927637229176391e-01	-4.392057153883473e-03	 1.685833873254698e-02
1	 6.364591669664900e-01	 8.080093211286546e-01	-4.260281074200870e-03	 1.720283920843649e-02
1	 6.172397588725922e-01	 8.227845401158298e-01	-4.126298505663450e-03	 1.753761201029238e-02
1	 5.977104040055301e-01	 8.370792038036247e-01	-3.990292083121127e-03	 1.786233875670341e-02
1	 5.778890493630665e-01	 8.508840021510616e-01	-3.852445811446694e-03	 1.817672388445708e-02
1	 5.577939881080803e-01	 8.641905113793019e-01	-3.712944805691075e-03	 1.848047879041331e-02
1	 5.374438054487238e-01	 8.769912080664877e-01	-3.571974227444419e-03	 1.877332385075412e-02
1	 5.168573240270954e-01	 8.892794793361983e-01	-3.429718204522662e-03	 1.905499055060129e-02
1	 4.960535491393556e-01	 9.010496291445454e-01	-3.286358752513615e-03	 1.932522368783278e-02
