x	y	stress_xx
 1.0000000000e+00	 0.0000000000e+00	 1.8784921195e-01
 9.9979421360e-01	 2.0285918027e-02	 1.8468583937e-01
 9.9917015173e-01	 4.0730438957e-02	 2.0474892172e-01
 9.9811797387e-01	 6.1322427094e-02	 2.4745688302e-01
 9.9662815290e-01	 8.2050164801e-02	 3.1218276506e-01
 9.9469151154e-01	 1.0290135811e-01	 3.9825588652e-01
 9.9229925915e-01	 1.2386314479e-01	 5.0496373823e-01
 9.8944302882e-01	 1.4492210489e-01	 6.3155410602e-01
 9.8611491462e-01	 1.6606427394e-01	 7.7723741034e-01
 9.8230750859e-01	 1.8727515887e-01	 9.4118924975e-01
 9.7801393759e-01	 2.0853975653e-01	 1.1225531329e+00
 1.0142857623e+00	 0.0000000000e+00	 4.0003305902e-01
 1.0140770361e+00	 2.0575717834e-02	 4.0336580851e-01
 1.0134440591e+00	 4.1312304334e-02	 4.2591772335e-01
 1.0123768500e+00	 6.2198464722e-02	 4.6729957026e-01
 1.0108657458e+00	 8.3222313965e-02	 5.2710990120e-01
 1.0089014381e+00	 1.0437138247e-01	 6.0493670569e-01
 1.0064750105e+00	 1.2563262425e-01	 7.0035905403e-01
 1.0035779768e+00	 1.4699242765e-01	 8.1294870868e-01
 1.0002023179e+00	 1.6843662870e-01	 9.4227168050e-01
 9.9634052019e-01	 1.8995052729e-01	 1.0878897062e+00
 9.9198561225e-01	 2.1151890594e-01	 1.2493616242e+00
 1.0285716130e+00	 0.0000000000e+00	 6.1945544942e-01
 1.0283599470e+00	 2.0865519432e-02	 6.2734548539e-01
 1.0277180546e+00	 4.1894173308e-02	 6.5094741841e-01
 1.0266358144e+00	 6.3074507764e-02	 6.9002741402e-01
 1.0251034268e+00	 8.4394470374e-02	 7.4436720590e-01
 1.0231114525e+00	 1.0584141592e-01	 8.1376575607e-01
 1.0206508496e+00	 1.2740211465e-01	 8.9804070074e-01
 1.0177130121e+00	 1.4906276320e-01	 9.9702954709e-01
 1.0142898083e+00	 1.7080899813e-01	 1.1105905870e+00
 1.0103736186e+00	 1.9262591225e-01	 1.2386034952e+00
 1.0059573733e+00	 2.1449807377e-01	 1.3809695823e+00
 1.0428575404e+00	 0.0000000000e+00	 8.4344015489e-01
 1.0426429345e+00	 2.1155322585e-02	 8.5416653699e-01
 1.0419921268e+00	 4.2476045403e-02	 8.7755892211e-01
 1.0408948552e+00	 6.3950555507e-02	 9.1350368130e-01
 1.0393411842e+00	 8.5566633073e-02	 9.6192531508e-01
 1.0373215431e+00	 1.0731145725e-01	 1.0227881361e+00
 1.0348267647e+00	 1.2917161454e-01	 1.0960975710e+00
 1.0318481233e+00	 1.5113310987e-01	 1.1819010374e+00
 1.0283773743e+00	 1.7318138029e-01	 1.2802883530e+00
 1.0244067923e+00	 1.9530131157e-01	 1.3913916370e+00
 1.0199292094e+00	 2.1747725758e-01	 1.5153846686e+00
 1.0571435327e+00	 0.0000000000e+00	 1.0694555841e+00
 1.0569259869e+00	 2.1445127056e-02	 1.0815034216e+00
 1.0562662640e+00	 4.3057920145e-02	 1.1035961782e+00
 1.0551539609e+00	 6.4826607234e-02	 1.1357068930e+00
 1.0535790063e+00	 8.6738801103e-02	 1.1778642287e+00
 1.0515316984e+00	 1.0878150527e-01	 1.2301541908e+00
 1.0490027443e+00	 1.3094112249e-01	 1.2927213382e+00
 1.0459832989e+00	 1.5320346595e-01	 1.3657694331e+00
 1.0424650045e+00	 1.7555377324e-01	 1.4495614798e+00
 1.0384400298e+00	 1.9797672306e-01	 1.5444191090e+00
 1.0339011090e+00	 2.2045645495e-01	 1.6507212640e+00
 1.0714295784e+00	 0.0000000000e+00	 1.2951051365e+00
 1.0712090928e+00	 2.1734932609e-02	 1.3071545317e+00
 1.0705404544e+00	 4.3639797058e-02	 1.3270179521e+00
 1.0694131199e+00	 6.5702662231e-02	 1.3547231350e+00
 1.0678168817e+00	 8.7910973507e-02	 1.3903660144e+00
 1.0657419068e+00	 1.1025155877e-01	 1.4341124902e+00
 1.0631787768e+00	 1.3271063703e-01	 1.4861995996e+00
 1.0601185272e+00	 1.5527382977e-01	 1.5469360306e+00
 1.0565526872e+00	 1.7792617505e-01	 1.6167019232e+00
