x	y	stress_yy
 1.000000000000000e+00	 0.000000000000000e+00	 2.448274436881439e+01
 9.997942136041430e-01	 2.028591802679378e-02	 2.445624724448430e+01
 9.991701517322812e-01	 4.073043895732996e-02	 2.438485855362082e+01
 9.981179738659461e-01	 6.132242709398375e-02	 2.426803976541077e+01
 9.966281528999331e-01	 8.205016480108969e-02	 2.410549249105850e+01
 9.946915115410935e-01	 1.029013581149163e-01	 2.389717139311103e+01
 9.922992591451227e-01	 1.238631447915628e-01	 2.364329609774575e+01
 9.894430288203904e-01	 1.449221048859623e-01	 2.334436194720454e+01
 9.861149146151664e-01	 1.660642739430359e-01	 2.300114943029939e+01
 9.823075085927058e-01	 1.872751588682954e-01	 2.261473213178401e+01
 9.780139375877577e-01	 2.085397565298897e-01	 2.218648304650980e+01
 1.014285762337685e+00	 0.000000000000000e+00	 2.368666847596746e+01
 1.014077036126061e+00	 2.057571783397239e-02	 2.366883096492541e+01
 1.013444059054001e+00	 4.131230433435238e-02	 2.360797351253968e+01
 1.012376850023818e+00	 6.219846472164651e-02	 2.350358335841937e+01
 1.010865745828442e+00	 8.322231396489504e-02	 2.335541301163676e+01
 1.008901438070191e+00	 1.043713824717894e-01	 2.316349418043054e+01
 1.006475010523806e+00	 1.256326242515389e-01	 2.292815055517138e+01
 1.003577976770334e+00	 1.469924276450039e-01	 2.265000926313822e+01
 1.000202317915604e+00	 1.684366287042941e-01	 2.233001081484012e+01
 9.963405201949547e-01	 1.899505272900958e-01	 2.196941736520883e+01
 9.919856122548429e-01	 2.115189059394628e-01	 2.156981911912625e+01
 1.028571613012482e+00	 0.000000000000000e+00	 2.295699894561449e+01
 1.028359946966947e+00	 2.086551943237181e-02	 2.294505934290459e+01
 1.027718054639657e+00	 4.189417330796975e-02	 2.289215179988519e+01
 1.026635814352820e+00	 6.307450776443697e-02	 2.279779837891887e+01
 1.025103426796637e+00	 8.439447037447290e-02	 2.266180483165274e+01
 1.023111452468066e+00	 1.058414159160936e-01	 2.248427518498202e+01
 1.020650849560097e+00	 1.274021146504702e-01	 2.226562506112270e+01
 1.017713012125696e+00	 1.490627632031908e-01	 2.200659353673785e+01
 1.014289808327531e+00	 1.708089981323072e-01	 2.170825334769183e+01
 1.010373618572351e+00	 1.926259122523858e-01	 2.137201925025281e+01
 1.005957373317689e+00	 2.144980737680448e-01	 2.099965435657862e+01
 1.042857540357000e+00	 0.000000000000000e+00	 2.228748623333436e+01
 1.042642934461810e+00	 2.115532258538498e-02	 2.227917174629930e+01
 1.041992126831531e+00	 4.247604540310704e-02	 2.223206123471376e+01
 1.040894855207496e+00	 6.395055550708173e-02	 2.214572052996278e+01
 1.039341184176433e+00	 8.556663307275812e-02	 2.202001106652209e+01
 1.037321543129217e+00	 1.073114572475230e-01	 2.185510476916140e+01
 1.034826764676397e+00	 1.291716145435108e-01	 2.165149758496770e+01
 1.031848123342196e+00	 1.511331098699965e-01	 2.141002145645698e+01
 1.028377374345500e+00	 1.731813802898896e-01	 2.113185453411273e+01
 1.024406792263879e+00	 1.953013115705125e-01	 2.081852943152442e+01
 1.019929209365398e+00	 2.174772575828835e-01	 2.047193933405911e+01
 1.057143532703853e+00	 0.000000000000000e+00	 2.167221852374070e+01
 1.056925986945660e+00	 2.144512705640483e-02	 2.166571870408023e+01
 1.056266263971905e+00	 4.305792014468924e-02	 2.162265749398147e+01
 1.055153960942393e+00	 6.482660723430732e-02	 2.154265334021389e+01
 1.053579006339744e+00	 8.673880110268559e-02	 2.142562589115090e+01
 1.051531698448141e+00	 1.087815052657716e-01	 2.127181083879342e+01
 1.049002744295102e+00	 1.309411224858152e-01	 2.108177334554600e+01
 1.045983298875552e+00	 1.532034659548943e-01	 2.085641984816200e+01
 1.042465004464060e+00	 1.755537732398562e-01	 2.059700803378546e+01
 1.038440029808523e+00	 1.979767230598238e-01	 2.030515478837774e+01
 1.033901108987072e+00	 2.204564549512274e-01	 1.998284192618723e+01
 1.071429578385649e+00	 0.000000000000000e+00	 2.110559922210258e+01
 1.071209092753505e+00	 2.173493260882433e-02	 2.109954116856690e+01
 1.070540454403061e+00	 4.363979705764136e-02	 2.105916492783240e+01
 1.069413119912057e+00	 6.570266223084026e-02	 2.098415031425685e+01
 1.067816881658486e+00	 8.791097350719018e-02	 2.087447780757917e+01
 1.065741906819336e+00	 1.102515587705330e-01	 2.073044301148659e+01
 1.063178776838613e+00	 1.327106370325378e-01	 2.055266966547544e+01
 1.060118527181483e+00	 1.552738297673575e-01	 2.034212100330349e+01
 1.056552687177763e+00	 1.779261750450211e-01	 2.010010925428057e+01
 1.052473319745267e+00	 2.006521445356669e-01	 1.982830308946736e+01
 1.047873060771812e+00	 2.234356634403244e-01	 1.952873282370460e+01
 1.085715665735001e+00	 0.000000000000000e+00	 2.058232622144975e+01
 1.085492240220354e+00	 2.202473900603640e-02	 2.057575141349917e+01
 1.084814686467279e+00	 4.422167566688838e-02	 2.053705888820024e+01
 1.083672320471032e+00	 6.657871978140713e-02	 2.046599849091713e+01
 1.082054798504573e+00	 8.908314932920679e-02	 2.036261423249681e+01
