patch_n	x	y	stress_yy
0	 0.000000000000000e+00	 0.000000000000000e+00	 9.999998884415385e+00
0	 0.000000000000000e+00	 1.428576234225853e-01	 9.999999150629018e+00
0	 0.000000000000000e+00	 2.857161301906819e-01	 9.999999383866362e+00
0	 0.000000000000000e+00	 4.285754036348007e-01	 9.999999584128563e+00
0	 0.000000000000000e+00	 5.714353270854531e-01	 9.999999751416597e+00
0	 0.000000000000000e+00	 7.142957838731496e-01	 9.999999885731281e+00
0	 0.000000000000000e+00	 8.571566573284017e-01	 9.999999987073281e+00
0	 0.000000000000000e+00	 1.000017830781720e+00	 1.000000005544308e+01
0	 0.000000000000000e+00	 1.142879187563616e+00	 1.000000009084103e+01
0	 0.000000000000000e+00	 1.285740611004601e+00	 1.000000009326730e+01
0	 0.000000000000000e+00	 1.428601984435185e+00	 1.000000006272189e+01
0	 1.428576234225853e-01	 0.000000000000000e+00	 9.999998880375927e+00
0	 1.428576234225853e-01	 1.428576234225853e-01	 9.999999146589563e+00
0	 1.428576234225853e-01	 2.857161301906819e-01	 9.999999379826907e+00
0	 1.428576234225853e-01	 4.285754036348008e-01	 9.999999580089103e+00
0	 1.428576234225852e-01	 5.714353270854531e-01	 9.999999747377139e+00
0	 1.428576234225853e-01	 7.142957838731498e-01	 9.999999881691824e+00
0	 1.428576234225853e-01	 8.571566573284018e-01	 9.999999983033820e+00
0	 1.428576234225852e-01	 1.000017830781720e+00	 1.000000005140362e+01
0	 1.428576234225852e-01	 1.142879187563616e+00	 1.000000008680157e+01
0	 1.428576234225852e-01	 1.285740611004601e+00	 1.000000008922784e+01
0	 1.428576234225853e-01	 1.428601984435185e+00	 1.000000005868243e+01
0	 2.857161301906819e-01	 0.000000000000000e+00	 9.999998868257642e+00
0	 2.857161301906819e-01	 1.428576234225853e-01	 9.999999134471281e+00
0	 2.857161301906819e-01	 2.857161301906819e-01	 9.999999367708623e+00
0	 2.857161301906818e-01	 4.285754036348007e-01	 9.999999567970825e+00
0	 2.857161301906819e-01	 5.714353270854529e-01	 9.999999735258863e+00
0	 2.857161301906819e-01	 7.142957838731496e-01	 9.999999869573541e+00
0	 2.857161301906818e-01	 8.571566573284015e-01	 9.999999970915539e+00
0	 2.857161301906820e-01	 1.000017830781720e+00	 1.000000003928535e+01
0	 2.857161301906820e-01	 1.142879187563616e+00	 1.000000007468330e+01
0	 2.857161301906819e-01	 1.285740611004601e+00	 1.000000007710956e+01
0	 2.857161301906818e-01	 1.428601984435185e+00	 1.000000004656415e+01
0	 4.285754036348007e-01	 0.000000000000000e+00	 9.999998848060653e+00
0	 4.285754036348006e-01	 1.428576234225853e-01	 9.999999114274285e+00
0	 4.285754036348008e-01	 2.857161301906818e-01	 9.999999347511633e+00
0	 4.285754036348008e-01	 4.285754036348008e-01	 9.999999547773827e+00
0	 4.285754036348007e-01	 5.714353270854531e-01	 9.999999715061865e+00
0	 4.285754036348008e-01	 7.142957838731498e-01	 9.999999849376550e+00
0	 4.285754036348007e-01	 8.571566573284016e-01	 9.999999950718548e+00
0	 4.285754036348007e-01	 1.000017830781720e+00	 1.000000001908835e+01
0	 4.285754036348008e-01	 1.142879187563616e+00	 1.000000005448630e+01
0	 4.285754036348006e-01	 1.285740611004600e+00	 1.000000005691257e+01
0	 4.285754036348007e-01	 1.428601984435185e+00	 1.000000002636716e+01
0	 5.714353270854531e-01	 0.000000000000000e+00	 9.999998819785015e+00
0	 5.714353270854530e-01	 1.428576234225852e-01	 9.999999085998653e+00
0	 5.714353270854530e-01	 2.857161301906819e-01	 9.999999319236004e+00
0	 5.714353270854532e-01	 4.285754036348007e-01	 9.999999519498193e+00
0	 5.714353270854529e-01	 5.714353270854530e-01	 9.999999686786232e+00
0	 5.714353270854530e-01	 7.142957838731496e-01	 9.999999821100912e+00
0	 5.714353270854532e-01	 8.571566573284020e-01	 9.999999922442910e+00
0	 5.714353270854530e-01	 1.000017830781720e+00	 9.999999990812718e+00
0	 5.714353270854532e-01	 1.142879187563616e+00	 1.000000002621067e+01
0	 5.714353270854529e-01	 1.285740611004601e+00	 1.000000002863693e+01
0	 5.714353270854529e-01	 1.428601984435185e+00	 9.999999998091521e+00
