patch_n	x	y	disp_x	disp_y
1	 1.000000000000000e+00	 0.000000000000000e+00	-5.766838135287515e-03	 0.000000000000000e+00
1	 9.997942136041430e-01	 2.028591802679378e-02	-5.765871973896108e-03	 4.317364441259707e-04
1	 9.991701517322812e-01	 4.073043895732996e-02	-5.763000664377484e-03	 8.668901183746538e-04
1	 9.981179738659461e-01	 6.132242709398375e-02	-5.758138303054463e-03	 1.305144217295095e-03
1	 9.966281528999331e-01	 8.205016480108969e-02	-5.751204764354293e-03	 1.746175298337759e-03
1	 9.946915115410935e-01	 1.029013581149163e-01	-5.742125744001229e-03	 2.189654776954916e-03
1	 9.922992591451227e-01	 1.238631447915628e-01	-5.730832786310565e-03	 2.635250394575162e-03
1	 9.894430288203904e-01	 1.449221048859623e-01	-5.717263296489781e-03	 3.082627646070002e-03
1	 9.861149146151664e-01	 1.660642739430359e-01	-5.701360538776072e-03	 3.531451153781304e-03
1	 9.823075085927058e-01	 1.872751588682954e-01	-5.683073621126954e-03	 3.981385975804711e-03
1	 9.780139375877577e-01	 2.085397565298897e-01	-5.662357467033703e-03	 4.432098837034075e-03
1	 9.732282518626567e-01	 2.298410867697774e-01	-5.639165259970061e-03	 4.883206004378046e-03
1	 9.679444735972303e-01	 2.511647027528097e-01	-5.613415480460544e-03	 5.334303019524051e-03
1	 9.621575490304195e-01	 2.724942383587359e-01	-5.585023194079030e-03	 5.784934248177939e-03
1	 9.558630981313170e-01	 2.938129209596946e-01	-5.553907824515801e-03	 6.234646899800564e-03
1	 9.490574463164518e-01	 3.151036037782406e-01	-5.519993181359678e-03	 6.682992020102066e-03
1	 9.417376544619561e-01	 3.363488008802307e-01	-5.483207482769118e-03	 7.129525385172779e-03
1	 9.339015469729997e-01	 3.575307247119079e-01	-5.443483371753665e-03	 7.573808296038160e-03
1	 9.255477376767898e-01	 3.786313260672552e-01	-5.400757924536222e-03	 8.015408274537308e-03
1	 9.166756533117869e-01	 3.996323363483558e-01	-5.354972649256817e-03	 8.453899663637217e-03
1	 9.072855543946887e-01	 4.205153119584039e-01	-5.306073473122457e-03	 8.888864137561472e-03
1	 8.973778426309759e-01	 4.412631267957646e-01	-5.254010547253388e-03	 9.319910098564942e-03
1	 8.869551416254857e-01	 4.618556531118257e-01	-5.198759891213068e-03	 9.746548818380853e-03
1	 8.760203156838144e-01	 4.822741974000463e-01	-5.140302360173444e-03	 1.016831866946276e-02
1	 8.645771165329884e-01	 5.025000860247010e-01	-5.078623266228611e-03	 1.058476593031079e-02
1	 8.526301882742356e-01	 5.225147171506273e-01	-5.013712221500521e-03	 1.099544517637114e-02
1	 8.401850687269298e-01	 5.422996134099225e-01	-4.945562957222564e-03	 1.139991966152517e-02
1	 8.272481870752481e-01	 5.618364750149920e-01	-4.874173118272818e-03	 1.179776170643709e-02
1	 8.138268577557128e-01	 5.811072330167580e-01	-4.799544033128949e-03	 1.218855311020307e-02
1	 7.999292705517563e-01	 6.000941023989975e-01	-4.721680459776002e-03	 1.257188560138521e-02
1	 7.855644768903997e-01	 6.187796346948449e-01	-4.640590308700385e-03	 1.294736134359817e-02
1	 7.707423701765810e-01	 6.371467715387087e-01	-4.556296558851163e-03	 1.331460523477889e-02
1	 7.554736580333883e-01	 6.551789005581102e-01	-4.468873678627886e-03	 1.367330083212999e-02
1	 7.397698440641727e-01	 6.728598994536507e-01	-4.378410726448738e-03	 1.402315599630249e-02
1	 7.236432017326105e-01	 6.901741818186914e-01	-4.284998621351808e-03	 1.436389184027279e-02
1	 7.071067426773200e-01	 7.071067426773202e-01	-4.188729584546162e-03	 1.469524346727349e-02
1	 6.901741818186911e-01	 7.236432017326108e-01	-4.089696577425803e-03	 1.501696080636487e-02
1	 6.728598994536503e-01	 7.397698440641729e-01	-3.987992742003240e-03	 1.532880954258147e-02
1	 6.551789005581099e-01	 7.554736580333886e-01	-3.883710849883385e-03	 1.563057213494162e-02
1	 6.371467715387082e-01	 7.707423701765813e-01	-3.776942765915298e-03	 1.592204891207966e-02
1	 6.187796346948450e-01	 7.855644768903999e-01	-3.667778932523630e-03	 1.620305923197753e-02
1	 6.000941023989972e-01	 7.999292705517564e-01	-3.556323468144584e-03	 1.647345217791262e-02
1	 5.811072330167577e-01	 8.138268577557130e-01	-3.442740247013109e-03	 1.673313611997563e-02
1	 5.618364750149918e-01	 8.272481870752482e-01	-3.327205205819795e-03	 1.698205117936877e-02
1	 5.422996134099223e-01	 8.401850687269302e-01	-3.209890081652358e-03	 1.722016079200946e-02
1	 5.225147171506268e-01	 8.526301882742356e-01	-3.090961832140067e-03	 1.744745275530710e-02
1	 5.025000860247008e-01	 8.645771165329886e-01	-2.970582110235431e-03	 1.766394021999106e-02
1	 4.822741974000460e-01	 8.760203156838146e-01	-2.848906796412972e-03	 1.786966260526423e-02
1	 4.618556531118254e-01	 8.869551416254861e-01	-2.726085590088831e-03	 1.806468641660149e-02
1	 4.412631267957642e-01	 8.973778426309756e-01	-2.602261661103685e-03	 1.824910594705799e-02
1	 4.205153119584038e-01	 9.072855543946884e-01	-2.477571361194036e-03	 1.842304384492211e-02
1	 3.996323363483559e-01	 9.166756533117867e-01	-2.352160323458375e-03	 1.858662271372628e-02
1	 3.786313260672554e-01	 9.255477376767897e-01	-2.226179272189099e-03	 1.873994751922878e-02
1	 3.575307247119081e-01	 9.339015469729992e-01	-2.099787042843646e-03	 1.888312391569651e-02
1	 3.363488008802308e-01	 9.417376544619560e-01	-1.973134131254334e-03	 1.901628879913299e-02
1	 3.151036037782408e-01	 9.490574463164519e-01	-1.846362585278416e-03	 1.913961025397517e-02
1	 2.938129209596947e-01	 9.558630981313170e-01	-1.719605948598074e-03	 1.925328730102956e-02
1	 2.724942383587361e-01	 9.621575490304196e-01	-1.592989253260641e-03	 1.935754944698741e-02
1	 2.511647027528098e-01	 9.679444735972303e-01	-1.466629057455019e-03	 1.945265603824725e-02
1	 2.298410867697775e-01	 9.732282518626566e-01	-1.340633525025221e-03	 1.953889542392590e-02
1	 2.085397565298897e-01	 9.780139375877577e-01	-1.215102543309965e-03	 1.961658393483870e-02
1	 1.872751588682954e-01	 9.823075085927059e-01	-1.090117319851113e-03	 1.968602339472928e-02
1	 1.660642739430359e-01	 9.861149146151665e-01	-9.657614524351151e-04	 1.974734977208583e-02
1	 1.449221048859622e-01	 9.894430288203904e-01	-8.421004486757052e-04	 1.980068979742186e-02
