xi	eta	x	y	stress_rr	stress_sita
 0.0000000000e+00	 0.0000000000e+00	 1.0000000000e+00	 0.0000000000e+00	 2.3404030574e+01	 4.4887605630e-02
 0.0000000000e+00	 1.4286000000e-02	 9.9979421360e-01	 2.0285918027e-02	 2.3398296004e+01	 4.8302217861e-02
 0.0000000000e+00	 2.8572000000e-02	 9.9917015173e-01	 4.0730438957e-02	 2.3363963443e+01	 5.0913611298e-02
 0.0000000000e+00	 4.2858000000e-02	 9.9811797387e-01	 6.1322427094e-02	 2.3300621794e+01	 5.2360032443e-02
 0.0000000000e+00	 5.7144000000e-02	 9.9662815290e-01	 8.2050164801e-02	 2.3208080770e+01	 5.2468056913e-02
 0.0000000000e+00	 7.1430000000e-02	 9.9469151154e-01	 1.0290135811e-01	 2.3086373560e+01	 5.1269495335e-02
 0.0000000000e+00	 8.5716000000e-02	 9.9229925915e-01	 1.2386314479e-01	 2.2935758359e+01	 4.9017671017e-02
 0.0000000000e+00	 1.0000200000e-01	 9.8944302882e-01	 1.4492210489e-01	 2.2756718706e+01	 4.6202850768e-02
 0.0000000000e+00	 1.1428800000e-01	 9.8611491462e-01	 1.6606427394e-01	 2.2549962608e+01	 4.3566598459e-02
 0.0000000000e+00	 1.2857400000e-01	 9.8230750859e-01	 1.8727515887e-01	 2.2316420421e+01	 4.2114811835e-02
 0.0000000000e+00	 1.4286000000e-01	 9.7801393759e-01	 2.0853975653e-01	 2.2057241489e+01	 4.3129197201e-02
 1.4286000000e-02	 0.0000000000e+00	 1.0142857623e+00	 0.0000000000e+00	 2.2670978319e+01	 3.2200816890e-01
 1.4286000000e-02	 1.4286000000e-02	 1.0140770361e+00	 2.0575717834e-02	 2.2665643868e+01	 3.2506379950e-01
 1.4286000000e-02	 2.8572000000e-02	 1.0134440591e+00	 4.1312304334e-02	 2.2632623641e+01	 3.2695397943e-01
 1.4286000000e-02	 4.2858000000e-02	 1.0123768500e+00	 6.2198464722e-02	 2.2571596244e+01	 3.2735242239e-01
 1.4286000000e-02	 5.7144000000e-02	 1.0108657458e+00	 8.3222313965e-02	 2.2482450799e+01	 3.2611167505e-01
 1.4286000000e-02	 7.1430000000e-02	 1.0089014381e+00	 1.0437138247e-01	 2.2365288884e+01	 3.2327902123e-01
 1.4286000000e-02	 8.5716000000e-02	 1.0064750105e+00	 1.2563262425e-01	 2.2220425381e+01	 3.1911177214e-01
 1.4286000000e-02	 1.0000200000e-01	 1.0035779768e+00	 1.4699242765e-01	 2.2048388198e+01	 3.1409173431e-01
 1.4286000000e-02	 1.1428800000e-01	 1.0002023179e+00	 1.6843662870e-01	 2.1849916832e+01	 3.0893863540e-01
 1.4286000000e-02	 1.2857400000e-01	 9.9634052019e-01	 1.8995052729e-01	 2.1625959757e+01	 3.0462227835e-01
 1.4286000000e-02	 1.4286000000e-01	 9.9198561225e-01	 2.1151890594e-01	 2.1377670663e+01	 3.0237318871e-01
 2.8572000000e-02	 0.0000000000e+00	 1.0285716130e+00	 0.0000000000e+00	 2.1992227720e+01	 5.8891855785e-01
 2.8572000000e-02	 1.4286000000e-02	 1.0283599470e+00	 2.0865519432e-02	 2.1987389789e+01	 5.9167318217e-01
 2.8572000000e-02	 2.8572000000e-02	 1.0277180546e+00	 4.1894173308e-02	 2.1955736302e+01	 5.9284687679e-01
 2.8572000000e-02	 4.2858000000e-02	 1.0266358144e+00	 6.3074507764e-02	 2.1897036307e+01	 5.9215002453e-01
 2.8572000000e-02	 5.7144000000e-02	 1.0251034268e+00	 8.4394470374e-02	 2.1811259809e+01	 5.8946262098e-01
 2.8572000000e-02	 7.1430000000e-02	 1.0231114525e+00	 1.0584141592e-01	 2.1698579063e+01	 5.8484912927e-01
 2.8572000000e-02	 8.5716000000e-02	 1.0206508496e+00	 1.2740211465e-01	 2.1559368844e+01	 5.7857272290e-01
 2.8572000000e-02	 1.0000200000e-01	 1.0177130121e+00	 1.4906276320e-01	 2.1394205646e+01	 5.7110871647e-01
 2.8572000000e-02	 1.1428800000e-01	 1.0142898083e+00	 1.7080899813e-01	 2.1203865797e+01	 5.6315697265e-01
 2.8572000000e-02	 1.2857400000e-01	 1.0103736186e+00	 1.9262591225e-01	 2.0989322495e+01	 5.5565306352e-01
 2.8572000000e-02	 1.4286000000e-01	 1.0059573733e+00	 2.1449807377e-01	 2.0751741767e+01	 5.4977795714e-01
 4.2858000000e-02	 0.0000000000e+00	 1.0428575404e+00	 0.0000000000e+00	 2.1362797472e+01	 8.4348600936e-01
 4.2858000000e-02	 1.4286000000e-02	 1.0426429345e+00	 2.1155322585e-02	 2.1358540449e+01	 8.4599173950e-01
 4.2858000000e-02	 2.8572000000e-02	 1.0419921268e+00	 4.2476045403e-02	 2.1328300556e+01	 8.4645427041e-01
 4.2858000000e-02	 4.2858000000e-02	 1.0408948552e+00	 6.3950555507e-02	 2.1271937852e+01	 8.4462199130e-01
 4.2858000000e-02	 5.7144000000e-02	 1.0393411842e+00	 8.5566633073e-02	 2.1189504435e+01	 8.4040399333e-01
 4.2858000000e-02	 7.1430000000e-02	 1.0373215431e+00	 1.0731145725e-01	 2.1081245184e+01	 8.3388383669e-01
 4.2858000000e-02	 8.5716000000e-02	 1.0348267647e+00	 1.2917161454e-01	 2.0947597522e+01	 8.2533269736e-01
 4.2858000000e-02	 1.0000200000e-01	 1.0318481233e+00	 1.5113310987e-01	 2.0789190183e+01	 8.1522170076e-01
 4.2858000000e-02	 1.1428800000e-01	 1.0283773743e+00	 1.7318138029e-01	 2.0606840976e+01	 8.0423323699e-01
