xi	eta	x	y	stress_vm
 0.0000000000e+00	 0.0000000000e+00	 1.0000000000e+00	 0.0000000000e+00	 2.3381619086e+01
 0.0000000000e+00	 1.4286000000e-02	 9.9979421360e-01	 2.0285918027e-02	 2.3374182326e+01
 0.0000000000e+00	 2.8572000000e-02	 9.9917015173e-01	 4.0730438957e-02	 2.3338548288e+01
 0.0000000000e+00	 4.2858000000e-02	 9.9811797387e-01	 6.1322427094e-02	 2.3274485951e+01
 0.0000000000e+00	 5.7144000000e-02	 9.9662815290e-01	 8.2050164801e-02	 2.3181891274e+01
 0.0000000000e+00	 7.1430000000e-02	 9.9469151154e-01	 1.0290135811e-01	 2.3060781556e+01
 0.0000000000e+00	 8.5716000000e-02	 9.9229925915e-01	 1.2386314479e-01	 2.2911288850e+01
 0.0000000000e+00	 1.0000200000e-01	 9.8944302882e-01	 1.4492210489e-01	 2.2733652493e+01
 0.0000000000e+00	 1.1428800000e-01	 9.8611491462e-01	 1.6606427394e-01	 2.2528210903e+01
 0.0000000000e+00	 1.2857400000e-01	 9.8230750859e-01	 1.8727515887e-01	 2.2295392848e+01
 0.0000000000e+00	 1.4286000000e-01	 9.7801393759e-01	 2.0853975653e-01	 2.2035708546e+01
 1.4286000000e-02	 0.0000000000e+00	 1.0142857623e+00	 0.0000000000e+00	 2.2511701557e+01
 1.4286000000e-02	 1.4286000000e-02	 1.0140770361e+00	 2.0575717834e-02	 2.2504872763e+01
 1.4286000000e-02	 2.8572000000e-02	 1.0134440591e+00	 4.1312304334e-02	 2.2470930675e+01
 1.4286000000e-02	 4.2858000000e-02	 1.0123768500e+00	 6.2198464722e-02	 2.2409713294e+01
 1.4286000000e-02	 5.7144000000e-02	 1.0108657458e+00	 8.3222313965e-02	 2.2321181713e+01
 1.4286000000e-02	 7.1430000000e-02	 1.0089014381e+00	 1.0437138247e-01	 2.2205414373e+01
 1.4286000000e-02	 8.5716000000e-02	 1.0064750105e+00	 1.2563262425e-01	 2.2062600416e+01
 1.4286000000e-02	 1.0000200000e-01	 1.0035779768e+00	 1.4699242765e-01	 2.1893032208e+01
 1.4286000000e-02	 1.1428800000e-01	 1.0002023179e+00	 1.6843662870e-01	 2.1697097159e+01
 1.4286000000e-02	 1.2857400000e-01	 9.9634052019e-01	 1.8995052729e-01	 2.1475269056e+01
 1.4286000000e-02	 1.4286000000e-01	 9.9198561225e-01	 2.1151890594e-01	 2.1228099258e+01
 2.8572000000e-02	 0.0000000000e+00	 1.0285716130e+00	 0.0000000000e+00	 2.1703761751e+01
 2.8572000000e-02	 1.4286000000e-02	 1.0283599470e+00	 2.0865519432e-02	 2.1697604430e+01
 2.8572000000e-02	 2.8572000000e-02	 1.0277180546e+00	 4.1894173308e-02	 2.1665397164e+01
 2.8572000000e-02	 4.2858000000e-02	 1.0266358144e+00	 6.3074507764e-02	 2.1607047695e+01
 2.8572000000e-02	 5.7144000000e-02	 1.0251034268e+00	 8.4394470374e-02	 2.1522583448e+01
 2.8572000000e-02	 7.1430000000e-02	 1.0231114525e+00	 1.0584141592e-01	 2.1412145777e+01
 2.8572000000e-02	 8.5716000000e-02	 1.0206508496e+00	 1.2740211465e-01	 2.1275983376e+01
 2.8572000000e-02	 1.0000200000e-01	 1.0177130121e+00	 1.4906276320e-01	 2.1114444891e+01
 2.8572000000e-02	 1.1428800000e-01	 1.0142898083e+00	 1.7080899813e-01	 2.0927970892e+01
 2.8572000000e-02	 1.2857400000e-01	 1.0103736186e+00	 1.9262591225e-01	 2.0717085407e+01
 2.8572000000e-02	 1.4286000000e-01	 1.0059573733e+00	 2.1449807377e-01	 2.0482387360e+01
 4.2858000000e-02	 0.0000000000e+00	 1.0428575404e+00	 0.0000000000e+00	 2.0953791153e+01
 4.2858000000e-02	 1.4286000000e-02	 1.0426429345e+00	 2.1155322585e-02	 2.0948360397e+01
 4.2858000000e-02	 2.8572000000e-02	 1.0419921268e+00	 4.2476045403e-02	 2.0917921942e+01
 4.2858000000e-02	 4.2858000000e-02	 1.0408948552e+00	 6.3950555507e-02	 2.0862453829e+01
 4.2858000000e-02	 5.7144000000e-02	 1.0393411842e+00	 8.5566633073e-02	 2.0782050739e+01
 4.2858000000e-02	 7.1430000000e-02	 1.0373215431e+00	 1.0731145725e-01	 2.0676918318e+01
 4.2858000000e-02	 8.5716000000e-02	 1.0348267647e+00	 1.2917161454e-01	 2.0547366713e+01
 4.2858000000e-02	 1.0000200000e-01	 1.0318481233e+00	 1.5113310987e-01	 2.0393803370e+01
 4.2858000000e-02	 1.1428800000e-01	 1.0283773743e+00	 1.7318138029e-01	 2.0216725246e+01
 4.2858000000e-02	 1.2857400000e-01	 1.0244067923e+00	 1.9530131157e-01	 2.0016710645e+01
 4.2858000000e-02	 1.4286000000e-01	 1.0199292094e+00	 2.1747725758e-01	 1.9794410996e+01
 5.7144000000e-02	 0.0000000000e+00	 1.0571435327e+00	 0.0000000000e+00	 2.0257872841e+01
 5.7144000000e-02	 1.4286000000e-02	 1.0569259869e+00	 2.1445127056e-02	 2.0253215971e+01
 5.7144000000e-02	 2.8572000000e-02	 1.0562662640e+00	 4.3057920145e-02	 2.0224571366e+01
 5.7144000000e-02	 4.2858000000e-02	 1.0551539609e+00	 6.4826607234e-02	 2.0171987748e+01
 5.7144000000e-02	 5.7144000000e-02	 1.0535790063e+00	 8.6738801103e-02	 2.0095627703e+01
 5.7144000000e-02	 7.1430000000e-02	 1.0515316984e+00	 1.0878150527e-01	 1.9995762143e+01
 5.7144000000e-02	 8.5716000000e-02	 1.0490027443e+00	 1.3094112249e-01	 1.9872764021e+01
 5.7144000000e-02	 1.0000200000e-01	 1.0459832989e+00	 1.5320346595e-01	 1.9727101377e+01
 5.7144000000e-02	 1.1428800000e-01	 1.0424650045e+00	 1.7555377324e-01	 1.9559329851e+01
 5.7144000000e-02	 1.2857400000e-01	 1.0384400298e+00	 1.9797672306e-01	 1.9370084884e+01
 5.7144000000e-02	 1.4286000000e-01	 1.0339011090e+00	 2.2045645495e-01	 1.9160073899e+01
 7.1430000000e-02	 0.0000000000e+00	 1.0714295784e+00	 0.0000000000e+00	 1.9612171570e+01
 7.1430000000e-02	 1.4286000000e-02	 1.0712090928e+00	 2.1734932609e-02	 1.9608328735e+01
 7.1430000000e-02	 2.8572000000e-02	 1.0705404544e+00	 4.3639797058e-02	 1.9581494075e+01
 7.1430000000e-02	 4.2858000000e-02	 1.0694131199e+00	 6.5702662231e-02	 1.9531787191e+01
 7.1430000000e-02	 5.7144000000e-02	 1.0678168817e+00	 8.7910973507e-02	 1.9459438942e+01
 7.1430000000e-02	 7.1430000000e-02	 1.0657419068e+00	 1.1025155877e-01	 1.9364786080e+01
 7.1430000000e-02	 8.5716000000e-02	 1.0631787768e+00	 1.3271063703e-01	 1.9248265182e+01
 7.1430000000e-02	 1.0000200000e-01	 1.0601185272e+00	 1.5527382977e-01	 1.9110405972e+01
 7.1430000000e-02	 1.1428800000e-01	 1.0565526872e+00	 1.7792617505e-01	 1.8951824171e+01
 7.1430000000e-02	 1.2857400000e-01	 1.0524733197e+00	 2.0065214454e-01	 1.8773214082e+01
 7.1430000000e-02	 1.4286000000e-01	 1.0478730608e+00	 2.2343566344e-01	 1.8575341209e+01
 8.5716000000e-02	 0.0000000000e+00	 1.0857156657e+00	 0.0000000000e+00	 1.9012929381e+01
 8.5716000000e-02	 1.4286000000e-02	 1.0854922402e+00	 2.2024739006e-02	 1.9009934124e+01
 8.5716000000e-02	 2.8572000000e-02	 1.0848146865e+00	 4.4221675667e-02	 1.8984916673e+01
 8.5716000000e-02	 4.2858000000e-02	 1.0836723205e+00	 6.6578719781e-02	 1.8938067508e+01
