x	y	stress_yy
 1.000000000000000e+00	 0.000000000000000e+00	 2.340403054397601e+01
 9.997942136041430e-01	 2.028591802679378e-02	 2.338869950149330e+01
 9.991701517322812e-01	 4.073043895732996e-02	 2.332533279171179e+01
 9.981179738659461e-01	 6.132242709398375e-02	 2.321335774326420e+01
 9.966281528999331e-01	 8.205016480108969e-02	 2.305257461053613e+01
 9.946915115410935e-01	 1.029013581149163e-01	 2.284317494749210e+01
 9.922992591451227e-01	 1.238631447915628e-01	 2.258575848457614e+01
 9.894430288203904e-01	 1.449221048859623e-01	 2.228134826957058e+01
 9.861149146151664e-01	 1.660642739430359e-01	 2.193140383269266e+01
 9.823075085927058e-01	 1.872751588682954e-01	 2.153783213874641e+01
 9.780139375877577e-01	 2.085397565298897e-01	 2.110299609506846e+01
 1.014285762337685e+00	 0.000000000000000e+00	 2.267097828909447e+01
 1.014077036126061e+00	 2.057571783397239e-02	 2.265712943577332e+01
 1.013444059054001e+00	 4.131230433435238e-02	 2.259834327773214e+01
 1.012376850023818e+00	 6.219846472164651e-02	 2.249415530870842e+01
 1.010865745828442e+00	 8.322231396489504e-02	 2.234445087951034e+01
 1.008901438070191e+00	 1.043713824717894e-01	 2.214948190382351e+01
 1.006475010523806e+00	 1.256326242515389e-01	 2.190988214279858e+01
 1.003577976770334e+00	 1.469924276450039e-01	 2.162668084681646e+01
 1.000202317915604e+00	 1.684366287042941e-01	 2.130131453252759e+01
 9.963405201949547e-01	 1.899505272900958e-01	 2.093563667592927e+01
 9.919856122548429e-01	 2.115189059394628e-01	 2.053192510811848e+01
 1.028571613012482e+00	 0.000000000000000e+00	 2.199222769268591e+01
 1.028359946966947e+00	 2.086551943237181e-02	 2.197986284449308e+01
 1.027718054639657e+00	 4.189417330796975e-02	 2.192542844762183e+01
 1.026635814352820e+00	 6.307450776443697e-02	 2.182856655846919e+01
 1.025103426796637e+00	 8.439447037447290e-02	 2.168924720627103e+01
 1.023111452468066e+00	 1.058414159160936e-01	 2.150778349666321e+01
 1.020650849560097e+00	 1.274021146504702e-01	 2.128484536551321e+01
 1.017713012125696e+00	 1.490627632031908e-01	 2.102147177805070e+01
 1.014289808327531e+00	 1.708089981323072e-01	 2.071908116831754e+01
 1.010373618572351e+00	 1.926259122523858e-01	 2.037947991676521e+01
 1.005957373317689e+00	 2.144980737680448e-01	 2.000486866966591e+01
 1.042857540357000e+00	 0.000000000000000e+00	 2.136279744852069e+01
 1.042642934461810e+00	 2.115532258538498e-02	 2.135191098856837e+01
 1.041992126831531e+00	 4.247604540310704e-02	 2.130160493004828e+01
 1.040894855207496e+00	 6.395055550708173e-02	 2.121162633986906e+01
 1.039341184176433e+00	 8.556663307275812e-02	 2.108202951551568e+01
 1.037321543129217e+00	 1.073114572475230e-01	 2.091318955052895e+01
 1.034826764676397e+00	 1.291716145435108e-01	 2.070581461765182e+01
 1.031848123342196e+00	 1.511331098699965e-01	 2.046095678043235e+01
 1.028377374345500e+00	 1.731813802898896e-01	 2.018002114434933e+01
 1.024406792263879e+00	 1.953013115705125e-01	 1.986477316147644e+01
 1.019929209365398e+00	 2.174772575828835e-01	 1.951734390852830e+01
 1.057143532703853e+00	 0.000000000000000e+00	 2.077796630048966e+01
 1.056925986945660e+00	 2.144512705640483e-02	 2.076854628551012e+01
 1.056266263971905e+00	 4.305792014468924e-02	 2.072215093965997e+01
 1.055153960942393e+00	 6.482660723430732e-02	 2.063863083104273e+01
 1.053579006339744e+00	 8.673880110268559e-02	 2.051812411791630e+01
 1.051531698448141e+00	 1.087815052657716e-01	 2.036106863878723e+01
 1.049002744295102e+00	 1.309411224858152e-01	 2.016821278359135e+01
