label=Displacement
num_items=200

0:	0.000000e+00 0.000000e+00 
1:	-1.854319e-04 0.000000e+00 
2:	-5.940102e-03 0.000000e+00 
3:	-1.327671e-02 0.000000e+00 
4:	-1.748607e-02 0.000000e+00 
5:	-2.347752e-02 0.000000e+00 
6:	-2.878990e-02 0.000000e+00 
7:	-3.443581e-02 0.000000e+00 
8:	-3.809278e-02 0.000000e+00 
9:	-3.993278e-02 0.000000e+00 
10:	0.000000e+00 4.076449e-04 
11:	-2.548926e-03 -3.361153e-03 
12:	-7.336343e-03 5.248999e-03 
13:	-1.269677e-02 4.418153e-03 
14:	-1.774994e-02 4.296328e-03 
15:	-2.337946e-02 4.452639e-03 
16:	-2.882570e-02 4.287828e-03 
17:	-3.442396e-02 4.376722e-03 
18:	-3.809208e-02 4.276836e-03 
19:	-3.993840e-02 4.291756e-03 
20:	0.000000e+00 1.388247e-02 
21:	3.301656e-04 1.936331e-02 
22:	-3.962169e-03 1.674260e-02 
23:	-1.198133e-02 1.261659e-02 
24:	-1.749997e-02 1.355070e-02 
25:	-2.324302e-02 1.295427e-02 
26:	-2.876396e-02 1.312484e-02 
27:	-3.435461e-02 1.293348e-02 
28:	-3.803984e-02 1.293182e-02 
29:	-3.988201e-02 1.285333e-02 
30:	0.000000e+00 3.234455e-02 
31:	-2.647944e-03 3.023171e-02 
32:	-5.326013e-03 2.828706e-02 
33:	-1.080568e-02 2.770671e-02 
34:	-1.715094e-02 2.640069e-02 
35:	-2.277171e-02 2.643097e-02 
36:	-2.854036e-02 2.607788e-02 
37:	-3.408813e-02 2.602180e-02 
38:	-3.782229e-02 2.583368e-02 
39:	-3.966320e-02 2.576590e-02 
40:	0.000000e+00 4.103762e-02 
41:	-9.304034e-04 4.201714e-02 
42:	-4.969116e-03 4.181575e-02 
43:	-1.095782e-02 4.054652e-02 
44:	-1.660592e-02 4.008987e-02 
45:	-2.253997e-02 3.950001e-02 
46:	-2.814771e-02 3.929062e-02 
47:	-3.382381e-02 3.897956e-02 
48:	-3.750944e-02 3.884217e-02 
49:	-3.937258e-02 3.872373e-02 
50:	0.000000e+00 5.492187e-02 
51:	-2.291734e-03 5.448920e-02 
52:	-5.414935e-03 5.441301e-02 
53:	-1.080030e-02 5.386399e-02 
54:	-1.657425e-02 5.317723e-02 
55:	-2.217780e-02 5.276486e-02 
56:	-2.789247e-02 5.233713e-02 
57:	-3.346526e-02 5.205656e-02 
58:	-3.720537e-02 5.182232e-02 
59:	-3.905673e-02 5.172837e-02 
60:	0.000000e+00 6.720334e-02 
61:	-1.469741e-03 6.739548e-02 
62:	-5.372676e-03 6.715118e-02 
63:	-1.085440e-02 6.679594e-02 
64:	-1.635747e-02 6.631880e-02 
65:	-2.199709e-02 6.581775e-02 
66:	-2.756088e-02 6.543520e-02 
67:	-3.317318e-02 6.505199e-02 
68:	-3.687444e-02 6.484820e-02 
69:	-3.873735e-02 6.473017e-02 
70:	0.000000e+00 8.022361e-02 
71:	-2.016599e-03 8.012770e-02 
72:	-5.319159e-03 8.016279e-02 
73:	-1.074497e-02 7.974762e-02 
74:	-1.621518e-02 7.930684e-02 
75:	-2.170681e-02 7.886429e-02 
76:	-2.727697e-02 7.843576e-02 
77:	-3.282392e-02 7.808270e-02 
78:	-3.655035e-02 7.783865e-02 
