patch_n	x	y	stress_yy
0	 0.000000000000000e+00	 0.000000000000000e+00	 9.277228961352917e-01
0	 0.000000000000000e+00	 1.428576234225853e-01	 3.592495095207641e+00
0	 0.000000000000000e+00	 2.857161301906819e-01	 6.122818981653450e+00
0	 0.000000000000000e+00	 4.285754036348007e-01	 8.482222027238356e+00
0	 0.000000000000000e+00	 5.714353270854531e-01	 1.063422986884824e+01
0	 0.000000000000000e+00	 7.142957838731496e-01	 1.254236630863306e+01
0	 0.000000000000000e+00	 8.571566573284017e-01	 1.417015331412822e+01
0	 0.000000000000000e+00	 1.000017830781720e+00	 1.548111101835349e+01
0	 0.000000000000000e+00	 1.142879187563616e+00	 1.643875771988942e+01
0	 0.000000000000000e+00	 1.285740611004601e+00	 1.700660988293123e+01
0	 0.000000000000000e+00	 1.428601984435185e+00	 1.714818213732036e+01
0	 1.428576234225853e-01	 0.000000000000000e+00	-2.230126819445680e+00
0	 1.428576234225853e-01	 1.428576234225853e-01	 1.690566321547529e+00
0	 1.428576234225853e-01	 2.857161301906819e-01	 5.256999390406013e+00
0	 1.428576234225853e-01	 4.285754036348008e-01	 8.440272523627147e+00
0	 1.428576234225852e-01	 5.714353270854531e-01	 1.121148319164511e+01
0	 1.428576234225853e-01	 7.142957838731498e-01	 1.354172619903084e+01
0	 1.428576234225853e-01	 8.571566573284018e-01	 1.540209368465945e+01
0	 1.428576234225852e-01	 1.000017830781720e+00	 1.676367512184486e+01
0	 1.428576234225852e-01	 1.142879187563616e+00	 1.759755731844189e+01
0	 1.428576234225852e-01	 1.285740611004601e+00	 1.787482441691564e+01
0	 1.428576234225853e-01	 1.428601984435185e+00	 1.756655789437811e+01
0	 2.857161301906819e-01	 0.000000000000000e+00	-4.123839895721739e+00
0	 2.857161301906819e-01	 1.428576234225853e-01	 6.042085621829438e-01
0	 2.857161301906819e-01	 2.857161301906819e-01	 4.824385398821460e+00
0	 2.857161301906818e-01	 4.285754036348007e-01	 8.514643754823593e+00
0	 2.857161301906819e-01	 5.714353270854529e-01	 1.165293357448648e+01
0	 2.857161301906819e-01	 7.142957838731496e-01	 1.421720160600965e+01
0	 2.857161301906818e-01	 8.571566573284015e-01	 1.618539140169102e+01
0	 2.857161301906820e-01	 1.000017830781720e+00	 1.753544331808361e+01
0	 2.857161301906820e-01	 1.142879187563616e+00	 1.824529451611323e+01
0	 2.857161301906819e-01	 1.285740611004601e+00	 1.829287896115690e+01
0	 2.857161301906818e-01	 1.428601984435185e+00	 1.765612742308219e+01
0	 4.285754036348007e-01	 0.000000000000000e+00	-4.929228557767715e+00
0	 4.285754036348006e-01	 1.428576234225853e-01	 2.176699644361491e-01
0	 4.285754036348008e-01	 2.857161301906818e-01	 4.760986856935794e+00
0	 4.285754036348008e-01	 4.285754036348008e-01	 8.684808903696446e+00
0	 4.285754036348007e-01	 5.714353270854531e-01	 1.197321942232815e+01
0	 4.285754036348008e-01	 7.142957838731498e-01	 1.461029826433762e+01
0	 4.285754036348007e-01	 8.571566573284016e-01	 1.658012181533789e+01
0	 4.285754036348007e-01	 1.000017830781720e+00	 1.786676299521520e+01
0	 4.285754036348008e-01	 1.142879187563616e+00	 1.845429125825365e+01
0	 4.285754036348006e-01	 1.285740611004600e+00	 1.832677259321736e+01
0	 4.285754036348007e-01	 1.428601984435185e+00	 1.746826952338998e+01
0	 5.714353270854531e-01	 0.000000000000000e+00	-4.822104685324247e+00
0	 5.714353270854530e-01	 1.428576234225852e-01	 4.151989355669916e-01
0	 5.714353270854530e-01	 2.857161301906819e-01	 5.002813812829752e+00
0	 5.714353270854532e-01	 4.285754036348007e-01	 8.930241309252946e+00
0	 5.714353270854529e-01	 5.714353270854530e-01	 1.218697927082751e+01
0	 5.714353270854530e-01	 7.142957838731496e-01	 1.476252202699984e+01
0	 5.714353270854532e-01	 8.571566573284020e-01	 1.664636039088234e+01
0	 5.714353270854530e-01	 1.000017830781720e+00	 1.782798165942060e+01
0	 5.714353270854532e-01	 1.142879187563616e+00	 1.829686961351792e+01
0	 5.714353270854529e-01	 1.285740611004601e+00	 1.804250451811623e+01
0	 5.714353270854529e-01	 1.428601984435185e+00	 1.705436312223450e+01
0	 7.142957838731496e-01	 0.000000000000000e+00	-3.978279812824419e+00
0	 7.142957838731498e-01	 1.428576234225853e-01	 1.081044142753199e+00
0	 7.142957838731496e-01	 2.857161301906819e-01	 5.485876512614054e+00
0	 7.142957838731497e-01	 4.285754036348007e-01	 9.230414466627298e+00
0	 7.142957838731496e-01	 5.714353270854529e-01	 1.230885178633396e+01
0	 7.142957838731497e-01	 7.142957838731497e-01	 1.471537886518952e+01
0	 7.142957838731497e-01	 8.571566573284020e-01	 1.644418270876512e+01
0	 7.142957838731496e-01	 1.000017830781720e+00	 1.748944693490708e+01
0	 7.142957838731496e-01	 1.142879187563616e+00	 1.784535177385516e+01
0	 7.142957838731497e-01	 1.285740611004601e+00	 1.750607406831906e+01
0	 7.142957838731497e-01	 1.428601984435185e+00	 1.646578727351363e+01
0	 8.571566573284017e-01	 0.000000000000000e+00	-2.573565129416181e+00
0	 8.571566573284018e-01	 1.428576234225853e-01	 2.099454513073836e+00
0	 8.571566573284014e-01	 2.857161301906818e-01	 6.146185400417036e+00
0	 8.571566573284018e-01	 4.285754036348008e-01	 9.564802027071069e+00
0	 8.571566573284018e-01	 5.714353270854531e-01	 1.235347576588081e+01
0	 8.571566573284018e-01	 7.142957838731497e-01	 1.451037486830058e+01
0	 8.571566573284016e-01	 8.571566573284015e-01	 1.603366446457810e+01
0	 8.571566573284016e-01	 1.000017830781720e+00	 1.692150656390024e+01
0	 8.571566573284016e-01	 1.142879187563616e+00	 1.717206005450060e+01
0	 8.571566573284015e-01	 1.285740611004601e+00	 1.678348070372866e+01
0	 8.571566573284016e-01	 1.428601984435186e+00	 1.575392115808091e+01
0	 1.000017830781720e+00	 0.000000000000000e+00	-7.837714789805443e-01
0	 1.000017830781720e+00	 1.428576234225853e-01	 3.354679233495950e+00
0	 1.000017830781720e+00	 2.857161301906819e-01	 6.919751118374755e+00
0	 1.000017830781720e+00	 4.285754036348007e-01	 9.912877797945519e+00
0	 1.000017830781720e+00	 5.714353270854530e-01	 1.233549013717891e+01
0	 1.000017830781720e+00	 7.142957838731496e-01	 1.418901624392170e+01
0	 1.000017830781720e+00	 8.571566573284017e-01	 1.547488146905816e+01
0	 1.000017830781720e+00	 1.000017830781720e+00	 1.619450840663764e+01
0	 1.000017830781720e+00	 1.142879187563616e+00	 1.634931689396841e+01
0	 1.000017830781720e+00	 1.285740611004601e+00	 1.594072401167768e+01
0	 1.000017830781720e+00	 1.428601984435185e+00	 1.497014408373789e+01
0	 1.142879187563616e+00	 0.000000000000000e+00	 1.215290639854483e+00
0	 1.142879187563616e+00	 1.428576234225853e-01	 4.730967750864384e+00
0	 1.142879187563616e+00	 2.857161301906820e-01	 7.742584506623434e+00
0	 1.142879187563616e+00	 4.285754036348008e-01	 1.025411574271582e+01
0	 1.142879187563616e+00	 5.714353270854530e-01	 1.226953395861179e+01
0	 1.142879187563616e+00	 7.142957838731495e-01	 1.379280931783189e+01
0	 1.142879187563616e+00	 8.571566573284016e-01	 1.482790964808270e+01
0	 1.142879187563616e+00	 1.000017830781720e+00	 1.537880044136381e+01
0	 1.142879187563616e+00	 1.142879187563616e+00	 1.544944485404636e+01
0	 1.142879187563616e+00	 1.285740611004601e+00	 1.504380370692277e+01
0	 1.142879187563616e+00	 1.428601984435185e+00	 1.416583548522804e+01
0	 1.285740611004601e+00	 0.000000000000000e+00	 3.247811073704141e+00
0	 1.285740611004601e+00	 1.428576234225853e-01	 6.112569771894824e+00
0	 1.285740611004601e+00	 2.857161301906819e-01	 8.550696603294448e+00
0	 1.285740611004601e+00	 4.285754036348007e-01	 1.056798998094718e+01
0	 1.285740611004601e+00	 5.714353270854530e-01	 1.217024641923244e+01
0	 1.285740611004601e+00	 7.142957838731497e-01	 1.336326053399743e+01
0	 1.285740611004601e+00	 8.571566573284016e-01	 1.415282504266639e+01
0	 1.285740611004601e+00	 1.000017830781720e+00	 1.454473076432674e+01
0	 1.285740611004601e+00	 1.142879187563616e+00	 1.454476661979175e+01
0	 1.285740611004601e+00	 1.285740611004601e+00	 1.415871963164012e+01
0	 1.285740611004601e+00	 1.428601984435186e+00	 1.339237492423224e+01
0	 1.428601984435185e+00	 0.000000000000000e+00	 5.137980014421450e+00
0	 1.428601984435185e+00	 1.428576234225853e-01	 7.383735263169962e+00
0	 1.428601984435185e+00	 2.857161301906819e-01	 9.280098644511643e+00
0	 1.428601984435185e+00	 4.285754036348007e-01	 1.083397478830293e+01
0	 1.428601984435185e+00	 5.714353270854530e-01	 1.205226683876172e+01
0	 1.428601984435185e+00	 7.142957838731498e-01	 1.294187645457020e+01
0	 1.428601984435185e+00	 8.571566573284015e-01	 1.350970380895943e+01
0	 1.428601984435185e+00	 1.000017830781720e+00	 1.376264758977576e+01
0	 1.428601984435185e+00	 1.142879187563616e+00	 1.370760499952909e+01
0	 1.428601984435185e+00	 1.285740611004601e+00	 1.335147175542281e+01
0	 1.428601984435185e+00	 1.428601984435185e+00	 1.270114208936576e+01
0	 0.000000000000000e+00	 1.428601984435185e+00	 1.714818213732036e+01
0	 0.000000000000000e+00	 1.571453213328422e+00	 1.698490149517464e+01
0	 0.000000000000000e+00	 1.714304292230859e+00	 1.667219304918678e+01
0	 0.000000000000000e+00	 1.857155237808251e+00	 1.622458479690829e+01
0	 0.000000000000000e+00	 2.000006066726355e+00	 1.565660478878150e+01
0	 0.000000000000000e+00	 2.142856795650925e+00	 1.498278112813991e+01
0	 0.000000000000000e+00	 2.285707441247718e+00	 1.421764197120836e+01
0	 0.000000000000000e+00	 2.428558020182488e+00	 1.337571552710321e+01
0	 0.000000000000000e+00	 2.571408549120992e+00	 1.247153005783238e+01
0	 0.000000000000000e+00	 2.714259044728984e+00	 1.151961387829528e+01
0	 0.000000000000000e+00	 2.857109523672222e+00	 1.053449535628263e+01
0	 1.428576234225853e-01	 1.428601984435185e+00	 1.756655789437811e+01
0	 1.428576234225853e-01	 1.571453213328422e+00	 1.692472609662420e+01
0	 1.428576234225853e-01	 1.714304292230859e+00	 1.622803727384345e+01
0	 1.428576234225853e-01	 1.857155237808252e+00	 1.548780899733656e+01
0	 1.428576234225853e-01	 2.000006066726355e+00	 1.471535883538279e+01
0	 1.428576234225852e-01	 2.142856795650925e+00	 1.392200435323954e+01
0	 1.428576234225852e-01	 2.285707441247718e+00	 1.311906311314204e+01
0	 1.428576234225853e-01	 2.428558020182487e+00	 1.231785267430313e+01
0	 1.428576234225853e-01	 2.571408549120992e+00	 1.152969059291293e+01
0	 1.428576234225852e-01	 2.714259044728985e+00	 1.076589442213856e+01
0	 1.428576234225852e-01	 2.857109523672222e+00	 1.003778171212385e+01
0	 2.857161301906818e-01	 1.428601984435185e+00	 1.765612742308219e+01
0	 2.857161301906819e-01	 1.571453213328422e+00	 1.667607911742719e+01
0	 2.857161301906819e-01	 1.714304292230859e+00	 1.571396887601758e+01
0	 2.857161301906819e-01	 1.857155237808251e+00	 1.477822557702507e+01
0	 2.857161301906818e-01	 2.000006066726355e+00	 1.387727805399116e+01
