xi	eta	x	y	stress_rr	stress_sita
 0.0000000000e+000	 0.0000000000e+000	 1.0000000000e+000	 0.0000000000e+000	 3.1458910896e+001	 1.4746283544e+000
 0.0000000000e+000	 6.2500000000e-003	 9.9996079486e-001	 8.8548710816e-003	 3.1457033746e+001	 1.4739880737e+000
 0.0000000000e+000	 1.2500000000e-002	 9.9984261196e-001	 1.7741231999e-002	 3.1448815201e+001	 1.4732877854e+000
 0.0000000000e+000	 1.8750000000e-002	 9.9964460724e-001	 2.6658192499e-002	 3.1434099496e+001	 1.4725302574e+000
 0.0000000000e+000	 2.5000000000e-002	 9.9936594664e-001	 3.5604840910e-002	 3.1412728038e+001	 1.4717190824e+000
 0.0000000000e+000	 3.1250000000e-002	 9.9900580671e-001	 4.4580244178e-002	 3.1384539621e+001	 1.4708585630e+000
 0.0000000000e+000	 3.7500000000e-002	 9.9856337512e-001	 5.3583447921e-002	 3.1349370667e+001	 1.4699535820e+000
 0.0000000000e+000	 4.3750000000e-002	 9.9803785128e-001	 6.2613476500e-002	 3.1307055479e+001	 1.4690094579e+000
 0.0000000000e+000	 5.0000000000e-002	 9.9742844692e-001	 7.1669333105e-002	 3.1257426524e+001	 1.4680317838e+000
 0.0000000000e+000	 5.6250000000e-002	 9.9673438666e-001	 8.0749999857e-002	 3.1200314732e+001	 1.4670262502e+000
 0.0000000000e+000	 6.2500000000e-002	 9.9595490863e-001	 8.9854437932e-002	 3.1135549815e+001	 1.4659984504e+000
 6.2500000000e-003	 0.0000000000e+000	 1.0250000000e+000	 0.0000000000e+000	 2.9495529419e+001	 1.3885384377e+000
 6.2500000000e-003	 6.2500000000e-003	 1.0249598147e+000	 9.0762428582e-003	 2.9496223355e+001	 1.3897132105e+000
 6.2500000000e-003	 1.2500000000e-002	 1.0248386773e+000	 1.8184762798e-002	 2.9490349748e+001	 1.3904576084e+000
 6.2500000000e-003	 1.8750000000e-002	 1.0246357224e+000	 2.7324647310e-002	 2.9477737073e+001	 1.3907657500e+000
 6.2500000000e-003	 2.5000000000e-002	 1.0243500953e+000	 3.6494961931e-002	 2.9458210597e+001	 1.3906331581e+000
 6.2500000000e-003	 3.1250000000e-002	 1.0239809519e+000	 4.5694750280e-002	 2.9431592597e+001	 1.3900566727e+000
 6.2500000000e-003	 3.7500000000e-002	 1.0235274595e+000	 5.4923034116e-002	 2.9397702604e+001	 1.3890343509e+000
 6.2500000000e-003	 4.3750000000e-002	 1.0229887976e+000	 6.4178813409e-002	 2.9356357666e+001	 1.3875653534e+000
 6.2500000000e-003	 5.0000000000e-002	 1.0223641581e+000	 7.3461066429e-002	 2.9307372630e+001	 1.3856498149e+000
 6.2500000000e-003	 5.6250000000e-002	 1.0216527463e+000	 8.2768749849e-002	 2.9250560447e+001	 1.3832887011e+000
 6.2500000000e-003	 6.2500000000e-002	 1.0208537813e+000	 9.2100798875e-002	 2.9185732491e+001	 1.3804836485e+000
 1.2500000000e-002	 0.0000000000e+000	 1.0500000000e+000	 0.0000000000e+000	 2.7748150433e+001	 1.3950210058e+000
 1.2500000000e-002	 6.2500000000e-003	 1.0499588346e+000	 9.2976146348e-003	 2.7751170131e+001	 1.3977262807e+000
 1.2500000000e-002	 1.2500000000e-002	 1.0498347426e+000	 1.8628293597e-002	 2.7747437962e+001	 1.3996062792e+000
 1.2500000000e-002	 1.8750000000e-002	 1.0496268376e+000	 2.7991102121e-002	 2.7736766871e+001	 1.4006463590e+000
 1.2500000000e-002	 2.5000000000e-002	 1.0493342440e+000	 3.7385082952e-002	 2.7718966251e+001	 1.4008338214e+000
 1.2500000000e-002	 3.1250000000e-002	 1.0489560970e+000	 4.6809256382e-002	 2.7693842167e+001	 1.4001578530e+000
 1.2500000000e-002	 3.7500000000e-002	 1.0484915439e+000	 5.6262620311e-002	 2.7661197611e+001	 1.3986094554e+000
 1.2500000000e-002	 4.3750000000e-002	 1.0479397438e+000	 6.5744150319e-002	 2.7620832760e+001	 1.3961813613e+000
 1.2500000000e-002	 5.0000000000e-002	 1.0472998693e+000	 7.5252799753e-002	 2.7572545271e+001	 1.3928679386e+000
 1.2500000000e-002	 5.6250000000e-002	 1.0465711060e+000	 8.4787499842e-002	 2.7516130582e+001	 1.3886650802e+000
