label=Displacement
num_items=648

0:	0.000000e+000 0.000000e+000 
1:	2.323256e-005 0.000000e+000 
2:	-2.793594e-005 0.000000e+000 
3:	1.087138e-004 0.000000e+000 
4:	-5.589277e-004 0.000000e+000 
5:	-6.788865e-003 0.000000e+000 
6:	-1.041997e-002 0.000000e+000 
7:	-1.810883e-002 0.000000e+000 
8:	-2.184090e-002 0.000000e+000 
9:	-2.410011e-002 0.000000e+000 
10:	-2.641334e-002 0.000000e+000 
11:	-2.875678e-002 0.000000e+000 
12:	-3.112547e-002 0.000000e+000 
13:	-3.350768e-002 0.000000e+000 
14:	-3.589734e-002 0.000000e+000 
15:	-3.828600e-002 0.000000e+000 
16:	-4.066403e-002 0.000000e+000 
17:	-4.184033e-002 0.000000e+000 
18:	0.000000e+000 -3.172668e-005 
19:	-2.103472e-005 3.203306e-005 
20:	6.856143e-005 4.212079e-006 
21:	5.588488e-005 -2.829441e-004 
22:	-2.864478e-003 -3.670066e-005 
23:	-7.188330e-003 8.457549e-004 
24:	-1.286976e-002 1.536263e-003 
25:	-1.825495e-002 2.820922e-003 
26:	-2.183829e-002 2.869619e-003 
27:	-2.410129e-002 2.880332e-003 
28:	-2.641209e-002 2.865029e-003 
29:	-2.875717e-002 2.857369e-003 
30:	-3.112514e-002 2.845002e-003 
31:	-3.350769e-002 2.831214e-003 
32:	-3.589724e-002 2.814044e-003 
33:	-3.828594e-002 2.792117e-003 
34:	-4.066395e-002 2.762874e-003 
35:	-4.184036e-002 2.742460e-003 
36:	0.000000e+000 4.743952e-005 
37:	-6.062946e-007 -6.598985e-005 
38:	-6.970310e-005 -5.947977e-005 
39:	-1.131321e-003 1.479438e-003 
40:	-3.989333e-003 2.810422e-003 
41:	-8.789793e-003 4.720926e-003 
42:	-1.425895e-002 7.156139e-003 
43:	-1.864304e-002 8.503638e-003 
44:	-2.156277e-002 8.692680e-003 
45:	-2.388640e-002 8.648460e-003 
46:	-2.624816e-002 8.614819e-003 
47:	-2.862357e-002 8.579890e-003 
48:	-3.101122e-002 8.541770e-003 
49:	-3.340648e-002 8.498134e-003 
50:	-3.580406e-002 8.445753e-003 
51:	-3.819791e-002 8.379922e-003 
52:	-4.057984e-002 8.293253e-003 
53:	-4.175859e-002 8.233415e-003 
54:	0.000000e+000 -2.190670e-004 
55:	2.829493e-004 -1.614223e-004 
56:	1.578512e-004 3.023172e-003 
57:	-1.264707e-003 5.340524e-003 
58:	-4.902026e-003 7.853315e-003 
59:	-9.692569e-003 1.079819e-002 
60:	-1.471808e-002 1.353830e-002 
61:	-1.849992e-002 1.460773e-002 
62:	-2.106638e-002 1.459186e-002 
63:	-2.350901e-002 1.447435e-002 
64:	-2.594859e-002 1.440112e-002 
65:	-2.837457e-002 1.432735e-002 
66:	-3.079611e-002 1.425567e-002 
67:	-3.321338e-002 1.417753e-002 
68:	-3.562516e-002 1.408758e-002 
69:	-3.802828e-002 1.397786e-002 
70:	-4.041739e-002 1.383677e-002 
71:	-4.160064e-002 1.374138e-002 
72:	0.000000e+000 6.815176e-003 
73:	1.320786e-003 1.069673e-002 
74:	1.895192e-004 1.098274e-002 
75:	-1.914306e-003 1.286201e-002 
76:	-5.858259e-003 1.541820e-002 
77:	-1.035667e-002 1.842869e-002 
78:	-1.461832e-002 2.048466e-002 
