label=Displacement
num_items=324

0:	-9.724398e-003 0.000000e+000 
1:	-1.110265e-002 0.000000e+000 
2:	-1.217284e-002 0.000000e+000 
3:	-1.272372e-002 0.000000e+000 
4:	-1.313623e-002 0.000000e+000 
5:	-1.305273e-002 0.000000e+000 
6:	-1.205608e-002 0.000000e+000 
7:	-1.023534e-002 0.000000e+000 
8:	-8.846503e-003 0.000000e+000 
9:	-8.020679e-003 0.000000e+000 
10:	-7.099724e-003 0.000000e+000 
11:	-5.464592e-003 0.000000e+000 
12:	-3.224988e-003 0.000000e+000 
13:	-1.624655e-003 0.000000e+000 
14:	-7.162672e-004 0.000000e+000 
15:	-2.507239e-004 0.000000e+000 
16:	2.602433e-007 0.000000e+000 
17:	0.000000e+000 0.000000e+000 
18:	-9.732618e-003 1.270019e-003 
19:	-1.111174e-002 1.020318e-003 
20:	-1.217043e-002 8.988211e-004 
21:	-1.263849e-002 9.038825e-004 
22:	-1.281588e-002 9.258329e-004 
23:	-1.248785e-002 9.663152e-004 
24:	-1.146304e-002 9.591256e-004 
25:	-9.863050e-003 9.001953e-004 
26:	-8.509577e-003 8.563147e-004 
27:	-7.372005e-003 7.683752e-004 
28:	-6.128492e-003 6.969068e-004 
29:	-4.549167e-003 5.098933e-004 
30:	-2.758127e-003 2.595478e-004 
31:	-1.477603e-003 8.538781e-005 
32:	-6.891577e-004 1.378105e-005 
33:	-2.361105e-004 1.966094e-005 
34:	9.323649e-008 2.663228e-006 
35:	0.000000e+000 0.000000e+000 
36:	-9.660243e-003 3.835378e-003 
37:	-1.092065e-002 3.080910e-003 
38:	-1.188393e-002 2.685059e-003 
39:	-1.218931e-002 2.624598e-003 
40:	-1.202250e-002 2.648633e-003 
41:	-1.140483e-002 2.684938e-003 
42:	-1.038145e-002 2.622280e-003 
43:	-9.086508e-003 2.444800e-003 
44:	-7.766764e-003 2.223305e-003 
45:	-6.305275e-003 1.930609e-003 
46:	-4.765090e-003 1.590742e-003 
47:	-3.352892e-003 1.132447e-003 
48:	-2.107507e-003 6.035982e-004 
49:	-1.175339e-003 2.322772e-004 
50:	-5.562403e-004 6.896447e-005 
51:	-1.987163e-004 3.857174e-005 
52:	-1.206555e-005 3.814899e-006 
53:	0.000000e+000 0.000000e+000 
54:	-9.491045e-003 6.440104e-003 
55:	-1.051588e-002 5.206974e-003 
56:	-1.130705e-002 4.511954e-003 
57:	-1.147288e-002 4.329925e-003 
58:	-1.112328e-002 4.299283e-003 
59:	-1.036728e-002 4.269154e-003 
60:	-9.404033e-003 4.113964e-003 
61:	-8.254497e-003 3.793856e-003 
62:	-6.943082e-003 3.364929e-003 
63:	-5.500994e-003 2.804979e-003 
64:	-4.001074e-003 2.089128e-003 
65:	-2.731167e-003 1.420987e-003 
66:	-1.656191e-003 8.346026e-004 
67:	-8.556462e-004 3.992574e-004 
68:	-3.590750e-004 1.389190e-004 
69:	-1.401161e-004 5.994444e-005 
70:	-1.435145e-005 2.647765e-006 
71:	0.000000e+000 0.000000e+000 
72:	-9.222185e-003 9.051041e-003 
73:	-9.907065e-003 7.408461e-003 
74:	-1.045521e-002 6.415021e-003 
75:	-1.051269e-002 6.070952e-003 
76:	-1.011238e-002 5.923319e-003 
77:	-9.425082e-003 5.763548e-003 
78:	-8.566731e-003 5.477834e-003 
79:	-7.447686e-003 5.028103e-003 
80:	-6.151251e-003 4.395914e-003 
81:	-4.823593e-003 3.614208e-003 
82:	-3.420900e-003 2.641291e-003 
83:	-2.242218e-003 1.746317e-003 
84:	-1.312719e-003 1.021440e-003 
85:	-6.386783e-004 5.087441e-004 
86:	-2.116793e-004 1.712350e-004 
87:	-4.650131e-005 4.193750e-005 
88:	-1.398561e-005 1.637007e-005 
89:	0.000000e+000 0.000000e+000 
90:	-8.854243e-003 1.163287e-002 
91:	-9.125394e-003 9.690805e-003 
92:	-9.364463e-003 8.433941e-003 
93:	-9.325397e-003 7.920971e-003 
94:	-8.982489e-003 7.585553e-003 
95:	-8.421591e-003 7.288038e-003 
96:	-7.642855e-003 6.858408e-003 
97:	-6.660927e-003 6.232767e-003 
98:	-5.462248e-003 5.389672e-003 
99:	-4.266348e-003 4.378727e-003 
100:	-3.070552e-003 3.238626e-003 
101:	-1.937147e-003 2.111549e-003 
102:	-1.103976e-003 1.250034e-003 
103:	-5.142212e-004 6.384863e-004 
104:	-1.788136e-004 2.643577e-004 
105:	-4.993323e-006 3.769266e-005 
106:	2.565923e-006 -1.082675e-006 
107:	0.000000e+000 0.000000e+000 
108:	-8.390943e-003 1.415292e-002 
109:	-8.210743e-003 1.203916e-002 
110:	-8.101993e-003 1.063015e-002 
111:	-8.048044e-003 9.892668e-003 
112:	-7.793477e-003 9.387242e-003 
113:	-7.365037e-003 8.900184e-003 
114:	-6.734490e-003 8.305740e-003 
115:	-5.900557e-003 7.490595e-003 
116:	-4.878100e-003 6.415419e-003 
117:	-3.774414e-003 5.172125e-003 
118:	-2.745216e-003 3.905113e-003 
119:	-1.761670e-003 2.613333e-003 
120:	-9.856474e-004 1.502073e-003 
121:	-4.855450e-004 7.394268e-004 
122:	-1.991900e-004 3.170075e-004 
123:	-6.787731e-005 1.101677e-004 
124:	6.915132e-006 -3.159941e-006 
125:	0.000000e+000 0.000000e+000 
126:	-7.840645e-003 1.656673e-002 
127:	-7.189765e-003 1.446145e-002 
128:	-6.825354e-003 1.290726e-002 
129:	-6.749580e-003 1.202479e-002 
130:	-6.617012e-003 1.132958e-002 
131:	-6.379777e-003 1.067434e-002 
132:	-5.886481e-003 9.875056e-003 
133:	-5.166740e-003 8.808473e-003 
134:	-4.312378e-003 7.544664e-003 
135:	-3.350518e-003 6.058261e-003 
136:	-2.425640e-003 4.499271e-003 
137:	-1.642454e-003 3.100981e-003 
138:	-9.524956e-004 1.902861e-003 
139:	-4.620027e-004 9.726023e-004 
140:	-1.843189e-004 3.702194e-004 
141:	-5.620947e-005 9.695227e-005 
142:	-1.825118e-005 1.597528e-005 
143:	0.000000e+000 0.000000e+000 
144:	-7.204790e-003 1.884038e-002 
145:	-6.150691e-003 1.682508e-002 
146:	-5.590569e-003 1.525394e-002 
147:	-5.489039e-003 1.427067e-002 
148:	-5.533299e-003 1.344284e-002 
149:	-5.443623e-003 1.256585e-002 
150:	-5.121980e-003 1.146224e-002 
151:	-4.512210e-003 1.016954e-002 
152:	-3.787049e-003 8.628553e-003 
153:	-3.010283e-003 6.986184e-003 
154:	-2.197633e-003 5.286588e-003 
155:	-1.478068e-003 3.625833e-003 
156:	-9.398258e-004 2.175574e-003 
157:	-5.240542e-004 1.138050e-003 
158:	-2.272467e-004 4.994181e-004 
159:	-6.380843e-005 1.450035e-004 
160:	1.456879e-006 1.304376e-005 
161:	0.000000e+000 0.000000e+000 
162:	-6.498665e-003 2.089035e-002 
163:	-5.137008e-003 1.911340e-002 
164:	-4.435609e-003 1.760988e-002 
165:	-4.359939e-003 1.659001e-002 
166:	-4.503245e-003 1.560809e-002 
167:	-4.553351e-003 1.442356e-002 
168:	-4.382475e-003 1.306631e-002 
169:	-4.003943e-003 1.144497e-002 
170:	-3.378570e-003 9.728031e-003 
171:	-2.681861e-003 7.911810e-003 
172:	-2.015917e-003 6.017539e-003 
173:	-1.391015e-003 4.144209e-003 
174:	-8.731986e-004 2.585195e-003 
175:	-4.859399e-004 1.351188e-003 
176:	-2.338144e-004 5.383778e-004 
177:	-8.234358e-005 1.412751e-004 
178:	-8.520121e-006 -6.672242e-006 
179:	0.000000e+000 0.000000e+000 
180:	-5.719996e-003 2.269842e-002 
181:	-4.183567e-003 2.127556e-002 
182:	-3.404586e-003 1.992061e-002 
183:	-3.385340e-003 1.894166e-002 
184:	-3.554340e-003 1.767506e-002 
185:	-3.716723e-003 1.623176e-002 
186:	-3.729052e-003 1.451308e-002 
187:	-3.496135e-003 1.268377e-002 
188:	-3.090196e-003 1.077256e-002 
189:	-2.501951e-003 8.718590e-003 
190:	-1.842061e-003 6.605543e-003 
191:	-1.286379e-003 4.670375e-003 
192:	-8.168780e-004 2.808723e-003 
193:	-4.643091e-004 1.380777e-003 
194:	-2.158680e-004 5.472525e-004 
195:	-7.199359e-005 1.497401e-004 
196:	-1.744448e-005 3.804579e-005 
197:	0.000000e+000 0.000000e+000 
198:	-4.894750e-003 2.425693e-002 
199:	-3.299553e-003 2.324015e-002 
200:	-2.528466e-003 2.217123e-002 
201:	-2.551089e-003 2.119575e-002 
202:	-2.777411e-003 1.965851e-002 
203:	-3.013528e-003 1.784972e-002 
204:	-3.110435e-003 1.584477e-002 
205:	-3.048595e-003 1.377150e-002 
206:	-2.759236e-003 1.155840e-002 
207:	-2.311127e-003 9.301407e-003 
208:	-1.784227e-003 7.117809e-003 
209:	-1.189641e-003 4.824327e-003 
210:	-7.075652e-004 2.813960e-003 
211:	-3.958003e-004 1.449554e-003 
212:	-1.861164e-004 6.091870e-004 
213:	-7.009605e-005 2.108806e-004 
214:	5.367443e-006 -8.466040e-006 
215:	0.000000e+000 0.000000e+000 
216:	-4.034828e-003 2.556762e-002 
217:	-2.521005e-003 2.494157e-002 
218:	-1.797819e-003 2.431142e-002 
219:	-1.870247e-003 2.326248e-002 
220:	-2.164412e-003 2.146652e-002 
221:	-2.488513e-003 1.921548e-002 
222:	-2.653231e-003 1.688137e-002 
223:	-2.641242e-003 1.451997e-002 
224:	-2.471133e-003 1.200850e-002 
225:	-2.112296e-003 9.561561e-003 
226:	-1.594366e-003 7.086587e-003 
227:	-1.011373e-003 4.674997e-003 
228:	-6.001535e-004 2.859035e-003 
229:	-3.054848e-004 1.432158e-003 
230:	-1.415552e-004 5.348601e-004 
231:	-2.389575e-005 4.762762e-005 
232:	-7.460005e-006 -2.038267e-006 
233:	0.000000e+000 0.000000e+000 
234:	-3.152214e-003 2.661459e-002 
235:	-1.831221e-003 2.636395e-002 
236:	-1.245866e-003 2.613990e-002 
237:	-1.321010e-003 2.508695e-002 
238:	-1.723055e-003 2.296626e-002 
239:	-2.111221e-003 2.019801e-002 
240:	-2.277295e-003 1.745068e-002 
241:	-2.298373e-003 1.454133e-002 
242:	-2.152639e-003 1.171549e-002 
243:	-1.894113e-003 9.180656e-003 
244:	-1.394840e-003 6.527766e-003 
245:	-9.187231e-004 4.287620e-003 
246:	-5.313844e-004 2.457234e-003 
247:	-2.614742e-004 1.085716e-003 
248:	-9.318035e-005 2.637306e-004 
249:	-2.602184e-005 1.744202e-005 
250:	-1.345694e-005 2.803322e-005 
251:	0.000000e+000 0.000000e+000 
252:	-2.250035e-003 2.738577e-002 
253:	-1.235472e-003 2.746886e-002 
254:	-8.095994e-004 2.753621e-002 
255:	-9.141153e-004 2.651670e-002 
256:	-1.320870e-003 2.420202e-002 
257:	-1.799011e-003 2.087866e-002 
258:	-1.970018e-003 1.737270e-002 
259:	-1.852115e-003 1.372322e-002 
260:	-1.732894e-003 1.050794e-002 
261:	-1.611746e-003 7.680521e-003 
262:	-1.306541e-003 5.107550e-003 
263:	-9.276467e-004 3.171235e-003 
264:	-4.995225e-004 1.677269e-003 
265:	-2.138466e-004 6.235375e-004 
266:	-4.878345e-005 5.116894e-005 
267:	-3.268634e-005 4.641782e-005 
268:	6.352128e-006 -2.688824e-006 
269:	0.000000e+000 0.000000e+000 
270:	-1.342327e-003 2.788068e-002 
271:	-7.148833e-004 2.820254e-002 
272:	-4.540056e-004 2.846891e-002 
273:	-5.665865e-004 2.755659e-002 
274:	-8.767390e-004 2.535917e-002 
275:	-1.277054e-003 2.184061e-002 
276:	-1.402955e-003 1.731340e-002 
277:	-1.260332e-003 1.210676e-002 
278:	-1.215916e-003 8.206406e-003 
279:	-1.266517e-003 5.190536e-003 
280:	-1.335228e-003 2.875117e-003 
281:	-1.036862e-003 1.371784e-003 
282:	-4.787303e-004 6.439366e-004 
283:	-9.750689e-005 1.567307e-004 
284:	1.732625e-005 -3.343087e-005 
285:	-4.433363e-006 4.181109e-006 
286:	-7.076657e-007 -4.041971e-007 
287:	0.000000e+000 0.000000e+000 
288:	-4.441191e-004 2.810650e-002 
289:	-2.376449e-004 2.855596e-002 
290:	-1.447848e-004 2.892582e-002 
291:	-2.122823e-004 2.820912e-002 
292:	-3.281963e-004 2.652604e-002 
293:	-5.244921e-004 2.307082e-002 
294:	-5.698442e-004 1.734392e-002 
295:	-4.792013e-004 9.658354e-003 
296:	-5.018869e-004 4.369578e-003 
297:	-5.638579e-004 1.274869e-003 
298:	-7.008019e-004 -3.257789e-004 
299:	-5.509315e-004 -9.714581e-004 
300:	-2.437700e-004 -5.882617e-004 
301:	-7.067262e-006 -3.414741e-004 
302:	2.502298e-005 -1.641666e-004 
303:	5.719579e-006 -5.464864e-005 
304:	-5.809103e-006 -1.945960e-006 
305:	0.000000e+000 0.000000e+000 
306:	0.000000e+000 2.809718e-002 
307:	0.000000e+000 2.854337e-002 
308:	0.000000e+000 2.893137e-002 
309:	0.000000e+000 2.833937e-002 
310:	0.000000e+000 2.708362e-002 
311:	0.000000e+000 2.388605e-002 
312:	0.000000e+000 1.753055e-002 
313:	0.000000e+000 8.183867e-003 
314:	0.000000e+000 1.819671e-003 
315:	0.000000e+000 -1.347315e-003 
316:	0.000000e+000 -2.456709e-003 
317:	0.000000e+000 -2.546958e-003 
318:	0.000000e+000 -1.453109e-003 
319:	0.000000e+000 -6.901433e-004 
320:	0.000000e+000 -2.879092e-004 
321:	0.000000e+000 -1.061374e-004 
322:	0.000000e+000 3.032038e-006 
323:	0.000000e+000 0.000000e+000 
