patch_n	x	y	disp_x	disp_y
1	 1.000000000000000e+000	 0.000000000000000e+000	-9.723643506800000e-003	 0.000000000000000e+000
1	 9.999607948607566e-001	 8.854871081647989e-003	-9.723229549760543e-003	 2.485262714902833e-004
1	 9.998426119589265e-001	 1.774123199891274e-002	-9.722055307205060e-003	 4.979415961872256e-004
1	 9.996446072361988e-001	 2.665819249913576e-002	-9.720112111402836e-003	 7.482226633879518e-004
1	 9.993659466433188e-001	 3.560484091004572e-002	-9.717391255936745e-003	 9.993453440150372e-004
1	 9.990058067093818e-001	 4.458024417780557e-002	-9.713883999377738e-003	 1.251284681485554e-003
1	 9.985633751160035e-001	 5.358344792087626e-002	-9.709581569287723e-003	 1.504014883506971e-003
1	 9.980378512759272e-001	 6.261347650004139e-002	-9.704475166560958e-003	 1.757509314861154e-003
1	 9.974284469156017e-001	 7.166933310492560e-002	-9.698555970113428e-003	 2.011740491237465e-003
1	 9.967343866612562e-001	 8.074999985732717e-002	-9.691815141929251e-003	 2.266680074175483e-003
1	 9.959549086279672e-001	 8.985443793167208e-002	-9.684243832472341e-003	 2.522298867177163e-003
1	 9.950892650105072e-001	 9.898158769347730e-002	-9.675832438557767e-003	 2.778562880579680e-003
1	 9.941367226775285e-001	 1.081303688543235e-001	-9.666571347653676e-003	 3.035437211249270e-003
1	 9.930965637671555e-001	 1.172996806447691e-001	-9.656451697412586e-003	 3.292890001663494e-003
1	 9.919680862820068e-001	 1.264884020066532e-001	-9.645464639655849e-003	 3.550888534869207e-003
1	 9.907506046851591e-001	 1.356953918032302e-001	-9.633601347720793e-003	 3.809399237352525e-003
1	 9.894434504957537e-001	 1.449194890479377e-001	-9.620853024206136e-003	 4.068387683407085e-003
1	 9.880459728836375e-001	 1.541595131519814e-001	-9.607210909117737e-003	 4.327818601047743e-003
1	 9.865575392624050e-001	 1.634142641909075e-001	-9.592666288415611e-003	 4.587655879513850e-003
1	 9.849775358802030e-001	 1.726825231903044e-001	-9.577210502961866e-003	 4.847862578403068e-003
1	 9.833053684076398e-001	 1.819630524307584e-001	-9.560834957868044e-003	 5.108400938473081e-003
1	 9.815404625233627e-001	 1.912545957719429e-001	-9.543547740388415e-003	 5.369246863368334e-003
1	 9.796822644929402e-001	 2.005558789966087e-001	-9.525357213039893e-003	 5.630375631149551e-003
1	 9.777302417428043e-001	 2.098656101739950e-001	-9.506255315475750e-003	 5.891747353503621e-003
1	 9.756838834310224e-001	 2.191824800423045e-001	-9.486234086139380e-003	 6.153321377879149e-003
1	 9.735427010105086e-001	 2.285051624109132e-001	-9.465285673304539e-003	 6.415056306842691e-003
1	 9.713062287851814e-001	 2.378323145820489e-001	-9.443402346477576e-003	 6.676910019238647e-003
1	 9.689740244583480e-001	 2.471625777918797e-001	-9.420576508150102e-003	 6.938839693158115e-003
1	 9.665456696725904e-001	 2.564945776709277e-001	-9.396800705889214e-003	 7.200801830716408e-003
1	 9.640207705404181e-001	 2.658269247236918e-001	-9.372067644750437e-003	 7.462752284633094e-003
1	 9.613989581649598e-001	 2.751582148273362e-001	-9.346370199997244e-003	 7.724646286602519e-003
1	 9.586798891490923e-001	 2.844870297499801e-001	-9.319721579894953e-003	 7.986462163269042e-003
1	 9.558632460948671e-001	 2.938119376861946e-001	-9.292135386599901e-003	 8.248177914321883e-003
1	 9.529487380907489e-001	 3.031314938110319e-001	-9.263605374155963e-003	 8.509747435971679e-003
1	 9.499361011842371e-001	 3.124442408536596e-001	-9.234125510774873e-003	 8.771124123045967e-003
1	 9.468250988417171e-001	 3.217487096881426e-001	-9.203689992528998e-003	 9.032260905608262e-003
1	 9.436155223939605e-001	 3.310434199417802e-001	-9.172293257222760e-003	 9.293110287166678e-003
1	 9.403071914665515e-001	 3.403268806206379e-001	-9.139929998415458e-003	 9.553624384415411e-003
1	 9.368999543945392e-001	 3.495975907518841e-001	-9.106595179566931e-003	 9.813754968445778e-003
1	 9.333936886206079e-001	 3.588540400425037e-001	-9.072284048275963e-003	 1.007345350735705e-002
1	 9.297883010760839e-001	 3.680947095539379e-001	-9.036992150579936e-003	 1.033267121019080e-002
1	 9.260837285441588e-001	 3.773180723910820e-001	-9.000735717056211e-003	 1.059140809757875e-002
1	 9.222799380044704e-001	 3.865225944084202e-001	-8.963531467311173e-003	 1.084966441231408e-002
1	 9.183769269585734e-001	 3.957067349304587e-001	-8.925376163450471e-003	 1.110739142698799e-002
1	 9.143747237357484e-001	 4.048689474837915e-001	-8.886266912215925e-003	 1.136454031603561e-002
1	 9.102733877783561e-001	 4.140076805434687e-001	-8.846201178854067e-003	 1.162106220439390e-002
1	 9.060730099062140e-001	 4.231213782919207e-001	-8.805176800838753e-003	 1.187690821691448e-002
1	 9.017737125594310e-001	 4.322084813897780e-001	-8.763192001409417e-003	 1.213202952841606e-002
1	 8.973756500191497e-001	 4.412674277578940e-001	-8.720245402885808e-003	 1.238637741425666e-002
1	 8.928790086056802e-001	 4.502966533698553e-001	-8.676336039719628e-003	 1.263990330130159e-002
1	 8.882840068535240e-001	 4.592945930542355e-001	-8.631463371243110e-003	 1.289255881915931e-002
1	 8.835908956630776e-001	 4.682596813065159e-001	-8.585654452521446e-003	 1.314429006525483e-002
1	 8.787999584278389e-001	 4.771903531077780e-001	-8.538936950510508e-003	 1.339504340786370e-002
1	 8.739115111371586e-001	 4.860850447508235e-001	-8.491311904119864e-003	 1.364477134348641e-002
1	 8.689259024546857e-001	 4.949421946742139e-001	-8.442780808379574e-003	 1.389342677971741e-002
1	 8.638435137714190e-001	 5.037602443012850e-001	-8.393345624840908e-003	 1.414096308585184e-002
1	 8.586647592332958e-001	 5.125376388839766e-001	-8.343008791444990e-003	 1.438733414293779e-002
1	 8.533900857430298e-001	 5.212728283505859e-001	-8.291773231821183e-003	 1.463249439313320e-002
1	 8.480199729359590e-001	 5.299642681565353e-001	-8.239642363977824e-003	 1.487639888822698e-002
1	 8.425549331296910e-001	 5.386104201372433e-001	-8.186620108348872e-003	 1.511900333718476e-002
1	 8.369955112473729e-001	 5.472097533621585e-001	-8.132710895161169e-003	 1.536026415258118e-002
1	 8.313422847138690e-001	 5.557607449888236e-001	-8.077896833101152e-003	 1.560017971567726e-002
1	 8.255958633264966e-001	 5.642618811166034e-001	-8.022160463377618e-003	 1.583874936246300e-002
1	 8.197568890991045e-001	 5.727116576387266e-001	-7.965507658315220e-003	 1.607593210592393e-002
1	 8.138260360782970e-001	 5.811085810912835e-001	-7.907944836234682e-003	 1.631168780897045e-002
1	 8.078040101335782e-001	 5.894511694987999e-001	-7.849478965068473e-003	 1.654597722310127e-002
1	 8.016915487208972e-001	 5.977379532152195e-001	-7.790117565106636e-003	 1.677876202520922e-002
1	 7.954894206196911e-001	 6.059674757593236e-001	-7.729868710849297e-003	 1.701000485241881e-002
1	 7.891984256435694e-001	 6.141382946436214e-001	-7.668741031944678e-003	 1.723966933485076e-002
1	 7.828193943248221e-001	 6.222489821957408e-001	-7.606743713193824e-003	 1.746772012621550e-002
1	 7.763531875729710e-001	 6.302981263713646e-001	-7.543865533962189e-003	 1.769420343076740e-002
1	 7.698006963084499e-001	 6.382843315578651e-001	-7.480081789619467e-003	 1.791912405136987e-002
1	 7.631628410692363e-001	 6.462062193673844e-001	-7.415435882007133e-003	 1.814223131641626e-002
1	 7.564405715924579e-001	 6.540624294185955e-001	-7.349945309275368e-003	 1.836347587736313e-002
1	 7.496348663729668e-001	 6.618516201064839e-001	-7.283627993308209e-003	 1.858280884239547e-002
1	 7.427467321968387e-001	 6.695724693589141e-001	-7.216502260942910e-003	 1.880018180959422e-002
1	 7.357772036510777e-001	 6.772236753791964e-001	-7.148586824767928e-003	 1.901554690071194e-002
1	 7.287273426100213e-001	 6.848039573737852e-001	-7.079900763539914e-003	 1.922885679553028e-002
1	 7.215982376989777e-001	 6.923120562642573e-001	-7.010463502260550e-003	 1.944006476676664e-002
1	 7.143910037356573e-001	 6.997467353827421e-001	-6.940294791954284e-003	 1.964912471549174e-002
1	 7.071067811500000e-001	 7.071067811500000e-001	-6.869414689188167e-003	 1.985599120701411e-002
1	 6.997467353827424e-001	 7.143910037356571e-001	-6.797775316290831e-003	 2.006069278516586e-002
1	 6.923120562642576e-001	 7.215982376989775e-001	-6.725329081507686e-003	 2.026325870740992e-002
1	 6.848039573737854e-001	 7.287273426100208e-001	-6.652096899003545e-003	 2.046364568026596e-002
1	 6.772236753791966e-001	 7.357772036510774e-001	-6.578099948623468e-003	 2.066181117454772e-002
1	 6.695724693589144e-001	 7.427467321968385e-001	-6.503359654647774e-003	 2.085771346281497e-002
1	 6.618516201064841e-001	 7.496348663729666e-001	-6.427897664496498e-003	 2.105131165694761e-002
