x	y	stress_xx
 1.0000000000e+000	 0.0000000000e+000	 1.4819561444e+000
 9.9996079486e-001	 8.8548710816e-003	 1.4826810403e+000
 9.9984261196e-001	 1.7741231999e-002	 1.4878307769e+000
 9.9964460724e-001	 2.6658192499e-002	 1.4974489131e+000
 9.9936594664e-001	 3.5604840910e-002	 1.5115746698e+000
 9.9900580671e-001	 4.4580244178e-002	 1.5302427770e+000
 9.9856337512e-001	 5.3583447921e-002	 1.5534833219e+000
 9.9803785128e-001	 6.2613476500e-002	 1.5813215983e+000
 9.9742844692e-001	 7.1669333105e-002	 1.6137779588e+000
 9.9673438666e-001	 8.0749999857e-002	 1.6508676676e+000
 9.9595490863e-001	 8.9854437932e-002	 1.6926007574e+000
 1.0250000000e+000	 0.0000000000e+000	 1.3944895373e+000
 1.0249598147e+000	 9.0762428582e-003	 1.3963726467e+000
 1.0248386773e+000	 1.8184762798e-002	 1.4016559432e+000
 1.0246357224e+000	 2.7324647310e-002	 1.4103697927e+000
 1.0243500953e+000	 3.6494961931e-002	 1.4225407582e+000
 1.0239809519e+000	 4.5694750280e-002	 1.4381914706e+000
 1.0235274595e+000	 5.4923034116e-002	 1.4573405026e+000
 1.0229887976e+000	 6.4178813409e-002	 1.4800022425e+000
 1.0223641581e+000	 7.3461066429e-002	 1.5061867706e+000
 1.0216527463e+000	 8.2768749849e-002	 1.5358997378e+000
 1.0208537813e+000	 9.2100798875e-002	 1.5691422459e+000
 1.0500000000e+000	 0.0000000000e+000	 1.3998912723e+000
 1.0499588346e+000	 9.2976146348e-003	 1.4027955088e+000
 1.0498347426e+000	 1.8628293597e-002	 1.4081259297e+000
 1.0496268376e+000	 2.7991102121e-002	 1.4159002576e+000
 1.0493342440e+000	 3.7385082952e-002	 1.4261329283e+000
 1.0489560970e+000	 4.6809256382e-002	 1.4388349863e+000
 1.0484915439e+000	 5.6262620311e-002	 1.4540139819e+000
 1.0479397438e+000	 6.5744150319e-002	 1.4716738693e+000
 1.0472998693e+000	 7.5252799753e-002	 1.4918149076e+000
 1.0465711060e+000	 8.4787499842e-002	 1.5144335624e+000
 1.0457526541e+000	 9.4347159819e-002	 1.5395224103e+000
 1.0750000000e+000	 0.0000000000e+000	 1.4916287183e+000
 1.0749578545e+000	 9.5189864113e-003	 1.4954339970e+000
 1.0748308079e+000	 1.9071824396e-002	 1.5007385213e+000
 1.0746179528e+000	 2.8657556932e-002	 1.5075478751e+000
 1.0743183926e+000	 3.8275203973e-002	 1.5158648545e+000
 1.0739312422e+000	 4.7923762484e-002	 1.5256893872e+000
 1.0734556282e+000	 5.7602206507e-002	 1.5370184520e+000
 1.0728906901e+000	 6.7309487228e-002	 1.5498460017e+000
 1.0722355804e+000	 7.7044533077e-002	 1.5641628857e+000
 1.0714894657e+000	 8.6806249835e-002	 1.5799567763e+000
 1.0706515268e+000	 9.6593520764e-002	 1.5972120955e+000
 1.1000000000e+000	 0.0000000000e+000	 1.6637631199e+000
 1.0999568743e+000	 9.7403581879e-003	 1.6683651404e+000
 1.0998268732e+000	 1.9515355195e-002	 1.6735832700e+000
 1.0996090680e+000	 2.9324011743e-002	 1.6794114172e+000
 1.0993025413e+000	 3.9165324994e-002	 1.6858411862e+000
 1.0989063874e+000	 4.9038268587e-002	 1.6928618180e+000
 1.0984197126e+000	 5.8941792703e-002	 1.7004601344e+000
 1.0978416364e+000	 6.8874824138e-002	 1.7086204817e+000
 1.0971712916e+000	 7.8836266402e-002	 1.7173246775e+000
 1.0964078253e+000	 8.8824999828e-002	 1.7265519583e+000
 1.0955503995e+000	 9.8839881709e-002	 1.7362789299e+000
 1.1250000000e+000	 0.0000000000e+000	 1.9108836109e+000
 1.1249558942e+000	 9.9617299645e-003	 1.9161927756e+000
 1.1248229385e+000	 1.9958885994e-002	 1.9212757428e+000
 1.1246001831e+000	 2.9990466555e-002	 1.9261151712e+000
 1.1242866900e+000	 4.0055446015e-002	 1.9306918835e+000
 1.1238815325e+000	 5.0152774689e-002	 1.9349848300e+000
 1.1233837970e+000	 6.0281378898e-002	 1.9389710540e+000
 1.1227925827e+000	 7.0440161048e-002	 1.9426256579e+000
 1.1221070028e+000	 8.0627999727e-002	 1.9459217724e+000
 1.1213261850e+000	 9.0843749822e-002	 1.9488305258e+000
 1.1204492722e+000	 1.0108624265e-001	 1.9513210164e+000
 1.1500000000e+000	 0.0000000000e+000	 2.2280498353e+000
 1.1499549141e+000	 1.0183101741e-002	 2.2339902855e+000
 1.1498190038e+000	 2.0402416793e-002	 2.2389003463e+000
 1.1495912983e+000	 3.0656921366e-002	 2.2427518178e+000
 1.1492708386e+000	 4.0945567036e-002	 2.2455151187e+000
 1.1488566777e+000	 5.1267280792e-002	 2.2471592709e+000
 1.1483478814e+000	 6.1620965094e-002	 2.2476518864e+000
 1.1477435290e+000	 7.2005497959e-002	 2.2469591558e+000
 1.1470427139e+000	 8.2419733053e-002	 2.2450458384e+000
 1.1462445446e+000	 9.2862499816e-002	 2.2418752530e+000
 1.1453481449e+000	 1.0333260360e-001	 2.2374092721e+000
 1.1750000000e+000	 0.0000000000e+000	 2.6107418930e+000
 1.1749539340e+000	 1.0404473518e-002	 2.6172506470e+000
 1.1748150691e+000	 2.0845947592e-002	 2.6219604500e+000
 1.1745824135e+000	 3.1323376177e-002	 2.6248326031e+000
 1.1742549873e+000	 4.1835688057e-002	 2.6258274665e+000
 1.1738318229e+000	 5.2381786895e-002	 2.6249044663e+000
 1.1733119658e+000	 6.2960551291e-002	 2.6220221018e+000
 1.1726944752e+000	 7.3570834869e-002	 2.6171379552e+000
 1.1719784251e+000	 8.4211466378e-002	 2.6102087024e+000
 1.1711629043e+000	 9.4881249811e-002	 2.6011901259e+000
 1.1702470176e+000	 1.0557896455e-001	 2.5900371286e+000
 1.2000000000e+000	 0.0000000000e+000	 3.0548165422e+000
 1.1999529538e+000	 1.0625845294e-002	 3.0618427237e+000
 1.1998111344e+000	 2.1289478391e-002	 3.0663347447e+000
 1.1995735287e+000	 3.1989830989e-002	 3.0682437369e+000
 1.1992391360e+000	 4.2725809079e-002	 3.0675203200e+000
 1.1988069680e+000	 5.3496292997e-002	 3.0641146286e+000
 1.1982760501e+000	 6.4300137487e-002	 3.0579763406e+000
 1.1976454215e+000	 7.5136171780e-002	 3.0490547071e+000
 1.1969141363e+000	 8.6003199704e-002	 3.0372985843e+000
 1.1960812640e+000	 9.6899999806e-002	 3.0226564664e+000
 1.1951458903e+000	 1.0782532549e-001	 3.0050765204e+000
 1.2250000000e+000	 0.0000000000e+000	 3.5564687647e+000
 1.2249519737e+000	 1.0847217071e-002	 3.5639729100e+000
 1.2248071996e+000	 2.1733009191e-002	 3.5682389439e+000
 1.2245646439e+000	 3.2656285800e-002	 3.5692081320e+000
 1.2242232846e+000	 4.3615930100e-002	 3.5668216442e+000
 1.2237821132e+000	 5.4610799100e-002	 3.5610206028e+000
 1.2232401345e+000	 6.5639723683e-002	 3.5517461303e+000
 1.2225963678e+000	 7.6701508691e-002	 3.5389394003e+000
 1.2218498475e+000	 8.7794933031e-002	 3.5225416890e+000
 1.2209996236e+000	 9.8918749801e-002	 3.5024944286e+000
 1.2200447631e+000	 1.1007168644e-001	 3.4787392621e+000
 1.2500000000e+000	 0.0000000000e+000	 4.1121979440e+000
 1.2499509936e+000	 1.1068588847e-002	 4.1201513777e+000
 1.2498032649e+000	 2.2176539990e-002	 4.1241920820e+000
 1.2495557590e+000	 3.3322740611e-002	 4.1242517333e+000
 1.2492074333e+000	 4.4506051122e-002	 4.1202623188e+000
 1.2487572584e+000	 5.5725305204e-002	 4.1121562032e+000
 1.2482042189e+000	 6.6979309880e-002	 4.0998661971e+000
 1.2475473141e+000	 7.8266845602e-002	 4.0833256273e+000
 1.2467855586e+000	 8.9586666357e-002	 4.0624684084e+000
 1.2459179833e+000	 1.0093749980e-001	 4.0372291157e+000
 1.2449436358e+000	 1.1231804739e-001	 4.0075430602e+000
 9.9595490863e-001	 8.9854437932e-002	 1.6926007574e+000
 9.9508926501e-001	 9.8981587693e-002	 1.7378069716e+000
 9.9413672268e-001	 1.0813036885e-001	 1.7863576263e+000
 9.9309656377e-001	 1.1729968064e-001	 1.8382809389e+000
 9.9196808628e-001	 1.2648840201e-001	 1.8936011371e+000
 9.9075060469e-001	 1.3569539180e-001	 1.9523383354e+000
 9.8944345050e-001	 1.4491948905e-001	 2.0145084137e+000
 9.8804597288e-001	 1.5415951315e-001	 2.0801228975e+000
 9.8655753926e-001	 1.6341426419e-001	 2.1491888411e+000
 9.8497753588e-001	 1.7268252319e-001	 2.2217087142e+000
 9.8330536841e-001	 1.8196305243e-001	 2.2976802903e+000
 1.0208537813e+000	 9.2100798875e-002	 1.5691422459e+000
 1.0199664966e+000	 1.0145612738e-001	 1.6090408645e+000
 1.0189901407e+000	 1.1083362807e-001	 1.6513500171e+000
 1.0179239779e+000	 1.2023217266e-001	 1.6960873422e+000
 1.0167672884e+000	 1.2965061205e-001	 1.7432670521e+000
 1.0155193698e+000	 1.3908777659e-001	 1.7928998313e+000
 1.0141795368e+000	 1.4854247627e-001	 1.8449927374e+000
 1.0127471222e+000	 1.5801350098e-001	 1.8995491038e+000
 1.0112214777e+000	 1.6749962079e-001	 1.9565684448e+000
 1.0096019743e+000	 1.7699958627e-001	 2.0160463631e+000
 1.0078880026e+000	 1.8651212874e-001	 2.0779744604e+000
 1.0457526541e+000	 9.4347159819e-002	 1.5395224103e+000
 1.0448437283e+000	 1.0393066707e-001	 1.5739350370e+000
 1.0438435588e+000	 1.1353688729e-001	 1.6098689442e+000
 1.0427513919e+000	 1.2316466467e-001	 1.6473316521e+000
 1.0415664906e+000	 1.3281282210e-001	 1.6863277999e+000
 1.0402881349e+000	 1.4248016138e-001	 1.7268590663e+000
 1.0389156230e+000	 1.5216546349e-001	 1.7689240920e+000
 1.0374482715e+000	 1.6186748880e-001	 1.8125184035e+000
 1.0358854162e+000	 1.7158497739e-001	 1.8576343398e+000
