xi	eta	x	y	stress_vm
 0.0000000000e+000	 0.0000000000e+000	 1.0000000000e+000	 0.0000000000e+000	 3.0783967571e+001
 0.0000000000e+000	 6.2500000000e-003	 9.9996079486e-001	 8.8548710816e-003	 3.0780176656e+001
 0.0000000000e+000	 1.2500000000e-002	 9.9984261196e-001	 1.7741231999e-002	 3.0770140234e+001
 0.0000000000e+000	 1.8750000000e-002	 9.9964460724e-001	 2.6658192499e-002	 3.0753748613e+001
 0.0000000000e+000	 2.5000000000e-002	 9.9936594664e-001	 3.5604840910e-002	 3.0730892803e+001
 0.0000000000e+000	 3.1250000000e-002	 9.9900580671e-001	 4.4580244178e-002	 3.0701464726e+001
 0.0000000000e+000	 3.7500000000e-002	 9.9856337512e-001	 5.3583447921e-002	 3.0665357439e+001
 0.0000000000e+000	 4.3750000000e-002	 9.9803785128e-001	 6.2613476500e-002	 3.0622465375e+001
 0.0000000000e+000	 5.0000000000e-002	 9.9742844692e-001	 7.1669333105e-002	 3.0572684586e+001
 0.0000000000e+000	 5.6250000000e-002	 9.9673438666e-001	 8.0749999857e-002	 3.0515912999e+001
 0.0000000000e+000	 6.2500000000e-002	 9.9595490863e-001	 8.9854437932e-002	 3.0452050692e+001
 6.2500000000e-003	 0.0000000000e+000	 1.0250000000e+000	 0.0000000000e+000	 2.8852144200e+001
 6.2500000000e-003	 6.2500000000e-003	 1.0249598147e+000	 9.0762428582e-003	 2.8851135208e+001
 6.2500000000e-003	 1.2500000000e-002	 1.0248386773e+000	 1.8184762798e-002	 2.8843875234e+001
 6.2500000000e-003	 1.8750000000e-002	 1.0246357224e+000	 2.7324647310e-002	 2.8830248312e+001
 6.2500000000e-003	 2.5000000000e-002	 1.0243500953e+000	 3.6494961931e-002	 2.8810138833e+001
 6.2500000000e-003	 3.1250000000e-002	 1.0239809519e+000	 4.5694750280e-002	 2.8783431757e+001
 6.2500000000e-003	 3.7500000000e-002	 1.0235274595e+000	 5.4923034116e-002	 2.8750012834e+001
 6.2500000000e-003	 4.3750000000e-002	 1.0229887976e+000	 6.4178813409e-002	 2.8709768832e+001
 6.2500000000e-003	 5.0000000000e-002	 1.0223641581e+000	 7.3461066429e-002	 2.8662587776e+001
 6.2500000000e-003	 5.6250000000e-002	 1.0216527463e+000	 8.2768749849e-002	 2.8608359202e+001
 6.2500000000e-003	 6.2500000000e-002	 1.0208537813e+000	 9.2100798875e-002	 2.8546974415e+001
 1.2500000000e-002	 0.0000000000e+000	 1.0500000000e+000	 0.0000000000e+000	 2.7096348085e+001
 1.2500000000e-002	 6.2500000000e-003	 1.0499588346e+000	 9.2976146348e-003	 2.7097714756e+001
 1.2500000000e-002	 1.2500000000e-002	 1.0498347426e+000	 1.8628293597e-002	 2.7092871392e+001
 1.2500000000e-002	 1.8750000000e-002	 1.0496268376e+000	 2.7991102121e-002	 2.7081696135e+001
 1.2500000000e-002	 2.5000000000e-002	 1.0493342440e+000	 3.7385082952e-002	 2.7064067183e+001
 1.2500000000e-002	 3.1250000000e-002	 1.0489560970e+000	 4.6809256382e-002	 2.7039862998e+001
 1.2500000000e-002	 3.7500000000e-002	 1.0484915439e+000	 5.6262620311e-002	 2.7008962517e+001
 1.2500000000e-002	 4.3750000000e-002	 1.0479397438e+000	 6.5744150319e-002	 2.6971245377e+001
 1.2500000000e-002	 5.0000000000e-002	 1.0472998693e+000	 7.5252799753e-002	 2.6926592152e+001
 1.2500000000e-002	 5.6250000000e-002	 1.0465711060e+000	 8.4787499842e-002	 2.6874884594e+001
 1.2500000000e-002	 6.2500000000e-002	 1.0457526541e+000	 9.4347159819e-002	 2.6816005888e+001
 1.8750000000e-002	 0.0000000000e+000	 1.0750000000e+000	 0.0000000000e+000	 2.5504791867e+001
 1.8750000000e-002	 6.2500000000e-003	 1.0749578545e+000	 9.5189864113e-003	 2.5508196468e+001
 1.8750000000e-002	 1.2500000000e-002	 1.0748308079e+000	 1.9071824396e-002	 2.5505476522e+001
 1.8750000000e-002	 1.8750000000e-002	 1.0746179528e+000	 2.8657556932e-002	 2.5496504645e+001
