x	y	stress_yy
 1.000000000000000e+000	 0.000000000000000e+000	 3.149940551768579e+001
 9.999607948607566e-001	 8.854871081647989e-003	 3.149347359295875e+001
 9.998426119589265e-001	 1.774123199891274e-002	 3.147665453941736e+001
 9.996446072361988e-001	 2.665819249913576e-002	 3.144883326746421e+001
 9.993659466433188e-001	 3.560484091004572e-002	 3.140989731274915e+001
 9.990058067093818e-001	 4.458024417780557e-002	 3.135973698369364e+001
 9.985633751160035e-001	 5.358344792087626e-002	 3.129824551080071e+001
 9.980378512759272e-001	 6.261347650004139e-002	 3.122531919759786e+001
 9.974284469156017e-001	 7.166933310492560e-002	 3.114085757304973e+001
 9.967343866612562e-001	 8.074999985732717e-002	 3.104476354526856e+001
 9.959549086279672e-001	 8.985443793167208e-002	 3.093694355634000e+001
 1.025000000000000e+000	 0.000000000000000e+000	 2.952412965369210e+001
 1.024959814732242e+000	 9.076242858200138e-003	 2.952214236024948e+001
 1.024838677257766e+000	 1.818476279791112e-002	 2.950979599576134e+001
 1.024635722416802e+000	 2.732464731015810e-002	 2.948696960548215e+001
 1.024350095308862e+000	 3.649496193086307e-002	 2.945354449148902e+001
 1.023980951876270e+000	 4.569475027984317e-002	 2.940940436123011e+001
 1.023527459492681e+000	 5.492303411602097e-002	 2.935443547836796e+001
 1.022988797556156e+000	 6.417881340919977e-002	 2.928852681577490e+001
 1.022364158086304e+000	 7.346106642874495e-002	 2.921157021052800e+001
 1.021652746325009e+000	 8.276874984949986e-002	 2.912346052074092e+001
 1.020853781340225e+000	 9.210079887525120e-002	 2.902409578405804e+001
 1.050000000000000e+000	 0.000000000000000e+000	 2.776859604375982e+001
 1.049958834603733e+000	 9.297614634757053e-003	 2.776992286296169e+001
 1.049834742556624e+000	 1.862829359692863e-002	 2.776141092244184e+001
 1.049626837597447e+000	 2.799110212122364e-002	 2.774293343310246e+001
 1.049334243974483e+000	 3.738508295175749e-002	 2.771436549743169e+001
 1.048956097043280e+000	 4.680925638200162e-002	 2.767558425921848e+001
 1.048491543869534e+000	 5.626262031134031e-002	 2.762646905607489e+001
 1.047939743836623e+000	 6.574415031859668e-002	 2.756690157463404e+001
 1.047299869257318e+000	 7.525279975287688e-002	 2.749676600828124e+001
 1.046571105989159e+000	 8.478749984206949e-002	 2.741594921726398e+001
 1.045752654052973e+000	 9.434715981932203e-002	 2.732434089101498e+001
 1.075000000000000e+000	 0.000000000000000e+000	 2.621727145536116e+001
 1.074957854475228e+000	 9.518986411318733e-003	 2.622135572096488e+001
 1.074830807855502e+000	 1.907182439596528e-002	 2.621611461597275e+001
 1.074617952778136e+000	 2.865755693233238e-002	 2.620141552549715e+001
 1.074318392640181e+000	 3.827520397272898e-002	 2.617712736334164e+001
 1.073931242210410e+000	 4.792376248428091e-002	 2.614312072302644e+001
 1.073455628246560e+000	 5.760220650683429e-002	 2.609926803213948e+001
 1.072890690117328e+000	 6.730948722823207e-002	 2.604544370989128e+001
 1.072235580428645e+000	 7.704453307732143e-002	 2.598152432774132e+001
 1.071489465653705e+000	 8.680624983503610e-002	 2.590738877295020e+001
 1.070651526766214e+000	 9.659352076388458e-002	 2.582291841490023e+001
 1.100000000000000e+000	 0.000000000000000e+000	 2.485603476801335e+001
 1.099956874346727e+000	 9.740358187885179e-003	 2.486238810399927e+001
 1.099826873154398e+000	 1.951535519502105e-002	 2.485992329431592e+001
 1.099609067958868e+000	 2.932401174348432e-002	 2.484850188601549e+001
 1.099302541305955e+000	 3.916532499377757e-002	 2.482798659350063e+001
 1.098906387377661e+000	 4.903826858668107e-002	 2.479824145100796e+001
 1.098419712623762e+000	 5.894179270250287e-002	 2.475913196894052e+001
 1.097841636398272e+000	 6.887482413810600e-002	 2.471052529393897e+001
 1.097171291600285e+000	 7.883626640207853e-002	 2.465229037256766e+001
 1.096407825318649e+000	 8.882499982839963e-002	 2.458429811847982e+001
 1.095550399479947e+000	 9.883988170893882e-002	 2.450642158291135e+001
 1.125000000000000e+000	 0.000000000000000e+000	 2.367202007194085e+001
