x	y	stress_yy
 1.000000000000000e+000	 0.000000000000000e+000	 3.149884153355341e+001
 9.999607948607566e-001	 8.854871081647989e-003	 3.148662736891475e+001
 9.998426119589265e-001	 1.774123199891274e-002	 3.146330751452840e+001
 9.996446072361988e-001	 2.665819249913576e-002	 3.142874950647807e+001
 9.993659466433188e-001	 3.560484091004573e-002	 3.138282366806367e+001
 9.990058067093817e-001	 4.458024417780557e-002	 3.132540329410928e+001
 9.985633751160035e-001	 5.358344792087626e-002	 3.125636483783310e+001
 9.980378512759272e-001	 6.261347650004139e-002	 3.117558810006921e+001
 9.974284469156016e-001	 7.166933310492561e-002	 3.108295642061783e+001
 9.967343866612564e-001	 8.074999985732718e-002	 3.097835687148714e+001
 9.959549086279672e-001	 8.985443793167208e-002	 3.086168045177556e+001
 1.025000000000000e+000	 0.000000000000000e+000	 2.948662087328937e+001
 1.024959814732242e+000	 9.076242858200138e-003	 2.948291144194470e+001
 1.024838677257766e+000	 1.818476279791112e-002	 2.946864824279999e+001
 1.024635722416802e+000	 2.732464731015810e-002	 2.944367684330977e+001
 1.024350095308862e+000	 3.649496193086309e-002	 2.940784490921425e+001
 1.023980951876270e+000	 4.569475027984318e-002	 2.936100239855637e+001
 1.023527459492681e+000	 5.492303411602097e-002	 2.930300175936517e+001
 1.022988797556156e+000	 6.417881340919977e-002	 2.923369813080907e+001
 1.022364158086304e+000	 7.346106642874495e-002	 2.915294954760680e+001
 1.021652746325009e+000	 8.276874984949986e-002	 2.906061714746851e+001
 1.020853781340225e+000	 9.210079887525120e-002	 2.895656538132311e+001
 1.050000000000000e+000	 0.000000000000000e+000	 2.770488098078653e+001
 1.049958834603733e+000	 9.297614634757053e-003	 2.770790453733527e+001
 1.049834742556624e+000	 1.862829359692863e-002	 2.770090844051846e+001
 1.049626837597447e+000	 2.799110212122364e-002	 2.768371658586248e+001
 1.049334243974483e+000	 3.738508295175749e-002	 2.765615429278691e+001
 1.048956097043280e+000	 4.680925638200162e-002	 2.761804850857817e+001
 1.048491543869534e+000	 5.626262031134031e-002	 2.756922801712913e+001
 1.047939743836623e+000	 6.574415031859668e-002	 2.750952365226059e+001
 1.047299869257318e+000	 7.525279975287690e-002	 2.743876851542338e+001
 1.046571105989159e+000	 8.478749984206949e-002	 2.735679819756174e+001
 1.045752654052973e+000	 9.434715981932203e-002	 2.726345100490150e+001
 1.075000000000000e+000	 0.000000000000000e+000	 2.613754812741114e+001
 1.074957854475228e+000	 9.518986411318733e-003	 2.614570810487209e+001
 1.074830807855502e+000	 1.907182439596528e-002	 2.614436599972148e+001
 1.074617952778136e+000	 2.865755693233238e-002	 2.613332427502072e+001
 1.074318392640180e+000	 3.827520397272900e-002	 2.611238615625401e+001
 1.073931242210410e+000	 4.792376248428091e-002	 2.608135584552202e+001
 1.073455628246560e+000	 5.760220650683429e-002	 2.604003874159838e+001
 1.072890690117328e+000	 6.730948722823207e-002	 2.598824166567632e+001
 1.072235580428645e+000	 7.704453307732143e-002	 2.592577309261443e+001
 1.071489465653705e+000	 8.680624983503611e-002	 2.585244338747052e+001
 1.070651526766214e+000	 9.659352076388458e-002	 2.576806504709277e+001
 1.100000000000000e+000	 0.000000000000000e+000	 2.477000983258403e+001
 1.099956874346727e+000	 9.740358187885179e-003	 2.478187063208238e+001
 1.099826873154398e+000	 1.951535519502105e-002	 2.478473152738766e+001
 1.099609067958868e+000	 2.932401174348432e-002	 2.477837373549602e+001
 1.099302541305955e+000	 3.916532499377757e-002	 2.476257858579091e+001
 1.098906387377661e+000	 4.903826858668107e-002	 2.473712774473589e+001
 1.098419712623762e+000	 5.894179270250287e-002	 2.470180344752535e+001
 1.097841636398272e+000	 6.887482413810600e-002	 2.465638873653277e+001
 1.097171291600285e+000	 7.883626640207855e-002	 2.460066770637400e+001
 1.096407825318649e+000	 8.882499982839967e-002	 2.453442575538303e+001
 1.095550399479947e+000	 9.883988170893882e-002	 2.445744984327385e+001
 1.125000000000000e+000	 0.000000000000000e+000	 2.358895250288613e+001
 1.124955894218232e+000	 9.961729964456389e-003	 2.360322686226402e+001
 1.124822938453314e+000	 1.995888599409595e-002	 2.360898915488807e+001
 1.124600183139643e+000	 2.999046655467946e-002	 2.360599948873562e+001
 1.124286689971807e+000	 4.005544601490321e-002	 2.359401744419872e+001
 1.123881532545033e+000	 5.015277468920207e-002	 2.357280230956920e+001
 1.123383797001138e+000	 6.028137889834612e-002	 2.354211332457812e+001
 1.122792582679455e+000	 7.044016104821843e-002	 2.350170993183992e+001
 1.122107002772237e+000	 8.062799972714825e-002	 2.345135203602810e+001
 1.121326184983989e+000	 9.084374982216013e-002	 2.339080027058600e+001
 1.120449272194170e+000	 1.010862426544848e-001	 2.331981627175185e+001
 1.150000000000000e+000	 0.000000000000000e+000	 2.258222024867164e+001
 1.149954914089741e+000	 1.018310174103236e-002	 2.259775798407616e+001
 1.149819003752249e+000	 2.040241679318999e-002	 2.260525811142233e+001
 1.149591298320462e+000	 3.065692136591780e-002	 2.260445972066923e+001
 1.149270838637736e+000	 4.094556703610593e-002	 2.259510074301073e+001
 1.148856677712526e+000	 5.126728079184391e-002	 2.257691819746033e+001
 1.148347881378689e+000	 6.162096509436398e-002	 2.254964844658945e+001
 1.147743528960876e+000	 7.200549795856938e-002	 2.251302746127988e+001
 1.147042713944502e+000	 8.241973305253056e-002	 2.246679109432568e+001
 1.146244544649727e+000	 9.286249981631761e-002	 2.241067536269411e+001
 1.145348144908886e+000	 1.033326036005224e-001	 2.234441673822921e+001
 1.175000000000000e+000	 0.000000000000000e+000	 2.173869172409250e+001
 1.174953933961256e+000	 1.040447351761311e-002	 2.175446966926702e+001
 1.174815069051203e+000	 2.084594759230317e-002	 2.176267196893085e+001
 1.174582413501324e+000	 3.132337617719934e-002	 2.176301674293474e+001
 1.174254987303742e+000	 4.183568805738572e-002	 2.175522032879815e+001
 1.173831822880139e+000	 5.238178689460660e-002	 2.173899753971504e+001
 1.173311965756415e+000	 6.296055129055647e-002	 2.171406193281663e+001
 1.172694475242536e+000	 7.357083486915882e-002	 2.168012608756155e+001
 1.171978425117079e+000	 8.421146637822544e-002	 2.163690189409654e+001
 1.171162904315861e+000	 9.488124981087202e-002	 2.158410085140329e+001
 1.170247017624094e+000	 1.055789645470518e-001	 2.152143437501787e+001
 1.200000000000000e+000	 0.000000000000000e+000	 2.104817236211958e+001
 1.199952953832774e+000	 1.062584529419862e-002	 2.106328535568569e+001
 1.199811134350176e+000	 2.128947839143546e-002	 2.107127298139303e+001
 1.199573528682229e+000	 3.198983098852408e-002	 2.107183239645072e+001
 1.199239135969825e+000	 4.272580907874259e-002	 2.106465835868740e+001
 1.198806968047874e+000	 5.349629299749016e-002	 2.104944349631246e+001
 1.198276050134315e+000	 6.430013748692358e-002	 2.102587858904370e+001
 1.197645421524434e+000	 7.513617177998677e-002	 2.099365286048104e+001
 1.196914136289970e+000	 8.600319970423291e-002	 2.095245428157705e+001
 1.196081263982393e+000	 9.689999980582341e-002	 2.090196988502461e+001
 1.195145890339793e+000	 1.078253254940729e-001	 2.084188609035162e+001
 1.225000000000000e+000	 0.000000000000000e+000	 2.050129980527562e+001
 1.224951973704298e+000	 1.084721707078889e-002	 2.051495259768030e+001
 1.224807199649169e+000	 2.173300919058689e-002	 2.052191936217047e+001
 1.224564643863177e+000	 3.265628579989203e-002	 2.052187626271463e+001
 1.224223284635985e+000	 4.361593010017652e-002	 2.051449645234472e+001
 1.223782113215730e+000	 5.461079910049457e-002	 2.049945035502056e+001
 1.223240134512389e+000	 6.563972368346535e-002	 2.047640595997710e+001
 1.222596367806571e+000	 7.670150869105327e-002	 2.044502912844393e+001
 1.221849847463172e+000	 8.779493303055298e-002	 2.040498391259360e+001
