x	y	stress_yy
 1.000000000000000e+000	 0.000000000000000e+000	 3.101452645184767e+001
 9.999553790721549e-001	 9.446392261750536e-003	 3.099994372279925e+001
 9.998208276644109e-001	 1.892867080636967e-002	 3.097299777264859e+001
 9.995953221430520e-001	 2.844573836262591e-002	 3.093369722613653e+001
 9.992778519071311e-001	 3.799646941872217e-002	 3.088204937859071e+001
 9.988674201817245e-001	 4.757971027342477e-002	 3.081806008934008e+001
 9.983630448185402e-001	 5.719427911104237e-002	 3.074173367215648e+001
 9.977637591031844e-001	 6.683896610081597e-002	 3.065307278261605e+001
 9.970686125683426e-001	 7.651253352126189e-002	 3.055207830230494e+001
 9.962766718121099e-001	 8.621371590998764e-002	 3.043874921982869e+001
 9.953870213206724e-001	 9.594122023947824e-002	 3.031308250862561e+001
 1.026666858896873e+000	 0.000000000000000e+000	 2.908600068450555e+001
 1.026621048068823e+000	 9.698297869740000e-003	 2.907970654556126e+001
 1.026482908597070e+000	 1.943343899728710e-002	 2.906211280559267e+001
 1.026251389550869e+000	 2.920429685057105e-002	 2.903316413483072e+001
 1.025925453379797e+000	 3.900971590386779e-002	 2.899280611284197e+001
 1.025504076728145e+000	 4.884851169029192e-002	 2.894098383247633e+001
 1.024986251256887e+000	 5.871947087877486e-002	 2.887764191409767e+001
 1.024370984472468e+000	 6.862135137610566e-002	 2.880272451716251e+001
 1.023657300561674e+000	 7.855288245458952e-002	 2.871617534879312e+001
 1.022844241231782e+000	 8.851276490585899e-002	 2.861793766902463e+001
 1.021930866555178e+000	 9.849967122134781e-002	 2.850795429244212e+001
 1.053334071134978e+000	 0.000000000000000e+000	 2.740914540167978e+001
 1.053287070390996e+000	 9.950206815530270e-003	 2.740776937682697e+001
 1.053145342807795e+000	 1.993821387648614e-002	 2.739632604306678e+001
 1.052907810157237e+000	 2.996286538957084e-002	 2.737470335012384e+001
 1.052573407939045e+000	 4.002297581473556e-002	 2.734279029754690e+001
 1.052141086216367e+000	 5.011732991903531e-002	 2.730047567717948e+001
 1.051609810459081e+000	 6.024468285560676e-002	 2.724764818880885e+001
 1.050978562394118e+000	 7.040376026835926e-002	 2.718419655373108e+001
 1.050246340862016e+000	 8.059325842294959e-002	 2.711000962563934e+001
 1.049412162678889e+000	 9.081184436458797e-002	 2.702497649827073e+001
 1.048475063502990e+000	 1.010581561031999e-001	 2.692898660928579e+001
 1.080001590045551e+000	 0.000000000000000e+000	 2.594978981987616e+001
