xi	eta	x	y	stress_vm
 0.0000000000e+000	 0.0000000000e+000	 1.0000000000e+000	 0.0000000000e+000	 2.8514531414e+001
 0.0000000000e+000	 6.2500000000e-003	 9.9996079486e-001	 8.8548710816e-003	 2.8518354790e+001
 0.0000000000e+000	 1.2500000000e-002	 9.9984261196e-001	 1.7741231999e-002	 2.8515188183e+001
 0.0000000000e+000	 1.8750000000e-002	 9.9964460724e-001	 2.6658192499e-002	 2.8504803448e+001
 0.0000000000e+000	 2.5000000000e-002	 9.9936594664e-001	 3.5604840910e-002	 2.8486983499e+001
 0.0000000000e+000	 3.1250000000e-002	 9.9900580671e-001	 4.4580244178e-002	 2.8461522707e+001
 0.0000000000e+000	 3.7500000000e-002	 9.9856337512e-001	 5.3583447921e-002	 2.8428227302e+001
 0.0000000000e+000	 4.3750000000e-002	 9.9803785128e-001	 6.2613476500e-002	 2.8386915773e+001
 0.0000000000e+000	 5.0000000000e-002	 9.9742844692e-001	 7.1669333105e-002	 2.8337419280e+001
 0.0000000000e+000	 5.6250000000e-002	 9.9673438666e-001	 8.0749999857e-002	 2.8279582066e+001
 0.0000000000e+000	 6.2500000000e-002	 9.9595490863e-001	 8.9854437932e-002	 2.8213261890e+001
 6.2500000000e-003	 0.0000000000e+000	 1.0062500000e+000	 0.0000000000e+000	 2.8030884334e+001
 6.2500000000e-003	 6.2500000000e-003	 1.0062105498e+000	 8.9102140240e-003	 2.8035795509e+001
 6.2500000000e-003	 1.2500000000e-002	 1.0060916283e+000	 1.7852114695e-002	 2.8033635587e+001
 6.2500000000e-003	 1.8750000000e-002	 1.0058923860e+000	 2.6824806197e-002	 2.8024175938e+001
 6.2500000000e-003	 2.5000000000e-002	 1.0056119838e+000	 3.5827371159e-002	 2.8007199024e+001
 6.2500000000e-003	 3.1250000000e-002	 1.0052495930e+000	 4.4858870696e-002	 2.7982498781e+001
 6.2500000000e-003	 3.7500000000e-002	 1.0048043962e+000	 5.3918344462e-002	 2.7949881000e+001
 6.2500000000e-003	 4.3750000000e-002	 1.0042755878e+000	 6.3004810719e-002	 2.7909163714e+001
 6.2500000000e-003	 5.0000000000e-002	 1.0036623747e+000	 7.2117266427e-002	 2.7860177592e+001
 6.2500000000e-003	 5.6250000000e-002	 1.0029639766e+000	 8.1254687346e-002	 2.7802766345e+001
 6.2500000000e-003	 6.2500000000e-002	 1.0021796268e+000	 9.0416028158e-002	 2.7736787132e+001
 1.2500000000e-002	 0.0000000000e+000	 1.0125000000e+000	 0.0000000000e+000	 2.7560820952e+001
 1.2500000000e-002	 6.2500000000e-003	 1.0124603048e+000	 8.9655569666e-003	 2.7566788937e+001
 1.2500000000e-002	 1.2500000000e-002	 1.0123406446e+000	 1.7962997392e-002	 2.7565607332e+001
 1.2500000000e-002	 1.8750000000e-002	 1.0121401648e+000	 2.6991419896e-002	 2.7557047178e+001
 1.2500000000e-002	 2.5000000000e-002	 1.0118580210e+000	 3.6049901409e-002	 2.7540890632e+001
 1.2500000000e-002	 3.1250000000e-002	 1.0114933793e+000	 4.5137497216e-002	 2.7516931332e+001
 1.2500000000e-002	 3.7500000000e-002	 1.0110454173e+000	 5.4253241004e-002	 2.7484974763e+001
 1.2500000000e-002	 4.3750000000e-002	 1.0105133244e+000	 6.3396144939e-002	 2.7444838631e+001
 1.2500000000e-002	 5.0000000000e-002	 1.0098963025e+000	 7.2565199750e-002	 2.7396353234e+001
 1.2500000000e-002	 5.6250000000e-002	 1.0091935665e+000	 8.1759374836e-002	 2.7339361858e+001
 1.2500000000e-002	 6.2500000000e-002	 1.0084043450e+000	 9.0977618386e-002	 2.7273721173e+001
 1.8750000000e-002	 0.0000000000e+000	 1.0187500000e+000	 0.0000000000e+000	 2.7104213977e+001
 1.8750000000e-002	 6.2500000000e-003	 1.0187100598e+000	 9.0208999093e-003	 2.7111208064e+001
 1.8750000000e-002	 1.2500000000e-002	 1.0185896609e+000	 1.8073880089e-002	 2.7110976617e+001
 1.8750000000e-002	 1.8750000000e-002	 1.0183879436e+000	 2.7158033595e-002	 2.7103290501e+001
 1.8750000000e-002	 2.5000000000e-002	 1.0181040581e+000	 3.6272431660e-002	 2.7087931717e+001
 1.8750000000e-002	 3.1250000000e-002	 1.0177371656e+000	 4.5416123736e-002	 2.7064693748e+001
 1.8750000000e-002	 3.7500000000e-002	 1.0172864384e+000	 5.4588137547e-002	 2.7033381909e+001
 1.8750000000e-002	 4.3750000000e-002	 1.0167510610e+000	 6.3787479160e-002	 2.6993813698e+001
 1.8750000000e-002	 5.0000000000e-002	 1.0161302303e+000	 7.3013133075e-002	 2.6945819166e+001
 1.8750000000e-002	 5.6250000000e-002	 1.0154231564e+000	 8.2264062328e-002	 2.6889241286e+001
 1.8750000000e-002	 6.2500000000e-002	 1.0146290632e+000	 9.1539208616e-002	 2.6823936340e+001
 2.5000000000e-002	 0.0000000000e+000	 1.0250000000e+000	 0.0000000000e+000	 2.6660948753e+001
 2.5000000000e-002	 6.2500000000e-003	 1.0249598147e+000	 9.0762428523e-003	 2.6668938392e+001
