patch_n	x	y	disp_x	disp_y
1	 1.000000000000000e+000	 0.000000000000000e+000	-7.914867990207767e-003	 0.000000000000000e+000
1	 9.999553790721549e-001	 9.446392261750536e-003	-7.914563832615518e-003	 2.429376316379261e-004
1	 9.998208276644109e-001	 1.892867080636967e-002	-7.913537590483268e-003	 4.867402880083372e-004
1	 9.995953221430520e-001	 2.844573836262591e-002	-7.911802873580783e-003	 7.314076385787863e-004
1	 9.992778519071311e-001	 3.799646941872217e-002	-7.909368237345704e-003	 9.769311089870784e-004
1	 9.988674201817245e-001	 4.757971027342477e-002	-7.906237240667921e-003	 1.223293877295023e-003
1	 9.983630448185402e-001	 5.719427911104237e-002	-7.902408515635612e-003	 1.470470898226332e-003
1	 9.977637591031844e-001	 6.683896610081597e-002	-7.897875849367577e-003	 1.718428955603717e-003
1	 9.970686125683426e-001	 7.651253352126189e-002	-7.892628278058743e-003	 1.967126743124018e-003
1	 9.962766718121099e-001	 8.621371590998764e-002	-7.886650193367706e-003	 2.216514973529957e-003
1	 9.953870213206724e-001	 9.594122023947824e-002	-7.879921461276586e-003	 2.466536516152570e-003
1	 9.943989199946589e-001	 1.056922649420928e-001	-7.872424789398187e-003	 2.717099103775813e-003
1	 9.933113650226917e-001	 1.154669775827053e-001	-7.864160891144750e-003	 2.968219050281207e-003
1	 9.921235000424145e-001	 1.252640057452699e-001	-7.855133873173867e-003	 3.219878894652317e-003
1	 9.908344898374512e-001	 1.350819710464206e-001	-7.845344433860525e-003	 3.472054991729192e-003
1	 9.894435211587168e-001	 1.449194694473043e-001	-7.834790032425029e-003	 3.724717768290497e-003
1	 9.879498035443918e-001	 1.547750715930050e-001	-7.823465070411755e-003	 3.977832004129269e-003
1	 9.863525701375676e-001	 1.646473231798204e-001	-7.811361085609083e-003	 4.231357137366424e-003
1	 9.846510785005697e-001	 1.745347453506194e-001	-7.798466958483847e-003	 4.485247593120148e-003
1	 9.828446114249161e-001	 1.844358351184653e-001	-7.784769131181595e-003	 4.739453134517084e-003
1	 9.809324777358747e-001	 1.943490658186562e-001	-7.770251839117291e-003	 4.993919234892836e-003
1	 9.789137024229728e-001	 2.042743766435053e-001	-7.754898482687712e-003	 5.248630024107066e-003
1	 9.767879280981021e-001	 2.142087061355223e-001	-7.738709292804955e-003	 5.503507201406525e-003
1	 9.745545470450379e-001	 2.241504565049763e-001	-7.721684667325136e-003	 5.758512180091643e-003
1	 9.722129807570792e-001	 2.340980083161345e-001	-7.703824087167627e-003	 6.013604052897763e-003
1	 9.697626806991601e-001	 2.440497210832210e-001	-7.685126401782134e-003	 6.268740037222691e-003
1	 9.672031290579123e-001	 2.540039338948809e-001	-7.665590126136822e-003	 6.523875930980933e-003
1	 9.645338394785437e-001	 2.639589660669880e-001	-7.645213748899733e-003	 6.778966576823987e-003
