xi	eta	x	y	stress_rr	stress_sita
 0.0000000000e+000	 0.0000000000e+000	 1.0000000000e+000	 0.0000000000e+000	 2.8270773148e+001	 1.1909779054e-002
 0.0000000000e+000	 6.6670000000e-003	 9.9995537907e-001	 9.4463922618e-003	 2.8257087311e+001	 7.7480589680e-003
 0.0000000000e+000	 1.3334000000e-002	 9.9982082766e-001	 1.8928670806e-002	 2.8241381406e+001	 5.6768015699e-003
 0.0000000000e+000	 2.0001000000e-002	 9.9959532214e-001	 2.8445738363e-002	 2.8222520463e+001	 5.1899430142e-003
 0.0000000000e+000	 2.6668000000e-002	 9.9927785191e-001	 3.7996469419e-002	 2.8199368076e+001	 5.7983985424e-003
 0.0000000000e+000	 3.3335000000e-002	 9.9886742018e-001	 4.7579710273e-002	 2.8170790228e+001	 7.0297212190e-003
 0.0000000000e+000	 4.0002000000e-002	 9.9836304482e-001	 5.7194279111e-002	 2.8135659216e+001	 8.4277580027e-003
 0.0000000000e+000	 4.6669000000e-002	 9.9776375910e-001	 6.6838966101e-002	 2.8092857638e+001	 9.5523242339e-003
 0.0000000000e+000	 5.3336000000e-002	 9.9706861257e-001	 7.6512533521e-002	 2.8041282443e+001	 9.9789148349e-003
 0.0000000000e+000	 6.0003000000e-002	 9.9627667181e-001	 8.6213715910e-002	 2.7979848988e+001	 9.2984675942e-003
 0.0000000000e+000	 6.6670000000e-002	 9.9538702132e-001	 9.5941220239e-002	 2.7907495111e+001	 7.1171909349e-003
 6.6670000000e-003	 0.0000000000e+000	 1.0066667147e+000	 0.0000000000e+000	 2.7842250914e+001	 1.8995499933e-001
 6.6670000000e-003	 6.6670000000e-003	 1.0066217963e+000	 9.5093686589e-003	 2.7828680698e+001	 1.8561975714e-001
 6.6670000000e-003	 1.3334000000e-002	 1.0064863479e+000	 1.9054862846e-002	 2.7813305029e+001	 1.8340452924e-001
 6.6670000000e-003	 2.0001000000e-002	 1.0062593390e+000	 2.8635377975e-002	 2.7794960470e+001	 1.8278735115e-001
 6.6670000000e-003	 2.6668000000e-002	 1.0059397523e+000	 3.8249781031e-002	 2.7772483413e+001	 1.8326307351e-001
 6.6670000000e-003	 3.3335000000e-002	 1.0055265843e+000	 4.7896910619e-002	 2.7744713911e+001	 1.8434311810e-001
 6.6670000000e-003	 4.0002000000e-002	 1.0050188464e+000	 5.7575577046e-002	 2.7710499604e+001	 1.8555523278e-001
 6.6670000000e-003	 4.6669000000e-002	 1.0044155654e+000	 6.7284562415e-002	 2.7668699728e+001	 1.8644326720e-001
 6.6670000000e-003	 5.3336000000e-002	 1.0037157846e+000	 7.7022620753e-002	 2.7618189168e+001	 1.8656698791e-001
 6.6670000000e-003	 6.0003000000e-002	 1.0029185642e+000	 8.6788478160e-002	 2.7557862534e+001	 1.8550194846e-001
 6.6670000000e-003	 6.6670000000e-002	 1.0020229826e+000	 9.6580832988e-002	 2.7486638250e+001	 1.8283942740e-001
 1.3334000000e-002	 0.0000000000e+000	 1.0133335178e+000	 0.0000000000e+000	 2.7428374784e+001	 3.6259511060e-001
 1.3334000000e-002	 6.6670000000e-003	 1.0132883019e+000	 9.5723458919e-003	 2.7414843659e+001	 3.5808149830e-001
 1.3334000000e-002	 1.3334000000e-002	 1.0131519564e+000	 1.9181056560e-002	 2.7399735318e+001	 3.5571694909e-001
 1.3334000000e-002	 2.0001000000e-002	 1.0129234441e+000	 2.8825020104e-002	 2.7381849411e+001	 3.5495730479e-001
 1.3334000000e-002	 2.6668000000e-002	 1.0126017409e+000	 3.8503096002e-002	 2.7359996366e+001	 3.5528325054e-001
 1.3334000000e-002	 3.3335000000e-002	 1.0121858367e+000	 4.8214115171e-002	 2.7332991568e+001	 3.5619190751e-001
 1.3334000000e-002	 4.0002000000e-002	 1.0116747362e+000	 5.7956880036e-002	 2.7299659289e+001	 3.5719668541e-001
 1.3334000000e-002	 4.6669000000e-002	 1.0110674599e+000	 6.7730164636e-002	 2.7258836705e+001	 3.5782715771e-001
 1.3334000000e-002	 5.3336000000e-002	 1.0103630446e+000	 7.7532714744e-002	 2.7209377955e+001	 3.5762897892e-001
 1.3334000000e-002	 6.0003000000e-002	 1.0095605445e+000	 8.7363248025e-002	 2.7150158234e+001	 3.5616385978e-001
 1.3334000000e-002	 6.6670000000e-002	 1.0086590318e+000	 9.7220454211e-002	 2.7080077891e+001	 3.5300961332e-001
 2.0001000000e-002	 0.0000000000e+000	 1.0200003975e+000	 0.0000000000e+000	 2.7028339518e+001	 5.2947936001e-001
 2.0001000000e-002	 6.6670000000e-003	 1.0199548841e+000	 9.6353238502e-003	 2.7014801433e+001	 5.2480333238e-001
 2.0001000000e-002	 1.3334000000e-002	 1.0198176416e+000	 1.9307251728e-002	 2.6999907047e+001	 5.2228806398e-001
 2.0001000000e-002	 2.0001000000e-002	 1.0195876259e+000	 2.9014664415e-002	 2.6982430532e+001	 5.2137781819e-001
 2.0001000000e-002	 2.6668000000e-002	 1.0192638062e+000	 3.8756413888e-002	 2.6961157581e+001	 5.2154097821e-001
 2.0001000000e-002	 3.3335000000e-002	 1.0188451656e+000	 4.8531323372e-002	 2.6934880158e+001	 5.2226216156e-001
 2.0001000000e-002	 4.0002000000e-002	 1.0183307025e+000	 5.8338187413e-002	 2.6902400438e+001	 5.2304216835e-001
 2.0001000000e-002	 4.6669000000e-002	 1.0177194309e+000	 6.8175771982e-002	 2.6862534817e+001	 5.2339795449e-001
 2.0001000000e-002	 5.3336000000e-002	 1.0170103811e+000	 7.8042814602e-002	 2.6814117986e+001	 5.2286264935e-001
 2.0001000000e-002	 6.0003000000e-002	 1.0162026012e+000	 8.7938024501e-002	 2.6756007029e+001	 5.2098563424e-001
 2.0001000000e-002	 6.6670000000e-002	 1.0152951574e+000	 9.7860082789e-002	 2.6687085527e+001	 5.1733269457e-001
 2.6668000000e-002	 0.0000000000e+000	 1.0266673422e+000	 0.0000000000e+000	 2.6641393662e+001	 6.9029267142e-001
 2.6668000000e-002	 6.6670000000e-003	 1.0266215314e+000	 9.6983024235e-003	 2.6627802104e+001	 6.8546499657e-001
 2.6668000000e-002	 1.3334000000e-002	 1.0264833918e+000	 1.9433448127e-002	 2.6613077064e+001	 6.8280124250e-001
 2.6668000000e-002	 2.0001000000e-002	 1.0262518727e+000	 2.9204310577e-002	 2.6595968414e+001	 6.8173597599e-001
 2.6668000000e-002	 2.6668000000e-002	 1.0259259364e+000	 3.9009734247e-002	 2.6575238328e+001	 6.8172710607e-001
 2.6668000000e-002	 3.3335000000e-002	 1.0255045595e+000	 4.8848534668e-002	 2.6549656590e+001	 6.8224850953e-001
 2.6668000000e-002	 4.0002000000e-002	 1.0249867338e+000	 5.8719498508e-002	 2.6518004526e+001	 6.8279007307e-001
 2.6668000000e-002	 4.6669000000e-002	 1.0243714667e+000	 6.8621383674e-002	 2.6479079018e+001	 6.8285776283e-001
 2.6668000000e-002	 5.3336000000e-002	 1.0236577825e+000	 7.8552919434e-002	 2.6431696581e+001	 6.8197374081e-001
 2.6668000000e-002	 6.0003000000e-002	 1.0228447227e+000	 8.8512806581e-002	 2.6374697463e+001	 6.7967654467e-001
