x	y	stress_xx
 1.0000000000e+000	 0.0000000000e+000	 1.1910010532e-002
 9.9995537907e-001	 9.4463922618e-003	 1.0280610882e-002
 9.9982082766e-001	 1.8928670806e-002	 1.5779829259e-002
 9.9959532214e-001	 2.8445738363e-002	 2.7984471908e-002
 9.9927785191e-001	 3.7996469419e-002	 4.6461605272e-002
 9.9886742018e-001	 4.7579710273e-002	 7.0769425937e-002
 9.9836304482e-001	 5.7194279111e-002	 1.0045820752e-001
 9.9776375910e-001	 6.6838966101e-002	 1.3507132433e-001
 9.9706861257e-001	 7.6512533521e-002	 1.7414635110e-001
 9.9627667181e-001	 8.6213715910e-002	 2.1721623764e-001
 9.9538702132e-001	 9.5941220239e-002	 2.6381055664e-001
 1.0066667147e+000	 0.0000000000e+000	 1.8995522767e-001
 1.0066217963e+000	 9.5093686589e-003	 1.8800830485e-001
 1.0064863479e+000	 1.9054862846e-002	 1.9293395824e-001
 1.0062593390e+000	 2.8635377975e-002	 2.0429182120e-001
 1.0059397523e+000	 3.8249781031e-002	 2.2163191365e-001
 1.0055265843e+000	 4.7896910619e-002	 2.4449555729e-001
 1.0050188464e+000	 5.7575577046e-002	 2.7241637107e-001
 1.0044155654e+000	 6.7284562415e-002	 3.0492134692e-001
 1.0037157846e+000	 7.7022620753e-002	 3.4153200489e-001
 1.0029185642e+000	 8.6788478160e-002	 3.8176562658e-001
 1.0020229826e+000	 9.6580832988e-002	 4.2513656496e-001
 1.0133335178e+000	 0.0000000000e+000	 3.6259534384e-001
 1.0132883019e+000	 9.5723458919e-003	 3.6033339008e-001
 1.0131519564e+000	 1.9181056560e-002	 3.6470043237e-001
 1.0129234441e+000	 2.8825020104e-002	 3.7523251878e-001
 1.0126017409e+000	 3.8503096002e-002	 3.9146445692e-001
 1.0121858367e+000	 4.8214115171e-002	 4.1292251298e-001
 1.0116747362e+000	 5.7956880036e-002	 4.3912545345e-001
 1.0110674599e+000	 6.7730164636e-002	 4.6958567052e-001
 1.0103630446e+000	 7.7532714744e-002	 5.0381039036e-001
 1.0095605445e+000	 8.7363248025e-002	 5.4130296306e-001
 1.0086590318e+000	 9.7220454211e-002	 5.8156423236e-001
 1.0200003975e+000	 0.0000000000e+000	 5.2947960433e-001
 1.0199548841e+000	 9.6353238502e-003	 5.2692555618e-001
 1.0198176416e+000	 1.9307251728e-002	 5.3075225748e-001
 1.0195876259e+000	 2.9014664415e-002	 5.4048266881e-001
 1.0192638062e+000	 3.8756413888e-002	 5.5563818308e-001
 1.0188451656e+000	 4.8531323372e-002	 5.7573179271e-001
 1.0183307025e+000	 5.8338187413e-002	 6.0026917531e-001
 1.0177194309e+000	 6.8175771982e-002	 6.2874986639e-001
 1.0170103811e+000	 7.8042814602e-002	 6.6066851852e-001
 1.0162026012e+000	 8.7938024501e-002	 6.9551624564e-001
 1.0152951574e+000	 9.7860082789e-002	 7.3278205050e-001
 1.0266673422e+000	 0.0000000000e+000	 6.9029293201e-001
 1.0266215314e+000	 9.6983024235e-003	 6.8746419756e-001
 1.0264833918e+000	 1.9433448127e-002	 6.9077183135e-001
 1.0262518727e+000	 2.9204310577e-002	 6.9972747366e-001
 1.0259259364e+000	 3.9009734247e-002	 7.1384086457e-001
 1.0255045595e+000	 4.8848534668e-002	 7.3261346781e-001
 1.0249867338e+000	 5.8719498508e-002	 7.5553959789e-001
 1.0243714667e+000	 6.8621383674e-002	 7.8210763797e-001
 1.0236577825e+000	 7.8552919434e-002	 8.1180134767e-001
 1.0228447227e+000	 8.8512806581e-002	 8.4410125958e-001
 1.0219313476e+000	 9.8499717604e-002	 8.7848616232e-001
 1.0333343403e+000	 0.0000000000e+000	 8.4472126309e-001
 1.0332882320e+000	 9.7612815014e-003	 8.4163809345e-001
 1.0331491954e+000	 1.9559645537e-002	 8.4445063057e-001
 1.0329161728e+000	 2.9393958258e-002	 8.5266092727e-001
 1.0325881199e+000	 3.9263056633e-002	 8.6576879792e-001
 1.0321640067e+000	 4.9165748503e-002	 8.8326588669e-001
 1.0316428183e+000	 5.9100812656e-002	 9.0463683391e-001
 1.0310235558e+000	 6.9066998931e-002	 9.2936053684e-001
 1.0303052370e+000	 7.9063028347e-002	 9.5691150395e-001
 1.0294868974e+000	 8.9087593259e-002	 9.8676130145e-001
 1.0285675910e+000	 9.9139357535e-002	 1.0183800901e+000
 1.0400013800e+000	 0.0000000000e+000	 9.9245992782e-001
 1.0399549742e+000	 9.8242609736e-003	 9.8914510013e-001
 1.0398150405e+000	 1.9685843737e-002	 9.9148890934e-001
 1.0395805145e+000	 2.9583607125e-002	 9.9898552031e-001
 1.0392503450e+000	 3.9516380604e-002	 1.0111265148e+000
 1.0388234954e+000	 4.9482964321e-002	 1.0273953915e+000
 1.0382989444e+000	 5.9482129187e-002	 1.0472687696e+000
 1.0376756864e+000	 6.9512616973e-002	 1.0702176895e+000
 1.0369527330e+000	 7.9573140449e-002	 1.0957090125e+000
 1.0361291135e+000	 8.9662383529e-002	 1.1232069143e+000
 1.0352038758e+000	 9.9779001463e-002	 1.1521744741e+000
 1.0466684498e+000	 0.0000000000e+000	 1.1332133478e+000
 1.0466217464e+000	 9.8872407295e-003	 1.1296918548e+000
 1.0464809157e+000	 1.9812042505e-002	 1.1315954097e+000
 1.0462448862e+000	 2.9773256846e-002	 1.1384119564e+000
 1.0459126001e+000	 3.9769705715e-002	 1.1496265041e+000
 1.0454830142e+000	 4.9800181568e-002	 1.1647160459e+000
 1.0449551004e+000	 5.9863447434e-002	 1.1831507971e+000
 1.0443278469e+000	 6.9958237022e-002	 1.2043955349e+000
 1.0436002590e+000	 8.0083254846e-002	 1.2279110390e+000
 1.0427713596e+000	 9.0237176385e-002	 1.2531556329e+000
 1.0418401905e+000	 1.0041864827e-001	 1.2795868211e+000
 1.0533355378e+000	 0.0000000000e+000	 1.2666947446e+000
 1.0532885370e+000	 9.9502206589e-003	 1.2629934904e+000
 1.0531468092e+000	 1.9938241621e-002	 1.2644870826e+000
 1.0529092762e+000	 2.9962907090e-002	 1.2706588791e+000
 1.0525748736e+000	 4.0023031523e-002	 1.2809889444e+000
 1.0521425512e+000	 5.0117399687e-002	 1.2949493723e+000
 1.0516112747e+000	 6.0244766730e-002	 1.3120055576e+000
 1.0509800258e+000	 7.0403858295e-002	 1.3316175710e+000
 1.0502478032e+000	 8.0593370645e-002	 1.3532416413e+000
 1.0494136239e+000	 9.0811970822e-002	 1.3763317391e+000
 1.0484765234e+000	 1.0105829683e-001	 1.4003412632e+000
 1.0600026325e+000	 0.0000000000e+000	 1.3926258592e+000
 1.0599553342e+000	 1.0013200651e-002	 1.3887733618e+000
 1.0598127094e+000	 2.0064440863e-002	 1.3898888194e+000
 1.0595736729e+000	 3.0152557523e-002	 1.3954526093e+000
 1.0592371537e+000	 4.0276357585e-002	 1.4049414466e+000
 1.0588020949e+000	 5.0434618123e-002	 1.4178241003e+000
 1.0582674557e+000	 6.0626086407e-002	 1.4335626932e+000
 1.0576322113e+000	 7.0849480014e-002	 1.4516141128e+000
 1.0568953541e+000	 8.1103486954e-002	 1.4714315299e+000
