x	y	stress_yy
 1.000000000000000e+000	 0.000000000000000e+000	 2.827077291664190e+001
 9.999553790721549e-001	 9.446392261750536e-003	 2.825455475925734e+001
 9.998208276644109e-001	 1.892867080636967e-002	 2.823127837841502e+001
 9.995953221430520e-001	 2.844573836262591e-002	 2.819972593420523e+001
 9.992778519071311e-001	 3.799646941872217e-002	 2.815870486936166e+001
 9.988674201817245e-001	 4.757971027342477e-002	 2.810705052374283e+001
 9.983630448185402e-001	 5.719427911104237e-002	 2.804362876605330e+001
 9.977637591031844e-001	 6.683896610081597e-002	 2.796733863815134e+001
 9.970686125683426e-001	 7.651253352126189e-002	 2.787711500687334e+001
 9.962766718121099e-001	 8.621371590998764e-002	 2.777193121786351e+001
 9.953870213206724e-001	 9.594122023947824e-002	 2.765080174543633e+001
 1.006666714718147e+000	 0.000000000000000e+000	 2.784225068551814e+001
 1.006621796315063e+000	 9.509368658941884e-003	 2.782629215036736e+001
 1.006486347890802e+000	 1.905486284632304e-002	 2.780377559968974e+001
 1.006259338987468e+000	 2.863537797544583e-002	 2.777345599969684e+001
 1.005939752266822e+000	 3.824978103077062e-002	 2.773411457324614e+001
 1.005526584308822e+000	 4.789691061938552e-002	 2.768456147175854e+001
 1.005018846417574e+000	 5.757557704648521e-002	 2.762363846566094e+001
 1.004415565433973e+000	 6.728456241542383e-002	 2.755022164871040e+001
 1.003715784554311e+000	 7.702262075288682e-002	 2.746322415112107e+001
 1.002918564154065e+000	 8.678847815970558e-002	 2.736159885595752e+001
 1.002022982616054e+000	 9.658083298781608e-002	 2.724434111277961e+001
 1.013333517774178e+000	 0.000000000000000e+000	 2.742837455048339e+001
 1.013288301891951e+000	 9.572345891894315e-003	 2.741259176676297e+001
 1.013151956439392e+000	 1.918105656049421e-002	 2.739075183453240e+001
 1.012923444134316e+000	 2.882502010360371e-002	 2.736157419686437e+001
 1.012601740901085e+000	 3.850309600190692e-002	 2.732381516008053e+001
 1.012185836674435e+000	 4.821411517077869e-002	 2.727626096257444e+001
 1.011674736210762e+000	 5.795688003626346e-002	 2.721773052103994e+001
 1.011067459906151e+000	 6.773016463579061e-002	 2.714707819195249e+001
 1.010363044620398e+000	 7.753271474417553e-002	 2.706319654322888e+001
 1.009560544506255e+000	 8.736324802543302e-002	 2.696501913051639e+001
 1.008659031843079e+000	 9.722045421090780e-002	 2.685152327206430e+001
 1.020000397500475e+000	 0.000000000000000e+000	 2.702833927410003e+001
 1.019954884135722e+000	 9.635323850220517e-003	 2.701267920925858e+001
 1.019817641644647e+000	 1.930725172774984e-002	 2.699144285343403e+001
 1.019587625920686e+000	 2.901466441486622e-002	 2.696332568131542e+001
 1.019263806150706e+000	 3.875641388844888e-002	 2.692706037582677e+001
 1.018845165624130e+000	 4.853132337212968e-002	 2.688141052693497e+001
 1.018330702549552e+000	 5.833818741277172e-002	 2.682517343070823e+001
 1.017719430878155e+000	 6.817577198184759e-002	 2.675718290508125e+001
 1.017010381133149e+000	 7.804281460226907e-002	 2.667631211726867e+001
 1.016202601244475e+000	 8.793802450119986e-002	 2.658147641727757e+001
 1.015295157387938e+000	 9.786008278935780e-002	 2.647163617145200e+001
 1.026667342229423e+000	 0.000000000000000e+000	 2.664139340186576e+001
 1.026621531379276e+000	 9.698302423533175e-003	 2.662580290280630e+001
 1.026483391841034e+000	 1.943344812695657e-002	 2.660510647473613e+001
