xi	eta	x	y	stress_rr	stress_sita
 0.0000000000e+000	 0.0000000000e+000	 1.0000000000e+000	 0.0000000000e+000	 2.8126980524e+001	 1.1797219900e-002
 0.0000000000e+000	 6.6670000000e-003	 9.9995537907e-001	 9.4463922618e-003	 2.8113349014e+001	 7.6572900126e-003
 0.0000000000e+000	 1.3334000000e-002	 9.9982082766e-001	 1.8928670806e-002	 2.8097725092e+001	 5.5906221841e-003
 0.0000000000e+000	 2.0001000000e-002	 9.9959532214e-001	 2.8445738363e-002	 2.8078975304e+001	 5.0975024283e-003
 0.0000000000e+000	 2.6668000000e-002	 9.9927785191e-001	 3.7996469419e-002	 2.8055966143e+001	 5.6942876750e-003
 0.0000000000e+000	 3.3335000000e-002	 9.9886742018e-001	 4.7579710273e-002	 2.8027567870e+001	 6.9130899734e-003
 0.0000000000e+000	 4.0002000000e-002	 9.9836304482e-001	 5.7194279111e-002	 2.7992658436e+001	 8.3014657166e-003
 0.0000000000e+000	 4.6669000000e-002	 9.9776375910e-001	 6.6838966101e-002	 2.7950127451e+001	 9.4221296576e-003
 0.0000000000e+000	 5.3336000000e-002	 9.9706861257e-001	 7.6512533521e-002	 2.7898880200e+001	 9.8527106974e-003
 0.0000000000e+000	 6.0003000000e-002	 9.9627667181e-001	 8.6213715910e-002	 2.7837841665e+001	 9.1855635462e-003
 0.0000000000e+000	 6.6670000000e-002	 9.9538702132e-001	 9.5941220239e-002	 2.7765960558e+001	 7.0276474408e-003
 6.6670000000e-003	 0.0000000000e+000	 1.0066667147e+000	 0.0000000000e+000	 2.7701328490e+001	 1.8897055884e-001
 6.6670000000e-003	 6.6670000000e-003	 1.0066217963e+000	 9.5093686589e-003	 2.7687818045e+001	 1.8466171874e-001
 6.6670000000e-003	 1.3334000000e-002	 1.0064863479e+000	 1.9054862846e-002	 2.7672526970e+001	 1.8245511008e-001
 6.6670000000e-003	 2.0001000000e-002	 1.0062593390e+000	 2.8635377975e-002	 2.7654293556e+001	 1.8183509545e-001
 6.6670000000e-003	 2.6668000000e-002	 1.0059397523e+000	 3.8249781031e-002	 2.7631957323e+001	 1.8230200231e-001
 6.6670000000e-003	 3.3335000000e-002	 1.0055265843e+000	 4.7896910619e-002	 2.7604362845e+001	 1.8337190459e-001
 6.6670000000e-003	 4.0002000000e-002	 1.0050188464e+000	 5.7575577046e-002	 2.7570363681e+001	 1.8457641119e-001
 6.6670000000e-003	 4.6669000000e-002	 1.0044155654e+000	 6.7284562415e-002	 2.7528826355e+001	 1.8546248129e-001
 6.6670000000e-003	 5.3336000000e-002	 1.0037157846e+000	 7.7022620753e-002	 2.7478634378e+001	 1.8559228421e-001
 6.6670000000e-003	 6.0003000000e-002	 1.0029185642e+000	 8.6788478160e-002	 2.7418692296e+001	 1.8454311785e-001
 6.6670000000e-003	 6.6670000000e-002	 1.0020229826e+000	 9.6580832988e-002	 2.7347929724e+001	 1.8190739745e-001
 1.3334000000e-002	 0.0000000000e+000	 1.0133335178e+000	 0.0000000000e+000	 2.7290230190e+001	 3.6076636706e-001
 1.3334000000e-002	 6.6670000000e-003	 1.0132883019e+000	 9.5723458919e-003	 2.7276762867e+001	 3.5628229568e-001
 1.3334000000e-002	 1.3334000000e-002	 1.0131519564e+000	 1.9181056560e-002	 2.7261740425e+001	 3.5392901462e-001
 1.3334000000e-002	 2.0001000000e-002	 1.0129234441e+000	 2.8825020104e-002	 2.7243964611e+001	 3.5316882224e-001
 1.3334000000e-002	 2.6668000000e-002	 1.0126017409e+000	 3.8503096002e-002	 2.7222249205e+001	 3.5348790433e-001
 1.3334000000e-002	 3.3335000000e-002	 1.0121858367e+000	 4.8214115171e-002	 2.7195414357e+001	 3.5438811695e-001
 1.3334000000e-002	 4.0002000000e-002	 1.0116747362e+000	 5.7956880036e-002	 2.7162290514e+001	 3.5538687238e-001
 1.3334000000e-002	 4.6669000000e-002	 1.0110674599e+000	 6.7730164636e-002	 2.7121722408e+001	 3.5601705420e-001
 1.3334000000e-002	 5.3336000000e-002	 1.0103630446e+000	 7.7532714744e-002	 2.7072573092e+001	 3.5582697916e-001
 1.3334000000e-002	 6.0003000000e-002	 1.0095605445e+000	 8.7363248025e-002	 2.7013727989e+001	 3.5438042064e-001
 1.3334000000e-002	 6.6670000000e-002	 1.0086590318e+000	 9.7220454211e-002	 2.6944098948e+001	 3.5125670512e-001
 2.0001000000e-002	 0.0000000000e+000	 1.0200003975e+000	 0.0000000000e+000	 2.6892885631e+001	 5.2683631401e-001
 2.0001000000e-002	 6.6670000000e-003	 1.0199548841e+000	 9.6353238502e-003	 2.6879413936e+001	 5.2219149235e-001
 2.0001000000e-002	 1.3334000000e-002	 1.0198176416e+000	 1.9307251728e-002	 2.6864605690e+001	 5.1968904829e-001
 2.0001000000e-002	 2.0001000000e-002	 1.0195876259e+000	 2.9014664415e-002	 2.6847237368e+001	 5.1877964811e-001
 2.0001000000e-002	 2.6668000000e-002	 1.0192638062e+000	 3.8756413888e-002	 2.6826098239e+001	 5.1893718871e-001
 2.0001000000e-002	 3.3335000000e-002	 1.0188451656e+000	 4.8531323372e-002	 2.6799985274e+001	 5.1965109506e-001
 2.0001000000e-002	 4.0002000000e-002	 1.0183307025e+000	 5.8338187413e-002	 2.6767707069e+001	 5.2042630191e-001
 2.0001000000e-002	 4.6669000000e-002	 1.0177194309e+000	 6.8175771982e-002	 2.6728087845e+001	 5.2078326679e-001
 2.0001000000e-002	 5.3336000000e-002	 1.0170103811e+000	 7.8042814602e-002	 2.6679971477e+001	 5.2025803224e-001
 2.0001000000e-002	 6.0003000000e-002	 1.0162026012e+000	 8.7938024501e-002	 2.6622225565e+001	 5.1840235207e-001
 2.0001000000e-002	 6.6670000000e-002	 1.0152951574e+000	 9.7860082789e-002	 2.6553745484e+001	 5.1478389359e-001
 2.6668000000e-002	 0.0000000000e+000	 1.0266673422e+000	 0.0000000000e+000	 2.6508547932e+001	 6.8686715832e-001
 2.6668000000e-002	 6.6670000000e-003	 1.0266215314e+000	 9.6983024235e-003	 2.6495024358e+001	 6.8207138533e-001
 2.6668000000e-002	 1.3334000000e-002	 1.0264833918e+000	 1.9433448127e-002	 2.6480384877e+001	 6.7942120566e-001
 2.6668000000e-002	 2.0001000000e-002	 1.0262518727e+000	 2.9204310577e-002	 2.6463381869e+001	 6.7835752386e-001
 2.6668000000e-002	 2.6668000000e-002	 1.0259259364e+000	 3.9009734247e-002	 2.6442781310e+001	 6.7834376526e-001
 2.6668000000e-002	 3.3335000000e-002	 1.0255045595e+000	 4.8848534668e-002	 2.6417358224e+001	 6.7885867691e-001
 2.6668000000e-002	 4.0002000000e-002	 1.0249867338e+000	 5.8719498508e-002	 2.6385900605e+001	 6.7939640329e-001
 2.6668000000e-002	 4.6669000000e-002	 1.0243714667e+000	 6.8621383674e-002	 2.6347213417e+001	 6.7946659534e-001
 2.6668000000e-002	 5.3336000000e-002	 1.0236577825e+000	 7.8552919434e-002	 2.6300122626e+001	 6.7859457109e-001
 2.6668000000e-002	 6.0003000000e-002	 1.0228447227e+000	 8.8512806581e-002	 2.6243479270e+001	 6.7632154300e-001
 2.6668000000e-002	 6.6670000000e-002	 1.0219313476e+000	 9.8499717604e-002	 2.6176163526e+001	 6.7220492367e-001
 3.3335000000e-002	 0.0000000000e+000	 1.0333343403e+000	 0.0000000000e+000	 2.6136482814e+001	 8.4054676536e-001
 3.3335000000e-002	 6.6670000000e-003	 1.0332882320e+000	 9.7612815014e-003	 2.6122869149e+001	 8.3561333965e-001
 3.3335000000e-002	 1.3334000000e-002	 1.0331491954e+000	 1.9559645537e-002	 2.6108361255e+001	 8.3282045383e-001
 3.3335000000e-002	 2.0001000000e-002	 1.0329161728e+000	 2.9393958258e-002	 2.6091688589e+001	 8.3160108271e-001
 3.3335000000e-002	 2.6668000000e-002	 1.0325881199e+000	 3.9263056633e-002	 2.6071595043e+001	 8.3140996162e-001
 3.3335000000e-002	 3.3335000000e-002	 1.0321640067e+000	 4.9165748503e-002	 2.6046834916e+001	 8.3171687923e-001
 3.3335000000e-002	 4.0002000000e-002	 1.0316428183e+000	 5.9100812656e-002	 2.6016176835e+001	 8.3200684512e-001
 3.3335000000e-002	 4.6669000000e-002	 1.0310235558e+000	 6.9066998931e-002	 2.5978407745e+001	 8.3178029307e-001
 3.3335000000e-002	 5.3336000000e-002	 1.0303052370e+000	 7.9063028347e-002	 2.5932336946e+001	 8.3055333822e-001
 3.3335000000e-002	 6.0003000000e-002	 1.0294868974e+000	 8.9087593259e-002	 2.5876800159e+001	 8.2785810339e-001
 3.3335000000e-002	 6.6670000000e-002	 1.0285675910e+000	 9.9139357535e-002	 2.5810663598e+001	 8.2324312641e-001
 4.0002000000e-002	 0.0000000000e+000	 1.0400013800e+000	 0.0000000000e+000	 2.5775977956e+001	 9.8757231902e-001
 4.0002000000e-002	 6.6670000000e-003	 1.0399549742e+000	 9.8242609736e-003	 2.5762244524e+001	 9.8251770423e-001
 4.0002000000e-002	 1.3334000000e-002	 1.0398150405e+000	 1.9685843737e-002	 2.5747838554e+001	 9.7959043469e-001
 4.0002000000e-002	 2.0001000000e-002	 1.0395805145e+000	 2.9583607125e-002	 2.5731467756e+001	 9.7821734871e-001
 4.0002000000e-002	 2.6668000000e-002	 1.0392503450e+000	 3.9516380604e-002	 2.5711855140e+001	 9.7784623743e-001
 4.0002000000e-002	 3.3335000000e-002	 1.0388234954e+000	 4.9482964321e-002	 2.5687735494e+001	 9.7793961684e-001
 4.0002000000e-002	 4.0002000000e-002	 1.0382989444e+000	 5.9482129187e-002	 2.5657859298e+001	 9.7797498531e-001
 4.0002000000e-002	 4.6669000000e-002	 1.0376756864e+000	 6.9512616973e-002	 2.5620996701e+001	 9.7744511907e-001
 4.0002000000e-002	 5.3336000000e-002	 1.0369527330e+000	 7.9573140449e-002	 2.5575941558e+001	 9.7585842407e-001
 4.0002000000e-002	 6.0003000000e-002	 1.0361291135e+000	 8.9662383529e-002	 2.5521515494e+001	 9.7273935929e-001
 4.0002000000e-002	 6.6670000000e-002	 1.0352038758e+000	 9.9779001463e-002	 2.5456571977e+001	 9.6762894366e-001
 4.6669000000e-002	 0.0000000000e+000	 1.0466684498e+000	 0.0000000000e+000	 2.5426342299e+001	 1.1276500215e+000
 4.6669000000e-002	 6.6670000000e-003	 1.0466217464e+000	 9.8872407295e-003	 2.5412467210e+001	 1.1224935189e+000
 4.6669000000e-002	 1.3334000000e-002	 1.0464809157e+000	 1.9812042505e-002	 2.5398140299e+001	 1.1194431784e+000
 4.6669000000e-002	 2.0001000000e-002	 1.0462448862e+000	 2.9773256846e-002	 2.5382048700e+001	 1.1179214562e+000
 4.6669000000e-002	 2.6668000000e-002	 1.0459126001e+000	 3.9769705715e-002	 2.5362895744e+001	 1.1173709090e+000
 4.6669000000e-002	 3.3335000000e-002	 1.0454830142e+000	 4.9800181568e-002	 2.5339397914e+001	 1.1172484323e+000
 4.6669000000e-002	 4.0002000000e-002	 1.0449551004e+000	 5.9863447434e-002	 2.5310288750e+001	 1.1170256052e+000
 4.6669000000e-002	 4.6669000000e-002	 1.0443278469e+000	 6.9958237022e-002	 2.5274322812e+001	 1.1161890764e+000
 4.6669000000e-002	 5.3336000000e-002	 1.0436002590e+000	 8.0083254846e-002	 2.5230279715e+001	 1.1142410089e+000
 4.6669000000e-002	 6.0003000000e-002	 1.0427713596e+000	 9.0237176385e-002	 2.5176968185e+001	 1.1106995980e+000
 4.6669000000e-002	 6.6670000000e-002	 1.0418401905e+000	 1.0041864827e-001	 2.5113230128e+001	 1.1050996761e+000
 5.3336000000e-002	 0.0000000000e+000	 1.0533355378e+000	 0.0000000000e+000	 2.5086905369e+001	 1.2604948044e+000
 5.3336000000e-002	 6.6670000000e-003	 1.0532885370e+000	 9.9502206589e-003	 2.5072873785e+001	 1.2552582324e+000
 5.3336000000e-002	 1.3334000000e-002	 1.0531468092e+000	 1.9938241621e-002	 2.5058609160e+001	 1.2520988274e+000
 5.3336000000e-002	 2.0001000000e-002	 1.0529092762e+000	 2.9962907090e-002	 2.5042779224e+001	 1.2504363793e+000
 5.3336000000e-002	 2.6668000000e-002	 1.0525748736e+000	 4.0023031523e-002	 2.5024068825e+001	 1.2497098842e+000
 5.3336000000e-002	 3.3335000000e-002	 1.0521425512e+000	 5.0117399687e-002	 2.5001177344e+001	 1.2493722351e+000
 5.3336000000e-002	 4.0002000000e-002	 1.0516112747e+000	 6.0244766730e-002	 2.4972822575e+001	 1.2488906526e+000
 5.3336000000e-002	 4.6669000000e-002	 1.0509800258e+000	 7.0403858295e-002	 2.4937744688e+001	 1.2477471589e+000
 5.3336000000e-002	 5.3336000000e-002	 1.0502478032e+000	 8.0593370645e-002	 2.4894710241e+001	 1.2454391126e+000
 5.3336000000e-002	 6.0003000000e-002	 1.0494136239e+000	 9.0811970822e-002	 2.4842516234e+001	 1.2414798205e+000
 5.3336000000e-002	 6.6670000000e-002	 1.0484765234e+000	 1.0105829683e-001	 2.4779994176e+001	 1.2353992379e+000
 6.0003000000e-002	 0.0000000000e+000	 1.0600026325e+000	 0.0000000000e+000	 2.4757016629e+001	 1.3858300501e+000
 6.0003000000e-002	 6.6670000000e-003	 1.0599553342e+000	 1.0013200651e-002	 2.4742820051e+001	 1.3805374308e+000
 6.0003000000e-002	 1.3334000000e-002	 1.0598127094e+000	 2.0064440863e-002	 2.4728606338e+001	 1.3772853715e+000
 6.0003000000e-002	 2.0001000000e-002	 1.0595736729e+000	 3.0152557523e-002	 2.4713024996e+001	 1.3754926723e+000
 6.0003000000e-002	 2.6668000000e-002	 1.0592371537e+000	 4.0276357585e-002	 2.4694743588e+001	 1.3745964066e+000
 6.0003000000e-002	 3.3335000000e-002	 1.0588020949e+000	 5.0434618123e-002	 2.4672445586e+001	 1.3740470501e+000
 6.0003000000e-002	 4.0002000000e-002	 1.0582674557e+000	 6.0626086407e-002	 2.4644834231e+001	 1.3733089944e+000
