patch_n	x	y	stress_yy
0	 0.000000000000000e+000	 0.000000000000000e+000	 4.107762317717461e+000
0	 0.000000000000000e+000	 6.666714722864756e-002	 2.484052381414529e+000
0	 0.000000000000000e+000	 1.333351778131789e-001	 1.288357222341868e+000
0	 0.000000000000000e+000	 2.000039750814772e-001	 4.811745930561389e-001
0	 0.000000000000000e+000	 2.666734223614256e-001	 2.300409339634466e-002
0	 0.000000000000000e+000	 3.333434029809069e-001	-1.256528297652524e-001
0	 0.000000000000000e+000	 4.000138002678044e-001	-4.292882723711591e-003
0	 0.000000000000000e+000	 4.666844975500011e-001	 3.475890749064922e-001
0	 0.000000000000000e+000	 5.333553781553803e-001	 8.905000300878546e-001
0	 0.000000000000000e+000	 6.000263254118248e-001	 1.584948816304703e+000
0	 0.000000000000000e+000	 6.666972226472175e-001	 2.391446113556528e+000
0	 6.666714722864756e-002	 0.000000000000000e+000	 3.105643253697834e+000
0	 6.666714722864756e-002	 6.666714722864756e-002	 2.295773437800169e+000
0	 6.666714722864754e-002	 1.333351778131789e-001	 1.709205061892884e+000
0	 6.666714722864754e-002	 2.000039750814772e-001	 1.318117152032536e+000
0	 6.666714722864757e-002	 2.666734223614254e-001	 1.094689250818434e+000
0	 6.666714722864760e-002	 3.333434029809069e-001	 1.011101417314795e+000
0	 6.666714722864757e-002	 4.000138002678046e-001	 1.039534226986420e+000
0	 6.666714722864756e-002	 4.666844975500011e-001	 1.152168771647938e+000
0	 6.666714722864754e-002	 5.333553781553803e-001	 1.321186659426619e+000
0	 6.666714722864757e-002	 6.000263254118247e-001	 1.518770014738722e+000
0	 6.666714722864757e-002	 6.666972226472178e-001	 1.717101478279406e+000
0	 1.333351778131789e-001	 0.000000000000000e+000	 2.765749487273530e+000
0	 1.333351778131789e-001	 6.666714722864753e-002	 2.302831752553886e+000
0	 1.333351778131789e-001	 1.333351778131789e-001	 1.961979543768274e+000
0	 1.333351778131789e-001	 2.000039750814772e-001	 1.726131688372492e+000
0	 1.333351778131789e-001	 2.666734223614256e-001	 1.578227215061559e+000
0	 1.333351778131790e-001	 3.333434029809069e-001	 1.501205353732573e+000
0	 1.333351778131789e-001	 4.000138002678044e-001	 1.478005535452860e+000
0	 1.333351778131790e-001	 4.666844975500011e-001	 1.491567392433377e+000
0	 1.333351778131789e-001	 5.333553781553803e-001	 1.524830758007419e+000
0	 1.333351778131789e-001	 6.000263254118246e-001	 1.560735666614601e+000
0	 1.333351778131790e-001	 6.666972226472178e-001	 1.582222353790112e+000
0	 2.000039750814772e-001	 0.000000000000000e+000	 2.950857813362567e+000
0	 2.000039750814772e-001	 6.666714722864756e-002	 2.458210704547228e+000
0	 2.000039750814772e-001	 1.333351778131789e-001	 2.071048463321316e+000
0	 2.000039750814772e-001	 2.000039750814772e-001	 1.782149410433578e+000
0	 2.000039750814772e-001	 2.666734223614255e-001	 1.584292570340044e+000
0	 2.000039750814773e-001	 3.333434029809069e-001	 1.470257671102943e+000
0	 2.000039750814773e-001	 4.000138002678044e-001	 1.432825144308115e+000
0	 2.000039750814772e-001	 4.666844975500011e-001	 1.464776125000877e+000
0	 2.000039750814772e-001	 5.333553781553803e-001	 1.558892451640367e+000
0	 2.000039750814773e-001	 6.000263254118247e-001	 1.707956666072345e+000
0	 2.000039750814773e-001	 6.666972226472178e-001	 1.904752013520465e+000
0	 2.666734223614256e-001	 0.000000000000000e+000	 3.523745149598698e+000
0	 2.666734223614255e-001	 6.666714722864758e-002	 2.714893507181251e+000
0	 2.666734223614256e-001	 1.333351778131790e-001	 2.060779233539790e+000
0	 2.666734223614256e-001	 2.000039750814772e-001	 1.563100988981983e+000
0	 2.666734223614255e-001	 2.666734223614256e-001	 1.223559260097989e+000
0	 2.666734223614256e-001	 3.333434029809070e-001	 1.043856359516626e+000
0	 2.666734223614255e-001	 4.000138002678043e-001	 1.025696425709489e+000
0	 2.666734223614256e-001	 4.666844975500010e-001	 1.170785422843012e+000
0	 2.666734223614256e-001	 5.333553781553803e-001	 1.480831140678443e+000
0	 2.666734223614256e-001	 6.000263254118247e-001	 1.957543194519769e+000
0	 2.666734223614255e-001	 6.666972226472174e-001	 2.602633025209528e+000
0	 3.333434029809069e-001	 0.000000000000000e+000	 4.347188536308998e+000
0	 3.333434029809069e-001	 6.666714722864757e-002	 3.025863208411337e+000
0	 3.333434029809069e-001	 1.333351778131790e-001	 1.955538885104521e+000
0	 3.333434029809069e-001	 2.000039750814773e-001	 1.145916557273210e+000
0	 3.333434029809070e-001	 2.666734223614256e-001	 6.067005871024780e-001
0	 3.333434029809070e-001	 3.333434029809070e-001	 3.475987076382324e-001
0	 3.333434029809069e-001	 4.000138002678044e-001	 3.783220224361438e-001
0	 3.333434029809069e-001	 4.666844975500011e-001	 7.085850052990689e-001
0	 3.333434029809070e-001	 5.333553781553805e-001	 1.348105500102950e+000
0	 3.333434029809069e-001	 6.000263254118248e-001	 2.306604720711178e+000
0	 3.333434029809069e-001	 6.666972226472177e-001	 3.593807250977430e+000
0	 4.000138002678044e-001	 0.000000000000000e+000	 5.283965136494670e+000
0	 4.000138002678045e-001	 6.666714722864756e-002	 3.344102690767638e+000
0	 4.000138002678044e-001	 1.333351778131789e-001	 1.779694066437865e+000
0	 4.000138002678044e-001	 2.000039750814773e-001	 6.075257111186689e-001
0	 4.000138002678042e-001	 2.666734223614255e-001	-1.556107864800106e-001
0	 4.000138002678042e-001	 3.333434029809068e-001	-4.929186972141145e-001
0	 4.000138002678044e-001	 4.000138002678044e-001	-3.875961520329935e-001
0	 4.000138002678044e-001	 4.666844975500011e-001	 1.771638576280152e-001
0	 4.000138002678043e-001	 5.333553781553800e-001	 1.218173479589920e+000
0	 4.000138002678045e-001	 6.000263254118249e-001	 2.752250000807345e+000
0	 4.000138002678044e-001	 6.666972226472177e-001	 4.796215847380656e+000
0	 4.666844975500011e-001	 0.000000000000000e+000	 6.196852235815068e+000
0	 4.666844975500011e-001	 6.666714722864756e-002	 3.622594671371208e+000
0	 4.666844975500012e-001	 1.333351778131790e-001	 1.557611043742178e+000
0	 4.666844975500012e-001	 2.000039750814773e-001	 2.485750893815265e-002
0	 4.666844975500011e-001	 2.666734223614255e-001	-9.527028390240201e-001
0	 4.666844975500011e-001	 3.333434029809069e-001	-1.352099969007575e+000
0	 4.666844975500011e-001	 4.000138002678044e-001	-1.150356913460461e+000
0	 4.666844975500012e-001	 4.666844975500012e-001	-3.244897689378378e-001
