patch_n	x	y	disp_x	disp_y
1	 1.000000000000000e+000	 0.000000000000000e+000	-9.727915856244012e-003	 0.000000000000000e+000
1	 9.999553790721549e-001	 9.446392261750536e-003	-9.727439220357259e-003	 2.654847803314719e-004
1	 9.998208276644109e-001	 1.892867080636967e-002	-9.726067999023187e-003	 5.319231312557658e-004
1	 9.995953221430520e-001	 2.844573836262591e-002	-9.723797935300338e-003	 7.992914026555658e-004
1	 9.992778519071311e-001	 3.799646941872217e-002	-9.720624270616023e-003	 1.067565285263765e-003
1	 9.988674201817245e-001	 4.757971027342477e-002	-9.716541748433604e-003	 1.336719733708886e-003
1	 9.983630448185402e-001	 5.719427911104237e-002	-9.711544622267400e-003	 1.606728889109161e-003
1	 9.977637591031844e-001	 6.683896610081597e-002	-9.705626668112411e-003	 1.877566001593062e-003
1	 9.970686125683426e-001	 7.651253352126189e-002	-9.698781201326565e-003	 2.149203353131852e-003
1	 9.962766718121099e-001	 8.621371590998764e-002	-9.691001097972345e-003	 2.421612181075631e-003
1	 9.953870213206724e-001	 9.594122023947824e-002	-9.682278820592466e-003	 2.694762602788469e-003
1	 9.943989199946589e-001	 1.056922649420928e-001	-9.672608034624278e-003	 2.968581813746957e-003
1	 9.933113650226917e-001	 1.154669775827053e-001	-9.661979557533892e-003	 3.243075392006998e-003
1	 9.921235000424145e-001	 1.252640057452699e-001	-9.650385202677294e-003	 3.518206029259337e-003
1	 9.908344898374512e-001	 1.350819710464206e-001	-9.637816520822382e-003	 3.793934976876492e-003
1	 9.894435211587168e-001	 1.449194694473043e-001	-9.624264846256425e-003	 4.070221983618330e-003
1	 9.879498035443918e-001	 1.547750715930050e-001	-9.609721346443403e-003	 4.347025236835336e-003
1	 9.863525701375676e-001	 1.646473231798204e-001	-9.594177074969188e-003	 4.624301307537155e-003
1	 9.846510785005697e-001	 1.745347453506194e-001	-9.577623027480272e-003	 4.902005099682944e-003
1	 9.828446114249161e-001	 1.844358351184653e-001	-9.560050200290550e-003	 5.180089804037527e-003
1	 9.809324777358747e-001	 1.943490658186562e-001	-9.541449651301139e-003	 5.458506856923132e-003
1	 9.789137024229728e-001	 2.042743766435053e-001	-9.521809878824035e-003	 5.737250233530886e-003
1	 9.767879280981021e-001	 2.142087061355223e-001	-9.501126671506989e-003	 6.016238560665974e-003
1	 9.745545470450379e-001	 2.241504565049763e-001	-9.479393721609783e-003	 6.295433025216735e-003
1	 9.722129807570792e-001	 2.340980083161345e-001	-9.456605065470686e-003	 6.574793119996958e-003
1	 9.697626806991601e-001	 2.440497210832210e-001	-9.432755149008385e-003	 6.854276625149792e-003
1	 9.672031290579123e-001	 2.540039338948809e-001	-9.407838892878566e-003	 7.133839595812487e-003
1	 9.645338394785437e-001	 2.639589660669880e-001	-9.381851756792996e-003	 7.413436356240467e-003
1	 9.617543577873684e-001	 2.739131178235835e-001	-9.354789802502832e-003	 7.693019500566941e-003
1	 9.588642626988490e-001	 2.838646710056856e-001	-9.326649754945626e-003	 7.972539900351554e-003
