x	y	stress_yy
 1.000000000000000e+000	 0.000000000000000e+000	 3.101505024012511e+001
 9.999553790721549e-001	 9.446392261750536e-003	 3.099985826367542e+001
 9.998208276644109e-001	 1.892867080636967e-002	 3.097234644622609e+001
 9.995953221430520e-001	 2.844573836262591e-002	 3.093253428638316e+001
 9.992778519071311e-001	 3.799646941872217e-002	 3.088043854365994e+001
 9.988674201817245e-001	 4.757971027342477e-002	 3.081607308075659e+001
 9.983630448185402e-001	 5.719427911104237e-002	 3.073944870338335e+001
 9.977637591031844e-001	 6.683896610081597e-002	 3.065057299761813e+001
 9.970686125683426e-001	 7.651253352126189e-002	 3.054945016482519e+001
 9.962766718121099e-001	 8.621371590998764e-002	 3.043608085420027e+001
 9.953870213206724e-001	 9.594122023947824e-002	 3.031046199305270e+001
 1.026666858896873e+000	 0.000000000000000e+000	 2.908586285981188e+001
 1.026621048068823e+000	 9.698297869740000e-003	 2.907952444978035e+001
 1.026482908597070e+000	 1.943343899728710e-002	 2.906188099856557e+001
 1.026251389550869e+000	 2.920429685057105e-002	 2.903288261535692e+001
 1.025925453379797e+000	 3.900971590386779e-002	 2.899247926447639e+001
 1.025504076728145e+000	 4.884851169029192e-002	 2.894061919988505e+001
 1.024986251256887e+000	 5.871947087877486e-002	 2.887724894198188e+001
 1.024370984472468e+000	 6.862135137610566e-002	 2.880231325229449e+001
 1.023657300561674e+000	 7.855288245458952e-002	 2.871575510578146e+001
 1.022844241231782e+000	 8.851276490585899e-002	 2.861751566050308e+001
 1.021930866555178e+000	 9.849967122134781e-002	 2.850753422445714e+001
 1.053334071134978e+000	 0.000000000000000e+000	 2.740853402716889e+001
 1.053287070390996e+000	 9.950206815530270e-003	 2.740743003209139e+001
 1.053145342807795e+000	 1.993821387648614e-002	 2.739623134877023e+001
 1.052907810157237e+000	 2.996286538957084e-002	 2.737482662237980e+001
 1.052573407939045e+000	 4.002297581473556e-002	 2.734310464487903e+001
 1.052141086216367e+000	 5.011732991903531e-002	 2.730095294442625e+001
 1.051609810459081e+000	 6.024468285560676e-002	 2.724825787451260e+001
 1.050978562394118e+000	 7.040376026835926e-002	 2.718490470151198e+001
 1.050246340862016e+000	 8.059325842294959e-002	 2.711077769010346e+001
 1.049412162678889e+000	 9.081184436458797e-002	 2.702576018605529e+001
 1.048475063502990e+000	 1.010581561031999e-001	 2.692973469590000e+001
 1.080001590045551e+000	 0.000000000000000e+000	 2.594894589015651e+001
 1.079953399371986e+000	 1.020211865827080e-002	 2.595013052617335e+001
 1.079808083636172e+000	 2.044299456059085e-002	 2.594256448497506e+001
 1.079564537312246e+000	 3.072144265210019e-002	 2.592608050686596e+001
 1.079221668949764e+000	 4.103624737807987e-002	 2.590051101942914e+001
 1.078778402030408e+000	 5.138616273917135e-002	 2.586568694007019e+001
 1.078233675832652e+000	 6.176991237235381e-002	 2.582143785464757e+001
 1.077586446303606e+000	 7.218618965828590e-002	 2.576759219516854e+001
 1.076835686937252e+000	 8.263365785559590e-002	 2.570397741577633e+001
 1.075980389658250e+000	 9.311095026268368e-002	 2.563042016628932e+001
 1.075019565710423e+000	 1.036166704075697e-001	 2.554674646259414e+001
 1.106669368959824e+000	 0.000000000000000e+000	 2.467587239718219e+001
 1.106619988345106e+000	 1.045403295711104e-002	 2.467703659599937e+001
 1.106471084421780e+000	 2.094778016622530e-002	 2.467086988644804e+001
 1.106221524365987e+000	 3.148002731063400e-002	 2.465715383995707e+001
 1.105870189776840e+000	 4.204952882065516e-002	 2.463566856922801e+001
 1.105415977554288e+000	 5.265500793021637e-002	 2.460619178187707e+001
 1.104857800785134e+000	 6.329515675983194e-002	 2.456849902742728e+001
 1.104194589636403e+000	 7.396863642659464e-002	 2.452236394408999e+001
 1.103425292255272e+000	 8.467407718178245e-002	 2.446755850436353e+001
 1.102548875674684e+000	 9.541007857665527e-002	 2.440385325851284e+001
 1.101564326723789e+000	 1.061752096569922e-001	 2.433101757504000e+001
 1.133337361209029e+000	 0.000000000000000e+000	 2.356064058150226e+001
 1.133286790643667e+000	 1.070594927120045e-002	 2.356007953748935e+001
 1.133134298504202e+000	 2.145256981001351e-002	 2.355362998149670e+001
 1.132878724668551e+000	 3.223861803764715e-002	 2.354102627829936e+001
 1.132518923785160e+000	 4.306281836921582e-002	 2.352199956571115e+001
 1.132053766172025e+000	 5.392386327168684e-002	 2.349627707534787e+001
 1.131482138724057e+000	 6.482041334885690e-002	 2.346358242845961e+001
 1.130802945827984e+000	 7.575109745399460e-002	 2.342363593230225e+001
 1.130015110283960e+000	 8.671451283076302e-002	 2.337615487590268e+001
 1.129117574233009e+000	 9.770922528301183e-002	 2.332085382411337e+001
 1.128109300089399e+000	 1.087337693740023e-001	 2.325744490890368e+001
 1.160005520124402e+000	 0.000000000000000e+000	 2.257683726451350e+001
 1.159953759600982e+000	 1.095786715968847e-002	 2.257342288283102e+001
 1.159797679223019e+000	 2.195736260857955e-002	 2.256553603581232e+001
 1.159536091570028e+000	 3.299721350561456e-002	 2.255286711431649e+001
 1.159167824339611e+000	 4.407611425051633e-002	 2.253510095442460e+001
 1.158691721267636e+000	 5.519272654309909e-002	 2.251191641935534e+001
 1.158106643056953e+000	 6.634567947024450e-002	 2.248298672615680e+001
 1.157411468313821e+000	 7.753356962119486e-002	 2.244797977366008e+001
 1.156605094491205e+000	 8.875496123179154e-002	 2.240655847039700e+001
 1.155686438838045e+000	 1.000083863582625e-001	 2.235838106123100e+001
 1.154654439353568e+000	 1.112923450811353e-001	 2.230310145151251e+001
 1.186673799037173e+000	 0.000000000000000e+000	 2.170005529125371e+001
 1.186620848550362e+000	 1.120978618172458e-002	 2.169321287480058e+001
 1.186461179917815e+000	 2.246215767854747e-002	 2.168324232894494e+001
 1.186193578420510e+000	 3.375581238701111e-002	 2.166979261399556e+001
 1.185816844805080e+000	 4.508941469131111e-002	 2.165250430780997e+001
 1.185329796225141e+000	 5.646159552396950e-002	 2.163100942250735e+001
 1.184731267191354e+000	 6.787095245481060e-002	 2.160493174551839e+001
 1.184020110529385e+000	 7.931604980890453e-002	 2.157388718253767e+001
 1.183195198344893e+000	 9.079541881412187e-002	 2.153748410094229e+001
 1.182255422994611e+000	 1.023075577789163e-001	 2.149532367229866e+001
 1.181199698062607e+000	 1.138509323009261e-001	 2.144700021265111e+001
 1.213342151278578e+000	 0.000000000000000e+000	 2.090767321969917e+001
 1.213288010825120e+000	 1.146170589645821e-002	 2.089736183443513e+001
 1.213124753928167e+000	 2.296695413654130e-002	 2.088515273167630e+001
 1.212851138570086e+000	 3.451441335431171e-002	 2.087065533187769e+001
 1.212465938546455e+000	 4.610271791835455e-002	 2.085346740099233e+001
 1.211967944428558e+000	 5.773046799381450e-002	 2.083317505849136e+001
 1.211355964534790e+000	 6.939622963337105e-002	 2.080935311770044e+001
 1.210628825910150e+000	 8.109853489783273e-002	 2.078156542853728e+001
 1.209785375312910e+000	 9.283588200700788e-002	 2.074936522108712e+001
 1.208824480207525e+000	 1.046067355214826e-001	 2.071229544852145e+001
 1.207745029762831e+000	 1.164095265559097e-001	 2.066988912795275e+001
 1.240010530179849e+000	 0.000000000000000e+000	 2.017866343061231e+001
 1.239955199758569e+000	 1.171362586303883e-002	 2.016535947307649e+001
 1.239788354593661e+000	 2.347175109918509e-002	 2.015123480934970e+001
 1.239508725368846e+000	 3.527301507999124e-002	 2.013586059201136e+001
 1.239115058928623e+000	 4.711602215840111e-002	 2.011879265257584e+001
 1.238606119261905e+000	 5.899934173215044e-002	 2.009957164509665e+001
 1.237980688494794e+000	 7.092150833674160e-002	 2.007772337210503e+001
 1.237237567891589e+000	 8.288102176868853e-002	 2.005275911324613e+001
 1.236375578863144e+000	 9.487634723970345e-002	 2.002417595492505e+001
 1.235393563981607e+000	 1.069059155624702e-001	 1.999145711936023e+001
 1.234290388000549e+000	 1.189681233686213e-001	 1.995407229154559e+001
 1.266678889072220e+000	 0.000000000000000e+000	 1.949342447193269e+001
 1.266622368684020e+000	 1.196554564061589e-002	 1.947810803286141e+001
 1.266451935253877e+000	 2.397654768310291e-002	 1.946285739681045e+001
 1.266166292166884e+000	 3.603161623652462e-002	 1.944720613349767e+001
 1.265764159316470e+000	 4.812932563820523e-002	 1.943066847336071e+001
 1.265244274109201e+000	 6.026821451849370e-002	 1.941273952533318e+001
 1.264605392478897e+000	 7.244678589573809e-002	 1.939289557605721e+001
 1.263846289909173e+000	 8.466350730218103e-002	 1.937059439182075e+001
