xi	eta	x	y	stress_vm
 0.0000000000e+000	 0.0000000000e+000	 1.0000000000e+000	 0.0000000000e+000	 3.0867187945e+001
 0.0000000000e+000	 6.6670000000e-003	 9.9995537907e-001	 9.4463922618e-003	 3.0856901191e+001
 0.0000000000e+000	 1.3334000000e-002	 9.9982082766e-001	 1.8928670806e-002	 3.0840014659e+001
 0.0000000000e+000	 2.0001000000e-002	 9.9959532214e-001	 2.8445738363e-002	 3.0816462814e+001
 0.0000000000e+000	 2.6668000000e-002	 9.9927785191e-001	 3.7996469419e-002	 3.0786170671e+001
 0.0000000000e+000	 3.3335000000e-002	 9.9886742018e-001	 4.7579710273e-002	 3.0749053972e+001
 0.0000000000e+000	 4.0002000000e-002	 9.9836304482e-001	 5.7194279111e-002	 3.0705019438e+001
 0.0000000000e+000	 4.6669000000e-002	 9.9776375910e-001	 6.6838966101e-002	 3.0653965125e+001
 0.0000000000e+000	 5.3336000000e-002	 9.9706861257e-001	 7.6512533521e-002	 3.0595780863e+001
 0.0000000000e+000	 6.0003000000e-002	 9.9627667181e-001	 8.6213715910e-002	 3.0530348788e+001
 0.0000000000e+000	 6.6670000000e-002	 9.9538702132e-001	 9.5941220239e-002	 3.0457543968e+001
 6.6670000000e-003	 0.0000000000e+000	 1.0266668589e+000	 0.0000000000e+000	 2.8697836780e+001
 6.6670000000e-003	 6.6670000000e-003	 1.0266210481e+000	 9.6982978697e-003	 2.8694035621e+001
 6.6670000000e-003	 1.3334000000e-002	 1.0264829086e+000	 1.9433438997e-002	 2.8683680304e+001
 6.6670000000e-003	 2.0001000000e-002	 1.0262513896e+000	 2.9204296851e-002	 2.8666693675e+001
 6.6670000000e-003	 2.6668000000e-002	 1.0259254534e+000	 3.9009715904e-002	 2.8642988598e+001
 6.6670000000e-003	 3.3335000000e-002	 1.0255040767e+000	 4.8848511690e-002	 2.8612466397e+001
 6.6670000000e-003	 4.0002000000e-002	 1.0249862513e+000	 5.8719470879e-002	 2.8575017155e+001
 6.6670000000e-003	 4.6669000000e-002	 1.0243709845e+000	 6.8621351376e-002	 2.8530520095e+001
 6.6670000000e-003	 5.3336000000e-002	 1.0236573006e+000	 7.8552882455e-002	 2.8478844049e+001
 6.6670000000e-003	 6.0003000000e-002	 1.0228442412e+000	 8.8512764906e-002	 2.8419847997e+001
 6.6670000000e-003	 6.6670000000e-002	 1.0219308666e+000	 9.8499671221e-002	 2.8353381701e+001
 1.3334000000e-002	 0.0000000000e+000	 1.0533340711e+000	 0.0000000000e+000	 2.6788754483e+001
 1.3334000000e-002	 6.6670000000e-003	 1.0532870704e+000	 9.9502068155e-003	 2.6788764351e+001
 1.3334000000e-002	 1.3334000000e-002	 1.0531453428e+000	 1.9938213876e-002	 2.6782537390e+001
 1.3334000000e-002	 2.0001000000e-002	 1.0529078102e+000	 2.9962865390e-002	 2.6769984720e+001
 1.3334000000e-002	 2.6668000000e-002	 1.0525734079e+000	 4.0022975815e-002	 2.6751005396e+001
 1.3334000000e-002	 3.3335000000e-002	 1.0521410862e+000	 5.0117329919e-002	 2.6725485037e+001
 1.3334000000e-002	 4.0002000000e-002	 1.0516098105e+000	 6.0244682856e-002	 2.6693296202e+001
 1.3334000000e-002	 4.6669000000e-002	 1.0509785624e+000	 7.0403760268e-002	 2.6654298831e+001
 1.3334000000e-002	 5.3336000000e-002	 1.0502463409e+000	 8.0593258423e-002	 2.6608340784e+001
 1.3334000000e-002	 6.0003000000e-002	 1.0494121627e+000	 9.0811844365e-002	 2.6555258445e+001
 1.3334000000e-002	 6.6670000000e-002	 1.0484750635e+000	 1.0105815610e-001	 2.6494877408e+001
 2.0001000000e-002	 0.0000000000e+000	 1.0800015900e+000	 0.0000000000e+000	 2.5113685957e+001
 2.0001000000e-002	 6.6670000000e-003	 1.0799533994e+000	 1.0202118658e-002	 2.5115309788e+001
 2.0001000000e-002	 1.3334000000e-002	 1.0798080836e+000	 2.0442994561e-002	 2.5111238358e+001
 2.0001000000e-002	 2.0001000000e-002	 1.0795645373e+000	 3.0721442652e-002	 2.5101367382e+001
 2.0001000000e-002	 2.6668000000e-002	 1.0792216689e+000	 4.1036247378e-002	 2.5085578746e+001
 2.0001000000e-002	 3.3335000000e-002	 1.0787784020e+000	 5.1386162739e-002	 2.5063739396e+001
 2.0001000000e-002	 4.0002000000e-002	 1.0782336758e+000	 6.1769912372e-002	 2.5035701775e+001
 2.0001000000e-002	 4.6669000000e-002	 1.0775864463e+000	 7.2186189658e-002	 2.5001304355e+001
 2.0001000000e-002	 5.3336000000e-002	 1.0768356869e+000	 8.2633657856e-002	 2.4960372255e+001
 2.0001000000e-002	 6.0003000000e-002	 1.0759803897e+000	 9.3110950263e-002	 2.4912717931e+001
 2.0001000000e-002	 6.6670000000e-002	 1.0750195657e+000	 1.0361667041e-001	 2.4858141952e+001
 2.6668000000e-002	 0.0000000000e+000	 1.1066693690e+000	 0.0000000000e+000	 2.3647626375e+001
 2.6668000000e-002	 6.6670000000e-003	 1.1066199883e+000	 1.0454032957e-002	 2.3649120860e+001
 2.6668000000e-002	 1.3334000000e-002	 1.1064710844e+000	 2.0947780166e-002	 2.3645638249e+001
 2.6668000000e-002	 2.0001000000e-002	 1.1062215244e+000	 3.1480027311e-002	 2.3637054028e+001
 2.6668000000e-002	 2.6668000000e-002	 1.1058701898e+000	 4.2049528821e-002	 2.3623228407e+001
 2.6668000000e-002	 3.3335000000e-002	 1.1054159776e+000	 5.2655007930e-002	 2.3604005481e+001
 2.6668000000e-002	 4.0002000000e-002	 1.1048578008e+000	 6.3295156760e-002	 2.3579213742e+001
 2.6668000000e-002	 4.6669000000e-002	 1.1041945896e+000	 7.3968636427e-002	 2.3548666670e+001
 2.6668000000e-002	 5.3336000000e-002	 1.1034252923e+000	 8.4674077182e-002	 2.3512163441e+001
 2.6668000000e-002	 6.0003000000e-002	 1.1025488757e+000	 9.5410078577e-002	 2.3469489704e+001
 2.6668000000e-002	 6.6670000000e-002	 1.1015643267e+000	 1.0617520966e-001	 2.3420418454e+001
 3.3335000000e-002	 0.0000000000e+000	 1.1333373612e+000	 0.0000000000e+000	 2.2366476970e+001
 3.3335000000e-002	 6.6670000000e-003	 1.1332867906e+000	 1.0705949271e-002	 2.2366538684e+001
 3.3335000000e-002	 1.3334000000e-002	 1.1331342985e+000	 2.1452569810e-002	 2.2362470569e+001
 3.3335000000e-002	 2.0001000000e-002	 1.1328787247e+000	 3.2238618038e-002	 2.2354122556e+001
 3.3335000000e-002	 2.6668000000e-002	 1.1325189238e+000	 4.3062818369e-002	 2.2341328091e+001
 3.3335000000e-002	 3.3335000000e-002	 1.1320537662e+000	 5.3923863272e-002	 2.2323903582e+001
 3.3335000000e-002	 4.0002000000e-002	 1.1314821387e+000	 6.4820413349e-002	 2.2301648940e+001
 3.3335000000e-002	 4.6669000000e-002	 1.1308029458e+000	 7.5751097454e-002	 2.2274348235e+001
 3.3335000000e-002	 5.3336000000e-002	 1.1300151103e+000	 8.6714512831e-002	 2.2241770463e+001
 3.3335000000e-002	 6.0003000000e-002	 1.1291175742e+000	 9.7709225283e-002	 2.2203670408e+001
 3.3335000000e-002	 6.6670000000e-002	 1.1281093001e+000	 1.0873376937e-001	 2.2159789595e+001
 4.0002000000e-002	 0.0000000000e+000	 1.1600055201e+000	 0.0000000000e+000	 2.1246861102e+001
 4.0002000000e-002	 6.6670000000e-003	 1.1599537596e+000	 1.0957867160e-002	 2.1244621046e+001
 4.0002000000e-002	 1.3334000000e-002	 1.1597976792e+000	 2.1957362609e-002	 2.1239179403e+001
 4.0002000000e-002	 2.0001000000e-002	 1.1595360916e+000	 3.2997213506e-002	 2.1230355331e+001
 4.0002000000e-002	 2.6668000000e-002	 1.1591678243e+000	 4.4076114251e-002	 2.1217950419e+001
 4.0002000000e-002	 3.3335000000e-002	 1.1586917213e+000	 5.5192726543e-002	 2.1201748376e+001
 4.0002000000e-002	 4.0002000000e-002	 1.1581066431e+000	 6.6345679470e-002	 2.1181515595e+001
 4.0002000000e-002	 4.6669000000e-002	 1.1574114683e+000	 7.7533569621e-002	 2.1157001848e+001
 4.0002000000e-002	 5.3336000000e-002	 1.1566050945e+000	 8.8754961232e-002	 2.1127941091e+001
 4.0002000000e-002	 6.0003000000e-002	 1.1556864388e+000	 1.0000838636e-001	 2.1094052386e+001
 4.0002000000e-002	 6.6670000000e-002	 1.1546544394e+000	 1.1129234508e-001	 2.1055040918e+001
 4.6669000000e-002	 0.0000000000e+000	 1.1866737990e+000	 0.0000000000e+000	 2.0266102685e+001
 4.6669000000e-002	 6.6670000000e-003	 1.1866208486e+000	 1.1209786182e-002	 2.0261125718e+001
 4.6669000000e-002	 1.3334000000e-002	 1.1864611799e+000	 2.2462157679e-002	 2.0253907600e+001
 4.6669000000e-002	 2.0001000000e-002	 1.1861935784e+000	 3.3755812387e-002	 2.0244232126e+001
 4.6669000000e-002	 2.6668000000e-002	 1.1858168448e+000	 4.5089414691e-002	 2.0231864376e+001
 4.6669000000e-002	 3.3335000000e-002	 1.1853297962e+000	 5.6461595524e-002	 2.0216550628e+001
 4.6669000000e-002	 4.0002000000e-002	 1.1847312672e+000	 6.7870952455e-002	 2.0198018919e+001
 4.6669000000e-002	 4.6669000000e-002	 1.1840201105e+000	 7.9316049809e-002	 2.0175979757e+001
 4.6669000000e-002	 5.3336000000e-002	 1.1831951983e+000	 9.0795418814e-002	 2.0150126948e+001
 4.6669000000e-002	 6.0003000000e-002	 1.1822554230e+000	 1.0230755778e-001	 2.0120138553e+001
 4.6669000000e-002	 6.6670000000e-002	 1.1811996981e+000	 1.1385093230e-001	 2.0085677937e+001
 5.3336000000e-002	 0.0000000000e+000	 1.2133421513e+000	 0.0000000000e+000	 1.9402350804e+001
 5.3336000000e-002	 6.6670000000e-003	 1.2132880108e+000	 1.1461705896e-002	 1.9394636868e+001
 5.3336000000e-002	 1.3334000000e-002	 1.2131247539e+000	 2.2966954137e-002	 1.9385625597e+001
 5.3336000000e-002	 2.0001000000e-002	 1.2128511386e+000	 3.4514413354e-002	 1.9375061780e+001
 5.3336000000e-002	 2.6668000000e-002	 1.2124659385e+000	 4.6102717918e-002	 1.9362670115e+001
 5.3336000000e-002	 3.3335000000e-002	 1.2119679444e+000	 5.7730467994e-002	 1.9348155301e+001
 5.3336000000e-002	 4.0002000000e-002	 1.2113559645e+000	 6.9396229633e-002	 1.9331202589e+001
 5.3336000000e-002	 4.6669000000e-002	 1.2106288259e+000	 8.1098534898e-002	 1.9311478489e+001
 5.3336000000e-002	 5.3336000000e-002	 1.2097853753e+000	 9.2835882007e-002	 1.9288631614e+001
 5.3336000000e-002	 6.0003000000e-002	 1.2088244802e+000	 1.0460673552e-001	 1.9262293630e+001
 5.3336000000e-002	 6.6670000000e-002	 1.2077450298e+000	 1.1640952656e-001	 1.9232080323e+001
 6.0003000000e-002	 0.0000000000e+000	 1.2400105302e+000	 0.0000000000e+000	 1.8634820624e+001
 6.0003000000e-002	 6.6670000000e-003	 1.2399551998e+000	 1.1713625863e-002	 1.8624805572e+001
 6.0003000000e-002	 1.3334000000e-002	 1.2397883546e+000	 2.3471751099e-002	 1.8614372546e+001
 6.0003000000e-002	 2.0001000000e-002	 1.2395087254e+000	 3.5273015080e-002	 1.8603224765e+001
 6.0003000000e-002	 2.6668000000e-002	 1.2391150589e+000	 4.7116022158e-002	 1.8591043583e+001
 6.0003000000e-002	 3.3335000000e-002	 1.2386061193e+000	 5.8999341732e-002	 1.8577488706e+001
 6.0003000000e-002	 4.0002000000e-002	 1.2379806885e+000	 7.0921508337e-002	 1.8562198743e+001
 6.0003000000e-002	 4.6669000000e-002	 1.2372375679e+000	 8.2881021769e-002	 1.8544791901e+001
 6.0003000000e-002	 5.3336000000e-002	 1.2363755789e+000	 9.4876347240e-002	 1.8524866816e+001
 6.0003000000e-002	 6.0003000000e-002	 1.2353935640e+000	 1.0690591556e-001	 1.8502003494e+001
 6.0003000000e-002	 6.6670000000e-002	 1.2342903880e+000	 1.1896812337e-001	 1.8475764360e+001
 6.6670000000e-002	 0.0000000000e+000	 1.2666788891e+000	 0.0000000000e+000	 1.7944114526e+001
 6.6670000000e-002	 6.6670000000e-003	 1.2666223687e+000	 1.1965545641e-002	 1.7932669336e+001
 6.6670000000e-002	 1.3334000000e-002	 1.2664519353e+000	 2.3976547683e-002	 1.7921575426e+001
