xi	eta	x	y	stress_vm
 0.0000000000e+00	 0.0000000000e+00	 1.0000000000e+00	 0.0000000000e+00	 2.4316072691e+01
 0.0000000000e+00	 1.2500000000e-02	 9.9984261196e-01	 1.7741231987e-02	 2.4346291088e+01
 0.0000000000e+00	 2.5000000000e-02	 9.9936594664e-01	 3.5604840891e-02	 2.4348234254e+01
 0.0000000000e+00	 3.7500000000e-02	 9.9856337511e-01	 5.3583447897e-02	 2.4321818049e+01
 0.0000000000e+00	 5.0000000000e-02	 9.9742844690e-01	 7.1669333081e-02	 2.4267062581e+01
 0.0000000000e+00	 6.2500000000e-02	 9.9595490861e-01	 8.9854437912e-02	 2.4184090065e+01
 0.0000000000e+00	 7.5000000000e-02	 9.9413672265e-01	 1.0813036884e-01	 2.4073122884e+01
 0.0000000000e+00	 8.7500000000e-02	 9.9196808625e-01	 1.2648840200e-01	 2.3934481845e+01
 0.0000000000e+00	 1.0000000000e-01	 9.8944345047e-01	 1.4491948904e-01	 2.3768584662e+01
 0.0000000000e+00	 1.1250000000e-01	 9.8655753924e-01	 1.6341426419e-01	 2.3575944696e+01
 0.0000000000e+00	 1.2500000000e-01	 9.8330536840e-01	 1.8196305243e-01	 2.3357170031e+01
 1.2500000000e-02	 0.0000000000e+00	 1.0125000000e+00	 0.0000000000e+00	 2.3533352457e+01
 1.2500000000e-02	 1.2500000000e-02	 1.0123406446e+00	 1.7962997385e-02	 2.3569203023e+01
 1.2500000000e-02	 2.5000000000e-02	 1.0118580210e+00	 3.6049901398e-02	 2.3576469544e+01
 1.2500000000e-02	 3.7500000000e-02	 1.0110454173e+00	 5.4253240991e-02	 2.3555090669e+01
 1.2500000000e-02	 5.0000000000e-02	 1.0098963025e+00	 7.2565199739e-02	 2.3505106344e+01
 1.2500000000e-02	 6.2500000000e-02	 1.0084043450e+00	 9.0977618379e-02	 2.3426655490e+01
 1.2500000000e-02	 7.5000000000e-02	 1.0065634317e+00	 1.0948199844e-01	 2.3319973828e+01
 1.2500000000e-02	 8.7500000000e-02	 1.0043676873e+00	 1.2806950702e-01	 2.3185391867e+01
 1.2500000000e-02	 1.0000000000e-01	 1.0018114936e+00	 1.4673098265e-01	 2.3023333051e+01
 1.2500000000e-02	 1.1250000000e-01	 9.9888950849e-01	 1.6545694249e-01	 2.2834312112e+01
 1.2500000000e-02	 1.2500000000e-01	 9.9559668551e-01	 1.8423759058e-01	 2.2618933677e+01
 2.5000000000e-02	 0.0000000000e+00	 1.0250000000e+00	 0.0000000000e+00	 2.2791364503e+01
 2.5000000000e-02	 1.2500000000e-02	 1.0248386773e+00	 1.8184762783e-02	 2.2832499206e+01
 2.5000000000e-02	 2.5000000000e-02	 1.0243500953e+00	 3.6494961906e-02	 2.2844780624e+01
 2.5000000000e-02	 3.7500000000e-02	 1.0235274595e+00	 5.4923034086e-02	 2.2828171583e+01
 2.5000000000e-02	 5.0000000000e-02	 1.0223641581e+00	 7.3461066397e-02	 2.2782733274e+01
 2.5000000000e-02	 6.2500000000e-02	 1.0208537813e+00	 9.2100798847e-02	 2.2708622797e+01
 2.5000000000e-02	 7.5000000000e-02	 1.0189901407e+00	 1.1083362805e-01	 2.2606090807e+01
 2.5000000000e-02	 8.7500000000e-02	 1.0167672884e+00	 1.2965061203e-01	 2.2475479280e+01
 2.5000000000e-02	 1.0000000000e-01	 1.0141795367e+00	 1.4854247626e-01	 2.2317219370e+01
 2.5000000000e-02	 1.1250000000e-01	 1.0112214777e+00	 1.6749962078e-01	 2.2131829407e+01
 2.5000000000e-02	 1.2500000000e-01	 1.0078880026e+00	 1.8651212874e-01	 2.1919913074e+01
 3.7500000000e-02	 0.0000000000e+00	 1.0375000000e+00	 0.0000000000e+00	 2.2089023029e+01
 3.7500000000e-02	 1.2500000000e-02	 1.0373367099e+00	 1.8406528182e-02	 2.2135103374e+01
 3.7500000000e-02	 2.5000000000e-02	 1.0368421696e+00	 3.6940022414e-02	 2.2152100598e+01
 3.7500000000e-02	 3.7500000000e-02	 1.0360095017e+00	 5.5592827180e-02	 2.2140002784e+01
 3.7500000000e-02	 5.0000000000e-02	 1.0348320137e+00	 7.4356933056e-02	 2.2098893496e+01
 3.7500000000e-02	 6.2500000000e-02	 1.0333032177e+00	 9.3223979316e-02	 2.2028949244e+01
 3.7500000000e-02	 7.5000000000e-02	 1.0314168498e+00	 1.1218525765e-01	 2.1930437019e+01
 3.7500000000e-02	 8.7500000000e-02	 1.0291668895e+00	 1.3123171705e-01	 2.1803711868e+01
 3.7500000000e-02	 1.0000000000e-01	 1.0265475799e+00	 1.5035396986e-01	 2.1649214524e+01
 3.7500000000e-02	 1.1250000000e-01	 1.0235534470e+00	 1.6954229908e-01	 2.1467469085e+01
 3.7500000000e-02	 1.2500000000e-01	 1.0201793197e+00	 1.8878666689e-01	 2.1259080806e+01
 5.0000000000e-02	 0.0000000000e+00	 1.0500000000e+00	 0.0000000000e+00	 2.1425374429e+01
 5.0000000000e-02	 1.2500000000e-02	 1.0498347426e+00	 1.8628293580e-02	 2.1476070667e+01
 5.0000000000e-02	 2.5000000000e-02	 1.0493342440e+00	 3.7385082923e-02	 2.1497493255e+01
 5.0000000000e-02	 3.7500000000e-02	 1.0484915439e+00	 5.6262620276e-02	 2.1489656278e+01
 5.0000000000e-02	 5.0000000000e-02	 1.0472998693e+00	 7.5252799715e-02	 2.1452666504e+01
 5.0000000000e-02	 6.2500000000e-02	 1.0457526540e+00	 9.4347159785e-02	 2.1386720836e+01
 5.0000000000e-02	 7.5000000000e-02	 1.0438435588e+00	 1.1353688726e-01	 2.1292103775e+01
 5.0000000000e-02	 8.7500000000e-02	 1.0415664906e+00	 1.3281282207e-01	 2.1169184880e+01
 5.0000000000e-02	 1.0000000000e-01	 1.0389156230e+00	 1.5216546347e-01	 2.1018416202e+01
 5.0000000000e-02	 1.1250000000e-01	 1.0358854162e+00	 1.7158497738e-01	 2.0840329708e+01
 5.0000000000e-02	 1.2500000000e-01	 1.0324706368e+00	 1.9106120504e-01	 2.0635534721e+01
 6.2500000000e-02	 0.0000000000e+00	 1.0625000000e+00	 0.0000000000e+00	 2.0799593261e+01
 6.2500000000e-02	 1.2500000000e-02	 1.0623327752e+00	 1.8850058979e-02	 2.0854583528e+01
