x	y	stress_xx
 1.0000000000e+00	 0.0000000000e+00	 3.2789164832e-01
 9.9984261196e-01	 1.7741231987e-02	 3.5262000912e-01
 9.9936594664e-01	 3.5604840891e-02	 3.8792364751e-01
 9.9856337511e-01	 5.3583447897e-02	 4.3415174186e-01
 9.9742844690e-01	 7.1669333081e-02	 4.9162985181e-01
 9.9595490861e-01	 8.9854437912e-02	 5.6065722719e-01
 9.9413672265e-01	 1.0813036884e-01	 6.4150405992e-01
 9.9196808625e-01	 1.2648840200e-01	 7.3440869117e-01
 9.8944345047e-01	 1.4491948904e-01	 8.3957478704e-01
 9.8655753924e-01	 1.6341426419e-01	 9.5716849775e-01
 9.8330536840e-01	 1.8196305243e-01	 1.0873156164e+00
 1.0125000000e+00	 0.0000000000e+00	 4.2816283109e-01
 1.0123406446e+00	 1.7962997385e-02	 4.5383503025e-01
 1.0118580210e+00	 3.6049901398e-02	 4.8838373378e-01
 1.0110454173e+00	 5.4253240991e-02	 5.3212118687e-01
 1.0098963025e+00	 7.2565199739e-02	 5.8534031566e-01
 1.0084043450e+00	 9.0977618379e-02	 6.4831235781e-01
 1.0065634317e+00	 1.0948199844e-01	 7.2128442987e-01
 1.0043676873e+00	 1.2806950702e-01	 8.0447704097e-01
 1.0018114936e+00	 1.4673098265e-01	 8.9808156416e-01
 9.9888950849e-01	 1.6545694249e-01	 1.0022576774e+00
 9.9559668551e-01	 1.8423759058e-01	 1.1171307881e+00
 1.0250000000e+00	 0.0000000000e+00	 5.5021696977e-01
 1.0248386773e+00	 1.8184762783e-02	 5.7680040076e-01
 1.0243500953e+00	 3.6494961906e-02	 6.1059795677e-01
 1.0235274595e+00	 5.4923034086e-02	 6.5188579487e-01
 1.0223641581e+00	 7.3461066397e-02	 7.0092500892e-01
 1.0208537813e+00	 9.2100798847e-02	 7.5795957753e-01
 1.0189901407e+00	 1.1083362805e-01	 8.2321424248e-01
 1.0167672884e+00	 1.2965061203e-01	 8.9689232470e-01
 1.0141795367e+00	 1.4854247626e-01	 9.7917348669e-01
 1.0112214777e+00	 1.6749962078e-01	 1.0702114511e+00
 1.0078880026e+00	 1.8651212874e-01	 1.1701316869e+00
 1.0375000000e+00	 0.0000000000e+00	 6.9328590113e-01
 1.0373367099e+00	 1.8406528182e-02	 7.2074972368e-01
 1.0368421696e+00	 3.6940022414e-02	 7.5380016856e-01
 1.0360095017e+00	 5.5592827180e-02	 7.9267811746e-01
 1.0348320137e+00	 7.4356933056e-02	 8.3761360326e-01
 1.0333032177e+00	 9.3223979316e-02	 8.8882407148e-01
 1.0314168498e+00	 1.1218525765e-01	 9.4651256541e-01
 1.0291668895e+00	 1.3123171705e-01	 1.0108658403e+00
 1.0265475799e+00	 1.5035396986e-01	 1.0820524126e+00
 1.0235534470e+00	 1.6954229908e-01	 1.1602205521e+00
 1.0201793197e+00	 1.8878666689e-01	 1.2454962250e+00
 1.0500000000e+00	 0.0000000000e+00	 8.5663804111e-01
 1.0498347426e+00	 1.8628293580e-02	 8.8495306532e-01
 1.0493342440e+00	 3.7385082923e-02	 9.1726063776e-01
 1.0484915439e+00	 5.6262620276e-02	 9.5376714660e-01
 1.0472998693e+00	 7.5252799715e-02	 9.9467230674e-01
 1.0457526540e+00	 9.4347159785e-02	 1.0401677306e+00
 1.0438435588e+00	 1.1353688726e-01	 1.0904354163e+00
 1.0415664906e+00	 1.3281282207e-01	 1.1456461556e+00
 1.0389156230e+00	 1.5216546347e-01	 1.2059578664e+00
 1.0358854162e+00	 1.7158497738e-01	 1.2715138542e+00
 1.0324706368e+00	 1.9106120504e-01	 1.3424410081e+00
 1.0625000000e+00	 0.0000000000e+00	 1.0395762331e+00
 1.0623327752e+00	 1.8850058979e-02	 1.0687148104e+00
 1.0618263183e+00	 3.7830143432e-02	 1.1002839073e+00
 1.0609735861e+00	 5.6932413371e-02	 1.1344561711e+00
 1.0597677248e+00	 7.6148666375e-02	 1.1714017146e+00
 1.0582020904e+00	 9.5470340255e-02	 1.2112869926e+00
 1.0562702678e+00	 1.1488851686e-01	 1.2542735891e+00
 1.0539660917e+00	 1.3439392709e-01	 1.3005169159e+00
 1.0512836661e+00	 1.5397695708e-01	 1.3501648235e+00
 1.0482173855e+00	 1.7362765568e-01	 1.4033561284e+00
 1.0447619539e+00	 1.9333574319e-01	 1.4602190588e+00
 1.0750000000e+00	 0.0000000000e+00	 1.2414357466e+00
 1.0748308079e+00	 1.9071824378e-02	 1.2713716669e+00
 1.0743183926e+00	 3.8275203941e-02	 1.3022068019e+00
 1.0734556282e+00	 5.7602206467e-02	 1.3340807826e+00
 1.0722355804e+00	 7.7044533036e-02	 1.3671348098e+00
 1.0706515268e+00	 9.6593520725e-02	 1.4015108330e+00
 1.0686969769e+00	 1.1624014647e-01	 1.4373506325e+00
 1.0663656927e+00	 1.3597503212e-01	 1.4747948048e+00
 1.0636517093e+00	 1.5578845069e-01	 1.5139816491e+00
 1.0605493547e+00	 1.7567033398e-01	 1.5550459561e+00
 1.0570532710e+00	 1.9561028135e-01	 1.5981176997e+00
 1.0875000000e+00	 0.0000000000e+00	 1.4615824130e+00
 1.0873288405e+00	 1.9293589777e-02	 1.4922908081e+00
 1.0868104670e+00	 3.8720264451e-02	 1.5223965724e+00
 1.0859376704e+00	 5.8271999564e-02	 1.5520070189e+00
 1.0847034360e+00	 7.7940399697e-02	 1.5812351022e+00
 1.0831009631e+00	 9.7716701196e-02	 1.6101988959e+00
 1.0811236859e+00	 1.1759177608e-01	 1.6390209672e+00
 1.0787652938e+00	 1.3755613714e-01	 1.6678276451e+00
 1.0760197524e+00	 1.5759994430e-01	 1.6967481791e+00
 1.0728813239e+00	 1.7771301228e-01	 1.7259137855e+00
 1.0693445882e+00	 1.9788481950e-01	 1.7554565819e+00
 1.1000000000e+00	 0.0000000000e+00	 1.6994108899e+00
 1.0998268732e+00	 1.9515355176e-02	 1.7308681419e+00
 1.0993025413e+00	 3.9165324961e-02	 1.7602491677e+00
 1.0984197126e+00	 5.8941792661e-02	 1.7876296346e+00
 1.0971712916e+00	 7.8836266358e-02	 1.8130948934e+00
 1.0955503995e+00	 9.8839881668e-02	 1.8367397505e+00
 1.0935503949e+00	 1.1894340569e-01	 1.8586681317e+00
 1.0911648949e+00	 1.3913724216e-01	 1.8789926300e+00
 1.0883877955e+00	 1.5941143791e-01	 1.8978339323e+00
 1.0852132932e+00	 1.7975569058e-01	 1.9153201213e+00
 1.0816359053e+00	 2.0015935765e-01	 1.9315858483e+00
 1.1125000000e+00	 0.0000000000e+00	 1.9543430413e+00
 1.1123249058e+00	 1.9737120575e-02	 1.9865266964e+00
 1.1117946156e+00	 3.9610385471e-02	 2.0151876216e+00
 1.1109017548e+00	 5.9611585759e-02	 2.0403704872e+00
 1.1096391472e+00	 7.9732133020e-02	 2.0621336597e+00
 1.1079998358e+00	 9.9963062140e-02	 2.0805492669e+00
 1.1059771040e+00	 1.2029503530e-01	 2.0957031470e+00
 1.1035644960e+00	 1.4071834718e-01	 2.1076946725e+00
 1.1007558387e+00	 1.6122293152e-01	 2.1166364424e+00
 1.0975452624e+00	 1.8179836888e-01	 2.1226538360e+00
 1.0939272224e+00	 2.0243389581e-01	 2.1258844205e+00
 1.1250000000e+00	 0.0000000000e+00	 2.2258264258e+00
 1.1248229385e+00	 1.9958885975e-02	 2.2587151133e+00
 1.1242866900e+00	 4.0055445982e-02	 2.2866605490e+00
 1.1233837970e+00	 6.0281378857e-02	 2.3096770315e+00
 1.1221070028e+00	 8.0627999683e-02	 2.3277965421e+00
 1.1204492722e+00	 1.0108624261e-01	 2.3410690991e+00
 1.1184038130e+00	 1.2164666491e-01	 2.3495629893e+00
 1.1159640971e+00	 1.4229945221e-01	 2.3533648658e+00
 1.1131238818e+00	 1.6303442514e-01	 2.3525797022e+00
 1.1098772317e+00	 1.8384104718e-01	 2.3473305940e+00
 1.1062185395e+00	 2.0470843396e-01	 2.3377584000e+00
 9.8330536840e-01	 1.8196305243e-01	 1.0873156164e+00
 9.7968226449e-01	 2.0055587900e-01	 1.2522209644e+00
 9.7568388344e-01	 2.1918248006e-01	 1.4224929230e+00
 9.7130622879e-01	 2.3783231460e-01	 1.5984017220e+00
 9.6654566967e-01	 2.5649457770e-01	 1.7801981262e+00
 9.6139895816e-01	 2.7515821486e-01	 1.9681107263e+00
 9.5586324607e-01	 2.9381193773e-01	 2.1623431847e+00
 9.4993610115e-01	 3.1244424090e-01	 2.3630714566e+00
 9.4361552236e-01	 3.3104341998e-01	 2.5704410039e+00
 9.3689995435e-01	 3.4959759078e-01	 2.7845640245e+00
 9.2978830103e-01	 3.6809470956e-01	 3.0055167183e+00
 9.9559668551e-01	 1.8423759058e-01	 1.1171307881e+00
 9.9192829280e-01	 2.0306282749e-01	 1.2695624504e+00
 9.8787993198e-01	 2.2192226105e-01	 1.4261598867e+00
 9.8344755666e-01	 2.4080521853e-01	 1.5871981042e+00
 9.7862749055e-01	 2.5970075992e-01	 1.7529370691e+00
 9.7341644514e-01	 2.7859769255e-01	 1.9236191170e+00
 9.6781153666e-01	 2.9748458695e-01	 2.0994663003e+00
 9.6181030243e-01	 3.1634979391e-01	 2.2806776885e+00
 9.5541071639e-01	 3.3518146273e-01	 2.4674266401e+00
 9.4861120379e-01	 3.5396756067e-01	 2.6598580663e+00
 9.4141065480e-01	 3.7269589344e-01	 2.8580857069e+00
 1.0078880026e+00	 1.8651212874e-01	 1.1701316869e+00
 1.0041743211e+00	 2.0556977597e-01	 1.3101674313e+00
 1.0000759805e+00	 2.2466204205e-01	 1.4531938091e+00
 9.9558888452e-01	 2.4377812247e-01	 1.5994910457e+00
 9.9070931143e-01	 2.6290694214e-01	 1.7493287077e+00
 9.8543393212e-01	 2.8203717024e-01	 1.9029632308e+00
 9.7975982724e-01	 3.0115723617e-01	 2.0606353641e+00
 9.7368450370e-01	 3.2025534692e-01	 2.2225675478e+00
 9.6720591043e-01	 3.3931950548e-01	 2.3889612395e+00
 9.6032245323e-01	 3.5833753055e-01	 2.5599942093e+00
 9.5303300857e-01	 3.7729707731e-01	 2.7358178227e+00
 1.0201793197e+00	 1.8878666689e-01	 1.2454962250e+00
 1.0164203494e+00	 2.0807672446e-01	 1.3732096119e+00
 1.0122720291e+00	 2.2740182305e-01	 1.5027630832e+00
 1.0077302124e+00	 2.4675102640e-01	 1.6344425154e+00
 1.0027911323e+00	 2.6611312436e-01	 1.7685274700e+00
 9.9745141910e-01	 2.8547664792e-01	 1.9052888351e+00
 9.9170811782e-01	 3.0482988540e-01	 2.0449863639e+00
 9.8555870497e-01	 3.2416089993e-01	 2.1878661268e+00
 9.7900110447e-01	 3.4345754823e-01	 2.3341578888e+00
 9.7203370266e-01	 3.6270750044e-01	 2.4840724335e+00
 9.6465536234e-01	 3.8189826118e-01	 2.6377988503e+00
 1.0324706368e+00	 1.9106120504e-01	 1.3424410081e+00
 1.0286663777e+00	 2.1058367294e-01	 1.4579015304e+00
 1.0244680776e+00	 2.3014160405e-01	 1.5740751252e+00
 1.0198715402e+00	 2.4972393033e-01	 1.6912537466e+00
 1.0148729532e+00	 2.6931930658e-01	 1.8097273407e+00
 1.0094689061e+00	 2.8891612561e-01	 1.9297815979e+00
 1.0036564084e+00	 3.0850253462e-01	 2.0516955840e+00
 9.9743290624e-01	 3.2806645295e-01	 2.1757392618e+00
 9.9079629850e-01	 3.4759559099e-01	 2.3021709185e+00
 9.8374495210e-01	 3.6707747033e-01	 2.4312345144e+00
 9.7627771611e-01	 3.8649944506e-01	 2.5631569719e+00
 1.0447619539e+00	 1.9333574319e-01	 1.4602190588e+00
 1.0409124060e+00	 2.1309062143e-01	 1.5634922734e+00
 1.0366641262e+00	 2.3288138505e-01	 1.6663740793e+00
 1.0320128681e+00	 2.5269683426e-01	 1.7691629274e+00
 1.0269547741e+00	 2.7252548880e-01	 1.8721595341e+00
 1.0214863931e+00	 2.9235560329e-01	 1.9756647410e+00
 1.0156046990e+00	 3.1217518384e-01	 2.0799772347e+00
 1.0093071075e+00	 3.3197200596e-01	 2.1853911369e+00
 1.0025914925e+00	 3.5173363374e-01	 2.2921934767e+00
 9.9545620154e-01	 3.7144744021e-01	 2.4006615634e+00
 9.8790006988e-01	 3.9110062893e-01	 2.5110602734e+00
 1.0570532710e+00	 1.9561028135e-01	 1.5981176997e+00
 1.0531584344e+00	 2.1559756991e-01	 1.6892653515e+00
 1.0488601747e+00	 2.3562116605e-01	 1.7789386817e+00
 1.0441541960e+00	 2.5566973819e-01	 1.8674430519e+00
 1.0390365949e+00	 2.7573167103e-01	 1.9550903300e+00
 1.0335038801e+00	 2.9579508098e-01	 2.0421968561e+00
 1.0275529896e+00	 3.1584783306e-01	 2.1290812475e+00
 1.0211813088e+00	 3.3587755897e-01	 2.2160620535e+00
