x	y	stress_yy
 1.000000000000000e+00	 0.000000000000000e+00	 2.447835558966735e+01
 9.998426119581704e-01	 1.774123198744521e-02	 2.450991664641978e+01
 9.993659466402713e-01	 3.560484089073321e-02	 2.449580960014736e+01
 9.985633751090949e-01	 5.358344789747921e-02	 2.443597968759417e+01
 9.974284469032259e-01	 7.166933308134273e-02	 2.433047209650632e+01
 9.959549086084808e-01	 8.985443791194039e-02	 2.417943490358125e+01
 9.941367226520526e-01	 1.081303688402291e-01	 2.398312165938643e+01
 9.919680862544972e-01	 1.264884019976692e-01	 2.374189358741012e+01
 9.894434504702301e-01	 1.449194890435835e-01	 2.345622136556270e+01
 9.865575392429453e-01	 1.634142641907508e-01	 2.312668645998168e+01
 9.833053683983746e-01	 1.819630524344169e-01	 2.275398198291727e+01
 1.012500000000000e+00	 0.000000000000000e+00	 2.374450859561260e+01
 1.012340644607676e+00	 1.796299738536411e-02	 2.378298104133147e+01
 1.011858020973390e+00	 3.604990139831822e-02	 2.377655455605160e+01
 1.011045417298220e+00	 5.425324099133014e-02	 2.372517704234248e+01
 1.009896302489983e+00	 7.256519973898737e-02	 2.362889540539958e+01
 1.008404344966822e+00	 9.097761837928382e-02	 2.348785845055881e+01
 1.006563431686269e+00	 1.094819984438203e-01	 2.330231942854392e+01
 1.004367687334138e+00	 1.280695070157070e-01	 2.307263819584480e+01
 1.001811493603026e+00	 1.467309826500149e-01	 2.279928295879757e+01
 9.988895084859243e-01	 1.654569424871888e-01	 2.248283157148819e+01
 9.955966855063876e-01	 1.842375905849211e-01	 2.212397235954243e+01
 1.025000000000000e+00	 0.000000000000000e+00	 2.306148849870505e+01
 1.024838677257182e+00	 1.818476278346252e-02	 2.310643418385875e+01
 1.024350095306508e+00	 3.649496190623553e-02	 2.310723687896766e+01
 1.023527459487344e+00	 5.492303408563875e-02	 2.306384768003566e+01
 1.022364158076741e+00	 7.346106639718697e-02	 2.297631578759285e+01
 1.020853781325163e+00	 9.210079884725078e-02	 2.284479136367541e+01
 1.018990140720485e+00	 1.108336280480742e-01	 2.266952803704581e+01
 1.016767288413778e+00	 1.296506120344168e-01	 2.245088502427444e+01
 1.014179536735822e+00	 1.485424762570972e-01	 2.218932883549568e+01
 1.011221477728904e+00	 1.674996207842254e-01	 2.188543453522117e+01
 1.007888002614400e+00	 1.865121287359399e-01	 2.153988653055092e+01
 1.037500000000000e+00	 0.000000000000000e+00	 2.242750291802862e+01
 1.037336709906687e+00	 1.840652818174046e-02	 2.247849412659539e+01
 1.036842169639627e+00	 3.694002241448514e-02	 2.248608539447735e+01
 1.036009501676469e+00	 5.559282718040499e-02	 2.245023153110057e+01
 1.034832013663499e+00	 7.435693305594146e-02	 2.237098460166582e+01
 1.033303217683504e+00	 9.322397931584123e-02	 2.224849674347772e+01
 1.031416849754700e+00	 1.121852576529908e-01	 2.208302263076785e+01
 1.029166889493419e+00	 1.312317170537988e-01	 2.187492155584558e+01
 1.026547579868618e+00	 1.503539698648304e-01	 2.162465909562049e+01
