label=Displacement
num_items=100

0:	-nan 0.000000e+00 
1:	-nan 0.000000e+00 
2:	-nan 0.000000e+00 
3:	-nan 0.000000e+00 
4:	-nan 0.000000e+00 
5:	-nan 0.000000e+00 
6:	-nan 0.000000e+00 
7:	-nan 0.000000e+00 
8:	-nan 0.000000e+00 
9:	0.000000e+00 0.000000e+00 
10:	-nan -nan 
11:	-nan -nan 
12:	-nan -nan 
13:	-nan -nan 
14:	-nan -nan 
15:	-nan -nan 
16:	-nan -nan 
17:	-nan -nan 
18:	-nan -nan 
19:	0.000000e+00 0.000000e+00 
20:	-nan -nan 
21:	-nan -nan 
22:	-nan -nan 
23:	-nan -nan 
24:	-nan -nan 
25:	-nan -nan 
26:	-nan -nan 
27:	-nan -nan 
28:	-nan -nan 
29:	0.000000e+00 0.000000e+00 
30:	-nan -nan 
31:	-nan -nan 
32:	-nan -nan 
33:	-nan -nan 
34:	-nan -nan 
35:	-nan -nan 
36:	-nan -nan 
37:	-nan -nan 
38:	-nan -nan 
39:	0.000000e+00 0.000000e+00 
40:	-nan -nan 
41:	-nan -nan 
42:	-nan -nan 
43:	-nan -nan 
44:	-nan -nan 
45:	-nan -nan 
46:	-nan -nan 
47:	-nan -nan 
48:	-nan -nan 
49:	0.000000e+00 0.000000e+00 
50:	-nan -nan 
51:	-nan -nan 
52:	-nan -nan 
53:	-nan -nan 
54:	-nan -nan 
55:	-nan -nan 
56:	-nan -nan 
57:	-nan -nan 
58:	-nan -nan 
59:	0.000000e+00 0.000000e+00 
60:	-nan -nan 
61:	-nan -nan 
62:	-nan -nan 
63:	-nan -nan 
64:	-nan -nan 
65:	-nan -nan 
66:	-nan -nan 
67:	-nan -nan 
68:	-nan -nan 
69:	0.000000e+00 0.000000e+00 
70:	-nan -nan 
71:	-nan -nan 
72:	-nan -nan 
73:	-nan -nan 
74:	-nan -nan 
75:	-nan -nan 
76:	-nan -nan 
77:	-nan -nan 
78:	-nan -nan 
79:	0.000000e+00 0.000000e+00 
80:	-nan -nan 
81:	-nan -nan 
82:	-nan -nan 
83:	-nan -nan 
84:	-nan -nan 
85:	-nan -nan 
86:	-nan -nan 
87:	-nan -nan 
88:	-nan -nan 
89:	0.000000e+00 0.000000e+00 
90:	0.000000e+00 -nan 
91:	0.000000e+00 -nan 
92:	0.000000e+00 -nan 
93:	0.000000e+00 -nan 
94:	0.000000e+00 -nan 
95:	0.000000e+00 -nan 
96:	0.000000e+00 -nan 
97:	0.000000e+00 -nan 
98:	0.000000e+00 -nan 
99:	0.000000e+00 0.000000e+00 
