xi	eta	x	y	stress_rr	stress_sita
 0.0000000000e+00	 0.0000000000e+00	 1.0000000000e+00	 0.0000000000e+00	 2.8576343975e+01	 1.0470571794e-01
 0.0000000000e+00	 1.2500000000e-02	 9.9984261196e-01	 1.7741231987e-02	 2.8589808343e+01	 1.1987719786e-01
 0.0000000000e+00	 2.5000000000e-02	 9.9936594664e-01	 3.5604840891e-02	 2.8571969394e+01	 1.2783024462e-01
 0.0000000000e+00	 3.7500000000e-02	 9.9856337511e-01	 5.3583447897e-02	 2.8521695665e+01	 1.2994717746e-01
 0.0000000000e+00	 5.0000000000e-02	 9.9742844690e-01	 7.1669333081e-02	 2.8437990221e+01	 1.2745033735e-01
 0.0000000000e+00	 6.2500000000e-02	 9.9595490861e-01	 8.9854437912e-02	 2.8319991602e+01	 1.2139203111e-01
 0.0000000000e+00	 7.5000000000e-02	 9.9413672265e-01	 1.0813036884e-01	 2.8166973962e+01	 1.1264519774e-01
 0.0000000000e+00	 8.7500000000e-02	 9.9196808625e-01	 1.2648840200e-01	 2.7978346639e+01	 1.0189464801e-01
 0.0000000000e+00	 1.0000000000e-01	 9.8944345047e-01	 1.4491948904e-01	 2.7753653381e+01	 8.9628750699e-02
 0.0000000000e+00	 1.1250000000e-01	 9.8655753924e-01	 1.6341426419e-01	 2.7492571472e+01	 7.6131455548e-02
 0.0000000000e+00	 1.2500000000e-01	 9.8330536840e-01	 1.8196305243e-01	 2.7194910946e+01	 6.1474553029e-02
 6.2500000000e-03	 0.0000000000e+00	 1.0062500000e+00	 0.0000000000e+00	 2.8126622642e+01	 2.1121790937e-01
 6.2500000000e-03	 1.2500000000e-02	 1.0060916283e+00	 1.7852114686e-02	 2.8147885137e+01	 2.2780785389e-01
 6.2500000000e-03	 2.5000000000e-02	 1.0056119838e+00	 3.5827371145e-02	 2.8137453286e+01	 2.3704296661e-01
 6.2500000000e-03	 3.7500000000e-02	 1.0048043962e+00	 5.3918344445e-02	 2.8094172329e+01	 2.4025031065e-01
 6.2500000000e-03	 5.0000000000e-02	 1.0036623747e+00	 7.2117266410e-02	 2.8017021824e+01	 2.3859514659e-01
 6.2500000000e-03	 6.2500000000e-02	 1.0021796268e+00	 9.0416028146e-02	 2.7905116303e+01	 2.3307130816e-01
 6.2500000000e-03	 7.5000000000e-02	 1.0003500772e+00	 1.0880618364e-01	 2.7757705149e+01	 2.2449226665e-01
 6.2500000000e-03	 8.7500000000e-02	 9.9816788679e-01	 1.2727895451e-01	 2.7574171960e+01	 2.1348273893e-01
