xi	eta	x	y	stress_vm
 0.0000000000e+00	 0.0000000000e+00	 1.0000000000e+00	 0.0000000000e+00	 2.8524135248e+01
 0.0000000000e+00	 1.2500000000e-02	 9.9984261196e-01	 1.7741231987e-02	 2.8530058632e+01
 0.0000000000e+00	 2.5000000000e-02	 9.9936594664e-01	 3.5604840891e-02	 2.8508269218e+01
 0.0000000000e+00	 3.7500000000e-02	 9.9856337511e-01	 5.3583447897e-02	 2.8456944601e+01
 0.0000000000e+00	 5.0000000000e-02	 9.9742844690e-01	 7.1669333081e-02	 2.8374479730e+01
 0.0000000000e+00	 6.2500000000e-02	 9.9595490861e-01	 8.9854437912e-02	 2.8259491132e+01
 0.0000000000e+00	 7.5000000000e-02	 9.9413672265e-01	 1.0813036884e-01	 2.8110820635e+01
 0.0000000000e+00	 8.7500000000e-02	 9.9196808625e-01	 1.2648840200e-01	 2.7927538727e+01
 0.0000000000e+00	 1.0000000000e-01	 9.8944345047e-01	 1.4491948904e-01	 2.7708947725e+01
 0.0000000000e+00	 1.1250000000e-01	 9.8655753924e-01	 1.6341426419e-01	 2.7454584911e+01
 0.0000000000e+00	 1.2500000000e-01	 9.8330536840e-01	 1.8196305243e-01	 2.7164225840e+01
 6.2500000000e-03	 0.0000000000e+00	 1.0062500000e+00	 0.0000000000e+00	 2.8021610729e+01
 6.2500000000e-03	 1.2500000000e-02	 1.0060916283e+00	 1.7852114686e-02	 2.8034675400e+01
 6.2500000000e-03	 2.5000000000e-02	 1.0056119838e+00	 3.5827371145e-02	 2.8019683821e+01
 6.2500000000e-03	 3.7500000000e-02	 1.0048043962e+00	 5.3918344445e-02	 2.7974820918e+01
 6.2500000000e-03	 5.0000000000e-02	 1.0036623747e+00	 7.2117266410e-02	 2.7898489459e+01
 6.2500000000e-03	 6.2500000000e-02	 1.0021796268e+00	 9.0416028146e-02	 2.7789313705e+01
 6.2500000000e-03	 7.5000000000e-02	 1.0003500772e+00	 1.0880618364e-01	 2.7646142620e+01
 6.2500000000e-03	 8.7500000000e-02	 9.9816788679e-01	 1.2727895451e-01	 2.7468052796e+01
 6.2500000000e-03	 1.0000000000e-01	 9.9562747204e-01	 1.4582523585e-01	 2.7254351239e+01
 6.2500000000e-03	 1.1250000000e-01	 9.9272352386e-01	 1.6443560334e-01	 2.7004578191e+01
 6.2500000000e-03	 1.2500000000e-01	 9.8945102695e-01	 1.8310032151e-01	 2.6718510184e+01
 1.2500000000e-02	 0.0000000000e+00	 1.0125000000e+00	 0.0000000000e+00	 2.7533714795e+01
 1.2500000000e-02	 1.2500000000e-02	 1.0123406446e+00	 1.7962997386e-02	 2.7553636402e+01
 1.2500000000e-02	 2.5000000000e-02	 1.0118580210e+00	 3.6049901399e-02	 2.7545165800e+01
 1.2500000000e-02	 3.7500000000e-02	 1.0110454173e+00	 5.4253240992e-02	 2.7506496935e+01
 1.2500000000e-02	 5.0000000000e-02	 1.0098963025e+00	 7.2565199740e-02	 2.7436041763e+01
 1.2500000000e-02	 6.2500000000e-02	 1.0084043450e+00	 9.0977618380e-02	 2.7332433354e+01
 1.2500000000e-02	 7.5000000000e-02	 1.0065634317e+00	 1.0948199844e-01	 2.7194528620e+01
 1.2500000000e-02	 8.7500000000e-02	 1.0043676873e+00	 1.2806950702e-01	 2.7021410829e+01
 1.2500000000e-02	 1.0000000000e-01	 1.0018114936e+00	 1.4673098265e-01	 2.6812392050e+01
 1.2500000000e-02	 1.1250000000e-01	 9.9888950849e-01	 1.6545694249e-01	 2.6567015700e+01
 1.2500000000e-02	 1.2500000000e-01	 9.9559668551e-01	 1.8423759059e-01	 2.6285059386e+01
 1.8750000000e-02	 0.0000000000e+00	 1.0187500000e+00	 0.0000000000e+00	 2.7060304702e+01
 1.8750000000e-02	 1.2500000000e-02	 1.0185896609e+00	 1.8073880085e-02	 2.7086801761e+01
 1.8750000000e-02	 2.5000000000e-02	 1.0181040581e+00	 3.6272431653e-02	 2.7084578476e+01
 1.8750000000e-02	 3.7500000000e-02	 1.0172864384e+00	 5.4588137540e-02	 2.7051839441e+01
 1.8750000000e-02	 5.0000000000e-02	 1.0161302303e+00	 7.3013133070e-02	 2.6987007102e+01
 1.8750000000e-02	 6.2500000000e-02	 1.0146290631e+00	 9.1539208615e-02	 2.6888724328e+01
 1.8750000000e-02	 7.5000000000e-02	 1.0127767862e+00	 1.1015781325e-01	 2.6755856691e+01
 1.8750000000e-02	 8.7500000000e-02	 1.0105674879e+00	 1.2886005953e-01	 2.6587494603e+01
 1.8750000000e-02	 1.0000000000e-01	 1.0079955152e+00	 1.4763672946e-01	 2.6382955451e+01
 1.8750000000e-02	 1.1250000000e-01	 1.0050554931e+00	 1.6647828164e-01	 2.6141785917e+01
 1.8750000000e-02	 1.2500000000e-01	 1.0017423441e+00	 1.8537485966e-01	 2.5863764654e+01
 2.5000000000e-02	 0.0000000000e+00	 1.0250000000e+00	 0.0000000000e+00	 2.6601251868e+01
 2.5000000000e-02	 1.2500000000e-02	 1.0248386773e+00	 1.8184762785e-02	 2.6634045119e+01
 2.5000000000e-02	 2.5000000000e-02	 1.0243500953e+00	 3.6494961908e-02	 2.6637798121e+01
 2.5000000000e-02	 3.7500000000e-02	 1.0235274595e+00	 5.4923034088e-02	 2.6610727682e+01
 2.5000000000e-02	 5.0000000000e-02	 1.0223641581e+00	 7.3461066401e-02	 2.6551267961e+01
 2.5000000000e-02	 6.2500000000e-02	 1.0208537813e+00	 9.2100798851e-02	 2.6458072528e+01
 2.5000000000e-02	 7.5000000000e-02	 1.0189901407e+00	 1.1083362805e-01	 2.6330016229e+01
 2.5000000000e-02	 8.7500000000e-02	 1.0167672884e+00	 1.2965061204e-01	 2.6166196970e+01
 2.5000000000e-02	 1.0000000000e-01	 1.0141795367e+00	 1.4854247626e-01	 2.5965937600e+01
 2.5000000000e-02	 1.1250000000e-01	 1.0112214777e+00	 1.6749962079e-01	 2.5728788022e+01
 2.5000000000e-02	 1.2500000000e-01	 1.0078880026e+00	 1.8651212874e-01	 2.5454527762e+01
 3.1250000000e-02	 0.0000000000e+00	 1.0312500000e+00	 0.0000000000e+00	 2.6156441739e+01
 3.1250000000e-02	 1.2500000000e-02	 1.0310876936e+00	 1.8295645484e-02	 2.6195253485e+01
 3.1250000000e-02	 2.5000000000e-02	 1.0305961325e+00	 3.6717492163e-02	 2.6204713789e+01
 3.1250000000e-02	 3.7500000000e-02	 1.0297684806e+00	 5.5257930637e-02	 2.6183053178e+01
 3.1250000000e-02	 5.0000000000e-02	 1.0285980859e+00	 7.3908999732e-02	 2.6128718662e+01
 3.1250000000e-02	 6.2500000000e-02	 1.0270784995e+00	 9.2662389087e-02	 2.6040375320e+01
 3.1250000000e-02	 7.5000000000e-02	 1.0252034952e+00	 1.1150944286e-01	 2.5916907773e+01
 3.1250000000e-02	 8.7500000000e-02	 1.0229670890e+00	 1.3044116455e-01	 2.5757421668e+01
 3.1250000000e-02	 1.0000000000e-01	 1.0203635583e+00	 1.4944822307e-01	 2.5561245321e+01
 3.1250000000e-02	 1.1250000000e-01	 1.0173874624e+00	 1.6852095994e-01	 2.5327931687e+01
 3.1250000000e-02	 1.2500000000e-01	 1.0140336612e+00	 1.8764939782e-01	 2.5057260856e+01
 3.7500000000e-02	 0.0000000000e+00	 1.0375000000e+00	 0.0000000000e+00	 2.5725773616e+01
 3.7500000000e-02	 1.2500000000e-02	 1.0373367099e+00	 1.8406528184e-02	 2.5770327041e+01
 3.7500000000e-02	 2.5000000000e-02	 1.0368421696e+00	 3.6940022419e-02	 2.5785227117e+01
 3.7500000000e-02	 3.7500000000e-02	 1.0360095017e+00	 5.5592827187e-02	 2.5768719515e+01
 3.7500000000e-02	 5.0000000000e-02	 1.0348320137e+00	 7.4356933063e-02	 2.5719265146e+01
 3.7500000000e-02	 6.2500000000e-02	 1.0333032177e+00	 9.3223979324e-02	 2.5635541305e+01
 3.7500000000e-02	 7.5000000000e-02	 1.0314168498e+00	 1.1218525766e-01	 2.5516442784e+01
 3.7500000000e-02	 8.7500000000e-02	 1.0291668895e+00	 1.3123171706e-01	 2.5361083086e+01
 3.7500000000e-02	 1.0000000000e-01	 1.0265475799e+00	 1.5035396987e-01	 2.5168795881e+01
 3.7500000000e-02	 1.1250000000e-01	 1.0235534470e+00	 1.6954229909e-01	 2.4939136866e+01
 3.7500000000e-02	 1.2500000000e-01	 1.0201793197e+00	 1.8878666689e-01	 2.4671886233e+01
 4.3750000000e-02	 0.0000000000e+00	 1.0437500000e+00	 0.0000000000e+00	 2.5309160441e+01
 4.3750000000e-02	 1.2500000000e-02	 1.0435857262e+00	 1.8517410884e-02	 2.5359178918e+01
 4.3750000000e-02	 2.5000000000e-02	 1.0430882068e+00	 3.7162552675e-02	 2.5379252086e+01
 4.3750000000e-02	 3.7500000000e-02	 1.0422505228e+00	 5.5927723736e-02	 2.5367642101e+01
 4.3750000000e-02	 5.0000000000e-02	 1.0410659415e+00	 7.4804866396e-02	 2.5322824728e+01
 4.3750000000e-02	 6.2500000000e-02	 1.0395279359e+00	 9.3785569562e-02	 2.5243490076e+01
 4.3750000000e-02	 7.5000000000e-02	 1.0376302043e+00	 1.1286107247e-01	 2.5128543387e+01
 4.3750000000e-02	 8.7500000000e-02	 1.0353666900e+00	 1.3202226958e-01	 2.4977106014e+01
 4.3750000000e-02	 1.0000000000e-01	 1.0327316014e+00	 1.5125971668e-01	 2.4788516733e+01
 4.3750000000e-02	 1.1250000000e-01	 1.0297194316e+00	 1.7056363824e-01	 2.4562333531e+01
 4.3750000000e-02	 1.2500000000e-01	 1.0263249783e+00	 1.8992393597e-01	 2.4298336097e+01
 5.0000000000e-02	 0.0000000000e+00	 1.0500000000e+00	 0.0000000000e+00	 2.4906528534e+01
 5.0000000000e-02	 1.2500000000e-02	 1.0498347426e+00	 1.8628293585e-02	 2.4961734925e+01
 5.0000000000e-02	 2.5000000000e-02	 1.0493342440e+00	 3.7385082931e-02	 2.4986714744e+01
 5.0000000000e-02	 3.7500000000e-02	 1.0484915439e+00	 5.6262620287e-02	 2.4979747879e+01
 5.0000000000e-02	 5.0000000000e-02	 1.0472998693e+00	 7.5252799729e-02	 2.4939325803e+01
 5.0000000000e-02	 6.2500000000e-02	 1.0457526540e+00	 9.4347159800e-02	 2.4864151921e+01
 5.0000000000e-02	 7.5000000000e-02	 1.0438435588e+00	 1.1353688727e-01	 2.4753142080e+01
 5.0000000000e-02	 8.7500000000e-02	 1.0415664906e+00	 1.3281282209e-01	 2.4605425352e+01
 5.0000000000e-02	 1.0000000000e-01	 1.0389156230e+00	 1.5216546349e-01	 2.4420345229e+01
 5.0000000000e-02	 1.1250000000e-01	 1.0358854162e+00	 1.7158497739e-01	 2.4197461395e+01
 5.0000000000e-02	 1.2500000000e-01	 1.0324706368e+00	 1.9106120505e-01	 2.3936552278e+01
 5.6250000000e-02	 0.0000000000e+00	 1.0562500000e+00	 0.0000000000e+00	 2.4517817278e+01
 5.6250000000e-02	 1.2500000000e-02	 1.0560837589e+00	 1.8739176285e-02	 2.4577933229e+01
 5.6250000000e-02	 2.5000000000e-02	 1.0555802811e+00	 3.7607613188e-02	 2.4607552881e+01
 5.6250000000e-02	 3.7500000000e-02	 1.0547325650e+00	 5.6597516837e-02	 2.4604975007e+01
 5.6250000000e-02	 5.0000000000e-02	 1.0535337970e+00	 7.5700733062e-02	 2.4568707522e+01
 5.6250000000e-02	 6.2500000000e-02	 1.0519773722e+00	 9.4908750039e-02	 2.4497467496e+01
 5.6250000000e-02	 7.5000000000e-02	 1.0500569133e+00	 1.1421270208e-01	 2.4390181409e+01
 5.6250000000e-02	 8.7500000000e-02	 1.0477662911e+00	 1.3360337460e-01	 2.4245985781e+01
 5.6250000000e-02	 1.0000000000e-01	 1.0450996446e+00	 1.5307121030e-01	 2.4064228297e+01
 5.6250000000e-02	 1.1250000000e-01	 1.0420514008e+00	 1.7260631655e-01	 2.3844469591e+01
 5.6250000000e-02	 1.2500000000e-01	 1.0386162954e+00	 1.9219847413e-01	 2.3586485915e+01
 6.2500000000e-02	 0.0000000000e+00	 1.0625000000e+00	 0.0000000000e+00	 2.4142978747e+01
 6.2500000000e-02	 1.2500000000e-02	 1.0623327752e+00	 1.8850058986e-02	 2.4207723976e+01
 6.2500000000e-02	 2.5000000000e-02	 1.0618263183e+00	 3.7830143444e-02	 2.4241715654e+01
 6.2500000000e-02	 3.7500000000e-02	 1.0609735861e+00	 5.6932413388e-02	 2.4243272476e+01
 6.2500000000e-02	 5.0000000000e-02	 1.0597677248e+00	 7.6148666396e-02	 2.4210919421e+01
 6.2500000000e-02	 6.2500000000e-02	 1.0582020904e+00	 9.5470340278e-02	 2.4143387458e+01
 6.2500000000e-02	 7.5000000000e-02	 1.0562702678e+00	 1.1488851689e-01	 2.4039613598e+01
 6.2500000000e-02	 8.7500000000e-02	 1.0539660917e+00	 1.3439392712e-01	 2.3898741402e+01
 6.2500000000e-02	 1.0000000000e-01	 1.0512836661e+00	 1.5397695711e-01	 2.3720122074e+01
 6.2500000000e-02	 1.1250000000e-01	 1.0482173855e+00	 1.7362765570e-01	 2.3503316308e+01
 6.2500000000e-02	 1.2500000000e-01	 1.0447619539e+00	 1.9333574321e-01	 2.3248097104e+01
 0.0000000000e+00	 1.2500000000e-01	 9.8330536840e-01	 1.8196305243e-01	 2.7164225840e+01
 0.0000000000e+00	 1.3750000000e-01	 9.7968226449e-01	 2.0055587900e-01	 2.6953234267e+01
 0.0000000000e+00	 1.5000000000e-01	 9.7568388344e-01	 2.1918248006e-01	 2.6704664287e+01
 0.0000000000e+00	 1.6250000000e-01	 9.7130622879e-01	 2.3783231460e-01	 2.6418697955e+01
 0.0000000000e+00	 1.7500000000e-01	 9.6654566967e-01	 2.5649457770e-01	 2.6095733867e+01
 0.0000000000e+00	 1.8750000000e-01	 9.6139895816e-01	 2.7515821486e-01	 2.5736387014e+01
 0.0000000000e+00	 2.0000000000e-01	 9.5586324607e-01	 2.9381193773e-01	 2.5341490262e+01
 0.0000000000e+00	 2.1250000000e-01	 9.4993610115e-01	 3.1244424090e-01	 2.4912098068e+01
 0.0000000000e+00	 2.2500000000e-01	 9.4361552236e-01	 3.3104341998e-01	 2.4449493133e+01
 0.0000000000e+00	 2.3750000000e-01	 9.3689995435e-01	 3.4959759078e-01	 2.3955196921e+01
 0.0000000000e+00	 2.5000000000e-01	 9.2978830103e-01	 3.6809470956e-01	 2.3430985195e+01
 6.2500000000e-03	 1.2500000000e-01	 9.8945102695e-01	 1.8310032151e-01	 2.6718510184e+01
 6.2500000000e-03	 1.3750000000e-01	 9.8580527865e-01	 2.0180935325e-01	 2.6512179135e+01
 6.2500000000e-03	 1.5000000000e-01	 9.8178190771e-01	 2.2055237056e-01	 2.6268044930e+01
 6.2500000000e-03	 1.6250000000e-01	 9.7737689272e-01	 2.3931876657e-01	 2.5986289206e+01
 6.2500000000e-03	 1.7500000000e-01	 9.7258658011e-01	 2.5809766881e-01	 2.5667306149e+01
 6.2500000000e-03	 1.8750000000e-01	 9.6740770165e-01	 2.7687795371e-01	 2.5311701379e+01
 6.2500000000e-03	 2.0000000000e-01	 9.6183739136e-01	 2.9564826234e-01	 2.4920292406e+01
 6.2500000000e-03	 2.1250000000e-01	 9.5587320179e-01	 3.1439701740e-01	 2.4494111229e+01
 6.2500000000e-03	 2.2500000000e-01	 9.4951311937e-01	 3.3311244135e-01	 2.4034409769e+01
 6.2500000000e-03	 2.3750000000e-01	 9.4275557907e-01	 3.5178257572e-01	 2.3542669060e+01
 6.2500000000e-03	 2.5000000000e-01	 9.3559947791e-01	 3.7039530150e-01	 2.3020613330e+01
 1.2500000000e-02	 1.2500000000e-01	 9.9559668551e-01	 1.8423759059e-01	 2.6285059386e+01
 1.2500000000e-02	 1.3750000000e-01	 9.9192829280e-01	 2.0306282749e-01	 2.6083589713e+01
 1.2500000000e-02	 1.5000000000e-01	 9.8787993198e-01	 2.2192226105e-01	 2.5844111004e+01
 1.2500000000e-02	 1.6250000000e-01	 9.8344755665e-01	 2.4080521853e-01	 2.5566806099e+01
 1.2500000000e-02	 1.7500000000e-01	 9.7862749055e-01	 2.5970075992e-01	 2.5252066317e+01
 1.2500000000e-02	 1.8750000000e-01	 9.7341644514e-01	 2.7859769255e-01	 2.4900489379e+01
 1.2500000000e-02	 2.0000000000e-01	 9.6781153665e-01	 2.9748458695e-01	 2.4512878831e+01
 1.2500000000e-02	 2.1250000000e-01	 9.6181030242e-01	 3.1634979391e-01	 2.4090245510e+01
 1.2500000000e-02	 2.2500000000e-01	 9.5541071639e-01	 3.3518146273e-01	 2.3633811743e+01
 1.2500000000e-02	 2.3750000000e-01	 9.4861120378e-01	 3.5396756067e-01	 2.3145019161e+01
 1.2500000000e-02	 2.5000000000e-01	 9.4141065479e-01	 3.7269589344e-01	 2.2625541257e+01
 1.8750000000e-02	 1.2500000000e-01	 1.0017423441e+00	 1.8537485966e-01	 2.5863764654e+01
 1.8750000000e-02	 1.3750000000e-01	 9.9805130696e-01	 2.0431630173e-01	 2.5667356281e+01
 1.8750000000e-02	 1.5000000000e-01	 9.9397795626e-01	 2.2329215155e-01	 2.5432752268e+01
 1.8750000000e-02	 1.6250000000e-01	 9.8951822059e-01	 2.4229167050e-01	 2.5160138327e+01
 1.8750000000e-02	 1.7500000000e-01	 9.8466840099e-01	 2.6130385103e-01	 2.4849904517e+01
 1.8750000000e-02	 1.8750000000e-01	 9.7942518863e-01	 2.8031743139e-01	 2.4502642207e+01
 1.8750000000e-02	 2.0000000000e-01	 9.7378568194e-01	 2.9932091156e-01	 2.4119142471e+01
 1.8750000000e-02	 2.1250000000e-01	 9.6774740306e-01	 3.1830257042e-01	 2.3700396417e+01
 1.8750000000e-02	 2.2500000000e-01	 9.6130831341e-01	 3.3725048411e-01	 2.3247598135e+01
 1.8750000000e-02	 2.3750000000e-01	 9.5446682850e-01	 3.5615254561e-01	 2.2762151102e+01
 1.8750000000e-02	 2.5000000000e-01	 9.4722183168e-01	 3.7499648537e-01	 2.2245679171e+01
 2.5000000000e-02	 1.2500000000e-01	 1.0078880026e+00	 1.8651212874e-01	 2.5454527762e+01
 2.5000000000e-02	 1.3750000000e-01	 1.0041743211e+00	 2.0556977598e-01	 2.5263379872e+01
 2.5000000000e-02	 1.5000000000e-01	 1.0000759805e+00	 2.2466204205e-01	 2.5033869449e+01
 2.5000000000e-02	 1.6250000000e-01	 9.9558888452e-01	 2.4377812247e-01	 2.4766186791e+01
