label=ReactionForce
num_items=108

0:	 9.169150e-01 -1.261194e+00 
1:	 7.082600e-01 -1.440617e+00 
2:	-9.975731e-10 -4.590852e+00 
3:	 1.551224e-09  1.418624e-01 
4:	-5.130933e-10  2.738248e-10 
5:	 9.008317e-10 -3.501274e-10 
6:	 1.741960e-09 -3.778811e-09 
7:	-3.937251e-09 -2.434711e-10 
8:	 5.498963e-10 -2.285202e-09 
9:	-4.271576e-10  1.504891e-09 
10:	-5.775491e-10 -6.929544e-11 
11:	-1.002274e-09  2.211508e-10 
12:	 2.278712e-09 -1.728944e-09 
13:	 4.002313e-10 -3.878760e-10 
14:	 3.201368e-09 -7.283652e-10 
15:	-9.514819e-10 -1.607665e-09 
16:	-1.009057e-10 -3.580808e-10 
17:	-6.207498e-11 -3.102766e-10 
18:	-2.643753e-09  1.512188e-09 
19:	-1.615521e-09  1.518708e-09 
20:	 2.694618e-10 -7.223465e-11 
21:	-2.450509e-09  3.783393e-10 
22:	 1.230087e-09 -4.566215e-10 
23:	 5.708734e-10  3.359174e-10 
24:	-3.207127e-10  2.427281e-09 
25:	 2.322208e-10  5.547872e-10 
26:	-4.874482e-10 -4.736163e-10 
27:	 9.302765e-10 -4.662841e+00 
28:	-4.527055e-10 -4.944321e+00 
29:	 6.203507e-10 -2.541453e+00 
30:	 2.209898e-10 -6.591894e-01 
31:	-6.758616e-10 -4.139452e-02 
32:	 7.536192e-10 -3.137898e-10 
33:	-3.009794e-10 -3.054106e-09 
34:	 1.304625e-10 -4.350093e-09 
35:	 8.804089e-10 -8.119894e-11 
36:	-7.138877e-10 -6.502137e-10 
37:	 3.995445e-12  2.055193e-09 
38:	 7.756519e-10  3.471129e-09 
39:	 5.309513e-10  1.192379e-09 
40:	-9.370744e-10  1.008705e-09 
41:	 1.830405e-10  2.311509e-10 
42:	-8.067812e-11 -1.908770e-10 
43:	 1.111303e-10  6.153155e-10 
44:	 8.743075e-10 -6.912070e-10 
45:	-4.474819e-10 -3.727731e-10 
46:	 2.946318e-10 -2.217281e-10 
47:	 7.513621e-10 -1.072531e-09 
48:	 1.262093e-09  4.247320e-10 
49:	-4.805918e-10 -1.201942e-09 
50:	 5.055075e-10 -1.223161e-09 
51:	-1.084142e-09 -8.878994e-10 
52:	-4.492189e-10 -8.430907e-10 
53:	 2.617666e-09 -8.191250e-10 
54:	-2.484133e-09 -9.334476e-10 
55:	-6.429136e-10  1.024249e-09 
56:	-1.816043e-10  6.352516e-10 
57:	-4.910949e-10 -3.723502e-10 
58:	-1.769814e-09  3.781029e-10 
59:	-3.812009e-11  4.950097e-10 
60:	 1.393483e-09 -4.903670e-10 
61:	 3.655264e-10  1.645811e-09 
62:	-2.691773e-10  3.049850e-09 
63:	 2.438967e-10  3.676898e-09 
64:	-1.083068e-09  2.354341e-09 
65:	 1.411146e-10 -3.651228e-10 
66:	-7.338907e-12  3.318736e-10 
67:	 5.843121e-10 -1.156281e-09 
68:	-2.476964e-10 -2.712728e-09 
69:	 2.514940e-10 -2.807297e-09 
70:	-3.743761e-10 -2.697224e-09 
71:	-9.462033e-10 -8.459625e-10 
72:	 5.581118e-10 -6.483619e-10 
73:	 4.031152e-10  4.197032e-10 
74:	-2.389240e-09  4.300441e-11 
75:	-1.460771e-09 -7.487859e-10 
76:	 3.411965e-09 -1.327543e-10 
77:	-2.778626e-09 -9.698255e-10 
78:	 1.824199e-10  7.274759e-11 
79:	 1.296986e-09  6.186485e-10 
80:	-6.969993e-10  1.666667e+00 
81:	-8.547577e-10 -3.611349e-10 
82:	-3.251093e-09 -7.002409e-10 
83:	 8.092994e-11  4.733975e-10 
84:	-7.092549e-09 -4.188745e-11 
85:	 4.701341e-10 -8.284027e-10 
86:	-5.633245e-09  1.167510e-09 
87:	 1.089104e-09  7.724591e-10 
88:	-4.385391e-09 -1.802917e-10 
89:	 1.173762e-09 -5.783332e-10 
90:	-9.828907e-10  6.666667e+00 
91:	 5.764346e-10  1.666667e+00 
92:	 6.152975e-01  2.933462e-10 
93:	 1.852679e-09  7.559347e-10 
94:	 1.365294e+00 -7.628403e-10 
95:	 1.487533e-09 -1.955050e-10 
96:	 2.393851e+00  1.604106e-09 
97:	 2.925319e-09  3.058061e-10 
98:	 2.066114e+00 -2.484384e-10 
99:	 3.089419e-09  3.302494e-10 
100:	-7.470274e-01 -3.243984e-11 
101:	 2.050068e-09  7.224633e-10 
102:	-7.981187e+00  5.000000e+00 
103:	 3.061563e-10  5.000000e+00 
104:	 3.925697e-01 -1.840579e-10 
105:	-3.174140e-11 -9.475563e-11 
106:	 2.699127e-01 -2.477030e-10 
107:	 5.248733e-10 -2.130047e-10 
