label=ReactionForce
num_items=108

0:	 5.890742e-09 -3.483100e+00 
1:	 6.008227e-10 -3.763210e+00 
2:	-1.436225e-09 -1.266882e+01 
3:	-6.809756e-09  1.318482e-08 
4:	-4.233151e-09  3.822179e-09 
5:	-1.209286e-09  6.818029e-10 
6:	 2.030711e-08 -2.347977e-08 
7:	 1.758330e-08 -1.409190e-08 
8:	 1.212373e-08 -4.662505e-09 
9:	-8.439192e-09  8.224596e-09 
10:	-7.014512e-09  4.822851e-09 
11:	-4.761152e-09  9.788153e-10 
12:	-2.110961e-09  1.056029e-08 
13:	 7.934990e-10  3.906785e-09 
14:	-7.926372e-10 -1.370792e-09 
15:	-1.301950e-09 -9.442978e-09 
16:	-1.376222e-10 -4.409414e-09 
17:	 4.814946e-09  2.434597e-10 
18:	 7.306013e-09  1.020179e-08 
19:	 3.706696e-10 -3.395646e-10 
20:	-2.360335e-09  4.049515e-09 
21:	-8.319134e-09 -4.242416e-09 
22:	-3.404525e-09 -4.352748e-09 
23:	-4.016978e-10 -1.238410e-10 
24:	-5.609083e-09 -1.111808e-08 
25:	-5.159507e-10 -2.723701e-09 
26:	-2.726371e-09 -2.471942e-09 
27:	-1.076387e-09 -1.528212e+01 
28:	 4.640919e-10 -2.202210e+01 
29:	-1.000156e-09 -2.152841e+01 
30:	-3.187691e-10 -1.420410e+01 
31:	-2.513904e-10 -7.048153e+00 
32:	-1.599193e-09  6.163576e-10 
33:	 4.908777e-10 -1.075636e-09 
34:	-1.314712e-09 -1.016228e-09 
35:	-9.043050e-10  3.470318e-10 
36:	 8.444859e-10  2.329320e-11 
37:	 2.911606e-09 -1.854214e-09 
38:	-2.577166e-09  4.190092e-10 
39:	-1.744864e-09 -4.479039e-09 
40:	-8.914377e-10 -1.692632e-10 
41:	 1.058330e-09  4.024763e-09 
42:	 1.423734e-09  3.644606e-09 
43:	 1.717100e-09 -4.078534e-10 
44:	 1.183676e-09  1.149231e-09 
45:	-7.048997e-10  1.453263e-09 
46:	-2.586600e-09  1.773546e-09 
47:	 4.781361e-10 -1.843015e-09 
48:	-2.715289e-09 -6.515899e-10 
49:	 2.228800e-09  1.913671e-09 
50:	-1.398784e-09  2.738020e-10 
51:	-6.285253e-10  2.342915e-10 
52:	 3.908469e-09  7.064276e-10 
53:	-3.278902e-10 -1.860342e-10 
54:	 1.904089e-09  1.507064e-09 
55:	-1.342995e-10  8.140225e-10 
56:	 9.077837e-10  1.475762e-09 
57:	 6.547263e-11 -2.155712e-09 
58:	-3.213934e-11 -1.345512e-09 
59:	 2.048956e-11 -8.514058e-10 
60:	 9.931625e-10  3.830770e-10 
61:	-1.102618e-09 -6.764373e-10 
62:	-1.231969e-09 -6.765463e-10 
63:	 1.215602e-09  1.619084e-09 
64:	-1.375903e-09  1.025562e-10 
65:	 1.647199e-09 -8.520508e-10 
66:	-2.294619e-09  8.750000e+00 
67:	-2.550431e-10  1.416667e+01 
68:	-1.256682e-10  2.125000e+01 
69:	 8.799731e-10  2.125000e+01 
70:	 1.381488e-09  1.416667e+01 
71:	-8.338256e-10  7.083333e+00 
72:	 3.311539e-09  1.789521e-09 
73:	-3.643702e-09  1.387045e-09 
74:	 1.320166e-09  3.187340e-10 
75:	 3.342384e-09 -1.738321e-09 
76:	 1.249434e-09 -7.859823e-10 
77:	 2.521310e-09  4.527236e-09 
78:	-3.180489e-09 -1.416168e-09 
79:	-2.148765e-09 -4.468350e-10 
80:	-2.651617e-09  3.333333e+00 
81:	 1.399018e-09  1.666667e+00 
82:	 3.307808e-09  3.144889e-09 
83:	 3.510230e-09 -2.294957e-09 
84:	 1.231962e-08 -3.036220e-09 
85:	-7.418495e-10  1.849329e-09 
86:	-8.226600e-10 -1.951930e-09 
87:	-1.119595e-09 -4.122954e-09 
88:	-6.890310e-10 -1.299854e-09 
89:	 8.499879e-12 -1.128411e-09 
90:	-5.188120e-09  3.333333e+00 
91:	-6.675328e-10  1.666667e+00 
92:	 6.174691e-01 -4.859301e-11 
93:	 9.285884e-10 -1.742985e-09 
94:	-9.793535e-01  4.278053e-10 
95:	 1.733579e-09  1.632117e-09 
96:	-7.159324e-01 -1.887087e-10 
97:	-2.565704e-11  1.324341e-10 
98:	-4.427151e-01 -9.027566e-10 
99:	-7.013273e-09 -1.682679e-09 
100:	-3.766011e-01  1.626216e-09 
101:	 4.311282e-09  2.487495e-09 
102:	-2.530801e-01  1.666667e+00 
103:	 1.256069e-09  1.666667e+00 
104:	 1.268141e+00 -2.425676e-10 
105:	-1.718290e-09  2.113697e-09 
106:	 8.820722e-01 -1.128307e-09 
107:	-1.011081e-10  1.461329e-09 
